variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
dp*L+delP
c0+c2*Rad^2
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
-.244378-.0785542*ii, -.0236818-.194668*ii, -.434571-.330145*ii, -.614898-.489712*ii, .616781+.963615*ii, .273266-.390385*ii, -3.0714e-17-4.52393e-17*ii, .484704-.499127*ii, 7.59533e-17+1.45252e-17*ii
.980332-1.30665*ii, -.893255+.777606*ii, 1.63191-.118372*ii, 1.14729-1.48524*ii, -1.16792+.123576*ii, 3.10739+.340301*ii, 2.03647e-16+1.37268e-16*ii, -.276235-.207342*ii, -1.97424e-16-1.05307e-16*ii
1.47476+.018562*ii, -.82453-.543679*ii, -.554492+1.09101*ii, .745706+.503706*ii, 1.17266-.343788*ii, .78707+2.06143*ii, 3.34659e-17+3.89514e-17*ii, -.0348475-.307821*ii, -1.09708e-17+1.44835e-16*ii
1.40827+2.49915*ii, .14068+.242474*ii, -.250202-2.87228*ii, -1.06207+.407374*ii, -.020110+3.19884*ii, -1.34413+.512996*ii, 1.06737e-16-1.64336e-16*ii, -2.32759-1.09246*ii, 2.06024e-16-8.4853e-18*ii
9.82991+10.7677*ii, .0782046+.171278*ii, -2.61001-8.43363*ii, -.927+5.88179*ii, 1.36534+8.69308*ii, -7.11277+7.84687*ii, -6.90396e-16-4.88025e-16*ii, -11.6256-1.49859*ii, -5.7533e-16-4.06687e-16*ii
-1.14927+.275363*ii, 1.3368-.484818*ii, -.52939-.493823*ii, -1.62377+.06238*ii, -.910189-.051368*ii, -.486846+1.56789*ii, 2.24645e-32+4.01341e-32*ii, -.0578951-.113348*ii, -3.30811e-32-4.65461e-33*ii
-3.74398-6.00561*ii, -3.05457+5.48985*ii, 8.12348-.92114*ii, 5.39973-4.29107*ii, -.914349+.538934*ii, 4.06848+.355312*ii, -5.4508e-207-1.12131e-205*ii, -.189204-.264658*ii, 1.68196e-205+4.11147e-205*ii
-.721484+.640296*ii, -.185919-.349533*ii, 1.1364+2.07273*ii, -2.12471+.481132*ii, 1.2265+.965522*ii, -.090581+1.6241*ii, 0, -1.49255+.018902*ii, 0
2.60028-2.36521*ii, -.122583+.15062*ii, 1.3208+1.87307*ii, 1.52455+2.88738*ii, -4.24256-.317872*ii, -1.34495-3.95658*ii, -2.49291e-217-2.26628e-217*ii, .796898-2.84084*ii, -1.35977e-217+6.34558e-217*ii
2.78111-2.25093*ii, -.54297+.441147*ii, -1.89702+.778556*ii, .819959-2.01087*ii, 2.26147+.002118*ii, 2.33059+1.02124*ii, 3.0847e-179-1.92794e-179*ii, .701575+.211538*ii, -4.62705e-179-3.0847e-179*ii
.0110415-.0888735*ii, .16871-.0069192*ii, .89358+.076167*ii, -.0603317-.0435858*ii, -.470894-.555559*ii, .582851-1.14904*ii, 1.46296e-181+9.83148e-182*ii, 1.31729+.166892*ii, -1.22496e-181-1.00757e-181*ii
5.44924+1.85151*ii, -.103595+.0000375*ii, .727372+1.17072*ii, -1.72894+1.22947*ii, -7.35356-1.21653*ii, -3.95741-1.28301*ii, -3.11788e-245+8.86738e-246*ii, -1.7543-2.82587*ii, -2.74603e-245+9.0104e-246*ii
-.0646659+.0400512*ii, -.0688222+.0573048*ii, .70132+.313019*ii, .98343-.967102*ii, .06437-.919349*ii, -.538522+.085353*ii, 4.70687e-184-1.64741e-183*ii, -.945375-1.92422*ii, -1.11788e-183+6.47195e-184*ii
1.00201-.317123*ii, -.149974-.0088655*ii, .811007+.495593*ii, .737667+.036537*ii, 2.60087-.48075*ii, -1.38447+.604242*ii, 0, -1.39587-.743618*ii, 0
1.29078-.682436*ii, .076585-5.96458*ii, -1.26184-2.96032*ii, 2.1748-.312786*ii, .252584-.425409*ii, -1.64309-4.43723*ii, -2.52698e-175-1.05817e-174*ii, .12338-.0544729*ii, 3.03238e-174-1.26349e-174*ii
-.557668+1.06143*ii, -.337106-.548452*ii, -1.2713-1.04036*ii, .229658-.762228*ii, 1.18607+.67507*ii, .133785+.643044*ii, -3.73305e-301+3.96637e-301*ii, .602713-.209039*ii, -3.73305e-301+5.59958e-301*ii
16.1912+1.77384*ii, -.160106-.132609*ii, 11.7743+3.91469*ii, 16.2757-5.34446*ii, -8.47856+2.54219*ii, -4.9531+.106582*ii, 0, -13.9074+5.40626*ii, 0
-.487569-.769974*ii, -.637116-.885209*ii, 2.09243+2.36363*ii, -.630081-.551342*ii, .027125-.913718*ii, 2.8269-2.43206*ii, -3.66592e-150+2.02008e-149*ii, -.719922+.072789*ii, 5.37669e-149-2.93274e-149*ii
.0276658+.164258*ii, .0362172-.124246*ii, .697248-.275089*ii, -.379145-1.18363*ii, 1.10584-.253391*ii, .50254-.33517*ii, 1.02659e-300-3.03311e-301*ii, .8871+1.14437*ii, -6.06621e-301+3.73305e-301*ii
.38549+.92094*ii, -.147786+.0747302*ii, .052458+1.03574*ii, .688978-.553516*ii, -1.67278-1.79732*ii, 2.4476-.778774*ii, 0, .63489-1.43105*ii, 0
-1.52163-1.00389*ii, .0157231-.191484*ii, -.629331-.974133*ii, 1.00173-2.77627*ii, -1.56983-2.65024*ii, .937974-1.62474*ii, -7.41098e-323-1.72923e-322*ii, 1.19629-.919877*ii, 8.89318e-323-1.23516e-322*ii
-8.41554-2.56234*ii, 14.4392-16.5901*ii, -9.07888-.37319*ii, 10.0656+15.7738*ii, .530708+.343986*ii, -5.65538-3.00913*ii, -3.17535e-73+2.96531e-73*ii, -.0645517-.0806292*ii, -2.10032e-73-1.2823e-73*ii
2.87194-1.32843*ii, -.0959111-.258182*ii, 5.12231+1.38858*ii, .67392+1.62665*ii, -2.30204+2.48788*ii, 2.33985-1.78917*ii, 0, -2.80065+3.91958*ii, -4.94066e-324*ii
-1.75361+.179534*ii, .135099+.241722*ii, -.78638+.935695*ii, -.016344+1.14224*ii, 2.10824-1.38603*ii, .407206+1.19787*ii, 0, .39103+1.03186*ii, 0
