variable ordering: pp, pmu, Ev, Emu, Ep, pv, mp, mmu

component_1:
equations:
-pmu+pv
-Ev-Emu+Ep
-pmu^2+Emu^2-mmu^2
2*pv*mp-mp^2+mmu^2
points:
1.40171-.632758*ii, .577104-.158807*ii, .272322+.627504*ii, -1.26397-.534428*ii, -.991652+.093076*ii, .577104-.158807*ii, 1.84108+.375621*ii, -1.19119-.644018*ii
-.77272-.68284*ii, .561856+.483288*ii, .189642-.466459*ii, .100617+1.26309*ii, .290259+.796633*ii, .561856+.483288*ii, .461239-.779805*ii, .111451-1.29608*ii
.546214+.824182*ii, .754456+.308825*ii, -1.16738+1.61345*ii, .004624+.614217*ii, -1.16276+2.22767*ii, .754456+.308825*ii, .749833-.305392*ii, .241357-.953586*ii
-.952813+.631887*ii, 1.34967+.359334*ii, -.611166-1.05637*ii, .934447-.006401*ii, .32328-1.06278*ii, 1.34967+.359334*ii, .415227+.365735*ii, .479335-1.02426*ii
-.639779-2.31876*ii, .211529+1.02325*ii, -1.12229+.412617*ii, 1.73784-.048387*ii, .615544+.36423*ii, .211529+1.02325*ii, -1.52631+1.07164*ii, 2.01057-.149478*ii
.155763+7.11815*ii, -4.16711-6.0909*ii, 10.3398+1.68744*ii, -3.81316-1.72561*ii, 6.5266-.038173*ii, -4.16711-6.0909*ii, -.353951-4.36529*ii, 6.33323-2.96869*ii
-2.03846-1.43994*ii, .0511209-.0356227*ii, -1.32942+.898775*ii, .219328-.441993*ii, -1.11009+.456782*ii, .0511209-.0356227*ii, -.168207+.40637*ii, .215406-.441585*ii
.494013+.559582*ii, -.246615-.804952*ii, 1.36909+.371886*ii, -.703845-1.13628*ii, .66524-.764395*ii, -.246615-.804952*ii, .45723+.33133*ii, .711287+.845304*ii
4.28046+2.59243*ii, 1.97453+.951948*ii, -1.54778-.529312*ii, 1.17412-1.90788*ii, -.373656-2.4372*ii, 1.97453+.951948*ii, .800406+2.85983*ii, -1.50301+2.74099*ii
-.42332+.236912*ii, -.221578+.656576*ii, -.432454+1.09786*ii, -.788926+.226649*ii, -1.22138+1.32451*ii, -.221578+.656576*ii, .567348+.429928*ii, -.976829+.034117*ii
-1.19943-.078861*ii, .102736+1.24378*ii, -1.07212-.116183*ii, -.850753-.728673*ii, -1.92287-.844856*ii, .102736+1.24378*ii, .953488+1.97245*ii, 1.36363+.360904*ii
2.37517+2.91997*ii, -2.46336+1.56712*ii, 3.97292-1.48717*ii, .820109-1.20187*ii, 4.79303-2.68904*ii, -2.46336+1.56712*ii, -3.28347+2.76899*ii, -1.19292-2.40982*ii
-.335882-3.3945*ii, .239155+.330845*ii, -.160619-2.70546*ii, .243331-.0864895*ii, .082712-2.79195*ii, .239155+.330845*ii, -.0041753+.417334*ii, -.406025+.246706*ii
-2.08152-1.0716*ii, .989612-.913868*ii, -.804429+1.2647*ii, -.422134-1.27066*ii, -1.22656-.00596*ii, .989612-.913868*ii, 1.41175+.356791*ii, .923576+1.55998*ii
1.00904-.628203*ii, .0316154-.400739*ii, 1.41639+2.05166*ii, -.389565-1.15774*ii, 1.02683+.893921*ii, .0316154-.400739*ii, .421181+.756999*ii, -.422034-1.09869*ii
.866233+.30775*ii, -.139181+.498672*ii, .761913-.767698*ii, .387526+.331904*ii, 1.14944-.435794*ii, -.139181+.498672*ii, -.526707+.166769*ii, .611665+.323751*ii
-.515811-2.63993*ii, .200275+.542997*ii, .417146-2.00215*ii, -.153692+.966892*ii, .263454-1.03526*ii, .200275+.542997*ii, .353967-.423895*ii, .298085-.863353*ii
-2.02446+2.89792*ii, .796621+2.35708*ii, 7.85949+1.0385*ii, -1.71936+2.46223*ii, 6.14013+3.50073*ii, .796621+2.35708*ii, 2.51598-.105151*ii, 2.66187-2.29581*ii
-2.17084+3.50286*ii, -.008726+3.04168*ii, .467308-2.55274*ii, -1.41048+4.38775*ii, -.943171+1.83501*ii, -.008726+3.04168*ii, 1.40175-1.34607*ii, 1.8287-3.36976*ii
.663067+.342553*ii, -.897148-1.13912*ii, .732696-.042077*ii, -1.30085-.978869*ii, -.568151-1.02095*ii, -.897148-1.13912*ii, .403698-.160253*ii, -1.12972-.222531*ii
-1.22715+.511931*ii, 1.06286+.784091*ii, -1.63159-.113203*ii, 1.98163+.594083*ii, .35004+.48088*ii, 1.06286+.784091*ii, -.918769+.190008*ii, -1.75989-.195395*ii
-5.29087-1.51247*ii, -1.8053+.912238*ii, .0743083+.160849*ii, -1.54614+.319146*ii, -1.47183+.479995*ii, -1.8053+.912238*ii, -.259163+.593092*ii, -1.04229-1.10662*ii
.864442+.051293*ii, -.804484+1.27033*ii, .217489-1.26207*ii, -.899056+.618066*ii, -.681568-.644002*ii, -.804484+1.27033*ii, .094572+.652263*ii, -1.23876-.376412*ii
.167622+.764383*ii, -.340183-1.47909*ii, 1.29562+2.23921*ii, -.421611+.0817558*ii, .87401+2.32096*ii, -.340183-1.47909*ii, .081428-1.56085*ii, -1.53794+.349578*ii
-.249608+.424112*ii, .46329-2.16809*ii, -3.2039+3.11244*ii, .304662-2.41906*ii, -2.89924+.693378*ii, .46329-2.16809*ii, .158628+.250972*ii, .23218+1.15194*ii
1.30733+7.99784*ii, 5.45209+2.527*ii, -3.69889-3.77933*ii, .697775-1.22515*ii, -3.00112-5.00448*ii, 5.45209+2.527*ii, 4.75431+3.75215*ii, -2.61906+5.58687*ii
1.50084+1.97305*ii, .463084-.702281*ii, 1.69847+.494682*ii, .202216+.58903*ii, 1.90068+1.08371*ii, .463084-.702281*ii, .260868-1.29131*ii, -.656414-.6769*ii
-.398196-.713789*ii, .330222+.588838*ii, -.461602+.571991*ii, -.234494-.687719*ii, -.696095-.115728*ii, .330222+.588838*ii, .564716+1.27656*ii, -.0768971+.431508*ii
1.12103-2.5704*ii, -.104286+.717923*ii, .546926+.478743*ii, .220743+.989069*ii, .767669+1.46781*ii, -.104286+.717923*ii, -.325028-.271146*ii, -.386793-.758025*ii
