variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-theta*L+d
T*omega-2*Pii
-T*j+Tj
1.01*g*Tj^2-4.04*L*j^2*Pii^2
points:
2.23163+.716758*ii, 2.01826-.962417*ii, .242456+.727034*ii, .946156-.130302*ii, -1.50393+.764199*ii, -1.91155-.751994*ii, -.156272+.737205*ii, -1.87531-1.05305*ii, -1.26913e-17-7.18664e-17*ii, .594525+.616999*ii, 2.5876e-18-1.14469e-16*ii
.345123-.757031*ii, -.384833-1.80115*ii, 1.37486-.17099*ii, .323831+.486301*ii, -.070473+.687525*ii, -1.12211-.12747*ii, .472912+.0675314*ii, -1.2461+1.47765*ii, -2.3175e-16-1.53896e-16*ii, -.418535-1.20527*ii, -1.76176e-18-5.17131e-17*ii
.0529038+.250485*ii, -.237469+.633726*ii, -.253743+.0630989*ii, -.183561-.0461534*ii, -.926341-.119763*ii, -.106791-.0394836*ii, -.406199-.455673*ii, .598051+.064728*ii, -2.65539e-18+5.04484e-17*ii, .0101344-.0878936*ii, 1.49203e-17+1.68431e-17*ii
19.009+14.5218*ii, -2.31225-2.42365*ii, -11.2927-16.6497*ii, 27.2194-15.9675*ii, -4.89637-8.04883*ii, -26.3663+5.8748*ii, 5.51151+.355034*ii, -.814857-.26218*ii, -8.88862e-19+1.64346e-19*ii, -7.12072+32.9339*ii, 5.58792e-19-2.02696e-19*ii
1.58743-.792399*ii, -.690917-1.92241*ii, -.236302-.391168*ii, .740166+.975637*ii, .660572-.853729*ii, -.333984+.0033607*ii, 2.15993+.303928*ii, -.162648+.218932*ii, 1.46197e-23-2.58747e-23*ii, -.29436+.362267*ii, -5.98429e-23-1.02278e-23*ii
.110181-1.92789*ii, .244636+1.75198*ii, .58614+.942551*ii, .436017+.284983*ii, .016921+2.26334*ii, .14718+.575557*ii, -1.00434-1.22393*ii, .841044+.770324*ii, 1.80449e-23-3.50286e-23*ii, -.753972+.628745*ii, 6.5784e-23+2.30451e-23*ii
-.629257+.550367*ii, .109251-2.09543*ii, 4.91604+2.47591*ii, -6.77838-6.42896*ii, .799843-6.77865*ii, 3.77447+2.30237*ii, 6.6991+.39232*ii, -.462736+.0992178*ii, -4.2645e-22-1.09007e-20*ii, 2.86259-5.01536*ii, -2.28881e-20-2.9731e-22*ii
1.36485-2.13859*ii, .592325-1.77393*ii, -2.38174-4.87784*ii, -.124324-.154143*ii, -3.05081-2.75844*ii, -.295002+.816398*ii, 2.42119+1.25807*ii, -2.27369-3.74765*ii, -2.16294e-23+2.35968e-23*ii, -5.03185+.667884*ii, 2.90475e-23+5.2346e-23*ii
-3.3351+5.47866*ii, -.238263-5.37856*ii, 1.05403+1.15812*ii, 1.44589+1.6287*ii, -5.65678+1.04931*ii, -.61128-10.7193*ii, -4.73106-2.37794*ii, -3.86703-3.05768*ii, 4.1045e-30-4.23121e-30*ii, 2.98895-2.97256*ii, -2.37358e-29-2.10682e-29*ii
-.186989+5.20984*ii, 1.7016+1.48383*ii, 1.24613+.451875*ii, .583562+1.85644*ii, -.535011-.486926*ii, -.20868+.408558*ii, -.892355-2.3971*ii, .168128+.165259*ii, 3.17169e-22-9.74585e-23*ii, .724958+1.30898*ii, 6.84305e-22+3.04788e-22*ii
.368633+3.68527*ii, .613202-2.89213*ii, .89089-.572778*ii, -.0650779-.320846*ii, 3.48029-1.29223*ii, -.172152+1.25355*ii, 3.58127+1.55042*ii, -3.6481-1.27651*ii, -1.60901e-31-6.76768e-31*ii, -.555127-1.4639*ii, -2.05597e-30+5.0352e-32*ii
-.361992+.486201*ii, -.395723+.0194273*ii, -1.44494-1.37643*ii, .0572304-.406195*ii, -.383015+2.78077*ii, .768115+.848351*ii, -.182013+2.78706*ii, -1.78664+2.14273*ii, 1.52069e-17+5.60841e-18*ii, .299269+.258307*ii, -6.12666e-18-1.92395e-18*ii
.490294-.0513616*ii, .625559-.056705*ii, -.349761+.575107*ii, .718934+2.06825*ii, -1.35715+.251877*ii, -.116131-.185024*ii, -.375603+1.00992*ii, -.0972289+.022352*ii, -7.11341e-19-8.27624e-20*ii, -.0930924+.189798*ii, -4.49679e-19-1.14366e-20*ii
-.695577+.236379*ii, 2.02298-1.30317*ii, -.597484+.555748*ii, 1.39903+1.11503*ii, 2.84798+.685858*ii, -.420769-1.39155*ii, -2.62946+1.95208*ii, -.668718-.461681*ii, 3.01005e-25-1.95905e-26*ii, -.242232+.951447*ii, 5.83397e-25-4.31892e-25*ii
2.64143-.258061*ii, .033511+1.8421*ii, .254354+.782034*ii, -.661427-.210477*ii, .189707+1.90561*ii, -.769037+.347459*ii, -.498964+.611272*ii, .903989-.81298*ii, 3.09949e-25-1.67959e-25*ii, -.716032+.247377*ii, 3.19784e-25+5.65329e-25*ii
-.453392-1.19116*ii, 1.33172-.327975*ii, 3.73185-.435051*ii, -3.24425+.69944*ii, 3.66868+1.59038*ii, -2.87077-1.5568*ii, -.444367+.162194*ii, .746717+.640851*ii, 6.95782e-22+2.19972e-21*ii, 2.41355-.90166*ii, 1.64804e-21+2.70122e-21*ii
.466757+.147851*ii, -2.86908+.774575*ii, .494958-.0492726*ii, 1.63736+.051674*ii, .0837646+.43749*ii, .022595+.139817*ii, .40575-.118822*ii, .0164781+.0848715*ii, 1.23745e-21-1.21481e-21*ii, -.690956+.262375*ii, -2.60939e-21+4.44388e-21*ii
-1.21444+1.91909*ii, 2.3161+2.78636*ii, -.661339-1.16034*ii, -.34751+1.54566*ii, -.592109+3.20934*ii, -3.52787+.409467*ii, -2.3804-1.51314*ii, .740636+2.11592*ii, -7.0702e-24+4.33584e-23*ii, .850703-2.2651*ii, -1.37187e-22+8.07221e-23*ii
-.893469+.79003*ii, 2.11782-.448583*ii, 1.34331+.911407*ii, -2.94229-.654504*ii, .30662+3.7882*ii, 3.54132-1.55196*ii, .430191-.795035*ii, -1.03504+.757708*ii, -1.24116e-21-1.40055e-21*ii, 1.62686+.663806*ii, -3.25681e-21-2.40935e-21*ii
