variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
T*omega-2*Pii
-T*j+Tj
1.01*g*Tj^2-4.04*L*j^2*Pii^2
points:
.28527-.0553672*ii, 1.47671e-22-1.74846e-22*ii, -.176435-.217115*ii, -.409177-.235679*ii, -.656575-.292296*ii, -.313682-.199541*ii, -.331285+.23181*ii, .259941-.340299*ii, .015071+.619562*ii, 4.08702e-17+3.47686e-18*ii, -1.71003e-17+3.97113e-17*ii
.294344+2.64549*ii, -6.22582e-24-1.23456e-23*ii, -1.01556-.663583*ii, -1.1324+3.73779*ii, .747708-.557808*ii, -.093012-2.72478*ii, -1.44285+2.46174*ii, -1.09464-.239651*ii, 2.62578-.463316*ii, 2.06236e-16-7.4115e-18*ii, 3.60913e-16+8.50727e-17*ii
1.91803+2.22547*ii, 2.1475e-26-1.8763e-24*ii, -.797333+1.05096*ii, -.728235+.450419*ii, -.48+1.18959*ii, 1.98785-3.06985*ii, 1.04936-2.03577*ii, -1.00192-4.15454*ii, .273423-2.44002*ii, 9.77395e-25+7.59305e-25*ii, -4.57234e-24-5.65424e-25*ii
1.78736-1.03689*ii, 2.93349e-21+6.81804e-21*ii, 1.62724+1.66534*ii, -.0264059-.028848*ii, -.579387-.353358*ii, 2.96668-1.14179*ii, -1.45299+2.67578*ii, -.341607-.130377*ii, -.81343+.763951*ii, -3.29044e-21+7.98991e-21*ii, -7.59483e-21-3.30496e-21*ii
-49.1276+56.2047*ii, 1.09523e-35-1.27935e-35*ii, 20.894+64.8239*ii, -5.69999-36.3907*ii, .815282-4.01646*ii, -17.9329-19.6545*ii, -15.8244-9.01945*ii, 49.2213-60.2823*ii, 50.8451-32.6136*ii, 5.2908e-34+2.21332e-34*ii, 1.3963e-34-1.00768e-33*ii
-.0997308+.480829*ii, 9.98927e-19+1.03616e-19*ii, -.0945764-.486452*ii, -.113856-.076658*ii, -1.90678+.079418*ii, .61222-1.29257*ii, .0626973-.249556*ii, .90661+.460152*ii, -2.02348+.584101*ii, -2.20353e-20-2.47865e-19*ii, -2.08183e-18+3.73809e-19*ii
-.672544+.218146*ii, -4.17082e-25-1.87593e-25*ii, -1.58676-2.68491*ii, -3.03991-.364666*ii, -.407859-.172946*ii, .59213+.247383*ii, 1.20542-1.046*ii, .943227-.255389*ii, -.212141+2.1246*ii, 7.90703e-26+7.08747e-25*ii, 4.87041e-25-8.46339e-25*ii
.169685-.581879*ii, 5.40243e-31+7.2519e-31*ii, 1.32183+2.09434*ii, -1.67006-.976454*ii, -.571825+.607588*ii, -.272325+1.31984*ii, -.647238+.329866*ii, .266284-2.11357*ii, -1.17604-1.32217*ii, -4.0234e-31+1.04502e-30*ii, 3.23474e-31-1.56714e-30*ii
-.539041-.55599*ii, 2.30671e-25-1.61362e-25*ii, -1.81072-.159632*ii, .086633+.751868*ii, -.354961+.25912*ii, -.0004508-.265618*ii, .244747+1.74501*ii, .0865889-.314636*ii, 1.5374-.483839*ii, -2.21719e-25+1.27679e-25*ii, 2.7656e-25-3.59685e-25*ii
.278256-2.29891*ii, 1.01893e-30-3.49923e-30*ii, -1.64212-.616828*ii, -3.12551-3.8554*ii, -1.76254-3.02006*ii, -.778374-2.64429*ii, .527705+.400111*ii, -1.51456-1.85191*ii, .918532-3.77341*ii, -1.91581e-30+2.55883e-30*ii, -1.22681e-29-7.05899e-30*ii
.766433+.484962*ii, -1.45584e-21+4.65419e-21*ii, .056722+1.48352*ii, -.612866+1.14777*ii, -1.33762+.103658*ii, -.670266+.579701*ii, -.541633-.404528*ii, -.461759+.300115*ii, -1.19232+.132153*ii, -3.49358e-21-9.47889e-22*ii, 1.12077e-21-5.7417e-21*ii
-.926284+.136254*ii, 2.3819e-27-8.52302e-27*ii, -.857191+2.35686*ii, .467107-2.9291*ii, -.226877-.18888*ii, -6.0557+.310424*ii, 2.11612-2.36227*ii, 1.05197+2.13681*ii, -3.06464-.867091*ii, 9.02293e-27+6.45983e-27*ii, -1.46899e-26+2.40546e-26*ii
.509687+.995948*ii, 4.43373e-22-1.04898e-21*ii, -.331127+.238777*ii, 1.48505+1.17005*ii, .476087+1.4942*ii, -.9793-1.23968*ii, .70378-.11687*ii, -.784941+.115242*ii, -.601114-.772536*ii, 5.18291e-23+2.26605e-22*ii, -1.07689e-21+2.88031e-22*ii
.617167-.001785*ii, 8.27051e-29-9.23223e-29*ii, -.191551+.0509794*ii, -.383369+2.33704*ii, .080777-1.20137*ii, .078082+.892425*ii, .035865+.511307*ii, 1.50591+1.05659*ii, -.680551-.948016*ii, -5.56786e-30+1.09503e-29*ii, -1.43808e-28-1.55757e-29*ii
.753572+1.32661*ii, 4.61855e-20-1.29027e-20*ii, 2.1411-1.0237*ii, -.854482-2.8148*ii, -.655177-.472133*ii, 4.06546+1.60369*ii, -1.71745-.787191*ii, -2.22334+2.65012*ii, 2.99458-2.42849*ii, 4.28396e-20-3.7453e-20*ii, 1.06972e-19-1.50799e-19*ii
-.150579+.0461367*ii, -1.19927e-21+3.12731e-21*ii, -.757784+.109994*ii, .085133-2.70261*ii, .117611-.75739*ii, -1.12216+1.58727*ii, -.0896267-.184895*ii, 2.00114-.693547*ii, -.007515-2.43067*ii, 2.82399e-22-1.25087e-21*ii, 7.61048e-21+2.89152e-21*ii
.345267+2.34013*ii, -3.95493e-26+1.80435e-25*ii, 1.21774+2.5767*ii, 1.28119-3.65258*ii, .636119+.47428*ii, -2.83132-.221338*ii, 2.1117+2.1043*ii, -2.30676-1.53888*ii, -.221242-.798054*ii, -2.56544e-25+5.89075e-26*ii, 1.52747e-25-8.3571e-27*ii
.161351-.0209544*ii, 2.48395e-23+1.90476e-23*ii, 1.61553+2.47533*ii, .849752-.270745*ii, .153574+.802714*ii, .328433-1.62633*ii, .0119156-.198727*ii, -2.31546+2.49791*ii, -1.57808-.558079*ii, -3.5101e-24+4.6129e-23*ii, -2.85687e-23-4.39211e-23*ii
