variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
74.9962*P-313.672*qc^2*x0^2*w^4
points:
-3.40725+1.57594*ii, .223594+.262395*ii, -.104648+.900357*ii, -.461988-.698289*ii, 2.18694-1.23938*ii, .0222964+.240869*ii, 1.67845+.465677*ii, 1.44104+.416097*ii, -1.29685+1.32569*ii, .456403+.15394*ii
.000219696-.0000726117*ii, -3.83883+.966794*ii, .016815+.00019027*ii, -.703662+.044185*ii, -1.22917+.113826*ii, 2.3255+.021298*ii, .738616+2.3464*ii, -.529486-.045091*ii, -.004493+.554869*ii, .794972+1.40316*ii
-2.59829+2.37758*ii, .741919+.164593*ii, -.232084+.460479*ii, -.662943-.521295*ii, 1.88821-1.61389*ii, .105546+.306112*ii, 1.53261-.212065*ii, 1.52473+.282295*ii, -.563923+1.37131*ii, .230367-.459854*ii
-2.38269-1.96631*ii, .0859162-.0583133*ii, -1.46982-.193347*ii, .053117+.315402*ii, 2.22812+.946019*ii, -.0502922+.107996*ii, .243818+1.63726*ii, .433687+1.28926*ii, -1.09775-.80019*ii, -.487312+.320912*ii
-2.82518-1.24011*ii, -.191631+.362319*ii, -.514176+.430844*ii, -.170194-.172042*ii, 2.04717+.61688*ii, -.135487-.0922514*ii, .797294+1.47578*ii, .552012+.889825*ii, -1.46926+.01444*ii, .148752+.624076*ii
-.0644877-.0729211*ii, .110401+.286949*ii, 1.27142+.146564*ii, -1.15946-.219962*ii, .0425854+.447204*ii, -.368993-.43669*ii, -.00736463-.000948126*ii, -.0116538-.453164*ii, -.202406+.663369*ii, .284151+.230813*ii
.982533+3.18641*ii, -.0607882-.128267*ii, 1.99393+.562141*ii, -1.73525-.649839*ii, -1.11798-1.65678*ii, .240735-.115348*ii, .326142-1.27555*ii, .578979-1.55328*ii, .634611+1.97068*ii, .379431-.139684*ii
.0377965+.221424*ii, .355747-.108997*ii, -.912031-.269465*ii, -.577706+.29549*ii, .515505-.130724*ii, .437278-.114391*ii, .0126708+.109457*ii, .543815+.266072*ii, .324286-.287489*ii, -.690611-.376417*ii
-3.38271-.208065*ii, .47341+.972447*ii, -.347144+.0494341*ii, -.36138-.24104*ii, 2.52759+.280202*ii, -.265269-.084867*ii, 1.48307+.936805*ii, .802985+1.08768*ii, -1.18507+.613995*ii, .596784-.052394*ii
-.316107+.909202*ii, .263176-.731214*ii, -.592801+.159775*ii, -.641881+.019679*ii, .581468-.850327*ii, .331456+.227646*ii, -.0221716-.00153259*ii, .822836-.081307*ii, .0354128+.152372*ii, -.738492-.134901*ii
-.220901+.0218291*ii, -.269871+.250075*ii, .051758+1.43911*ii, -.525148-.440184*ii, .0027569-.0917179*ii, .313092-.853071*ii, .385508+.239179*ii, .714875-.376725*ii, -.73531+.042553*ii, -.296676+.682166*ii
2.10401+1.04682*ii, -.243906-.818527*ii, .691369+.096748*ii, -1.27851+.04729*ii, -1.35368-.589261*ii, .425609-.128531*ii, -.880736-.580967*ii, .100598-1.13864*ii, .851117+.309895*ii, -.694643+.05071*ii
-2.68602+.131691*ii, .157218+.100877*ii, -.481333+1.21567*ii, -.200484-.529994*ii, 1.85601-.435347*ii, -.0478312-.184151*ii, 1.06721+.751383*ii, 1.20234+.431684*ii, -1.48889+.385013*ii, -.057231+.530159*ii
-3.57014+.293163*ii, .123958+.0119232*ii, -.899991+1.0864*ii, -.027914-.515321*ii, 2.4941-.694031*ii, .0352579+.145799*ii, 1.35688+1.04324*ii, 1.4144+.781601*ii, -1.69066+.470902*ii, -.0224405+.474399*ii
.91314-3.1161*ii, -.193962+.0164817*ii, -.481234-1.58942*ii, -.676731+1.01997*ii, .176996+2.3608*ii, -.0675179-.212175*ii, -1.29141+1.25743*ii, -1.04347+.67205*ii, .449584-1.35055*ii, -.608183+.041176*ii
2.70075-1.65971*ii, -.0217398-.134222*ii, .936531-2.01152*ii, -1.5142+.960225*ii, -1.18659+1.84921*ii, -.171169-.171069*ii, -1.73893+.107716*ii, -1.38907-.331726*ii, 1.50707-.509051*ii, -.365348-.388105*ii
.778142+2.5515*ii, .676564-.084175*ii, .60558+.493644*ii, -1.23648-.348866*ii, -.427141-1.39974*ii, .281775-.315478*ii, .351979-1.25935*ii, .936052-.897749*ii, .630697+1.03662*ii, -.261633-.535572*ii
-1.6768+2.42365*ii, .704299-.080768*ii, .721187+.275631*ii, -1.08647-.536739*ii, 1.17274-1.46931*ii, -.173362+.320769*ii, .997188-.549416*ii, 1.11137-.269821*ii, -.249977+1.64561*ii, .33855-.39933*ii
.343241-.452736*ii, .599269+.674888*ii, -.049999-.985771*ii, -.944127+.443061*ii, .362431+.886575*ii, -.0000053-.419124*ii, -.0321965+.0117251*ii, -.110115+.337092*ii, .621248-.12201*ii, -.093762-.627974*ii
-.754962+1.87687*ii, .677374-.584863*ii, -.449469+.239958*ii, -.742446-.164488*ii, .874313-1.40577*ii, .246802+.287487*ii, .426703-.437751*ii, 1.17586-.119125*ii, .071028+.646068*ii, -.5436-.449646*ii
-.148056-1.00209*ii, -.044621-.607138*ii, -1.01294+.240148*ii, -.306676+.249857*ii, .576922+.316496*ii, .269483-.139037*ii, -.449508+.729042*ii, .412584+.248371*ii, -.338254-.79371*ii, -.989284+.332324*ii
.177504-.242864*ii, -.448616+.379392*ii, -1.25158+.974037*ii, -.192985+.0019094*ii, -.00551512+.0102709*ii, .981016-.836529*ii, .373832+.531314*ii, .745584+.141404*ii, -.261952-.699872*ii, -.746759+.370563*ii
1.04821+.85009*ii, 1.27762+.654876*ii, 1.09384-.959011*ii, -1.5153+.187662*ii, -.155989+.351028*ii, -.423013-.506125*ii, -.06519-1.10627*ii, -.0400341-.364723*ii, 1.07521+.680932*ii, .157285-1.03806*ii
