variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
T*omega-2*Pii
-ad+omega^2*d
-T*j+Tj
1.0028*g*Tj^2-3.9921*L*j^2*Pii^2
points:
-.120477+.670921*ii, -1.12438e-22+2.56433e-23*ii, -.763514+.21845*ii, -.881105-.139367*ii, .416765+.376974*ii, -.7248+.801788*ii, -.930807-.412124*ii, .159272+.0654618*ii, -.265824-.520124*ii, 7.49112e-17-2.06706e-16*ii, 1.24718e-16+1.07559e-16*ii
.184947-.147757*ii, 2.72086e-23+6.67389e-24*ii, -.509346+.724479*ii, -.451042+.463261*ii, .66364+.623111*ii, .0974688+.285654*ii, -.861242+.210259*ii, -.0057653-.188687*ii, -.550312-.462796*ii, 7.9239e-18+1.19859e-16*ii, 1.30014e-17-3.09553e-17*ii
-2.44359-.748158*ii, 2.94992e-24-1.11762e-23*ii, .934776-.259229*ii, 1.21683-1.09783*ii, 1.31583-.232333*ii, -1.81642-2.01892*ii, 1.01402-.25626*ii, -.715822+.419716*ii, -.258983+.383972*ii, 4.64513e-17+4.13385e-16*ii, 1.32925e-17-1.38623e-16*ii
-1.91104-.316941*ii, 2.16696e-22-1.75264e-22*ii, 1.42651-.388154*ii, .490948-.419157*ii, -.344101-.531455*ii, -.680354-.568061*ii, -.750934+1.63724*ii, -.294037+.32917*ii, .051784-1.17951*ii, 1.20544e-22-1.67064e-22*ii, -1.95504e-22-2.6467e-22*ii
.098056+.62727*ii, -2.1121e-24+3.39196e-24*ii, -.523377+.922179*ii, .352196+.664351*ii, -.173615+.827191*ii, -.523701-.211182*ii, .873709+.634633*ii, .258159-.418585*ii, -.932649-.05888*ii, -1.01129e-24-1.86151e-24*ii, 2.16957e-24-3.03915e-24*ii
-.507936+1.04767*ii, 1.91853e-26-1.75984e-25*ii, -1.20802-.014170*ii, .070937-1.77537*ii, -1.08971-.273797*ii, -.331085+.725792*ii, -.0517149-.131384*ii, 1.57183+.295856*ii, -.407609+.657552*ii, -1.2835e-26+1.0616e-25*ii, 1.07898e-25+8.4348e-26*ii
-.488485+.22129*ii, -6.83264e-28+1.06135e-27*ii, .009224+.5353*ii, 2.01929+.821336*ii, -1.50606+1.86121*ii, 1.72982-.712863*ii, -.689198-.62227*ii, 2.04632+.19859*ii, .033343-1.07489*ii, -2.87221e-28-1.77981e-28*ii, 1.11805e-27+7.69823e-28*ii
6.57733-2.97731*ii, 8.43612e-27-5.80938e-27*ii, 1.29452-.204416*ii, -.529812-.197121*ii, 1.1193+2.14229*ii, 4.17724-.469119*ii, -1.87314-3.06454*ii, 3.17169+1.74875*ii, 4.11287+2.76711*ii, 4.8666e-27-4.62242e-27*ii, 5.07718e-26-5.4957e-28*ii
1.53229+1.4063*ii, -1.84468e-32-1.09882e-33*ii, -.566855+.955049*ii, .210854-1.12749*ii, -.541089-1.95172*ii, -1.59587+.54441*ii, .004120-1.10675*ii, .103204+.309399*ii, -2.01049+.20643*ii, 5.75305e-33-8.49738e-33*ii, 3.7314e-32-1.59881e-33*ii
.325857+.931708*ii, -3.57702e-27-5.91157e-28*ii, -.511629-.195339*ii, .710326-.32065*ii, -1.09261+.003436*ii, 2.88034+1.59198*ii, -.169793+1.4253*ii, .762498+.900365*ii, -.611069-.927502*ii, 8.57316e-28+5.00592e-28*ii, 1.63751e-27+3.67893e-27*ii
.0564639-.0304444*ii, 8.35584e-19-2.379e-18*ii, -.256012-.31017*ii, .323877-1.36744*ii, -.84186-.765052*ii, -.250987-.307074*ii, -1.6204+.570651*ii, -.0681357+.217183*ii, .0752109-.113229*ii, -4.75908e-19+1.74939e-19*ii, -2.06527e-19-2.73539e-19*ii
-.651316+.368457*ii, -7.43207e-26+2.27512e-26*ii, 1.29651+.347764*ii, -.192979-2.09872*ii, -1.47703-2.6566*ii, -.210607+.357929*ii, 1.39265+1.11477*ii, -1.2822-1.9199*ii, .106669-.324274*ii, -5.2135e-26+1.8256e-27*ii, -5.5005e-28+2.65271e-26*ii
.165396-.0776964*ii, 3.19482e-27-6.94645e-28*ii, .431316-.632318*ii, .205601+.954257*ii, .890636+.017794*ii, .0204518+.31124*ii, .171508+.44833*ii, -.152571-.39051*ii, 1.8515-.39448*ii, 4.6937e-28-1.15988e-27*ii, 5.64119e-27-2.54643e-27*ii
-.635029-1.68499*ii, 1.34834e-20-1.58203e-20*ii, -.35308+.877607*ii, 1.8378-3.3329*ii, 1.4542+1.25232*ii, 1.81595+.866864*ii, 1.32477-2.76514*ii, -1.87812-2.79942*ii, -.137492+1.15528*ii, 4.56166e-21+8.70947e-21*ii, 1.6423e-20+1.77522e-20*ii
.00788106+.0158629*ii, -6.75791e-17-8.96519e-17*ii, -.324537+.182448*ii, -1.24365-.401042*ii, -1.27233-1.46598*ii, -.0682235+.108051*ii, .082001-1.05584*ii, .284421-1.09627*ii, .107403+.457629*ii, 1.91444e-17+8.38286e-18*ii, 3.37691e-17-4.0555e-17*ii
-1.11304+1.27193*ii, 1.47967e-23+8.05579e-24*ii, -3.43169+.80732*ii, 10.5556+1.06528*ii, 2.68532+1.82368*ii, -.125792+.0516802*ii, 7.24786+6.87086*ii, -1.64202+4.54113*ii, -.017576-2.50217*ii, -2.86407e-23-7.84965e-24*ii, 1.98969e-23-3.71654e-23*ii
-2.16736+1.43806*ii, -1.95446e-23-3.29349e-23*ii, -1.19219+2.53347*ii, -1.63848+.548683*ii, .238383+.558776*ii, .0348783-.329938*ii, .646541-.512814*ii, .43773+.480066*ii, -1.31185+1.77718*ii, 5.33702e-23-5.1255e-24*ii, 8.4171e-23+8.4714e-24*ii
-2.70926+4.16009*ii, 9.65045e-25+1.83361e-24*ii, -.593854+.825861*ii, 2.72246-2.65731*ii, -9.34103+3.70468*ii, -2.97786-3.76204*ii, .673622+3.22832*ii, -4.47689+5.44822*ii, -.414461-2.40969*ii, -1.0437e-24-1.4595e-25*ii, 4.01844e-24-3.08542e-24*ii
