variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
dp*L+delP
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
-.0343998-.369211*ii, -.530511+.337067*ii, -.681324-.541377*ii, -.433151+.285561*ii, -.195755+.144933*ii, -.212479+.621324*ii, -2.8561e-17+7.06047e-17*ii, .0972145-.0783128*ii, 3.91529e-17-1.31589e-17*ii
-.79493+1.42741*ii, .130755-.500697*ii, .921631+.260419*ii, .342254+.416848*ii, .725931-.198066*ii, .632523-.394477*ii, -3.91032e-148-5.86548e-149*ii, -.50093-1.18602*ii, 6.25651e-148+5.47445e-148*ii
-1.08383+.45551*ii, .0226339-.347716*ii, -.768121+.316612*ii, -.84621+.709011*ii, .225131-1.03125*ii, .817445-.123735*ii, 4.55241e-32-1.12858e-31*ii, .0409327-.129229*ii, -5.09453e-33+2.54524e-32*ii
-1.5191-.090749*ii, 3.13699-2.20889*ii, 1.12592+.617622*ii, 2.51571-.798318*ii, .441461+.477865*ii, .106003-.317471*ii, -1.67947e-138-2.18331e-138*ii, 2.42515+.825897*ii, 1.17563e-138+2.35126e-138*ii
.82943+.572807*ii, -2.20536-.855756*ii, -.794556+1.09536*ii, -.252253-1.20824*ii, .692266-.194127*ii, -.044227+.699964*ii, 5.5569e-163, .792635-.881809*ii, -2.77845e-163+2.08384e-163*ii
2.44472-1.34745*ii, -4.09181-.658063*ii, -1.20775-3.86484*ii, -1.74629+.125089*ii, .79269-1.68443*ii, 6.47014-.285903*ii, 5.03594e-162, -.239507-.0403341*ii, 6.66828e-162+5.2572e-162*ii
-6.31016-4.30441*ii, -5.91501-1.156*ii, -4.81419-1.22385*ii, 2.33795-1.67168*ii, -1.4612-1.86069*ii, 5.3189-2.06795*ii, 3.19721e-117+2.37932e-117*ii, -5.9749-2.39363*ii, 8.32762e-117+1.11035e-116*ii
1.36186-.099931*ii, .753455+.813538*ii, .201276+.780781*ii, -.118244-1.25727*ii, 1.50414-.31281*ii, -.728837-.760693*ii, 8.80525e-133+8.80525e-133*ii, .0614945-.404915*ii, -8.80525e-134-2.20131e-133*ii
-.368252+.571686*ii, .0774111+.432907*ii, -.19112+.715845*ii, 2.40082+.30339*ii, -.375427-.123967*ii, .494108+.233264*ii, -2.93274e-149-1.31362e-149*ii, -1.35305+1.15162*ii, -1.46637e-149+3.42153e-149*ii
-1.58721-.045293*ii, -.376231+.956154*ii, -2.30183+.37005*ii, -.506072+1.04344*ii, .865631-.214058*ii, -1.24278-1.76816*ii, 2.57966e-136+6.87911e-136*ii, .689851-1.21966*ii, 1.37582e-135
-.089045-1.19456*ii, -.443051+.331086*ii, -.692784-1.67842*ii, -1.14339-1.13004*ii, .566541-.612005*ii, .877411+.332617*ii, -9.45457e-125-1.9914e-124*ii, -.073285-.671304*ii, 9.45457e-125
-.161122-.768432*ii, -.315266-.332846*ii, .987235-.354628*ii, -.547165-.058232*ii, .913875-1.83623*ii, .304514+.163379*ii, -5.71748e-112-1.8192e-111*ii, -.872418-.618645*ii, 1.45536e-111+1.3514e-111*ii
-.44641+.408788*ii, -2.72232+1.00228*ii, -.179226+1.25661*ii, -.207272-.194445*ii, .188174+1.6931*ii, -.15446+1.27439*ii, 4.27642e-49-3.84878e-49*ii, -.027927-1.12293*ii, -8.55285e-50-5.13171e-49*ii
1.56082+1.30131*ii, 2.69391+2.47897*ii, -.657885+.318643*ii, -1.84175+1.67303*ii, -.735502+1.25329*ii, .591489-1.02683*ii, -1.37582e-135+2.75164e-135*ii, -.014303-1.63279*ii, 1.23824e-134-1.37582e-135*ii
.319455+.0785564*ii, 1.12206-.845837*ii, -.524116-1.80243*ii, -1.5699-.423637*ii, -.516786+.805103*ii, .659712-2.80175*ii, 9.9138e-119-1.18966e-117*ii, -1.25184-.243895*ii, 1.68535e-117-1.18966e-117*ii
-.665505+1.46284*ii, -.075831-1.12627*ii, .1446+1.07851*ii, -.332791-.310134*ii, -.451706+.0666991*ii, -.810577-.243241*ii, 6.92473e-128-8.65592e-128*ii, .670466-.87701*ii, -5.77061e-128-3.46237e-128*ii
.978862+.132666*ii, .045634-.985728*ii, -.320348+.869721*ii, -1.20509-.645578*ii, -.146889+1.10461*ii, .442195+.937499*ii, -1.00538e-87-1.00538e-87*ii, -1.27803-.092953*ii, 7.54037e-88-2.01076e-87*ii
.053457+1.39487*ii, 1.38533-.868347*ii, 1.28065+.366573*ii, .77836+.541436*ii, -1.03841-.544018*ii, -.84907-.038040*ii, -1.22197e-149*ii, -.114535+.620442*ii, -2.44395e-150+1.45109e-149*ii
1.03127-.766317*ii, 2.98345+.297265*ii, 4.50719+.807715*ii, -3.29297+3.44559*ii, 3.81465-1.51276*ii, 4.33025-1.73715*ii, 1.80412e-141+1.14807e-141*ii, -1.53478-1.14843*ii, -5.90438e-141-5.24834e-141*ii
-.440087+.251895*ii, -.924701-.260474*ii, -.994465-.355845*ii, -.0403951+.0550072*ii, .520296+2.84784*ii, -.035842+1.58496*ii, 2.82493e-31-8.00691e-32*ii, -.044666+1.02597*ii, 2.94345e-31+8.77908e-32*ii
-1.02882-1.06262*ii, -.297785+.671985*ii, 3.3057-1.54613*ii, 2.95002+.95251*ii, 1.9677-.904085*ii, -.635765-1.00036*ii, 1.46954e-138+3.35894e-139*ii, .927957+1.23175*ii, -3.10702e-138+2.01536e-138*ii
3.64177-.906335*ii, -6.39672+.796379*ii, .100813+.182386*ii, -1.11216+3.11561*ii, -4.82721-.100145*ii, 3.83606-2.25392*ii, -4.40263e-133-6.60394e-133*ii, -1.24402+2.13647*ii, 8.80525e-133+1.76105e-133*ii
2.57373-1.31477*ii, -.621062+.043191*ii, .247312+2.80737*ii, -.863351+1.0409*ii, -.555032+.869592*ii, -.030477+.704126*ii, -1.69583e-167+2.73453e-166*ii, -.258078+2.42792*ii, 7.84322e-166
