variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
1.04*r^3*delP-1.03*r*Rad^2*delP+3.98*r*u*L*mu
points:
-.174215+.148346*ii, -.697626+1.26709*ii, .351846-.022956*ii, -7.71766e-17-5.43588e-17*ii, -.597+.350763*ii, .645807+.520581*ii, .805372-.099324*ii, -.094876-.757687*ii, -.721372-.301282*ii
-.547721-1.65195*ii, -.737974-1.66885*ii, -.455561-.840645*ii, 2.51346e-88-2.51346e-88*ii, .256796-.940589*ii, -.241606+.440117*ii, -.491077+.129954*ii, -.35679-.674878*ii, .177218-1.19196*ii
-.448618+1.1186*ii, -.225715+.612602*ii, 1.27209-.173099*ii, -5.22568e-200-3.17248e-200*ii, -1.76615+.299029*ii, -.177978-1.39513*ii, -.201555+1.18286*ii, -1.66476-1.82826*ii, 1.72737+2.47598*ii
-.400786+.0920894*ii, -1.07302-1.37707*ii, -.204638-1.84663*ii, 5.99323e-194-2.5685e-195*ii, -.238549-1.90838*ii, .761588+.337749*ii, -.494131+2.16736*ii, .871717+.060725*ii, 3.05294-.94329*ii
-1.41842-.186948*ii, -.335303-.118857*ii, -.504062-.141504*ii, -1.67222e-198+1.58861e-197*ii, -.800562+.896826*ii, .190891-1.00817*ii, -.374895+.747116*ii, -1.32809-1.1472*ii, -.33355+2.85439*ii
-.171544-.491143*ii, -.457023+.159707*ii, .802589+.452527*ii, -4.68849e-32-5.23776e-32*ii, .114757-.848803*ii, -.661305-.565245*ii, 1.40647+.402016*ii, -.124322-.285806*ii, -.452145+.162774*ii
-1.10508+.847917*ii, 1.07877+.645068*ii, .0813245-.173053*ii, 2.52496e-190+1.12221e-190*ii, .8883+.573211*ii, .117411+2.09331*ii, -.717416+.823389*ii, -.719991+.149021*ii, -.772494+.047993*ii
2.48163-1.47569*ii, 2.25985-1.37158*ii, -.547562-.397158*ii, -7.01379e-192+1.40276e-191*ii, -1.40139-.559206*ii, -.785057-.469795*ii, -1.46533+.005539*ii, .117774+2.33466*ii, .585539-.910023*ii
-.434644+.670437*ii, .8525-.801015*ii, .289429-.423637*ii, 8.56176e-196-1.71034e-196*ii, .512733-.303342*ii, .926728+.044017*ii, 1.45044-.006077*ii, -.265598+.12458*ii, -.0822827+.0257425*ii
.746596+.292989*ii, 1.59163-.049735*ii, -1.01965+.006767*ii, -2.05482e-194+6.8494e-194*ii, -.396481+.527659*ii, -.858465-.384633*ii, .744003-1.31982*ii, .965361+.267033*ii, -1.14301-.009325*ii
-1.26963+.487131*ii, .983911-.810999*ii, .46856-.0500691*ii, 6.19615e-119-1.98277e-118*ii, 1.16504-.030250*ii, 1.19583-.630067*ii, .237369+.368408*ii, .443686+.0971327*ii, .641259-.12535*ii
1.41539+2.65771*ii, -.679542+1.12288*ii, -1.07469+.35019*ii, -8.90423e-194+2.73976e-194*ii, .27322-.320486*ii, -.558747+.651848*ii, .224915+.891076*ii, -.312909+1.39549*ii, -.74297-.718921*ii
.376717-.002919*ii, .837171-.250618*ii, .925577+.844505*ii, 1.75345e-191, -.452894-.386415*ii, .547881+.227202*ii, -.149907-.864255*ii, .554468-.779954*ii, -.607546-1.60659*ii
-.278135+1.00936*ii, -2.03753+.382253*ii, -1.05979-.99423*ii, 3.4247e-194-2.05482e-194*ii, 1.05732-.232194*ii, 1.68287-1.48605*ii, -2.09049+.522009*ii, -1.40035+1.26469*ii, .321177-2.32944*ii
.847864+.242346*ii, -1.43624+.245698*ii, -.931933+1.79367*ii, -1.10543e-75-2.76357e-76*ii, -.0585624+.124637*ii, -.0527867-.299937*ii, .223884-.359749*ii, -.59495+.127289*ii, -.342056+.857146*ii
.603025+.417571*ii, -.248346-1.34022*ii, .909173-.325493*ii, -6.97624e-105-3.48812e-105*ii, .045944+.461294*ii, .42702-1.73595*ii, 1.30443+.891606*ii, .355141-1.02614*ii, 1.03697-.141607*ii
-.407829-.125337*ii, -.415954-.842962*ii, -.351632+1.20188*ii, -1.88509e-88+1.68305e-88*ii, -.155873-.0878885*ii, 1.35832-.582428*ii, 1.01123+.575783*ii, -.277296+.121601*ii, -.075382-1.09627*ii
-2.61036-2.74296*ii, .0099194+.457227*ii, .040575-2.85967*ii, 4.28088e-195+5.13705e-195*ii, 1.30703+.466158*ii, .071098+1.613*ii, 1.66421+1.48373*ii, .878915+.366728*ii, .765108-1.72967*ii
1.08323-.223737*ii, .886675+.325265*ii, 1.4286-.126881*ii, 2.47846e-118-1.23923e-118*ii, .285119-1.118*ii, -1.68288+.651814*ii, -1.04861-.404044*ii, .874796+.23321*ii, -.0507414-.0816442*ii
.631833-.47824*ii, -.624637+.880573*ii, 1.77947-.904419*ii, 4.68221e-196-3.00999e-196*ii, -2.43455-2.00686*ii, 2.60897-3.90941*ii, 1.14136-2.87033*ii, -.819163-.738171*ii, 1.44856-.218743*ii
.672304+.780567*ii, -.173112-.0152621*ii, -.027793-.570574*ii, 2.2324e-103, -.117553+1.57181*ii, -.946509-.012656*ii, -1.08642-.575976*ii, -.509222+.284271*ii, -.961294+.423822*ii
-.722746-.207801*ii, -.983329+1.20629*ii, 1.04287-.129251*ii, -3.76717e-194-1.02741e-194*ii, -.046223+.653657*ii, -.140129+.0051645*ii, .199781-.211373*ii, .107447-.0068524*ii, -.319442-.285686*ii
.394064+.414529*ii, -.672407-2.94554*ii, .313315+1.03219*ii, 7.83852e-200-4.57247e-200*ii, -1.70677+.131948*ii, .280284-.0089186*ii, -1.9959+1.47569*ii, -1.25518-2.53037*ii, -1.22985+.586618*ii
-.217931+.164839*ii, .715061-.712388*ii, .888982-.137729*ii, 0, 1.39127-.803668*ii, .343134+1.40491*ii, .646593+1.26461*ii, .120767-.436996*ii, -.573854-.852212*ii
.257128-.330493*ii, -.267697-.986344*ii, -1.14431-.131793*ii, -4.95692e-118+6.93968e-118*ii, -.073844-.674424*ii, .439736-.0542692*ii, .25468-1.19936*ii, -.653431-.462081*ii, -.689348+.247502*ii
