variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-sintheta^3*dtheta+1.33333
74.9962*P-313.672*qc^2*x0^2*w^4
points:
-2.25888-.53734*ii, 1.44928+3.36778*ii, -.863704-.317686*ii, -3.15943-.288244*ii, -.840241+1.49017*ii, -.99996+.759172*ii, 1.16479-1.45603*ii, -.503271+.261159*ii, -.5686+.203936*ii, 1.37175+.260267*ii
-2.08156+.511808*ii, -1.13431+1.04958*ii, .082666-1.16643*ii, -1.64615-.618241*ii, -.175669-.815158*ii, -.765038+.600579*ii, 1.44049+.336987*ii, -.783204+.086682*ii, -1.03987-.028683*ii, .084-.847632*ii
-2.87453-1.03259*ii, -.894516+2.11738*ii, -1.5932-.263046*ii, -2.5748-1.28002*ii, -.279276+.149281*ii, -.662164+1.30855*ii, 2.19816-.458839*ii, .053492-.688463*ii, -.871948-.679364*ii, .915494+.349031*ii
.527893+1.07874*ii, .431003-.923588*ii, -.627711+1.01343*ii, -.407422+.841676*ii, .783682-.072990*ii, 1.00397-.025561*ii, -.66545-.103504*ii, .812179-.401166*ii, -.065536+.510461*ii, -.908492-.188066*ii
.08024-2.41544*ii, -2.85609+1.01529*ii, .259469-1.01013*ii, -.448672-2.22676*ii, -.804892-.856581*ii, -1.3308-.759448*ii, 1.62584+1.63373*ii, -.120122-.743865*ii, .104294-.449721*ii, -.237157+1.44146*ii
-.83218-.853129*ii, 1.63214+.259183*ii, -.778311-.605314*ii, -1.38556+.194596*ii, .557317+1.27446*ii, -.936331+.63695*ii, .009205+.0159122*ii, .645286+.399062*ii, .338563-.0158939*ii, .50773+.004119*ii
1.64693+1.87581*ii, .949162+.55996*ii, 1.34995+2.98521*ii, -.620393+1.50228*ii, -.0362578+.0110856*ii, 1.8723-2.01521*ii, -1.89975-1.13253*ii, -.582688-1.05327*ii, -.315523+1.4575*ii, -.55705+.307905*ii
-4.03879-1.32556*ii, -1.24303+1.3106*ii, -2.88508-3.12051*ii, -2.56542-1.85701*ii, .0136387+.0107577*ii, -2.05392+3.11937*ii, 3.51049+.553062*ii, .748726+.667518*ii, -.790922-1.23535*ii, .536703-.581748*ii
-.922643+.927492*ii, -.997075-.463353*ii, -.789021+.723363*ii, -.881543+.033335*ii, .662427-.861967*ii, .822082+.479282*ii, .523926+.082341*ii, .394595-.836404*ii, -.734582-.023434*ii, -.602242-.401508*ii
.358651-1.71977*ii, -.178068-.877222*ii, -.808551-.933748*ii, -.16363-.651687*ii, .595617+.381937*ii, -.97887+.213845*ii, .28028+1.30058*ii, 1.20101+.019522*ii, .753818-.320578*ii, -.384412+.652254*ii
1.51314-1.55195*ii, -3.20647+.196887*ii, .17915-.930997*ii, .395006-1.86279*ii, -.844729-1.31699*ii, -.693604-1.08334*ii, 1.1581+1.85713*ii, .283548-.553394*ii, .295978+.0174263*ii, -1.38255+1.41856*ii
-.181856-.936223*ii, 1.19505+1.48704*ii, .850541-.642227*ii, -1.38743-.074869*ii, -.397703+1.02708*ii, -1.30986-.675717*ii, -.167313+.0685574*ii, -.562648+.429645*ii, .243577+.471423*ii, .664207+.335149*ii
-1.09594+2.19474*ii, 2.57015+.99312*ii, -.146189+1.07541*ii, -2.09254+1.76641*ii, .411285+.958505*ii, .747224+.320252*ii, -.854686-1.68492*ii, -.338258+.258626*ii, -.708834+.999239*ii, .328089-1.08662*ii
.678455+2.49673*ii, 2.65592+.747115*ii, -.01779+1.10311*ii, -1.37291+2.0381*ii, .048014+.991757*ii, 1.04381-.334633*ii, -1.46944-1.57465*ii, -.030196+.57845*ii, -.241647+1.57735*ii, -.555744-.683742*ii
.676818+1.24303*ii, -.508231+2.40781*ii, -.959384+.014246*ii, -1.52889-.125362*ii, -1.50795-.067213*ii, .496063-.160306*ii, .823734-1.02053*ii, -.007973+.262548*ii, -.510374+1.15907*ii, -1.17079+.55907*ii
-1.46713-.528158*ii, 2.06839-.951972*ii, -.605492-.654643*ii, -1.18567+.652376*ii, 1.47568+1.16538*ii, -.921453+1.01093*ii, -.360912+.336465*ii, .730523+.417166*ii, .266674-.268766*ii, .694852-.771723*ii
.30416-.945684*ii, .299882+2.04154*ii, .67632-.77744*ii, -1.30749-.529426*ii, -1.02127+.664823*ii, -1.21834-.866508*ii, .291276+.0943876*ii, -.585547+.385054*ii, .180793+.609934*ii, .209387+.750362*ii
-2.30089-.940897*ii, -1.76678-1.7655*ii, -.267041-.837712*ii, -.489215-.947114*ii, 1.56748-1.17934*ii, -.781225+.959741*ii, 1.16105+1.81303*ii, .346682-.818015*ii, -.497572-1.16962*ii, .197957-.772103*ii
-2.56625+1.28133*ii, -.122388+1.47711*ii, -1.19488+1.19119*ii, -2.47797+.162345*ii, .195388-.197207*ii, .864069+1.04625*ii, 1.07457-1.32935*ii, -.201156-.896694*ii, -1.38461+.002696*ii, .442361-.553834*ii
-2.7467-3.67083*ii, -2.0251+.554171*ii, -1.65796-3.85913*ii, -1.38584-2.8408*ii, .0168815-.00622858*ii, -3.29024+1.93256*ii, 3.21552+2.23257*ii, .761508+.527738*ii, .197722-1.63118*ii, .669507+.432729*ii
.376885-.25883*ii, .11928+.204926*ii, -1.32285-.684703*ii, -.778245-.181917*ii, -.0554646+.399609*ii, -.308354+.470025*ii, .450907+.218424*ii, 1.01841+.347938*ii, .279896+.293765*ii, -.799067+.392537*ii
1.79066+.332619*ii, .312852-2.44218*ii, 1.01725+.097175*ii, .951454+.820962*ii, 1.19885-.352163*ii, .129394-1.06792*ii, -1.57766+1.45618*ii, .576978-.005909*ii, .647819+.550895*ii, -1.17026-.30108*ii
-.278516-.280381*ii, -.147052-.155548*ii, -.626018+1.14689*ii, -.861827-.017859*ii, .596169+.042918*ii, .51031-.049829*ii, .00327235-.00100513*ii, .607012-.979661*ii, -.111439-.0505731*ii, -.0985177+.439478*ii
