variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-S*dA+P
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
-2.21641+.692952*ii, -.255481-.0672283*ii, 1.79187-3.08775*ii, 1.03113+.263641*ii, .715743+.100687*ii, -.921757+1.53334*ii, -2.46809+.130186*ii, .574326+1.9701*ii, .191566-1.95055*ii, .332325-.283163*ii
-4.05292-1.00396*ii, 1.08147-.096251*ii, 1.58526+.1335*ii, .635604+.442492*ii, 1.77731+1.23519*ii, -1.18072+.893071*ii, -2.13181-2.43151*ii, -.280932+.497261*ii, .239432-.337052*ii, 1.74995+.807205*ii
.0372129+.034525*ii, -.0108927+.106105*ii, -.501937-.461145*ii, -.201981-.480534*ii, .145502-.180546*ii, -.0831132+.273832*ii, .00907415-.0248554*ii, .34386+.397897*ii, -.713938-.298851*ii, -.263054+.354543*ii
-.019182+.566831*ii, .094456-.348143*ii, -1.56196+1.96166*ii, -.751064-1.09038*ii, .972037-.565136*ii, .744372-.144635*ii, .632469-.404811*ii, -.432709-.706385*ii, -.94553+1.29831*ii, .10215+.554249*ii
.999791-.504182*ii, 1.0304-1.7542*ii, .351412-1.68816*ii, -.566169-.08129*ii, -.74925-.158106*ii, -1.8949+.480096*ii, -.607036+.20418*ii, -.10433+.0866927*ii, -1.32049-.752329*ii, -.966461-.97933*ii
.954766+.038907*ii, .215879+.0318792*ii, 1.41568-1.0933*ii, -.497555-.0192619*ii, -.699934-.736078*ii, -.97716-.310739*ii, -.474299-.0377488*ii, .116302+1.08379*ii, .062011-1.05811*ii, -.364385-.397978*ii
.970865-.549549*ii, 1.38247-1.66275*ii, .196964-1.78851*ii, -.529514-.144176*ii, -.748514-.061171*ii, -1.97871+.399381*ii, -.593318+.151018*ii, .0852868-.0910805*ii, -1.51786-.885075*ii, -.852455-1.00687*ii
.363753-.258246*ii, -.153699-.0436795*ii, .173823-.924875*ii, -.265482-.173685*ii, -.287492-.207067*ii, -.516529+.284523*ii, -.141423+.0053812*ii, .23675+.776599*ii, -.452133-.590586*ii, -.523165+.173522*ii
.372733+1.09458*ii, .667116+2.42677*ii, .818373+3.07381*ii, -1.00733-.970482*ii, .665201-1.5008*ii, 1.16697-2.37405*ii, .686808-1.46433*ii, .0511357+.166579*ii, .984247+.362375*ii, 1.63833+.842287*ii
-.19155+.321799*ii, .25723+.156221*ii, -1.7582-.201124*ii, -.091627-.933457*ii, .573977-.038436*ii, .398911+.403803*ii, .317937+.149318*ii, .64327-.217642*ii, -1.39265-.007838*ii, -.147495+.532777*ii
.433073+1.09167*ii, 1.27925+2.27669*ii, .950165+3.34327*ii, -1.15532-1.02581*ii, .680914-1.5454*ii, .900237-2.6669*ii, .619511-1.70548*ii, -.0176261-.176997*ii, .864964+.389025*ii, 1.87432+.617199*ii
.204071+.728019*ii, -.304355+.154919*ii, .452215+2.51134*ii, -1.02581-.660419*ii, .704015-1.19223*ii, .599233-.866581*ii, .271459-.881581*ii, -.956571+.159494*ii, .47735+1.12706*ii, .459494+.42832*ii
-1.63353+.595356*ii, .195516+.122561*ii, .44704-4.29766*ii, 1.25305-.052677*ii, .332258+.413592*ii, -.92688+1.75488*ii, -2.01553+.832059*ii, 1.51334+1.60603*ii, -.887018-2.53381*ii, -.115305-.329035*ii
.541131+.735175*ii, .247412-.150603*ii, 1.96971+1.86399*ii, -1.14847-.295321*ii, .227175-1.47131*ii, -.334334-1.1841*ii, -.404359-1.00413*ii, -1.12592+.516383*ii, .90144+.459907*ii, .555475-.310188*ii
.841858+.595838*ii, -.202838+.0389105*ii, 2.56188+.195365*ii, -.824634+.055037*ii, -.382984-1.4038*ii, -.702182-.799133*ii, -.727018-.445016*ii, -.690089+1.37839*ii, 1.08197-.507882*ii, .0614709-.490505*ii
-2.29231+.303676*ii, .335578-3.24285*ii, -1.57177-3.53521*ii, .992613-.338538*ii, 1.1976+1.02465*ii, -1.43917+3.3738*ii, -2.17257+1.07747*ii, .155651-.0538912*ii, -2.62552-.629967*ii, -.9831-.860876*ii
-3.39283-1.76592*ii, .343791-1.14199*ii, -.467406+.0353066*ii, .479978+.272764*ii, 1.5111+1.76659*ii, -.981399+1.80207*ii, -1.1468-1.77305*ii, -.411288-.0859108*ii, -.93179+.512293*ii, .476311+1.16588*ii
-1.49687-.498835*ii, .170594+.219009*ii, -.107741-1.99452*ii, .616511-.035759*ii, .420156+.725426*ii, -.639553+1.15214*ii, -.940674-.25401*ii, .859842+.874124*ii, -.777152-1.18391*ii, .021288+.526087*ii
-3.15134-1.18522*ii, -.531024-.041886*ii, .483886+.256881*ii, .484923+.34968*ii, 1.40921+1.1405*ii, -.330504+1.31639*ii, -1.11371-1.6767*ii, -.369077+.841045*ii, .172931+.255287*ii, .677534+1.40856*ii
-3.68393-1.84263*ii, .798363+.879778*ii, .906439+.56442*ii, .546514+.463028*ii, 1.43548+1.61346*ii, -.761592+.56522*ii, -1.16013-2.71278*ii, .123609+.483013*ii, .223053-.217655*ii, 1.61179+1.67127*ii
-2.66372-2.06296*ii, 1.04982-.590159*ii, -.663362-.789448*ii, .488459+.225014*ii, .88673+1.88544*ii, -1.31088+1.40502*ii, -.836924-1.60704*ii, .335744-.189277*ii, -1.34085-.253858*ii, .382671+1.04958*ii
-5.05984-2.26251*ii, 2.48523+1.03924*ii, 1.54885+1.51212*ii, .596767+.55261*ii, 2.11091+2.11541*ii, -1.38536+.011464*ii, -1.76926-4.14631*ii, .0507097-.267026*ii, .263099-.19428*ii, 2.96845+1.68413*ii
-1.42342+.422689*ii, -.2222-.13293*ii, -.653517-3.31827*ii, 1.00281-.302361*ii, .514838+.483577*ii, -.396439+1.85458*ii, -1.29961+.854264*ii, 1.22547+1.12103*ii, -1.23021-1.62698*ii, -.415906+.0809058*ii
