variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
dp*L+delP
1.04*r^3*delP-1.03*r*Rad^2*delP+3.98*r*u*L*mu
points:
.423562-4.06864*ii, -1.09611-1.15064*ii, .211137+1.673*ii, 2.2376-2.62179*ii, .526359+.063028*ii, 1.65402-1.226*ii, -1.09681e-16+2.2767e-16*ii, -.788911-.626264*ii, -7.58899e-17-3.65602e-17*ii
.662262+1.86834*ii, .648932+1.31779*ii, .718922-.610418*ii, .117397-.237717*ii, .51781+.387279*ii, -.023915-.532368*ii, -1.12221e-190-2.13219e-189*ii, -.139281-1.39564*ii, 7.85544e-190+8.16205e-190*ii
.422353+.597194*ii, -1.4476+.331416*ii, -.685831-1.38624*ii, -.514138-.711271*ii, -.34156+.275954*ii, .272147-1.23246*ii, 2.19181e-193, .020683+.848458*ii, 2.19181e-193*ii
-3.79099-.901518*ii, 1.46758-.436853*ii, .891359+3.54389*ii, .300907+3.21564*ii, 2.14008-.537589*ii, -2.98136-.865968*ii, 3.50689e-192+1.35892e-191*ii, .637308+.747127*ii, -2.45483e-191-7.01379e-192*ii
2.36706+.48289*ii, -.501543+.153651*ii, -1.31772-.590946*ii, -.0898348+.466628*ii, .188365+1.16276*ii, -1.0441+.09956*ii, -7.30542e-194-6.57543e-193*ii, -.198226-.125284*ii, 2.19181e-193-8.49326e-193*ii
-.883921-.201349*ii, 2.22361+.112479*ii, .519648+1.12027*ii, .533027-1.21479*ii, .306837-1.61161*ii, .285112+.322603*ii, 6.11894e-183-2.58878e-183*ii, 1.31869+.733636*ii, -6.17777e-183-5.64825e-183*ii
.843849+.168018*ii, .63049+.000651*ii, 1.26592-.582484*ii, -.760863+.668618*ii, .033433-.54497*ii, -.528128+.791281*ii, 1.12221e-190+1.12221e-190*ii, .013017+.653195*ii, -1.68331e-190+1.12221e-190*ii
-.800284-.865333*ii, -.224457+.123188*ii, -1.98689-.12919*ii, .530135-.641907*ii, -.376207+.374667*ii, -1.22102+1.21407*ii, 2.29828e-187, -.597852-.777777*ii, 6.32027e-187-2.29828e-187*ii
.069945-1.34851*ii, -1.76322-.46988*ii, -1.54855+.661496*ii, .547713-.700616*ii, .000355-.881353*ii, .343809+.11098*ii, 2.26699e-77-1.29543e-77*ii, -.476191-.370314*ii, 2.59085e-77-3.45447e-77*ii
-.16397+.115313*ii, .47735+.131118*ii, -.745615+1.06151*ii, .0310858-.290695*ii, -.267694-.258447*ii, -1.76107+.389334*ii, 5.67274e-123*ii, .726468-.141861*ii, 1.36146e-122+9.07639e-123*ii
-2.57412-.199609*ii, -.86174+1.49576*ii, .067054+1.46193*ii, -2.38579-.804362*ii, .385083+2.08724*ii, 1.3387+.013558*ii, 2.00976e-106+1.63506e-106*ii, .218846+1.52109*ii, 1.90757e-106-2.35039e-106*ii
-1.89833-.045571*ii, 1.4677-.828596*ii, .231526+1.58992*ii, -1.20827-1.17384*ii, -1.42359-.440873*ii, -.974777+.787959*ii, -2.87642e-93-4.79404e-93*ii, 1.19643+.122996*ii, -5.81231e-93+5.27344e-93*ii
-1.9589+.864094*ii, -1.45102+1.52274*ii, -.830247-.02159*ii, 1.20962+3.637*ii, 1.93557-3.17655*ii, .231148+1.33605*ii, 3.38852e-121-4.23565e-122*ii, -1.5287-4.68376*ii, 2.17833e-121+2.42037e-121*ii
-.672014+1.68754*ii, 1.24597-1.50127*ii, 2.08865+1.21858*ii, .109889+1.50207*ii, -.609991+.148138*ii, .744079+1.13863*ii, -2.74941e-189-2.52496e-190*ii, -1.2824+1.19676*ii, 5.16215e-189+4.15216e-189*ii
5.86045+3.22385*ii, 1.28757+2.06882*ii, .454854+2.73737*ii, .910874+3.06215*ii, -1.34599+.708226*ii, -.864926+1.43114*ii, -2.15464e-187-1.72371e-187*ii, .32916-3.44892*ii, 2.87285e-188+3.87835e-187*ii
-1.30355-.270985*ii, 2.23236-.528358*ii, 2.30484-1.94422*ii, .657737+.59766*ii, -1.0934+.440874*ii, .690126+.861434*ii, 3.50689e-192-2.10414e-191*ii, -.891775-.032287*ii, 5.26034e-191+2.80552e-191*ii
.391264+.0760036*ii, -1.93634+.95137*ii, .193566-.776281*ii, -.355826-.655258*ii, -.166203-.436056*ii, 1.4105-.664355*ii, -7.01379e-192, 1.06577+.335787*ii, -7.01379e-192-7.01379e-192*ii
1.60479-.154603*ii, -.437455-1.04901*ii, 1.86811-1.01387*ii, -.004985+.828076*ii, 1.59768-.766021*ii, .211237+.439537*ii, -6.16446e-194+8.21929e-194*ii, .475888+.68112*ii, 7.50335e-194-1.91783e-193*ii
-5.97569+7.54429*ii, 1.02591-18.7855*ii, -7.72706+15.9754*ii, -4.94006+12.332*ii, 1.66512-.193405*ii, 2.48825-4.88056*ii, 3.57311e-187+5.31477e-187*ii, 3.4215-2.50787*ii, 7.00975e-186-2.18336e-186*ii
.172111-.436409*ii, -1.01344-.55278*ii, .168352-.266953*ii, .589342-.212818*ii, 1.05329+.907494*ii, .348028+.434453*ii, 7.85544e-190, .0807798-.235486*ii, -1.67454e-190
1.00268-.304072*ii, .75773-.279552*ii, -.0119499-.183406*ii, .456202+.463666*ii, .6539+1.92683*ii, -.632459+.881604*ii, -1.0959e-193-1.64386e-193*ii, .34394+.545026*ii, -5.47952e-194*ii
-.069138-.959718*ii, 1.33853-1.62428*ii, 2.99779-.30517*ii, -.955739-.812393*ii, .512269-.925253*ii, .310247-.799205*ii, 1.26248e-190+1.10467e-190*ii, 1.11226+.762419*ii, -3.36662e-190-2.86078e-190*ii
.436817+.82901*ii, .0393445+.304948*ii, 1.00551-.724592*ii, .283671-1.18317*ii, -.535944-.24702*ii, -.446272+.126802*ii, -4.43353e-33-5.80516e-33*ii, -.44796-.148658*ii, -8.92229e-36+5.27224e-35*ii
3.26079-.092581*ii, .26553-1.47908*ii, -2.35197+6.50194*ii, 1.803+2.77855*ii, 1.04444-.063884*ii, 3.1219-1.27764*ii, 9.5467e-153-1.0382e-151*ii, 6.40653-1.38057*ii, -4.8688e-151-3.05494e-151*ii
