variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
c0+c2*Rad^2
1.04*r^3*delP-1.03*r*Rad^2*delP+3.98*r*u*L*mu
points:
-.0993999-.186867*ii, -1.07284+.64818*ii, .736276+.156314*ii, -4.1461e-18+2.27559e-16*ii, -.298397+.282528*ii, .257105+.428688*ii, .159389-.681194*ii, .044377+.742081*ii, -.295612+.707937*ii
-.00029-.418341*ii, -.677162-1.32915*ii, .813148+.281109*ii, -1.02851e-16+2.73278e-17*ii, .123436-.514984*ii, .0897138+.0475584*ii, .384574+.163465*ii, -1.19643+.320198*ii, -.80737+.093601*ii
.102319-.177875*ii, .522924+.386556*ii, .664333+.24926*ii, -8.53959e-17+1.50768e-17*ii, .419302+.373823*ii, .495856+.195395*ii, -.410916-.273583*ii, .0104817-.308327*ii, .0208808+.150316*ii
-2.15284+.509394*ii, 1.30497-1.27249*ii, 2.53831+2.56552*ii, -4.2022e-268-1.36666e-267*ii, 1.06172+.294102*ii, -1.02552+.277896*ii, -3.02326+.756339*ii, -.994224-1.79335*ii, -2.4763-1.95701*ii
.891854-.120108*ii, .200764-.421451*ii, 2.58929+.426549*ii, -9.25409e-179+3.0847e-179*ii, .660989-1.22098*ii, -.034167-.698739*ii, .438151-.175266*ii, .449286+.586032*ii, .29682-.391747*ii
-1.61523-2.78816*ii, 4.07132+2.15816*ii, -5.04359+.846166*ii, -3.55946e-184+1.66045e-183*ii, .803858+.230411*ii, 2.63525+4.72994*ii, -.059223+.754494*ii, -5.00419+1.30962*ii, 6.69495+.963558*ii
1.45591+.845792*ii, -.795825-.213791*ii, .562166-.382986*ii, -2.08537e-141+2.04052e-141*ii, 1.41702+.188025*ii, -.044721+.243767*ii, -.0858864-.0101128*ii, -.974268+.405491*ii, .6179-1.09156*ii
-.716092-1.64918*ii, -1.46356-1.11813*ii, 2.25087-.702063*ii, -1.22702e-29+8.47841e-30*ii, .248631-.956224*ii, -.0194751-.28928*ii, .836499+.209052*ii, -.825283+1.49941*ii, -1.29898-.270682*ii
2.06337-.58031*ii, .287658-.631308*ii, -1.86942-2.40717*ii, 5.73741e-265+4.65195e-265*ii, .739996-1.59436*ii, .230974+4.60714*ii, 2.90725+.192821*ii, .0173188+.228075*ii, -2.67298-1.66134*ii
2.19481-1.92422*ii, 1.1092+.520045*ii, 1.38613+.425901*ii, 1.77311e-308+1.1473e-308*ii, -.844768-1.2919*ii, 2.60199-.595028*ii, -1.87669+2.80062*ii, .890552+3.13953*ii, 1.34878+1.67159*ii
-.994164-.760735*ii, -1.08804-.845791*ii, -1.16572+2.09594*ii, 6.88931e-168+1.37786e-167*ii, .003632+.953076*ii, -1.557-1.14688*ii, -.0636217+.455345*ii, .0849009-.199868*ii, -.179114-.224171*ii
1.80719-2.15727*ii, .004934+3.90293*ii, 1.47544+.484077*ii, -8.63617e-78-1.72723e-77*ii, .79787+.290606*ii, .247029-.954615*ii, 1.20228+.533789*ii, 1.95149-1.59146*ii, -1.8569+.359598*ii
-.306308-1.3598*ii, -1.26506+.358312*ii, -.062046+2.95805*ii, -1.56293e-132-4.4026e-134*ii, -.747599+.707964*ii, -2.28179+1.3171*ii, -2.8956-.55999*ii, -.204623-1.32139*ii, -1.449+2.8159*ii
1.12748+2.81404*ii, -.860337-2.09715*ii, 1.00837+.434996*ii, -3.32653e-111+9.97959e-111*ii, 1.15644+.004757*ii, -2.1425+4.03113*ii, .355974-.157433*ii, -.643509-2.31925*ii, 1.623-.677725*ii
.849403-1.34999*ii, -5.82011-1.96902*ii, -4.99626-.314535*ii, -9.86471e-173+9.52357e-173*ii, -.400083+.315477*ii, -4.3777+.683372*ii, 4.64819-.362268*ii, -4.86423-3.19558*ii, .602365-.626563*ii
1.22089-.322502*ii, -.109406-1.0734*ii, -.61132+1.0468*ii, 2.5026e-147-4.37956e-147*ii, .702756-.822489*ii, -2.16067+.339691*ii, -.386476-.504747*ii, -1.0246-.91879*ii, -.825662-.018716*ii
-6.14218+3.05687*ii, .0869181+.246478*ii, 6.06132+.556763*ii, 1.62375e-148-1.42188e-148*ii, -3.39384+3.83834*ii, -6.24558+.382207*ii, -3.79383-2.20438*ii, 7.02543+2.18813*ii, 2.33045+.576692*ii
-1.69395-2.82971*ii, .0498098-.405971*ii, -3.38789+.228684*ii, 1.65905e-128+5.19355e-128*ii, -.922155-2.68568*ii, .798408+5.0953*ii, 1.8179+.089433*ii, 3.41544+2.65206*ii, -.431032-1.29609*ii
-4.81865-2.98229*ii, 1.98077-1.86271*ii, -1.99524+1.9513*ii, -1.60405e-211-3.2675e-211*ii, -1.14538-.878785*ii, -1.55345-2.26723*ii, .392014-.986823*ii, 4.90596-.558181*ii, 3.45253+.077264*ii
2.81905+1.4165*ii, -.617149-1.96091*ii, .555996-.16322*ii, -1.88706e-234+3.10578e-234*ii, 1.14097-.48257*ii, -1.83663-.831805*ii, 2.08857-2.22486*ii, 2.51238+3.58565*ii, -.677099-.080479*ii
-.771443-1.71293*ii, -.366955-.119986*ii, -1.05748+.096417*ii, 2.95763e-272-1.33093e-271*ii, .891031-2.01794*ii, -.177697+.709631*ii, -1.90332-.317847*ii, .336998+.960737*ii, .6189-4.06699*ii
.257376-1.24281*ii, -.385669+.362664*ii, -.084749-1.5057*ii, 4.6843e-196+5.24867e-196*ii, -1.47644+.46638*ii, -.730172-.472403*ii, .850317+.354505*ii, -.222346-.0291934*ii, -1.41233-.093486*ii
.081569+1.54839*ii, -3.81033-.001554*ii, -1.82215+1.42465*ii, -2.35152e-238-5.75884e-239*ii, -.462873-.438952*ii, 1.74886-2.17023*ii, 2.16926-.584446*ii, 1.76505-.406372*ii, 3.74871+.82896*ii
-.617978+.32827*ii, -.326571-.317272*ii, 2.20421-1.35078*ii, 0, -.72999-1.00199*ii, .917946+1.26482*ii, 1.95096-1.14319*ii, 2.02119+.434178*ii, -.739414+1.49776*ii
