variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
dp*L+delP
-c0-c2*r^2+u
1.04*r^3*delP-1.03*r*Rad^2*delP+3.98*r*u*L*mu
points:
-.431592-1.7183*ii, .556068+.846823*ii, -2.98073e-59-6.25495e-59*ii, 1.08728+.256606*ii, -.091377-.733129*ii, -.283369-.462674*ii, -1.74739-1.58733*ii, 9.96819e-18+3.90667e-17*ii, 4.23648e-17+1.66033e-16*ii
.813138-1.56193*ii, -1.04509+1.28598*ii, 1.59303e-62+5.63934e-63*ii, -1.17874-.189046*ii, -.220408-1.8671*ii, -1.1747-.286896*ii, .996696-1.51051*ii, -1.25351e-16-4.5284e-18*ii, -1.22634e-16-7.9739e-17*ii
-.335265-.926312*ii, .0372157-.0727812*ii, 2.55729e-63-6.1549e-65*ii, 1.01122-1.21013*ii, .588091-.988338*ii, -.529834-.985236*ii, -1.36978+.117158*ii, -6.62396e-17-1.68841e-16*ii, -1.3297e-16-6.08337e-17*ii
-.381541-2.16552*ii, 2.76179-.230785*ii, 1.68675e-80-1.47591e-80*ii, .598448+.846672*ii, 1.90571+2.98208*ii, -1.13836+.716005*ii, -.16812-2.17396*ii, 3.42621e-81-2.37199e-81*ii, 3.16266e-80+2.53013e-80*ii
6.91091-4.11338*ii, .744379+2.46944*ii, 1.62097e-224*ii, -2.07582-.164723*ii, -13.5223-2.99899*ii, 8.40948+6.96951*ii, 3.78777-.783733*ii, 2.16129e-224+2.70161e-224*ii, -4.32258e-224
-.153932+1.3388*ii, .231585+1.75275*ii, 1.63193e-308-1.58965e-308*ii, -.898525+2.06857*ii, -5.06424+5.69108*ii, 5.55765-5.60702*ii, -3.61732+1.36034*ii, -2.83651e-309-3.68378e-309*ii, 2.44943e-308-6.60256e-308*ii
.811843-1.74982*ii, .15431-.174331*ii, 5.45019e-107+1.36255e-107*ii, -.1435+3.76152*ii, -.295438-1.13006*ii, -1.55651+.546616*ii, -.335661+.388545*ii, -4.08764e-107+1.63506e-106*ii, -4.08764e-107-1.27739e-106*ii
-.48289+.224072*ii, -1.56988-3.99081*ii, -3.12587e-132-1.33179e-132*ii, .864629+.208255*ii, -3.25591+.48024*ii, -.15122-3.15167*ii, .013852-3.32918*ii, 1.87112e-133-2.14628e-133*ii, 3.30197e-132-5.63536e-132*ii
1.04383+2.79315*ii, -.317211-.972674*ii, 1.91961e-239+1.06778e-238*ii, .969002+.760797*ii, -4.29705+1.01083*ii, 2.36372+1.97514*ii, -2.29118+1.7855*ii, -1.91961e-239*ii, 1.72765e-238+1.34373e-238*ii
-.684826+1.19189*ii, -1.21072+.604855*ii, -1.718e-83+4.50411e-84*ii, -.400358-.559937*ii, -.415608+.248692*ii, -.77048+.556378*ii, 1.73406+.059178*ii, 2.47726e-84+7.39961e-85*ii, 2.88263e-83-1.23541e-83*ii
-.527764-2.15968*ii, 1.75326-1.85438*ii, 8.18277e-76-7.27057e-76*ii, .611471+.137165*ii, -.632288+1.38124*ii, .405849-2.52404*ii, -1.5535-.698542*ii, 3.51182e-77+2.25687e-77*ii, 2.51313e-75-6.0777e-76*ii
-5.27145-1.11558*ii, 1.92488-.522995*ii, 1.23923e-119+2.47846e-119*ii, -2.09743-.842189*ii, 3.23951+6.47894*ii, 3.6789+3.75493*ii, .077412+1.38642*ii, 9.29422e-120+3.09807e-120*ii, 6.19615e-119-4.95692e-119*ii
-1.63573-1.40948*ii, -1.03741+.752725*ii, -3.0847e-178+1.85082e-178*ii, -2.00224+.66744*ii, -1.10906+5.38166*ii, -3.32066+4.04557*ii, -2.93197+1.17252*ii, 1.23388e-178+3.23893e-178*ii, -4.93552e-178+2.46776e-178*ii
.29895-.210826*ii, -.0217909+.0179918*ii, 7.45238e-170+3.47778e-169*ii, -.971274-4.18919*ii, -.398055+1.62044*ii, .514396-.686924*ii, 2.2447+1.92906*ii, -8.11481e-169-1.58984e-168*ii, 5.7963e-169-8.61164e-169*ii
-6.75787-3.15059*ii, .0528189+.00072335*ii, -6.51555e-218-1.07648e-217*ii, -13.097-2.55155*ii, 3.04417+4.15228*ii, 1.91007+.498956*ii, -5.87383-.378047*ii, -3.62604e-217-6.34558e-217*ii, -8.04529e-217+1.81302e-217*ii
1.64371-2.03011*ii, 2.62119+1.10451*ii, 1.64011e-141-4.10027e-142*ii, 1.25968+.491035*ii, 3.94212+.530169*ii, 3.80462+2.69888*ii, .625825-2.03228*ii, 3.28021e-142, -3.28021e-142+1.31209e-141*ii
3.09651-4.50661*ii, 2.2759-3.72171*ii, 5.44641e-160+2.18456e-159*ii, -1.07163+.620722*ii, -1.06727-2.11401*ii, -.118-10.3744*ii, -2.04865-2.33258*ii, -9.56134e-161+1.09315e-160*ii, -3.34692e-159+5.01232e-159*ii
-1.71219+1.77344*ii, .007360+1.62308*ii, 9.3513e-298-2.65234e-298*ii, -.258729+1.25282*ii, 1.04476-1.47768*ii, -.67104-.670213*ii, 1.12356-1.96218*ii, -2.28183e-299-1.62808e-298*ii, -5.48759e-298+1.48389e-297*ii
-1.8974+1.77843*ii, -2.09648-1.23972*ii, 4.66098e-140-6.30288e-140*ii, -.63689-.97174*ii, -.873809-.018161*ii, .766372-.14879*ii, -.083671-2.06107*ii, -1.35693e-141+9.41323e-141*ii, 1.10917e-139+1.00795e-139*ii
1.79043+13.634*ii, 1.16807-5.43317*ii, 0, 1.91228-.773616*ii, 3.821-8.84615*ii, -10.7126-6.43839*ii, 10.907+1.45059*ii, 0, 0
-.2813+2.15443*ii, .596562-1.19243*ii, -5.03182e-89+7.85455e-90*ii, -.411999+1.568*ii, -1.28332+1.35331*ii, -3.18742+4.113*ii, 3.41873+.499822*ii, -7.85455e-90-5.03182e-90*ii, 1.74764e-88
.74573+2.53767*ii, .073256+2.1319*ii, 2.88659e-140+4.05106e-140*ii, .027663+1.25243*ii, -1.6499-1.61928*ii, .483157-.799663*ii, -.256731+.584125*ii, 6.35541e-141-6.5604e-142*ii, 1.01277e-140-4.83831e-141*ii
