variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
T*omega-2*Pii
-T*j+Tj
1.0028*g*Tj^2-3.9921*L*j^2*Pii^2
points:
7.3199-15.5965*ii, .419929-.138188*ii, -.223678-.494079*ii, -2.82213+.238275*ii, -1.82542-5.34712*ii, 3.15509-6.74544*ii, 2.19379+2.11787*ii, .49164-10.4046*ii, 9.18915+.41886*ii, -.0811022-.088284*ii, 3.91667-1.09394*ii
-6.33609-1.25676*ii, 2.56871+.161361*ii, .392509-.439988*ii, 2.41402-2.9769*ii, -2.4074+2.61848*ii, -.426646-1.53036*ii, .945517+1.55046*ii, -4.76277+2.20553*ii, -.811067-1.29435*ii, .539619-.533432*ii, -1.87454-3.45569*ii
7.72257-18.7187*ii, .511326-.199868*ii, .157599+.446058*ii, -1.25695+1.52765*ii, -3.43048-6.91495*ii, 3.89543-6.77663*ii, 1.72774+1.97392*ii, -.4679-11.7679*ii, 10.7036-.25749*ii, .0848685+.0982909*ii, 5.42157-2.27096*ii
2.04229+1.43937*ii, .663345+.262798*ii, -1.03506-.350073*ii, -1.75871-.73803*ii, 2.3356-.040265*ii, .324285+.0563166*ii, .863536+.631164*ii, .899981-.018999*ii, .072195+1.80273*ii, -.297302-.252116*ii, -.425865+1.2148*ii
-.0955029+.0396094*ii, -.656679-.766865*ii, -.017803-.586125*ii, -.533059-.045875*ii, .878772+.173446*ii, -.268921-.0166427*ii, -.09604+.0640292*ii, .291474-.169721*ii, .67912-.56261*ii, -.218894+.199274*ii, -.87741-.151339*ii
-.704589+.113836*ii, -.546883-1.48875*ii, .715209+.045948*ii, .396048-2.24394*ii, -.155675+1.20211*ii, .96897-.258575*ii, .167787+.564397*ii, .466808+1.05301*ii, .931439-.792724*ii, -.161365-.544949*ii, -1.68956-.953157*ii
.602109+.183091*ii, -1.1026+.824411*ii, -.351069+3.20342*ii, -.6404-1.21288*ii, .458343+.171333*ii, 2.21282+1.19189*ii, 1.28362-.080367*ii, -.119561+.0344893*ii, .225102-.884245*ii, -1.12692-1.91075*ii, .480785+1.16054*ii
.0761674+.205866*ii, -.051894+.509975*ii, -.484561+.486205*ii, .46724+.260093*ii, .575241-.309079*ii, .442742+.873215*ii, -.0464652+.332912*ii, -.709569-.101488*ii, -.088232-.1111*ii, -.111403-.136172*ii, .0612367-.0392308*ii
.922687+.717005*ii, -1.12987+.059919*ii, -1.87185+.992362*ii, 2.3283+.198703*ii, .112188-.94988*ii, .934385+2.91783*ii, -.631305+1.04593*ii, -.273098+.0144313*ii, .253562-.250044*ii, 1.02774-.616701*ii, -.27151+.297711*ii
1.71662-.721942*ii, -.396821+1.4927*ii, .337987-1.64568*ii, 3.14801-1.6086*ii, -.47292-.331538*ii, 2.42473+.206178*ii, -1.71619+2.72969*ii, .178499-1.13388*ii, -.636019+.583142*ii, 1.16119+.578776*ii, -.618069-1.18079*ii
-2.71868-16.6748*ii, 6.244+10.9325*ii, .0843411+.406008*ii, -1.85397+6.49437*ii, -2.88203-5.11121*ii, -.323839-7.94607*ii, 2.70293+.992185*ii, -12.1782-11.6083*ii, .181348-.749674*ii, -1.95603+1.72859*ii, 9.32816-2.69838*ii
-.122254+.100704*ii, -.203351-.499944*ii, -.647827+.034482*ii, .326867+.779548*ii, .647638-.459144*ii, -.356018+.913429*ii, -.198991+.0144188*ii, -.476043-.016201*ii, .583515-.309173*ii, .0744877+.158433*ii, -.273228-.228854*ii
2.04597-1.49284*ii, -.177659-.951137*ii, .944812+1.16033*ii, 3.16118-2.00526*ii, -1.40239-.644714*ii, 3.43155+.716034*ii, -.800381+1.43245*ii, .702268+.221467*ii, 1.77408+.203957*ii, .467891-.552395*ii, -.12119-1.72363*ii
.185239+.787588*ii, -.185732+1.08559*ii, 1.50154+.453889*ii, 2.4948+.862635*ii, -.0762515-.448721*ii, 1.57597+1.35388*ii, -1.7741+.11134*ii, -.57795+.439154*ii, -1.18197-.33473*ii, -.385811+.772877*ii, .58291-1.22097*ii
.505857-1.32755*ii, -.643827+.092610*ii, -1.30222+1.35377*ii, -.4988-.856199*ii, -2.0908-3.50954*ii, -.236987-.169598*ii, .215807+.272704*ii, -.0799832+.0583941*ii, -1.9881+2.02075*ii, .356514-.496097*ii, 1.09285-1.48513*ii
-.95069-.548361*ii, 1.00976-.633178*ii, .172431-.369863*ii, -.955715+.075107*ii, 1.28603-1.39129*ii, -1.72369+.580538*ii, -.128062-.564942*ii, 3.10756+1.59967*ii, .718001+.276125*ii, -.0300379-.241326*ii, .899843-.175802*ii
-.417088+.612584*ii, 1.45026+.361588*ii, .291562+.533248*ii, 1.15261+1.36825*ii, .816016+.938395*ii, -1.6933+1.68631*ii, .151633+.576327*ii, 1.09724-1.1934*ii, 1.38213+.803552*ii, .115013+.439387*ii, 1.71389+1.66512*ii
-.633718+.903208*ii, -2.8895+.048255*ii, -1.3047-.280866*ii, -1.12539-.99155*ii, .345174+1.37252*ii, .371585+3.38488*ii, .509709+.589903*ii, .399002+.184987*ii, 1.64131+.357788*ii, 1.89174+.374303*ii, -4.75982-.95463*ii
-10.9642-6.60689*ii, -1.17845-2.16806*ii, .143821-.351593*ii, 10.5665-15.1002*ii, 8.0911-.87724*ii, -5.56181-1.12316*ii, -1.25184-.952288*ii, 10.8649-1.37909*ii, 1.06192-2.87143*ii, -.465881+.0512608*ii, -7.47685+1.08152*ii
3.44276-.881536*ii, .530365-.244925*ii, -.291765+.985259*ii, -.859866-4.23333*ii, -1.64236-1.80718*ii, -.872173-1.73809*ii, -.681033+1.28613*ii, -.122848-1.37945*ii, 4.1133+1.4134*ii, .0432859+.297004*ii, 2.52772-.257829*ii
-.0848707+.365313*ii, -.301493+.0662678*ii, .669845+.342856*ii, 2.13896+2.66418*ii, .201118+.533867*ii, -2.65837+3.26918*ii, .546791+.364961*ii, 1.09275-.408326*ii, -1.08248+1.90247*ii, -.112337-.0294897*ii, .200287-.645314*ii
