variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ekf
Eki-Ekf+Ugi-Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
.199744-.428013*ii, 5.4049e-32+4.22817e-31*ii, -.0850749+.495147*ii, .114669+.0671345*ii, -.267401+.291328*ii, .447045-.581291*ii, -3.45127e-31+7.39557e-31*ii, .0650593-.435133*ii, .158688+.25727*ii
-.917745+1.53721*ii, 0, -.765558-1.44523*ii, -1.6833+.091986*ii, 1.36905-2.19139*ii, .651868+.357185*ii, -2.55478e-108+5.32245e-109*ii, 1.17385+2.12026*ii, 1.164-.394378*ii
-1.08812+.920989*ii, 0, .86869-1.85571*ii, -.219432-.934716*ii, 1.62862+.399775*ii, -1.82156+.372387*ii, -1.221e-165-9.49665e-166*ii, .932189-1.03707*ii, -.819698-.717448*ii
.800197+2.97053*ii, 0, .142607+.453286*ii, .942805+3.42382*ii, 4.33514+1.19331*ii, -1.28871+.281936*ii, 1.49236e-88-1.53164e-88*ii, 10.0588-.6608*ii, -8.30963-4.91606*ii
.172047-.265528*ii, 0, -.261509-.142124*ii, -.089462-.407652*ii, .025420+1.40058*ii, -.907081+.007293*ii, -5.22568e-200+5.30522e-200*ii, -1.25168-1.08679*ii, 1.23991+2.02321*ii
-.274547-.431521*ii, 7.78825e-32-2.10505e-32*ii, .83689-.07918*ii, .562344-.510701*ii, 1.61027-.790728*ii, -.181327-.458449*ii, -2.09287e-104-2.09287e-104*ii, -.53542+1.75201*ii, -.958354+.980415*ii
-.227507-1.65695*ii, 0, 1.17032-.099348*ii, .942808-1.7563*ii, 1.1594+.641454*ii, -1.47225-.753433*ii, 2.07268e-76+4.49081e-76*ii, -.0528306-.0758762*ii, -1.93123+3.71956*ii
4.28232-.507392*ii, 0, -1.10712+1.26552*ii, 3.17519+.758127*ii, -2.89102-1.09591*ii, -.147104+.949713*ii, 9.57571e-133+3.5221e-133*ii, -.144024-.132172*ii, -1.27712+5.55158*ii
2.32281+1.08037*ii, 9.70503e-31+2.45604e-31*ii, -.62204-3.66587*ii, 1.70077-2.5855*ii, 2.96299+1.37692*ii, .170523-.538073*ii, -4.23565e-121+1.69426e-121*ii, 2.54405-3.23949*ii, -3.04783-1.15826*ii
2.30041+1.13349*ii, 0, -1.05417-.155701*ii, 1.24624+.977784*ii, -1.88625-1.06853*ii, 2.37353+.562968*ii, -6.2836e-88+9.55113e-87*ii, .535507+1.28778*ii, 3.05589-1.74346*ii
1.94297+1.75362*ii, 2.64622e-31-1.59645e-31*ii, .052758-1.34454*ii, 1.99573+.409077*ii, 1.00143-.590695*ii, -.567621-.424655*ii, 5.4166e-74+5.74823e-74*ii, .654796+.92663*ii, .478267-.333008*ii
-.396298+1.00096*ii, 0, .547157-.695202*ii, .150859+.305763*ii, -.219676+2.15919*ii, -2.8986+1.29027*ii, 4.36015e-106-1.30805e-105*ii, .230249+.163967*ii, .954814-.228147*ii
2.02013-.394051*ii, 0, -.560886+.752755*ii, 1.45925+.358704*ii, .144959-1.27868*ii, .489627-.142033*ii, -3.88938e-62-2.33363e-61*ii, -.084290-.750532*ii, -.87009+.712475*ii
.579561+.556582*ii, 0, -.0121328+.284385*ii, .567428+.840968*ii, -.298642+.165419*ii, .624022-.491169*ii, -1.70161e-62+9.72346e-63*ii, -.405201+.66738*ii, .152259+.244354*ii
-1.17615-.317252*ii, 0, .192606+1.50218*ii, -.983546+1.18493*ii, 2.95903+.328135*ii, .0624609+.368253*ii, -1.1607e-74+1.10543e-75*ii, 1.55496+1.26041*ii, -.15925-.0160328*ii
-.0703764-.383701*ii, 5.33186e-31-6.11936e-32*ii, .176134+1.66376*ii, .105757+1.28006*ii, -1.2117-.003280*ii, 1.19554+.054094*ii, 1.45852e-62-6.32025e-62*ii, -.552643+.824953*ii, 1.74018-.549063*ii
-.433549-.937528*ii, 7.90284e-31+7.62002e-31*ii, -1.28703+3.94812*ii, -1.72058+3.01059*ii, -2.45376+.213539*ii, 2.79336-.869408*ii, -7.67727e-115-7.61383e-116*ii, 2.8489-4.40819*ii, 1.8205-5.32607*ii
.552662+.825525*ii, 3.68868e-31+6.45452e-32*ii, -.791017-.294171*ii, -.238355+.531354*ii, 1.30339+.659887*ii, .581212-.536889*ii, -1.03582e-88-6.28364e-89*ii, .415524-.579602*ii, -.718607+.59227*ii
1.35415-.377755*ii, 0, -1.69734+1.0111*ii, -.343192+.633347*ii, -.972205-.837949*ii, -1.35875-.653351*ii, 3.50409e-207-1.55737e-207*ii, -.249647+2.13628*ii, .353301+2.38302*ii
.251723-.538392*ii, 0, .271949+.42555*ii, .523672-.112842*ii, .422018+.987322*ii, .115344+.741906*ii, -5.10955e-108-3.40637e-108*ii, .548592-.247831*ii, .789444+.847257*ii
1.54532-.126885*ii, 0, 2.08446-1.54323*ii, 3.62978-1.67011*ii, 1.81907+.917551*ii, -1.45863+2.37427*ii, 9.29422e-120-7.8556e-121*ii, .908516-3.13099*ii, -1.96951-.175267*ii
.318822+.219943*ii, -1.74087e-32+1.94431e-32*ii, -.781991-1.42815*ii, -.463169-1.20821*ii, .030311-.120141*ii, -.145189+2.22363*ii, -6.07786e-164-1.12874e-163*ii, -1.88164-.913928*ii, .613363-.861206*ii
-.904305+1.91815*ii, 2.54374e-31+2.0086e-33*ii, 1.83902+.548081*ii, .934714+2.46623*ii, -4.59704-.130189*ii, -1.91751+.551648*ii, 8.92959e-102+2.2324e-102*ii, .654059-.776877*ii, -1.46921+3.74686*ii
-.20977+.764782*ii, 4.67476e-32+1.31302e-31*ii, 1.03733-1.85906*ii, .827558-1.09428*ii, -1.03154-.442844*ii, .904767+.384502*ii, 3.23454e-172+1.19678e-171*ii, -.831897-2.03125*ii, -.163803+.782114*ii
.540472+.821862*ii, 1.4423e-31-8.69685e-32*ii, -1.90915-1.0173*ii, -1.36868-.195442*ii, -.572371-.125317*ii, .173999-.502928*ii, 2.66524e-190+9.11793e-191*ii, -.096104-1.46252*ii, .654975+.086775*ii
