variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
-.0212283+.0461919*ii, -.0446562-.249761*ii, -.646299-.494682*ii, -2.34013+2.40849*ii, .938131+2.28828*ii, -1.3854+.085775*ii, 1.04144+.669486*ii, .676342-1.35627*ii, -.815092+.20619*ii, -.478007+.44529*ii
-.400107-1.09253*ii, -.0410012-.293497*ii, -.297557+.827787*ii, -1.23025+2.12545*ii, 1.68465+.99969*ii, -.307303-.0281471*ii, .907456+.783568*ii, .606492-1.12367*ii, -.189628-.0030201*ii, -.966765+1.12924*ii
-.140974-.121556*ii, -.019202+.323819*ii, 1.12249-.030869*ii, .854327+2.3015*ii, .938481+.077582*ii, .502211+.982672*ii, 1.48148-.26709*ii, -.193283-1.29274*ii, -.18875+.0620721*ii, .854106+1.25672*ii
.135759+.0119615*ii, .232072+.349597*ii, .650966+.810164*ii, -.347687-3.04951*ii, -1.06439-.527108*ii, .887218-1.0182*ii, -1.85891+.507353*ii, 1.02802+.500163*ii, .80877-1.56514*ii, .500315-.294147*ii
.761369+1.51304*ii, -.218133-.285842*ii, -1.11086+2.43116*ii, -1.02779-2.44874*ii, .0670031+.01963*ii, -1.19006+.221504*ii, -2.88757+.350106*ii, 1.36068+.914049*ii, 1.35544-1.8764*ii, -.27942-.376302*ii
-.014256+.945715*ii, .0899408+.441167*ii, .975339-1.039*ii, .821523+.67053*ii, -.355146+.293485*ii, .243605+.460931*ii, .663732-.826387*ii, -.1924-.766443*ii, -.124198-.174324*ii, 1.68725+.357793*ii
.001527-1.04494*ii, -.0777417-.283649*ii, -.643516-.581275*ii, -1.06899+1.80253*ii, 1.20967+1.64842*ii, .0139581-.269085*ii, .826743+.17333*ii, .391371-1.00654*ii, -.664187+.496528*ii, -.585242+.398823*ii
-.000045685+.0019416*ii, 1.89132-.039543*ii, .644277-.782435*ii, -.330638-1.85308*ii, -1.12636+.609192*ii, .963606-1.3428*ii, .00471715+.0429827*ii, .0277526+.0259398*ii, .718062-1.66931*ii, .656632-1.02032*ii
1.29822+1.01483*ii, .121601+.307709*ii, .510765+3.10695*ii, -2.13097-1.24515*ii, -.0200573+.0377114*ii, -.869956+1.12007*ii, -1.88604+2.06843*ii, 1.74617-.068833*ii, .937622-2.42246*ii, -.395266+.154594*ii
-1.11402+.69501*ii, .0617475+.361583*ii, 1.02969-1.00839*ii, .105383+1.03168*ii, -.30492+.324667*ii, -.308805-.374962*ii, 1.15714-.469958*ii, -.025008-1.05258*ii, -.175884-.0400156*ii, 1.41012+.942068*ii
.0413907-.171617*ii, .125375+.307245*ii, 1.01307-.897154*ii, .0897686+.268241*ii, -.305405+.442998*ii, .804214-.154286*ii, .522588-.141057*ii, .193729-.741306*ii, -.397729-.261744*ii, .948261+.294014*ii
1.1076+1.06823*ii, -.140068+.914467*ii, -.986448-.429148*ii, -.046618-1.11509*ii, -.356927+1.0098*ii, -.0560165+.378685*ii, -1.58465-.388341*ii, .476905-.0151817*ii, .642881+.058863*ii, 1.03671-.975636*ii
.582484-.837892*ii, -.0602486-.276001*ii, .891695-.425211*ii, -1.63617+1.35379*ii, .323237+1.34467*ii, .342324+.160241*ii, .869451+.899195*ii, .79051-1.11665*ii, -1.26197-.475683*ii, -.259842+.478243*ii
.0707927-.336089*ii, -.0983469-.327112*ii, 1.11561+.920955*ii, -.433213-1.14496*ii, -.21096-.386601*ii, .679471-.373482*ii, -.678554+.471216*ii, .919526-.010518*ii, -.055642-1.47382*ii, .072578+.567681*ii
-.0045612+.0845113*ii, -.160668-.234317*ii, .462097+.816346*ii, -2.19118-3.9145*ii, -1.61476+.041247*ii, .055304-1.84817*ii, -2.50617+1.13992*ii, 1.8686+.762897*ii, .149216-2.04758*ii, -.146238-.417521*ii
.239306-.773918*ii, -1.69676-2.74705*ii, -.497842-.694701*ii, 1.13854+1.9358*ii, 2.04373+.620125*ii, .317088+.407816*ii, .544905-2.41732*ii, .0203763+.167248*ii, -2.17772+.15716*ii, -.749422+1.23682*ii
1.30812+.06259*ii, -.0421524-.27592*ii, .734735-.597863*ii, -1.82642-.543686*ii, -.722104+1.39266*ii, .247376+.0935323*ii, -.458434+.721439*ii, 1.07499-.393333*ii, -1.11351-1.12263*ii, .154731-.47508*ii
-.741414+.78505*ii, -.979301-.144381*ii, 1.00661+.448853*ii, 1.33014+.353514*ii, .306148-.947679*ii, -.0076163+.376564*ii, -.043933-1.05495*ii, .207916-.292341*ii, -.0322426-.373186*ii, 1.19916+1.51636*ii
.187299+.309426*ii, -.210956-3.01743*ii, .975101-.152942*ii, .130512+2.11569*ii, 1.23831+.623949*ii, -.417938+.730275*ii, 1.58867-1.52314*ii, -.0520889-.161293*ii, -1.90186-1.72022*ii, -.482482+1.19804*ii
.46575+.189785*ii, 1.96083+1.40617*ii, -.753615+1.39806*ii, .702051-1.31238*ii, .331531+.029122*ii, .794468+.045111*ii, -.933507+.496012*ii, -.112203-.0953667*ii, 2.80252-.961156*ii, .492017-.953769*ii
.00662696+.00202289*ii, 2.05422-.053379*ii, .658995-.781737*ii, -.266162-1.74131*ii, -1.07604+.63109*ii, .989364-1.30087*ii, .145403+.0288512*ii, -.0642538-.0080032*ii, .788802-1.7205*ii, .655545-1.05151*ii
-.626423-.810438*ii, .0233313+.308768*ii, -.640636-.659038*ii, -.118607+2.01147*ii, 1.26479+1.16167*ii, .0796044-.319758*ii, 1.08081-.217242*ii, -.027839-1.1715*ii, -.023892+.977304*ii, .033404+.668452*ii
.0490345-.0314947*ii, -.0271078-.281183*ii, -.260168+.816066*ii, -1.20348+2.85377*ii, 1.69562+1.27551*ii, -1.01565+.933255*ii, 1.12983+.569827*ii, .445507-1.30207*ii, -.240352-.14174*ii, -.542891+1.0663*ii
