variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ugf
Eki-Ekf+Ugi-Ugf
1.9902*G*M*m-1.0021*m*ve^2*r
points:
.477165-.30465*ii, .012942-1.56129*ii, -.464223-1.25664*ii, -3.30875e-16+3.56414e-17*ii, 1.011-.446237*ii, -1.2276-.325673*ii, -1.84067e-16-2.32037e-16*ii, -.897452+.481211*ii, -1.29415-.082572*ii
-.063474+2.33104*ii, -3.76355+4.56665*ii, -3.70008+2.2356*ii, 2.81214e-31-2.36018e-31*ii, -.03416+1.18147*ii, -1.63014-3.15452*ii, -6.27862e-104-5.58099e-104*ii, -2.25657-3.44337*ii, -3.0946+.732863*ii
1.48934-.955048*ii, 1.55621-.259172*ii, .066872+.695876*ii, 0, -.123048-1.40269*ii, -1.53315+1.61044*ii, 2.14044e-196-1.07022e-196*ii, -3.96209+5.49642*ii, -1.02681+.407952*ii
.576876-1.41722*ii, -.123383-.121307*ii, -.700259+1.29591*ii, 0, -1.48985+.511759*ii, -.323582+.270053*ii, 1.94469e-62-3.88938e-62*ii, -.0638783-.039308*ii, .364735+.633298*ii
.21831+8.97215*ii, 10.1573+3.1501*ii, 9.93901-5.82206*ii, 6.29195e-31+4.15839e-30*ii, 8.68787-12.7737*ii, 6.1709-4.29618*ii, -2.26814e-84+8.6865e-85*ii, 6.04561+11.7482*ii, -2.24037+4.89944*ii
.512256-.937243*ii, -.286535-.871944*ii, -.798792+.065299*ii, -1.58081e-31-1.1621e-33*ii, .36295+.144493*ii, -.829001-.112971*ii, -3.70613e-32-3.03424e-32*ii, -.118836-.230319*ii, .039030+2.07651*ii
-.402365-.974898*ii, -.34827-.332035*ii, .054095+.642863*ii, 0, -1.73459-.163538*ii, -.271543-.455284*ii, 0, 2.04773+.793346*ii, .436146-.997654*ii
-1.40391+2.56964*ii, .617154+3.27928*ii, 2.02106+.709641*ii, 0, 1.79146-.760894*ii, -1.6143-1.01097*ii, 2.51346e-87+2.63913e-87*ii, -2.70757-2.22439*ii, 2.57621-1.28376*ii
1.04019+.096227*ii, -.696034+1.40517*ii, -1.73622+1.30894*ii, 0, .408463+1.71377*ii, -1.85275-.691377*ii, 7.01379e-191-6.31241e-191*ii, -3.27417+.416375*ii, 1.17713-1.17751*ii
-3.97731+.931898*ii, -6.33135+1.77471*ii, -2.35404+.842813*ii, 0, -3.59228-1.76772*ii, 2.38993-4.2618*ii, 2.51346e-87+5.5296e-87*ii, .045831+1.21999*ii, -.476247-4.8577*ii
-.732193-2.08372*ii, -1.43387-1.53401*ii, -.70168+.549705*ii, 1.46353e-31+2.06929e-32*ii, -2.37513+.08077*ii, -.474883+1.0228*ii, -1.33777e-197+5.01665e-198*ii, -.353627+1.2281*ii, -.820931-1.35289*ii
.651826+2.48553*ii, -.175746+.913471*ii, -.827572-1.57206*ii, -2.69932e-31+1.03675e-30*ii, -3.69827+.413167*ii, 1.5493+.943305*ii, -5.58099e-102+5.41356e-102*ii, -.596938+1.42136*ii, 2.93117+.837756*ii
-1.03382+.359466*ii, .434965-1.27621*ii, 1.46878-1.63567*ii, 9.38835e-32+6.31796e-32*ii, .246805-1.9917*ii, .735948-.824155*ii, 4.28088e-196-2.03342e-195*ii, 1.54368+.599619*ii, -.718379+.674259*ii
-2.40315+1.2917*ii, -.028988+.582836*ii, 2.37416-.708865*ii, 5.94878e-32+1.07095e-31*ii, 2.12667-2.92328*ii, -.010027-1.34801*ii, -1.67222e-198-4.5986e-198*ii, -1.35819+.233521*ii, -.088046+1.51154*ii
-1.35282+.521415*ii, .105178+1.03226*ii, 1.45799+.510847*ii, 6.27619e-32+3.03077e-32*ii, .715481-.074593*ii, -.46768+.431399*ii, -1.24066e-32-1.1875e-32*ii, .442127-.642532*ii, -.930197+.232872*ii
.823076+1.77207*ii, -.524088+1.0069*ii, -1.34716-.765172*ii, 0, -.462831-2.12958*ii, -.584662+.038397*ii, -5.50328e-134+5.27123e-134*ii, .487869+.264777*ii, -.813244+2.69147*ii
.180478+.590935*ii, .193016+.544205*ii, .0125375-.0467298*ii, -2.80864e-32+5.94414e-32*ii, .874329+1.83151*ii, -.498401+.143022*ii, 1.98277e-118+2.47846e-118*ii, .443428-2.08755*ii, .128311+.909742*ii
10.4201-1.92406*ii, 15.9948-8.14161*ii, 5.5747-6.21755*ii, 0, 21.6783+16.2586*ii, 14.9538+11.738*ii, -1.60861e-85+1.43166e-84*ii, 9.1213+29.9387*ii, -12.4583-6.36819*ii
1.3798+.49918*ii, .880233-.420083*ii, -.499571-.919263*ii, 0, .0400764+.268502*ii, .530801-.265546*ii, 1.13947e-64+1.89911e-65*ii, .896063-.339346*ii, -.0608877-.372723*ii
-.955936+1.08262*ii, .267929+.494871*ii, 1.22386-.587752*ii, 0, -.258322-.331395*ii, .578292+.970399*ii, -7.53432e-69-8.69345e-70*ii, .100685-.877807*ii, .808563+.177027*ii
-.808302+.830038*ii, 1.7266-.460736*ii, 2.5349-1.29077*ii, 0, .127692+.0528407*ii, .801464-1.63032*ii, -2.911e-194+6.16446e-194*ii, 2.64456-.23251*ii, .02188-1.82355*ii
1.08313-2.64297*ii, .382742-.132778*ii, -.70039+2.51019*ii, 0, -.969483+2.00395*ii, .887403+.575191*ii, -6.21804e-76+1.03634e-76*ii, 1.78745+.314409*ii, -1.19841-1.12402*ii
-.0117682+.188397*ii, .364128-.300509*ii, .375896-.488906*ii, 3.46574e-32+8.12568e-32*ii, -.455348-.209869*ii, .398803-1.2613*ii, 2.18953e-47+1.64215e-46*ii, -1.05359-.410471*ii, .27866+1.54392*ii
-.007062+1.41949*ii, .293415+1.67895*ii, .300477+.259456*ii, 2.89823e-32-7.54112e-32*ii, -.284844-.371787*ii, 1.65004+.473369*ii, -2.65776e-76*ii, .511563-.183909*ii, .579677+.472169*ii
-.58865+1.62223*ii, -1.47453+1.54098*ii, -.885882-.081244*ii, 0, 1.27885+.153469*ii, .724446-1.2454*ii, -1.03634e-76+3.45447e-76*ii, -.332648-.762159*ii, -.312538-.670643*ii
