variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-theta*L+d
-ad+omega^2*d
-T*j+Tj
1.01*g*Tj^2-4.04*L*j^2*Pii^2
points:
-4.28815+.024323*ii, 1.48444+2.73417*ii, -.565104-1.13546*ii, -.865689+5.97684*ii, -1.576-3.03664*ii, 1.6194+2.11753*ii, -.933567-2.65196*ii, .308573-.315639*ii, -.995313+1.155*ii, 3.41254+1.94088*ii, -4.63543-1.00683*ii
-1.58023-.154937*ii, -.839097+1.10803*ii, -1.41285-.30982*ii, -2.65745+1.80209*ii, -.562563-2.31164*ii, -.717+.248803*ii, -.047998-1.83132*ii, .228308+.0611972*ii, -.683743+1.02711*ii, .537073+1.85866*ii, -.564333-1.61945*ii
.0946503+.0121798*ii, .731359-.143686*ii, .466367+.0434696*ii, -.59205-.002553*ii, -.382754-.490426*ii, .434258-.0251728*ii, .109318-.309427*ii, -.733286+.045680*ii, .231369-.701522*ii, -.174895-.177331*ii, .068415-.546309*ii
-.091418-1.32341*ii, .879886+.148938*ii, -1.41593-.478379*ii, -.849185-.025692*ii, .119338-1.08912*ii, -.391864-.446251*ii, .837095-1.53162*ii, .476922+.511076*ii, -.024186-.71762*ii, .502433-.494659*ii, .0856-.635026*ii
-.354976-.0508863*ii, -1.99871+.10829*ii, .474515-.825705*ii, -1.65196-1.26308*ii, .143377-.807267*ii, .245532-.309921*ii, 1.03423+.075923*ii, -.0032729+.190111*ii, -.673934+.371102*ii, -1.60903+1.69527*ii, 1.30682-.814707*ii
-4.35362-.265051*ii, 1.10976-.858345*ii, -.129401-1.25081*ii, 1.90867+1.38414*ii, -.68618-1.74214*ii, 2.66061+.727698*ii, -.526535-1.50203*ii, 1.09473-.412624*ii, -2.12817+.032282*ii, .113123-.810352*ii, -2.33405+1.86253*ii
-3.89512-2.11181*ii, -1.02946+4.60821*ii, .558972+.778471*ii, -4.92687+7.63673*ii, -1.32699-3.77503*ii, -.823163+4.75335*ii, -.734363-2.7369*ii, .488604-.207435*ii, -.826826+1.19314*ii, 2.59575+4.79767*ii, -4.64705-5.03847*ii
.955877+4.99238*ii, .461479-.147342*ii, 1.09438+2.03553*ii, -.100278+.268269*ii, -2.56598+.064984*ii, .681003-.664807*ii, -2.42325+1.29927*ii, -3.00689-1.41454*ii, 1.86977+1.28336*ii, -.157409+.154166*ii, 1.05195+.316748*ii
1.85731+5.20341*ii, .501159-.130552*ii, .519871+2.32135*ii, .0735213+.29189*ii, -2.77164+.241079*ii, .095322-.971662*ii, -2.49214+1.45295*ii, -3.05292-1.09554*ii, 2.42031+1.40919*ii, .188181-.155636*ii, 1.39694+.390254*ii
-.223178+.504508*ii, -2.26269-1.00365*ii, 1.169+.592785*ii, -.627032-1.39236*ii, -.484757-.345989*ii, .160147+.278336*ii, -.028186+.990758*ii, -.20926+.0207808*ii, -.539698+.31365*ii, -2.56359+.804821*ii, 1.53596-.168028*ii
-7.22422-.262117*ii, .859984-.23942*ii, -.203142-1.41225*ii, .485711+1.31984*ii, -.412414-2.9368*ii, 3.36858+1.12377*ii, -.691226-2.94422*ii, 1.5771-1.97187*ii, -3.35877+.592945*ii, -.365912+.323615*ii, -2.74653+1.31408*ii
-4.45863+.665657*ii, 1.10647+.339475*ii, .551494+1.26417*ii, -.517668+.758132*ii, -1.06836-1.85938*ii, 1.85085+1.48001*ii, -1.40777-1.8925*ii, .194503-2.57414*ii, -1.04815+.194678*ii, -.552162+.033058*ii, -1.22584-.140417*ii
3.45078-4.45563*ii, .405654-.175623*ii, 2.06492-2.82705*ii, .0989629-.0718646*ii, 1.65915+.992104*ii, .260664+.378803*ii, 3.50863+1.1655*ii, -.095362+3.75848*ii, .186304-3.34619*ii, .109757-.189712*ii, -.512094-1.39011*ii
.015649-4.35555*ii, 1.1982+.235234*ii, .590668+1.37217*ii, -3.86169-1.19254*ii, 1.49084-.918771*ii, -1.42238+1.33635*ii, 1.44678-2.12878*ii, .238701-.419766*ii, -.097538-3.1223*ii, -1.3712-.326552*ii, .617604-3.76407*ii
-.096979-.709178*ii, -.936839+.169804*ii, .092943+.742377*ii, .706527+.916261*ii, -.959281-.519994*ii, -.144431+1.27053*ii, .0154189+.347326*ii, .79337+.769398*ii, .18514+.0814912*ii, -.261743-.052753*ii, -.187284-.0449065*ii
5.56416-2.67156*ii, .750236+.632086*ii, 2.62828+.743998*ii, 1.15659-7.31161*ii, 1.73266+3.57772*ii, .44741-.695799*ii, 4.15914+2.39411*ii, .102284+.0450119*ii, 3.37686-3.91509*ii, -2.34313-2.20044*ii, 5.00812-.802775*ii
-3.42934-2.12073*ii, 1.32191-.805869*ii, .441439+1.123*ii, .465334+2.91484*ii, -.818741-1.79684*ii, .733012+2.67055*ii, -1.22543-1.62705*ii, .93257-.102598*ii, -1.50937-1.11017*ii, -.034262-1.14008*ii, -2.8899-.251182*ii
6.79778-4.27291*ii, 1.22665+.868654*ii, -1.00034-.875562*ii, -3.16031-10.7331*ii, 4.08749+2.54628*ii, -1.88701-4.13277*ii, 6.47632-.5675*ii, .401968-.0574549*ii, 3.17523-4.51759*ii, -2.40578-1.80418*ii, 7.8191-2.78331*ii
-4.57181-1.16348*ii, .203971+3.13552*ii, .431669+1.0891*ii, -.324846+.97701*ii, -.762339-1.75159*ii, 1.84581+2.89962*ii, .265442-2.05882*ii, 2.10679-2.58973*ii, -.345386+.40805*ii, .415847+1.16699*ii, -1.3499-.999736*ii
-2.64008+1.16366*ii, 1.73724+.400376*ii, -.131597-1.21464*ii, -.7747+1.31697*ii, -.652646-1.73517*ii, 1.89463-.382691*ii, -.468762-1.78122*ii, -.844592-.941799*ii, -.825406+.196*ii, .962172+.480744*ii, -1.5124+.010026*ii
.273122+.995399*ii, .680288-.727591*ii, -.284997-.90684*ii, -.596215+.541298*ii, -.573897-.828991*ii, .382255-1.07648*ii, -.188264-.361535*ii, -1.25001+.670646*ii, -.112758-.0811114*ii, .266873-.0073196*ii, -.135724+.0268625*ii
