variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-theta*L+d
-ad+omega^2*d
-T*j+Tj
1.0028*g*Tj^2-3.9921*L*j^2*Pii^2
points:
-.116693+.0729155*ii, -.368621+.209149*ii, .63633+.375065*ii, .0924596+.376021*ii, .541357+.878596*ii, .0133359+.251852*ii, -.355365+.270304*ii, .639816+.121858*ii, 3.33938e-18-2.67687e-17*ii, -.376719+.0018863*ii, 4.07523e-17-1.08754e-16*ii
.0427001+.0603269*ii, -.0007901-.0930081*ii, -.108697+.326612*ii, -.6635+.476186*ii, .350507+.481446*ii, -.593588-.191649*ii, -.582224-.184639*ii, .453661+.614433*ii, 1.051e-17-1.37047e-16*ii, -.191482+.25058*ii, -1.58328e-17-8.56493e-17*ii
-2.30923-1.75257*ii, -.070977-1.01216*ii, 1.42311-.812853*ii, .581435-.617678*ii, .583113+2.10833*ii, .12526-1.07201*ii, 1.78856+.581985*ii, 1.02139-.758669*ii, -1.39263e-16+8.61175e-17*ii, 1.60169-.408963*ii, -1.14068e-16+8.0163e-17*ii
2.20176+18.147*ii, -7.99177+9.04506*ii, -1.62019-.047433*ii, -.592974-1.05743*ii, 8.44306-2.95936*ii, 1.24069+6.84631*ii, -5.54903-6.96089*ii, -5.42612-1.86948*ii, -6.00039e-16+8.17738e-16*ii, -14.1039-6.73662*ii, 8.34252e-18+1.35637e-17*ii
16.1609-6.92725*ii, 11.0731+6.13439*ii, 1.39587+.105687*ii, -1.06653-1.17146*ii, -3.97914-5.88868*ii, 7.62072-4.73643*ii, -3.96376+6.72477*ii, -1.02766+5.56972*ii, 3.30088e-16+6.2522e-17*ii, -3.5612+15.4325*ii, 4.10425e-16-1.35968e-16*ii
-.537331-1.8875*ii, 1.31061-1.57163*ii, -.875957-.182162*ii, -1.6812+.338844*ii, -.496735+.487621*ii, -1.55566-1.89485*ii, .168437-.286033*ii, .670912+1.2623*ii, 2.61701e-17+7.20633e-17*ii, 1.72537+1.07479*ii, 7.85527e-17+1.16481e-16*ii
1.76228-.724623*ii, 1.93037-1.39595*ii, .302869-1.19701*ii, -.602562-.996082*ii, .218012+1.37649*ii, -.790778+.96786*ii, .492749-1.40016*ii, -.359765-1.01152*ii, 6.50694e-24+7.34848e-25*ii, 2.35819+.790475*ii, 1.35866e-23-7.66483e-24*ii
-.99542-.403176*ii, .18864+1.08499*ii, .254857-1.27826*ii, -.326691-.241609*ii, -2.05714+.489062*ii, .632134-.005538*ii, .099726+1.49479*ii, -1.24272+.936019*ii, -1.45957e-26+3.89287e-26*ii, -.759343+.366926*ii, -4.49905e-26-8.49262e-27*ii
.0680341-.0134853*ii, -.082981-2.54776*ii, .137298+.282759*ii, .172046-.199597*ii, -.370742-.231657*ii, -.533089-.456712*ii, -.968943+1.52267*ii, -.00802-2.66391*ii, 1.82293e-24+4.28024e-25*ii, .682898-2.53401*ii, 9.39235e-25-4.6799e-24*ii
1.8727-1.512*ii, 3.28082-1.45358*ii, -.871256+.05613*ii, 1.70066-.966127*ii, -2.95575-2.78002*ii, 2.69106-1.65198*ii, -.109563-1.20511*ii, 1.61348-.054776*ii, 1.049e-27+2.5957e-27*ii, -1.52966-1.27465*ii, 7.21463e-27+6.99122e-27*ii
-.28236+1.0702*ii, -1.28841+1.11358*ii, -2.4934+.868077*ii, -.933673+.214018*ii, -.283107-.637939*ii, -.127096+.0951793*ii, .615239+.134459*ii, .15153-.0672069*ii, -7.4115e-35+8.61444e-34*ii, -.44684+2.15916*ii, -8.63794e-34-1.19242e-33*ii
5.23203-8.03666*ii, -2.03419-1.09495*ii, -1.46269+.780524*ii, -.0791623+.321126*ii, -5.81411-2.35123*ii, 3.48852-.046537*ii, 12.8748-3.61782*ii, -2.66119-10.2074*ii, 4.66487e-33+1.47377e-32*ii, 2.74626-4.9944*ii, 6.64776e-33-3.5087e-32*ii
-.350166+.138769*ii, -1.09564+2.38569*ii, -.008794+.524639*ii, 1.69657+.832966*ii, -.498823+.379571*ii, 1.25423-.546367*ii, -.695057-.606428*ii, .46828-.551956*ii, -1.16998e-28+1.99707e-29*ii, -2.01538-1.68961*ii, 8.05442e-29-3.01001e-28*ii
-4.86692+1.94572*ii, 3.95466+4.76757*ii, -.584149+.723553*ii, 1.33738-.133286*ii, -.20406+.350104*ii, -1.01301-5.97591*ii, 4.92129-6.61861*ii, -.30906-4.49917*ii, -1.60547e-24+1.6795e-24*ii, 3.71652+.575599*ii, -1.43562e-23-1.01232e-24*ii
-2.11246-.557125*ii, -.721924+2.26597*ii, -.175331-1.31691*ii, .521932+.829883*ii, .214078+1.37701*ii, 1.07258+.617801*ii, 1.22122+1.09441*ii, 1.11591-.590633*ii, 1.71263e-26+1.19658e-26*ii, .486562+1.60314*ii, -3.94779e-26+3.01693e-26*ii
.0561689-.332602*ii, -1.3643-.51211*ii, -2.16571-1.4177*ii, .0139359-.0183835*ii, 1.78982+1.28062*ii, -.0421419-.027542*ii, .288095-.619947*ii, -.152144-2.17704*ii, -5.2893e-30-1.33182e-28*ii, 1.55455+1.41451*ii, -6.09875e-29+1.84409e-28*ii
.345975+.268221*ii, .964641-.156255*ii, .239473-.697975*ii, -3.49349-.857038*ii, .205626+.0804346*ii, -.803957+.001247*ii, -.19225-2.57725*ii, .216984-.0535883*ii, -4.41969e-19-2.61937e-18*ii, 1.33721+.430013*ii, -8.3563e-19-2.45769e-18*ii
-1.9037-.925526*ii, -.915579+.087050*ii, -.304112-.885051*ii, 2.22969-2.69984*ii, -2.1814+.805711*ii, 1.06504+2.16963*ii, -1.75435+.298181*ii, -.284073+.629088*ii, -2.87181e-19-1.13348e-19*ii, .057356-.986479*ii, 2.72804e-19+7.878e-20*ii
-1.01654-1.38597*ii, 1.1927+.605646*ii, .884848-.800188*ii, -.055094+.548379*ii, -1.92913+1.14731*ii, .897307-.808243*ii, -1.59542+.570951*ii, -1.6219-1.47335*ii, -5.2971e-27-7.66478e-27*ii, -.882897-1.18523*ii, -1.67572e-27-1.235e-26*ii
