variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
-S*dA+P
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
-.508367+.870706*ii, .134541-.476369*ii, -.950461-1.95196*ii, 1.91362+1.39692*ii, .127393-.0273383*ii, -.158693-1.1439*ii, -2.18913+.956055*ii, -.956997+.499613*ii, -.167184+.0200612*ii, -1.69647+1.13111*ii
.283173+1.7748*ii, .914595-5.72856*ii, 2.9735-3.67775*ii, -1.59532+3.39838*ii, -.0112435+.00569621*ii, 3.14624+.360107*ii, -6.48321-1.86905*ii, -.154792+.0027834*ii, -.991957+3.15899*ii, -.11476-1.5699*ii
-.305417+.767267*ii, -.220822-.320542*ii, 1.28409-.013184*ii, -.465017+2.20626*ii, .629324+.01939*ii, .425096+.513174*ii, -1.55077-1.03062*ii, -.756751-.946841*ii, .943359-.23089*ii, -.619742-.42745*ii
.487774+.466407*ii, -.126885-.0988199*ii, .141289-.757726*ii, -2.23794+2.32867*ii, -1.52942-2.4776*ii, .467344-.103666*ii, -2.17772+.092074*ii, -2.00272-2.46237*ii, -.0448821+.0387294*ii, 1.24199-1.51463*ii
-.053197+.868907*ii, .186404+.178142*ii, 2.43763+.202798*ii, -2.26681+1.19039*ii, .0882947-.0224523*ii, .213856+1.33558*ii, -.913753-2.03297*ii, -.37523-1.96651*ii, -.15893-.0656051*ii, .268773-1.43126*ii
.343449+.849353*ii, -.767622-2.42213*ii, -.669918-.518941*ii, -.729814+1.86458*ii, .866263+2.01263*ii, -.0249402+.413637*ii, -1.83434+.020520*ii, .176003+.0546975*ii, 1.61093+2.83759*ii, -1.04365-.109689*ii
1.61482-1.02777*ii, .379707-2.31438*ii, -.652217+.255417*ii, -1.31954-.224156*ii, -1.6912-3.49186*ii, .0798432+.26842*ii, -2.3612+.994214*ii, -.220685+.0835406*ii, -.157276+.166831*ii, 3.63731-1.11183*ii
.244118+.512209*ii, -.0706611-.186324*ii, -1.14092+.041615*ii, .320214+2.51932*ii, -.890655-.097808*ii, -.486623-.398144*ii, -1.21225+.779028*ii, -2.07665-.159994*ii, .963974+.40713*ii, -.477104-.204166*ii
.357762+.148493*ii, .100536+.0478431*ii, -.624121+.258074*ii, -3.9937+1.58515*ii, -1.66363-3.99569*ii, .265543+.404413*ii, -1.66418-.02593*ii, -1.6933-3.63088*ii, .00365497+.0158303*ii, 2.8034-1.35372*ii
.354305+.742316*ii, -2.96295-1.83176*ii, .456813+1.08211*ii, .819208+2.47467*ii, -.766384+.2994*ii, .14692-.638683*ii, -1.54674+1.4849*ii, -.117045-.0861634*ii, 2.44548+.124157*ii, .352969-1.37379*ii
-2.03024-2.65913*ii, 1.34375+.788322*ii, -.620671+.270085*ii, .0316657-.285698*ii, -1.43164-4.05382*ii, .0522992-.113989*ii, -.823996+.495831*ii, -.156337-.151412*ii, -.966357-3.3365*ii, .739847-.294786*ii
-.389672+.147279*ii, -.340267-.0370319*ii, .942975+.606919*ii, 2.11478-.25317*ii, -.136463-.935574*ii, -.492967-.277239*ii, -.786785+.410116*ii, .325073+.894264*ii, -.008415-2.18509*ii, .313615+.350955*ii
.30715-.329089*ii, 2.36691-.279896*ii, -2.17586-1.99806*ii, -1.23598-1.54843*ii, .0316164+.0409327*ii, -1.33477+.532191*ii, -.889204-.068853*ii, -.0213322+.135329*ii, -1.88476+1.9489*ii, -.374162+1.05035*ii
.324776+.416883*ii, -1.28102-1.46716*ii, .185534+1.03612*ii, -.484023+1.68552*ii, -.579503+.985512*ii, -.327657+.353107*ii, -.859863+.345635*ii, -.147733-.0858993*ii, 1.52642+1.02887*ii, .158539-1.21294*ii
.742732+.331114*ii, 1.77465-3.44797*ii, -1.98502-.495022*ii, -2.80864+.605553*ii, -.115707+.104213*ii, -.165111+1.18696*ii, -2.28657-.480215*ii, -.126973+.0495158*ii, -.073057+3.95083*ii, 1.14747+.266764*ii
-.98763-.826784*ii, -.105653+.354842*ii, -.070713-.874031*ii, .47505-.814319*ii, .474243-1.91975*ii, -.166641-.242497*ii, -1.14244+.411482*ii, .921079-.458925*ii, -.397529-1.7583*ii, -.136397+.521392*ii
-.157475+.182065*ii, .104171-.173787*ii, -.273695+1.46059*ii, .535241+1.95087*ii, .214357+.345181*ii, -.542308+.489286*ii, -.439471-.209763*ii, -1.13135+.371566*ii, 1.59925-.310619*ii, -.383027+.170811*ii
.438811+.596978*ii, .191669+.142394*ii, -.592823-1.07512*ii, -1.4193+1.05157*ii, .719232-.042516*ii, -.383569+.413347*ii, -1.25057-.385848*ii, -.778615-1.46217*ii, .382974+1.10842*ii, -.512703+.158366*ii
.945523+.812707*ii, .178748+.178238*ii, .239209-1.08187*ii, -.906896+.734864*ii, -.595405-.778653*ii, -.410569+.0507108*ii, -1.45472-.04221*ii, -1.14965-1.18688*ii, -.540401+.35035*ii, .4679-.579109*ii
.366775+.486895*ii, -.100807-.161867*ii, -.955444+.169391*ii, -.269941+2.37599*ii, -1.26179-.733218*ii, -.407578-.320586*ii, -1.25587+.740021*ii, -2.09723-.627578*ii, .747004+.273557*ii, .189428-.550557*ii
-.714864-1.44183*ii, -.159342+.404519*ii, .061842-.852218*ii, -.056336-.738164*ii, -.460824-2.08703*ii, -.173376-.185717*ii, -1.02403+.608914*ii, .694439-.520795*ii, -.623787-1.72038*ii, .205031-.542175*ii
.614376+.201441*ii, -.128489-.0989388*ii, -.712766+.173439*ii, -1.61745+2.01817*ii, -2.54811-2.21725*ii, -.25834-.315394*ii, -1.40027+.914097*ii, -2.23518-1.61414*ii, -.0266575+.0352415*ii, 1.61782-1.60398*ii
.223172+.257221*ii, -.0507452-.0928671*ii, .373722+.551609*ii, -1.32406+4.51617*ii, -4.40328-.964452*ii, .163056-.472157*ii, -1.45715+.667309*ii, -3.96885-1.16437*ii, .00886718+.00815395*ii, .574046-3.47769*ii
