variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
.854842+.520893*ii, -.721153+1.63159*ii, .283416+.314269*ii, .0170722-.017068*ii, .204184+.787701*ii, .0106624-.105115*ii, -.316003+.418897*ii, -.089389+.107785*ii, -1.13161-1.28006*ii, .655777-1.023*ii
.756934-.151424*ii, .0255103+.206877*ii, .903239-.514204*ii, 2.8746-.641835*ii, -.271955+1.61579*ii, .394593-.345976*ii, 1.36399-.937303*ii, .377547+2.0945*ii, -.796925-.458897*ii, -.506611-.252783*ii
.591255+.633655*ii, -.245021+.0103444*ii, -.207498+1.1426*ii, -.466984+2.02419*ii, -.814711+.636882*ii, -.182573+.492057*ii, .579011+1.37142*ii, -1.38844-1.00775*ii, .02599-.45197*ii, .587318-.648957*ii
-.532331-.167795*ii, 2.36999-3.45968*ii, -.049369-.638839*ii, .880296+1.4806*ii, -1.79086+.581569*ii, -.475551+.0346051*ii, 2.47187+.803605*ii, .0568804+.119748*ii, 1.25693+2.87377*ii, -.667017+1.20244*ii
.71972+1.30069*ii, -.0750507-.345439*ii, 1.21058-.369458*ii, .669433+1.73837*ii, -.747132+.624943*ii, -.436701+.223369*ii, 1.42111+1.22699*ii, -.721354+1.12529*ii, .244401-.12164*ii, 1.06783-.831249*ii
.639517+.65796*ii, 1.76395-.016881*ii, .812173-.701992*ii, -1.49694+2.2835*ii, -.726847-.611038*ii, -.576726+.306443*ii, .905088+2.70861*ii, -.266204-.195616*ii, -.551637+1.42539*ii, .717142-1.05733*ii
1.34581+.580272*ii, -.0262569+.164547*ii, 1.25069-.582138*ii, 1.74034-.615344*ii, -.054869+1.39194*ii, -.28423+.268642*ii, .963079-.231684*ii, .561832+1.98158*ii, -.851145-.446828*ii, .288806-.402152*ii
-.0937248+.0633601*ii, -.0277104-.177891*ii, .902171+.210491*ii, .578443-.68988*ii, .136475+1.09657*ii, .109224-.357924*ii, .13907-.0689916*ii, .057096+.75251*ii, -.479506+.155526*ii, .461008+.540882*ii
.985874+.384932*ii, .108688-.129615*ii, 1.01434-.824556*ii, .670575-.642852*ii, .070794+.967725*ii, -.24042+.242525*ii, .59987+.095479*ii, .92172+1.29414*ii, -.608153+.109736*ii, .585043-.211726*ii
.00206445+.00219303*ii, 2.67713-3.04006*ii, .101866-.0389088*ii, .192977+1.15216*ii, -1.51116+.617792*ii, -.901024+.482798*ii, 1.88407+1.18517*ii, -.0542398-.11484*ii, .539549+2.79282*ii, -.625474+1.27388*ii
.741221-.202995*ii, 1.89727-.257088*ii, -.871898-.165121*ii, 1.58767+.748286*ii, -1.36693+.833825*ii, -.408412-.172916*ii, 1.59388+.256184*ii, .223602+.0486808*ii, -.767201+.646179*ii, -1.57779-.458228*ii
-.089297+.523805*ii, -.198761-.216204*ii, .933519-.081715*ii, 1.4339+2.29219*ii, -.980892+.652718*ii, .466296-.415343*ii, 1.77895+.879019*ii, -1.36702+.931106*ii, .446691-.142101*ii, .506132-.793644*ii
.056827+.687936*ii, 1.69946-1.10995*ii, 1.42972-.357774*ii, -1.59533+.706819*ii, -.221167-.0937261*ii, -.849844+.250227*ii, .343899+2.06913*ii, .0701638+.235826*ii, -.304834+1.99967*ii, 1.08751+.486273*ii
-.354676+.73559*ii, -.217897+.0129616*ii, -.526878+.978783*ii, .364964+2.27137*ii, -1.2049+.593198*ii, -.0483812-.492992*ii, .913549+1.01264*ii, -1.63828-.848357*ii, .471104-.515492*ii, .249988-.61608*ii
.784946+.571056*ii, -.253547+.164126*ii, .6922-.546172*ii, .225333-.0598098*ii, -.030904+.766948*ii, -.193133+.132484*ii, .416472+.397822*ii, .499954+.707676*ii, -.399133-.231213*ii, .820496-.502791*ii
-1.30952-.287448*ii, .138671-.0264864*ii, -1.3916+1.40135*ii, -2.2738+.848132*ii, -.374238+.013107*ii, .167218-.703258*ii, -.961415+1.16501*ii, -.747632-2.90737*ii, .136336+.489778*ii, .424412+.461075*ii
.530933+.913367*ii, .770451-.186444*ii, -.809855-.569797*ii, .786761+2.80529*ii, -1.7809+.166157*ii, -.473637-.193935*ii, 1.96518+1.33084*ii, -.576521-.341726*ii, .454455+.0247027*ii, -.228117-1.55277*ii
-.526393+.046517*ii, -.0632661+.0671195*ii, -1.89398-2.28141*ii, -1.00719-1.74769*ii, -.052902-.041533*ii, -.311226-1.23035*ii, -.565969-.58518*ii, 3.16313-1.17191*ii, .292631+.339469*ii, .361229-.400697*ii
.850441-.62173*ii, -.010059+.0332392*ii, -2.79873-.87147*ii, -1.32302+.020063*ii, -.655795+.182004*ii, .0075244+.324896*ii, -.0310844+.104363*ii, 1.94703-2.6355*ii, .0349913-.025469*ii, -.339012-1.00988*ii
.080684+.618539*ii, .274138+.0646523*ii, -.310324+.869482*ii, 1.79707+1.94593*ii, -1.40422+1.04464*ii, -.113706-.498109*ii, 1.53172+.484914*ii, -1.5471+.121396*ii, .025426-.583757*ii, -.526423-.636067*ii
.661545-.099698*ii, -.0493498-.220704*ii, .788529-.456298*ii, 3.49405-.334402*ii, -.597947+1.82266*ii, .421678-.376844*ii, 1.83793-1.14979*ii, .133568+2.24112*ii, -.407392-.49283*ii, -.687739-.164948*ii
-.0956481-.0159447*ii, .296608-.0774211*ii, .494686+.84804*ii, .509673-.767172*ii, .01938+1.22352*ii, -.0763321-.340958*ii, -.0733622-.0726961*ii, -.217557+.288725*ii, -.758226+.125595*ii, .034226+.750266*ii
1.32343+.907223*ii, -.0168413-.222332*ii, 1.1299-.475599*ii, 2.38813+.589217*ii, -.713713+1.42525*ii, -.343182+.287521*ii, 1.79963+.00541*ii, -.159817+2.06857*ii, -.291978-.547169*ii, .146748-.697778*ii
