variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
.40594-.714042*ii, .0889476+.184512*ii, .642723+.944928*ii, 1.13808+1.50157*ii, -.871625-.195925*ii, .069128-.130859*ii, .0512256+.103902*ii, .483877-.306897*ii, 2.28094-.286448*ii, -.207196+.288234*ii
-.968265+.17462*ii, -.125978+.720086*ii, -1.07661+.165275*ii, .430776-.0022168*ii, -.925912-.455258*ii, .268392+.0443943*ii, -.463814-.226382*ii, .338396+.0182371*ii, -.298942-.386478*ii, -1.33067-.587527*ii
.397924-.984976*ii, .0142437-.0343978*ii, .664594+.853019*ii, 1.11007+2.03015*ii, -.965043-.424977*ii, -.0227326+.0137362*ii, -.00313422+.00438462*ii, .439672-.518716*ii, 2.65266-.146809*ii, .0749528+.119165*ii
.464693+1.78497*ii, -.231498-.620587*ii, -.442995+2.34186*ii, .662008-1.30992*ii, .0523841+.0833937*ii, .352737-.784425*ii, -.434051+1.97274*ii, -.702348+.232803*ii, -.0940169+.0877967*ii, -2.24481+1.49757*ii
.260681-.228535*ii, -.679996+.180022*ii, -1.15785+.274783*ii, .933628-.560992*ii, -.605636-.50912*ii, -.345401-.596876*ii, -.259102+.944133*ii, .185615+.448144*ii, .029546-.683508*ii, -.971222-.714693*ii
-.409566+1.06285*ii, -.394023-.526347*ii, -.869475+.398291*ii, -1.18182+.575103*ii, -.424378-1.46405*ii, .250562+.0379963*ii, -.672002+.028834*ii, -.349789-.250333*ii, -.532442+1.15384*ii, -.734796+.437936*ii
-.023119+.962523*ii, -.736706-.053267*ii, -.808316+.357608*ii, -2.08494+.772214*ii, -.609613-1.83208*ii, .11153+.100107*ii, -.17044-.158534*ii, -.0670871+.215021*ii, -.732127+1.80836*ii, -.430586+.591623*ii
-1.14896+.646616*ii, .510175-.047338*ii, -1.16195+.310936*ii, .0668377+.307288*ii, -.542288-.541224*ii, .377807+.0518192*ii, -1.0701-.311138*ii, .164741-.691125*ii, -.348583+.14166*ii, -1.3728-.202902*ii
-1.58256-.260549*ii, .454344+.0370874*ii, -.158019-1.0216*ii, -1.28489-1.30896*ii, .536249-1.0813*ii, -.175967+.252751*ii, .138138-1.18912*ii, .571262-.59891*ii, -1.89285-.804413*ii, -.552701+.089308*ii
-1.26065-.665186*ii, -.936371-.030649*ii, -.005605-1.09063*ii, .490516-1.42569*ii, .015845-1.02763*ii, -.177664+.112044*ii, .35937-.261745*ii, -.230754+.0835704*ii, -.990228-2.11319*ii, -.393796-.642393*ii
-.970051-.976116*ii, .52135+.106662*ii, 1.29461-1.24349*ii, 2.3064+.017303*ii, -.152856+.172541*ii, .458201-.257626*ii, -.270603-.954792*ii, .278174-.582531*ii, 1.16449-2.89671*ii, .31448-.377035*ii
-.689502-.210047*ii, .246412-.141339*ii, -1.04104+.43035*ii, -.404619+.22529*ii, -.358776-.860995*ii, -.274758+.126513*ii, -.42684-.0939552*ii, .472223-.648885*ii, -.184254+.290104*ii, -1.04965-.259189*ii
.0333455+.184937*ii, -.979939+.229923*ii, .214099-.828165*ii, -.006028+2.53922*ii, -1.46599-1.54567*ii, .684811+.052377*ii, -.516518-.878157*ii, -.235713+.253012*ii, 1.35895+.473871*ii, .954966-.2777*ii
-.0722799+.0799655*ii, .004659+1.03639*ii, .403413-.803812*ii, 1.5394+2.71349*ii, -1.80476-.319765*ii, 1.13284-.265663*ii, -.92551-1.20233*ii, .366901+.18264*ii, 2.15009-.387453*ii, .627253-.526723*ii
-.473389+.492821*ii, 1.04145-.271146*ii, -.152213-2.31424*ii, 1.63038+.020648*ii, .0209234-.104814*ii, .76612-1.16252*ii, -1.82607-.976877*ii, .221201-.404606*ii, -.151826-1.83326*ii, .585528-.696063*ii
.258444-.0934706*ii, .214922+.308835*ii, -1.36727+.357024*ii, .249689-.577874*ii, -.340445-.327655*ii, -.404283-.685554*ii, -.454656+.575112*ii, .775063+.122739*ii, -.353033-.080918*ii, -1.13061-.436898*ii
-1.97009-.996319*ii, -.620696+.410944*ii, 2.95533-1.6329*ii, 2.618-1.10553*ii, .00195441+.0345834*ii, .942064+.343121*ii, .931822-1.34592*ii, -.589602-.060465*ii, .734185-4.59366*ii, .435571+.191258*ii
-.511952-2.18763*ii, .325792+.137261*ii, 1.66862-.578338*ii, 2.18712-.4795*ii, .130611+.203827*ii, -.368616-.113503*ii, .774831-.460248*ii, .727681-.572661*ii, 1.57118-3.13316*ii, .258091-.275735*ii
.0447473-.0182578*ii, -.099721+.551678*ii, .553552+.895633*ii, 1.20737+1.35888*ii, -1.1377-.102644*ii, .562028-.087208*ii, -.108674-.0474792*ii, .211747+.0057448*ii, 1.87587-.32697*ii, -.529003+.369494*ii
-.0351-.506077*ii, .30475+.0259965*ii, .680251+.798481*ii, .401149+2.36189*ii, -.98723-.59992*ii, .286585+.259443*ii, -.186738-.548492*ii, .43845-.737745*ii, 2.29649+.4187*ii, .0204914+.429973*ii
1.10473-.845884*ii, -.882628+.106312*ii, .588615+.701*ii, 1.06954+2.74389*ii, -1.5047-.870783*ii, .0423424-.136542*ii, .0639303+.278147*ii, .145511+.147537*ii, 3.09255+.318566*ii, .631993-.070607*ii
.319538-.20223*ii, .370514-.0782359*ii, .626436+.843275*ii, .895339+2.56832*ii, -1.08202-.390013*ii, .460344-.0523481*ii, -.546633-.289554*ii, .312596-.644386*ii, 2.64242+.414862*ii, .0809506+.440074*ii
.134763-.0038517*ii, -.0389633-.437636*ii, -.890046+.538487*ii, -1.1831-.270182*ii, .072786-1.18219*ii, -.575696-.222037*ii, -.0890052+.388826*ii, .413512-.273341*ii, -.586403+.768946*ii, -.747297+.289985*ii
.0448273+.4757*ii, -.371938-.694168*ii, .108918-.892186*ii, -.636804+2.09881*ii, -.654483-1.71567*ii, .47116-.126597*ii, -.898645-.770689*ii, -.315746-.356773*ii, .777609+.784603*ii, .993632+.144609*ii
