variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-S*dA+P
ap^2-.5*x0^2*w^4
750.125*P-314082*qc^2*x0^2*w^4
points:
6.29582e-28-9.73544e-28*ii, -3.75283e-27-1.75091e-28*ii, .0513404+.217635*ii, -.60132+.537926*ii, .400467-.906757*ii, .0355369+.420884*ii, -1.15168e-27-9.1998e-29*ii, -.0172633+.239227*ii, -.534668-.443357*ii, 8.20974e-27+1.13392e-26*ii
3.83991e-39+3.98103e-39*ii, -4.04463e-16+2.9805e-16*ii, -.049333-2.08808*ii, .547236-.66755*ii, 1.35593-1.21266*ii, -.481329-2.80167*ii, 3.37233e-39-1.98033e-39*ii, 1.13326+.675953*ii, 2.86262+.3477*ii, 1.28612e-8-6.80449e-9*ii
2.06045e-45-2.00552e-46*ii, -3.64147e-19-5.57951e-19*ii, .124487-.249248*ii, .154546-.125267*ii, .630109+.390026*ii, .395337+.982119*ii, -2.9341e-46-2.1056e-46*ii, -.595122+.645197*ii, .074877-.621043*ii, -2.49877e-11+1.33528e-10*ii
2.49704e-42-2.07563e-42*ii, -1.00767e-17-2.74166e-18*ii, -1.63764+.263202*ii, -2.49191-1.99242*ii, -.332158-3.96027*ii, 4.81444-4.10659*ii, -4.29481e-42-1.05861e-41*ii, .096421+2.0991*ii, -2.09871+1.96012*ii, -1.65396e-9+5.90291e-10*ii
-1.26475e-30+1.10381e-30*ii, 2.06266e-13+1.02339e-12*ii, 1.34403-2.00853*ii, .085566-.729314*ii, .02594-.76144*ii, 2.00942-3.37146*ii, 6.96802e-31+1.01673e-30*ii, 3.26274+4.44512*ii, -.769536-.793762*ii, 5.89672e-8-1.0355e-7*ii
-5.31574e-40-4.13479e-40*ii, 1.44902e-16+5.01043e-17*ii, 2.25001-.091504*ii, -3.17912-8.23226*ii, 1.39881-3.78016*ii, 1.46659+9.61239*ii, -3.78392e-39+7.18179e-39*ii, -6.15984-4.32006*ii, -5.92388+.921203*ii, -1.0888e-9+6.70074e-10*ii
-7.3997e-28+4.48988e-28*ii, 3.9115e-12+3.77478e-13*ii, 2.1515+1.2598*ii, -2.4057-2.93212*ii, .587701-1.27802*ii, 1.34242-1.22078*ii, 3.09663e-27+1.08955e-27*ii, 1.45624-.818882*ii, .375743+1.47502*ii, -3.69443e-7+.00000115989*ii
1.68422e-28-9.5454e-29*ii, 2.89546e-13-7.61355e-13*ii, -3.43255-2.92134*ii, -1.81493+2.38069*ii, .20556+2.75948*ii, -.0982+1.3914*ii, -7.84285e-29+5.74203e-28*ii, -.223516-3.16316*ii, -1.33694+1.27671*ii, 2.79978e-7+9.01578e-7*ii
-2.21031e-37+2.33406e-37*ii, -2.29211e-16-3.09576e-16*ii, 1.99698-2.49012*ii, -.018173-2.4132*ii, -1.01332+.639313*ii, 1.15184+1.28671*ii, 5.29657e-37+1.30336e-37*ii, .987874+3.66791*ii, 1.33435-1.16437*ii, 1.42901e-8-2.99833e-9*ii
-3.58859e-27+4.93385e-27*ii, 8.03222e-12-8.20749e-12*ii, .455317-2.66843*ii, 1.56151-1.72221*ii, -1.92184+1.6033*ii, .790685+1.32209*ii, 2.89349e-27+1.38846e-26*ii, 1.97617-.03264*ii, .542651+1.83025*ii, -.00000104149-.0000010176*ii
-1.08745e-41-8.57941e-42*ii, -3.03836e-17-8.4109e-19*ii, .705931-2.69791*ii, 3.09718+2.78661*ii, -.279961-.823009*ii, -3.27086-3.86023*ii, -8.20682e-41+5.70149e-41*ii, -.810851-1.15286*ii, .416864-1.154*ii, -1.1818e-9-3.31184e-9*ii
-2.5729e-34-1.56439e-32*ii, 4.22217e-14-2.68747e-14*ii, 3.83976+6.32085*ii, 8.92459-3.48234*ii, -7.6337+1.72761*ii, 6.0151-8.59082*ii, -5.52493e-32-1.40258e-31*ii, 8.68098+.81441*ii, -5.19505-2.69562*ii, -7.77647e-9+4.86504e-8*ii
4.11559e-35-1.57387e-34*ii, 5.0513e-14+5.63439e-14*ii, .996661+.054645*ii, -.101631-.366632*ii, -3.27991+2.71257*ii, -2.64923+2.50482*ii, -6.16868e-35+8.2603e-37*ii, -.530624+.596021*ii, -2.07797+.99242*ii, -9.57512e-8-4.2879e-8*ii
2.17584e-38+6.13177e-38*ii, -6.66322e-16-1.39351e-16*ii, 1.63295+.957407*ii, 2.8803+2.54803*ii, -1.32774+2.96489*ii, 2.78004-.033659*ii, -1.50712e-37+2.99034e-37*ii, 1.09157+1.29225*ii, .088057+2.08439*ii, 1.20319e-8+1.72292e-8*ii
7.41772e-40-1.62514e-39*ii, 6.54212e-18-4.86583e-17*ii, -.964764-.1751*ii, -1.20219-2.63268*ii, .246837-2.74336*ii, -.738572+.340974*ii, -5.17024e-39+8.90e-43*ii, 1.84494-2.22559*ii, -1.03334-1.5624*ii, -1.95871e-9+3.03338e-9*ii
2.07215e-35-1.22146e-35*ii, -5.556e-15+1.76933e-16*ii, -1.10328-.46415*ii, -3.9433-4.08793*ii, .645242-4.37467*ii, 2.01914+1.19883*ii, -1.31644e-34-3.65422e-35*ii, 3.50161+5.99342*ii, -3.17826+2.945*ii, 2.48585e-8-3.54383e-8*ii
-9.02058e-33-4.41035e-32*ii, 1.80993e-16-8.9247e-18*ii, -1.25679-7.16929*ii, -9.36291-4.46056*ii, .043163+1.76323*ii, -16.2619+4.36564*ii, -1.12254e-31+4.53179e-31*ii, -7.012-.327859*ii, -.815514+2.65575*ii, -1.05431e-7+2.4269e-7*ii
-1.99525e-41-1.41753e-40*ii, 4.04564e-18-2.50975e-17*ii, -1.60597+2.37255*ii, 1.26292+.592692*ii, -.044954-1.41063*ii, 1.16829+2.10213*ii, 1.12454e-40-7.15481e-41*ii, -2.30559+1.01317*ii, .694571+.053102*ii, 2.46728e-9-1.9271e-10*ii
