variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
-.5*m*ve^2+Eki
G*M*m+Ugi*r
Eki-Ekf+Ugi-Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
-1.72039e-15-4.95435e-15*ii, -.374254-.485298*ii, -4.16523e-15+1.5648e-14*ii, .374254+.485298*ii, 3.33533+.437015*ii, -1.72629-.858666*ii, 4.00126e-15+6.8568e-15*ii, -1.39907-.962015*ii, 1.33058+.401126*ii
-5.01577e-184*ii, -.147473+.670775*ii, -1.30119e-118*ii, .147473-.670775*ii, -.666666+1.03847*ii, 1.42964+.055181*ii, -4.70687e-184+6.50042e-184*ii, .477495+1.08012*ii, .837302+.25866*ii
-4.8617e-63-2.13916e-61*ii, .660636-1.58822*ii, -1.16682e-61+3.50045e-61*ii, -.660636+1.58822*ii, -1.27163+1.32969*ii, -.00185074+.0396813*ii, -2.55241e-61-1.55575e-61*ii, -1.06308-.505815*ii, .015986+.981836*ii
2.13644e-87-7.54037e-88*ii, -.291681+.224591*ii, -5.5296e-87-1.00538e-87*ii, .291681-.224591*ii, -.402266+1.77282*ii, -.555771+.853212*ii, 5.27826e-87-3.51884e-87*ii, -.549085-.388958*ii, -.410922-1.71721*ii
3.8431e-76-1.13997e-75*ii, -2.61934+1.31272*ii, -4.31808e-76-4.83625e-76*ii, 2.61934-1.31272*ii, -4.69629+1.489*ii, -2.37301+.255269*ii, -9.49979e-77-4.14536e-76*ii, 4.62673+1.26026*ii, -3.56354+.074209*ii
-1.28635e-46-2.13479e-46*ii, -1.64807+.043762*ii, -2.98419e-31-3.76458e-31*ii, 1.64807-.043762*ii, .905146+.172966*ii, -.215651-.234082*ii, -7.27847e-47-2.51796e-46*ii, 1.34289-.410618*ii, -.0264513-.0256738*ii
0, 2.4578+.4542*ii, 4.16001e-123+3.02546e-123*ii, -2.4578-.4542*ii, 1.59243+.168516*ii, .119635+.812599*ii, 3.9331e-122+1.21018e-122*ii, -.167672-.35208*ii, 1.56586-.881949*ii
9.07639e-123-4.53819e-123*ii, .624646+.19662*ii, 4.31808e-78+1.61928e-77*ii, -.624646-.19662*ii, -.112815-1.18356*ii, .954982-1.01943*ii, 3.78183e-123-3.02546e-123*ii, -1.13105-.767989*ii, -1.53219-.315686*ii
2.45455e-90+1.27636e-89*ii, -.325826+2.47056*ii, 4.90909e-90-8.83637e-90*ii, .325826-2.47056*ii, 2.68079-2.21446*ii, 5.20903+.482515*ii, 6.75e-91+2.27046e-90*ii, -5.01627-.021343*ii, .557701-2.72245*ii
-3.12677e-83+6.58887e-83*ii, 3.79396+3.41303*ii, 4.11805e-83-7.00068e-83*ii, -3.79396-3.41303*ii, -1.38802-4.34813*ii, 10.0536+5.70804*ii, -7.07789e-84-7.72134e-85*ii, 6.02765+1.70182*ii, 16.399+7.14786*ii
2.60796e-91-7.36364e-91*ii, -.844955+1.54721*ii, -1.07386e-91+7.97728e-91*ii, .844955-1.54721*ii, 1.35631-.495544*ii, 1.67988-1.85635*ii, 5.21591e-91-3.06818e-92*ii, -1.89935+1.09359*ii, 2.26057+.297956*ii
3.59106e-189-2.24441e-189*ii, -.0384532-.0859238*ii, 4.08916e-108+6.81274e-108*ii, .0384532+.0859238*ii, .528398-1.55721*ii, -1.40636-.160909*ii, 3.8155e-189+8.97765e-190*ii, 1.38742-.670677*ii, 1.4473-1.31994*ii
0, -1.39391-2.42912*ii, -4.24485e-73+1.62719e-72*ii, 1.39391+2.42912*ii, -2.05404-1.34599*ii, -4.10225+.203495*ii, 9.7903e-182-5.2717e-182*ii, 4.36794-1.30463*ii, -3.00926+4.76819*ii
1.80679e-173+3.60095e-174*ii, 8.97909+8.31866*ii, -1.69794e-72+7.21624e-72*ii, -8.97909-8.31866*ii, -.23306-18.5563*ii, 9.48814+.42287*ii, -1.8755e-175-2.84409e-175*ii, 6.2217+15.4307*ii, -18.6657-5.67685*ii
-3.09292e-181*ii, -.458586-.586931*ii, 5.02691e-88-1.25673e-88*ii, .458586+.586931*ii, 2.28142+1.48376*ii, .453515+3.58999*ii, -9.0372e-182-9.7903e-182*ii, -.305672+.742836*ii, 2.90965-.354856*ii
4.86173e-63+4.86173e-63*ii, -.843065+.899359*ii, 1.94469e-62-7.04951e-62*ii, .843065-.899359*ii, .114523-.440603*ii, -.720388-.010995*ii, 1.16682e-61-7.2926e-63*ii, -.62041+.935455*ii, 1.37703+.140336*ii
-3.94201e-182-7.76634e-183*ii, 1.99854+.658656*ii, 2.1887e-182+1.20025e-182*ii, -1.99854-.658656*ii, -.180339-2.60493*ii, -.492467+.124987*ii, 4.5186e-182-3.69019e-181*ii, -.262189+.808768*ii, 1.69781-.422489*ii
6.74701e-80+1.01205e-79*ii, 1.41739-.60535*ii, -3.14745e-47-5.47382e-48*ii, -1.41739+.60535*ii, 1.77182-.020205*ii, 1.13304-.460622*ii, 2.36145e-79, 1.92583+.298674*ii, .05105+.84702*ii
1.10543e-74-2.87412e-74*ii, -1.40271-.36098*ii, 4.42172e-74+1.06121e-73*ii, 1.40271+.36098*ii, -1.61891-.144573*ii, -1.7935+.418602*ii, -9.94887e-75+1.76869e-74*ii, -.257187-.939956*ii, -2.31236+1.85291*ii
5.14344e-100-4.57195e-100*ii, .732695+.737076*ii, 6.13637e-92+9.20455e-92*ii, -.732695-.737076*ii, 1.04708+.312813*ii, .379095-1.20727*ii, -2.51457e-99, .912772-1.43139*ii, -.691971+1.51725*ii
-7.77877e-61+4.27832e-61*ii, -1.80027+1.15686*ii, 6.56334e-61+6.22302e-61*ii, 1.80027-1.15686*ii, 4.47717+.659397*ii, -1.22814+2.21338*ii, -5.59099e-62-3.40321e-62*ii, 3.96918-4.52386*ii, -.673289+.407924*ii
-1.23974e-61+4.86173e-62*ii, -1.34881+.076776*ii, 5.83408e-62+1.36128e-61*ii, 1.34881-.076776*ii, -3.54576+.058479*ii, -.942688-.387681*ii, -1.55575e-61+7.90031e-62*ii, .0645443-.458908*ii, -.231693-.702498*ii
