variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
.692958+3.11012*ii, -.230452+.137081*ii, .174572-.773799*ii, .204865-.173021*ii, -1.64972-2.10095*ii, -.0182296-.140779*ii, .680058+.517244*ii, .775694+.904181*ii, -2.79746+2.42143*ii, -.028273+.318893*ii
1.14665+1.99258*ii, -.327877+.297124*ii, .277052-.715527*ii, .131274-.299231*ii, -2.64147-1.31704*ii, -.031488-.148267*ii, .746744-.081535*ii, .525567+.42662*ii, -1.50993+2.70037*ii, .443817+.0726979*ii
-.091786+4.05623*ii, .158427-.0344413*ii, -.694349+.307522*ii, .175813+.026411*ii, -.957761-2.88999*ii, .104232-.0371494*ii, -.123262+.71069*ii, .844742+1.60116*ii, -3.81673+2.56167*ii, -.0418556+.219381*ii
2.84236-.217936*ii, .29747+.410297*ii, .371002-.575022*ii, .28089-.374454*ii, -4.11506+.614254*ii, -.0176632+.160833*ii, .716761-1.12552*ii, .098558-.781528*ii, 1.49746+3.6483*ii, .423294-.0505745*ii
.543834+4.37493*ii, .157597-.0232258*ii, -.704211+.264118*ii, .170394+.0243426*ii, -1.48691-2.75877*ii, -.103396+.0306148*ii, -.013831+.758676*ii, 1.11329+1.52702*ii, -3.6756+3.28325*ii, -.0614189+.204789*ii
2.58896+.963807*ii, .799158+.609328*ii, -.691715+.015503*ii, -.0352616-.398081*ii, -4.0165-.270414*ii, -.0995344+.113757*ii, .292374-1.06457*ii, .0956735-.348424*ii, .24387+4.57675*ii, .505451-.233689*ii
-1.47163-.885613*ii, -.312463-.128558*ii, -1.41482-1.31532*ii, .517051+1.01057*ii, .115738+.144268*ii, .191698+.684955*ii, .134064-1.94504*ii, -.594689+1.29846*ii, -.457049-1.1457*ii, .242628+.573156*ii
-.505006+.079611*ii, -1.79225+2.48712*ii, .676972-.569795*ii, -1.552-.371929*ii, -.969836+1.66233*ii, .212363+.322696*ii, .813354+.064268*ii, -.0562279-.0848933*ii, -.101733-.375748*ii, 1.43478-3.01306*ii
.419001-.895458*ii, .101876-.359519*ii, .562666-.508316*ii, -.097589-.742415*ii, -1.80982+2.46516*ii, .0033208+.226732*ii, -.70567-.223679*ii, -.789741+.097352*ii, 2.03+.589656*ii, .352385-.354705*ii
.248946+3.49645*ii, .121622-.0166112*ii, -.747506+.237641*ii, .0862967+.0405312*ii, -1.66632-2.20393*ii, -.0833717+.0073777*ii, -.120228+.311812*ii, .730768+1.45425*ii, -2.96535+2.85564*ii, .195218+.0636995*ii
-.372028+4.6641*ii, .160244-.0045693*ii, -.727558+.317127*ii, .198198+.0938603*ii, -.883498-2.5164*ii, -.126133+.024246*ii, -.511494+.889472*ii, 1.03914+1.92056*ii, -4.08063+2.51548*ii, -.210052-.0563192*ii
2.52815+1.87127*ii, .831007+.277692*ii, .277888-.676186*ii, .197448-.232035*ii, -3.1418-1.33214*ii, -.0059883-.139322*ii, .93335-.217133*ii, .34986-.163335*ii, -.890801+4.08043*ii, -.405297+.36389*ii
-3.53697-.915345*ii, -1.38608+5.35293*ii, .217869+.531859*ii, .829808+1.3907*ii, -6.45602+2.76338*ii, .0321711-.250709*ii, -1.66198-5.67826*ii, .140626+.0577484*ii, .0897653+.161973*ii, 2.40863-6.03539*ii
-1.1808-1.53275*ii, -.572049-.144003*ii, .361951-.632172*ii, 1.19971+.93433*ii, -3.44906-.037316*ii, .233391-.204685*ii, .015487-2.94202*ii, -.517862+.861145*ii, .775144+.064018*ii, 1.03217+.084935*ii
1.71239+2.6114*ii, .19658-.0452433*ii, .448082+.574615*ii, .120357-.0123105*ii, -3.15219-1.39297*ii, -.0573096-.0662371*ii, .238239+.29321*ii, .825092+.654283*ii, -1.08227+3.79399*ii, .136714-.231551*ii
-1.09604+4.33602*ii, .168074-.0179615*ii, -.69575+.37761*ii, .226157+.0920893*ii, -.21223-2.67938*ii, .12899-.040454*ii, -.647159+.879664*ii, .756248+1.99826*ii, -4.27318+1.6666*ii, -.226285-.0302062*ii
3.08015+1.24016*ii, .496142+.365663*ii, .278911-.613802*ii, .257866-.334726*ii, -4.16758-1.24946*ii, -.0046463-.151379*ii, 1.20934-.711191*ii, .41235-.520634*ii, -.212169+4.6103*ii, .204841+.383277*ii
-1.01516-2.17712*ii, -2.12649+1.23744*ii, 2.27988-1.63448*ii, -.071453+1.07109*ii, -.0175702+.0577864*ii, .985053+.196313*ii, 2.40436-.931735*ii, -.21248-.0756806*ii, .504423-2.8453*ii, .461582-.995508*ii
1.45227+.726188*ii, .118238-.601854*ii, .425012-.755917*ii, .254802-.148901*ii, -2.04323-.069916*ii, -.0399271+.157835*ii, .478156-.0312093*ii, .0876152+.380054*ii, .205056+2.04209*ii, -.095244+.643097*ii
-.206758+3.12652*ii, .123552-.0136059*ii, -.758726+.28075*ii, .0811065+.0586318*ii, -1.224-2.20071*ii, .0883692-.0036642*ii, -.200077+.241451*ii, .504113+1.47303*ii, -2.9427+2.25502*ii, .209739+.058519*ii
-.548733+.120856*ii, -2.00275+2.02332*ii, .67182-.612247*ii, -1.26336-.453188*ii, -1.06929+1.4174*ii, .195406+.307*ii, .747997+.095991*ii, .0692299+.0794975*ii, -.161234-.42361*ii, 1.61329-2.50598*ii
-.909712-.978938*ii, -.41312-.566672*ii, .393603-.502477*ii, 2.78903+.666873*ii, -4.67617+2.10326*ii, -.263185+.265065*ii, -1.88433-3.33685*ii, .386734+.883783*ii, 1.77346+.594502*ii, .693742+.221232*ii
2.06286+.203064*ii, .818338-.483633*ii, .443271-.675389*ii, .178873-.172019*ii, -2.49174+.431877*ii, -.0273402+.136364*ii, .403908-.318519*ii, -.255555-.0517766*ii, 1.02457+2.64043*ii, -.445716+.525338*ii
