variable ordering: Fc, Fg, w, m1, d1, m2, d2, p

component_1:
equations:
Fg*d1^2+2*Fg*d1*d2+Fg*d2^2-m1*m2
Fc-w^2*m2*d2
-.98*m1*d1*d2^2+1.01*m1*m2*p^2-.99*d1^2*m2*d2-2.1*d1*m2*d2^2
points:
-.694423-1.38537*ii, .0785018+.344584*ii, 1.51723-.248851*ii, -.061664+.193299*ii, .687662+.693461*ii, -.540409+1.46553*ii, -.369754+.198549*ii, -.084934+1.50739*ii
-6.40476-11.6086*ii, -.0554792-.00585802*ii, -2.12188+3.42384*ii, -8.47178+1.77212*ii, 6.72008+2.95243*ii, .329638+.288088*ii, 1.35137-1.28755*ii, -3.96376+6.6958*ii
.817253+1.35566*ii, 1.78976+1.36837*ii, -1.52043+.000487*ii, -.253172-.235963*ii, -2.14042-.668883*ii, .204635+.218832*ii, 2.23531+.47648*ii, .517521-.404067*ii
-.826812-.360812*ii, 1.2512+.110102*ii, 1.39304-1.26165*ii, .000788278-.00035182*ii, .14003+.0557387*ii, .033753+2.28754*ii, -.105703-.0358903*ii, .998946+.810389*ii
.157179-.254182*ii, 1.18521-.204982*ii, .52092-.587226*ii, -.141389-.0453702*ii, -.583372+.470074*ii, .176464+1.51183*ii, .226246-.224378*ii, .327907+.20759*ii
-.218108-.169924*ii, .39753+1.00958*ii, .587107+.283659*ii, .135272+.300615*ii, -.370284+.0784415*ii, -.615161+.67097*ii, .593446+.397749*ii, .07771+1.04015*ii
-1.49634-2.42135*ii, -1.179-1.18199*ii, .650534+2.2411*ii, -1.09075+2.03999*ii, 1.3069+1.44047*ii, -.263264-.340187*ii, -.952348-.754656*ii, -1.62194+1.97697*ii
1.4187-.471994*ii, .24951-.145621*ii, -1.5166+.294595*ii, -.646911-.294186*ii, -1.261+.892367*ii, .649334-.211221*ii, .852946+.337747*ii, -1.14675-.437546*ii
.0211984-.202278*ii, 1.068-.264987*ii, .475801-.802394*ii, -.138159-.0451003*ii, -.482044+.364644*ii, .348425+1.55341*ii, .107875-.0995758*ii, .386772+.174258*ii
1.0792-.621657*ii, .712702-.707529*ii, -1.37228+.288749*ii, -.933876-.048274*ii, -1.14068+.985859*ii, .843963+.145042*ii, .711165-.202982*ii, -.936173-.471158*ii
1.01036-.235244*ii, .48301+.201314*ii, -.020186+1.40725*ii, -.0020759+.456793*ii, -1.21107+.918829*ii, -.632988-.103896*ii, .745469-.333021*ii, -.77642+.360864*ii
-.536104-.607097*ii, .407248+.515435*ii, -1.10924+1.0301*ii, -1.08012+.763019*ii, -.399578+.0958157*ii, .180239-.248183*ii, 1.14016+.166896*ii, -.564791+.848774*ii
.917461+.673408*ii, 1.19559+.843541*ii, -1.36322+.044440*ii, -.346022-.234121*ii, -1.71609-.134405*ii, .324645+.150362*ii, 1.65038+.447191*ii, -.019358-.326914*ii
4.27418+2.30247*ii, -.285845-.150881*ii, 2.1048+.622358*ii, 3.39832-.484587*ii, -3.20219+1.5067*ii, -1.58263+.178682*ii, -.632427-.019966*ii, -.512153-1.40893*ii
