variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
-ad+omega^2*d
-T*j+Tj
.999968*g*Tj^2-4.00008*L*j^2*Pii^2
points:
16.2843-2.36966*ii, 8.73862+29.3665*ii, 1.61422-10.9258*ii, -13.3519+6.23238*ii, -.142313-.862244*ii, -.12218+.0572028*ii, -.3591+18.8267*ii, -5.27575+21.3349*ii, 7.33646e-19+9.10727e-19*ii, -10.7818+24.3933*ii, -4.55363e-19+3.66823e-19*ii
-.00329381+.00478302*ii, .467417+.0301907*ii, -.122719-.035788*ii, -.254036+.346113*ii, .796125-.502329*ii, -.012633+.355172*ii, -.00567053+.00242996*ii, .208977+.306777*ii, 3.42243e-18-8.75475e-18*ii, .343039+.390052*ii, -2.1242e-17+1.91824e-17*ii
6.90393+11.4383*ii, -16.0864+11.5938*ii, 2.13302+.454194*ii, -6.51079-4.85232*ii, -.369861-.964892*ii, 2.30547+1.60498*ii, -12.7271+2.27658*ii, -16.7566+1.44348*ii, -4.2858e-16-1.23628e-15*ii, -13.5298+1.15559*ii, -8.37377e-16-8.17594e-16*ii
-.528203+.299798*ii, -.715894-.114729*ii, 1.17864-.166267*ii, -.328229-.541372*ii, 1.0489-.574068*ii, -.416791+.100212*ii, -.507877+.007858*ii, .0320338-.216906*ii, -1.75717e-17+1.54103e-16*ii, -1.04512-.836856*ii, -3.68301e-17+7.02511e-17*ii
-.0962913-.345955*ii, .745027-.817823*ii, -.400075+.953679*ii, .402077+.481126*ii, .769849-.310368*ii, .293854+.162414*ii, .0482495-.429928*ii, .530005+.228041*ii, -1.45142e-17+1.01882e-16*ii, 1.54354-.333566*ii, -4.3021e-18-5.56449e-17*ii
4.14942+8.85955*ii, -10.3625+6.41817*ii, -1.71832-.199529*ii, -4.25776-2.24743*ii, -.554376-1.09467*ii, 2.02818+2.56414*ii, -7.96911-.245253*ii, -11.6722-.57513*ii, 1.60887e-16-5.21466e-16*ii, -7.27334+2.49475*ii, -6.31751e-16-1.00118e-15*ii
-.811367-1.30313*ii, -1.63352+.831603*ii, 1.19193+2.12393*ii, 1.68607-1.47975*ii, -1.18051+.435328*ii, -.116253+.231207*ii, .24669+1.19484*ii, -1.65213+1.48777*ii, 8.54161e-20+5.10596e-20*ii, .604962-.927077*ii, -1.8199e-19-1.23743e-20*ii
-2.75433+3.41722*ii, .430051-1.39296*ii, -.166975-1.28023*ii, 2.28071-.899642*ii, -.43324+3.18638*ii, 2.12293-1.55767*ii, 1.16838+.705549*ii, -4.11957-2.50967*ii, 3.37351e-28+5.69675e-27*ii, 2.05806+2.27836*ii, 8.0804e-27+1.97998e-27*ii
.925021+.815892*ii, -1.23161+.417164*ii, -.87895+.626405*ii, -.017302+.661909*ii, -1.85507+1.83853*ii, -.402895+.979142*ii, -.0316562-.471191*ii, .175365+.777787*ii, -5.39711e-25-1.5022e-24*ii, .170106-.180755*ii, 1.29138e-24+1.62497e-24*ii
-.112804-.59946*ii, -.476439-.554454*ii, -.730031+.894608*ii, -.930841+.97592*ii, .185819-.20743*ii, .45745+.0072798*ii, 1.33304-1.73797*ii, -2.33036+1.16537*ii, 2.08543e-24-6.16807e-25*ii, 1.59967-1.65708*ii, -1.33557e-24-8.62404e-25*ii
3.16299-.234108*ii, 4.03045+.527555*ii, -2.74934+3.63686*ii, -1.85809-2.29103*ii, .818417+2.60331*ii, -.0306589+.149477*ii, .265769-1.13144*ii, .956501-3.67161*ii, 6.31324e-22-2.9791e-22*ii, -2.42764+1.51088*ii, 2.70168e-21-8.67652e-22*ii
-.53261+.037925*ii, 1.38109+.909805*ii, .951368+.042430*ii, -1.60696+1.10319*ii, -1.14664+.130551*ii, -.581231+.093934*ii, .462268+.0195565*ii, 2.23011+3.14461*ii, -1.32547e-22+2.30097e-22*ii, 1.36716+2.10351*ii, -3.92403e-22+1.97194e-22*ii
-6.48568-4.94452*ii, 1.00157+2.74907*ii, -.168464-1.38882*ii, -.477855-2.43698*ii, .408922+1.43456*ii, 2.61364+3.2453*ii, -4.37958+3.27262*ii, -.0594621-.480775*ii, -9.45403e-20+7.99298e-20*ii, 1.92108-8.28694*ii, -3.14422e-19-1.79843e-19*ii
.924708+1.74518*ii, .071712-.685567*ii, .724143+.826792*ii, 1.20509+.77263*ii, .050777+1.06513*ii, 1.33123-.949235*ii, 1.67605-.788266*ii, -2.75477+.74468*ii, 4.94471e-26-6.5286e-26*ii, .864321+3.64174*ii, -4.1212e-26-3.85811e-26*ii
1.54256-2.48833*ii, 6.1602-4.74018*ii, .586004+.839048*ii, -9.61046+.59844*ii, -10.157-.0755*ii, -2.73752-.564806*ii, -.150042+.246102*ii, -2.85314-3.01874*ii, 1.83026e-20+2.3637e-22*ii, 6.17027-.09444*ii, 1.13868e-19-8.53015e-20*ii
.192164-.944189*ii, .106463-.416014*ii, -.567591+.189004*ii, -.626621-.176796*ii, -1.98806-2.29065*ii, 2.01143-1.78967*ii, .193574+.251893*ii, 1.79822-.416402*ii, -3.31679e-18+6.79311e-18*ii, 1.01913+.864248*ii, 2.47291e-18+2.10305e-18*ii
1.98835+1.91164*ii, 3.19574-2.86678*ii, 1.94782+.985496*ii, -4.84257-1.22972*ii, .746915+1.58829*ii, .570384-.098533*ii, 1.46771-.561667*ii, .379216-2.20048*ii, 3.14238e-33+4.9641e-33*ii, -2.07058-.996279*ii, 2.42732e-32+6.85543e-33*ii
-1.08913+1.56652*ii, -.691356+1.8104*ii, -.032174-.749764*ii, 2.28745+2.03285*ii, .607537-1.63074*ii, 2.16506-2.60566*ii, -1.06203-.272209*ii, -.538306+.063244*ii, -5.79336e-26-8.08728e-26*ii, -.951439-.272884*ii, 1.86465e-25-4.89712e-26*ii
.538807+.691218*ii, .725435+.045980*ii, -.168545+.691816*ii, -2.1668-3.13345*ii, -1.98814-1.55007*ii, -1.57068-.721742*ii, -.33714-.0848175*ii, -.773586-4.01197*ii, 4.97043e-40-7.8127e-41*ii, .212134-.527468*ii, 3.64165e-40-3.3822e-41*ii
