variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
T*omega-2*Pii
-ad+omega^2*d
-T*j+Tj
.999968*g*Tj^2-4.00008*L*j^2*Pii^2
points:
-.140027-.0349959*ii, 2.71496e-23+4.39855e-23*ii, -.448101+.265229*ii, -.514123+.236789*ii, .811302-.033914*ii, -.13531-.514835*ii, .143154+.304087*ii, .0120628-.0604569*ii, -.096995-.737203*ii, -5.86794e-18+2.92834e-17*ii, -5.85668e-17-1.17359e-17*ii
-.744027+.801654*ii, 2.33232e-23-4.08331e-23*ii, -1.204+.597848*ii, -.644512+.473556*ii, .853345+.107558*ii, -.602284-.059886*ii, .054640+1.02032*ii, -.080056-.65853*ii, -.330723-1.39404*ii, 5.46162e-17-5.7901e-17*ii, -1.49746e-16+2.60451e-16*ii
1.44532-1.24445*ii, -4.69999e-23+2.50184e-23*ii, 1.13614+.073032*ii, -.140461-.128164*ii, .812708-.319104*ii, .982988-1.09498*ii, .707676-.971106*ii, -.152241+1.09728*ii, -.032266+.608462*ii, 5.5936e-17+1.74409e-17*ii, -1.32801e-16+3.22414e-17*ii
1.8576+.394521*ii, 2.51108e-26+9.01497e-26*ii, -1.3576-2.6521*ii, 2.78216-3.03521*ii, -1.84065+.968281*ii, -.0863113-.19575*ii, .887221-1.01796*ii, .006466-1.18817*ii, 3.50245+.33971*ii, 1.02498e-25-9.4492e-26*ii, 5.73246e-26+3.24275e-25*ii
3.74435+.769212*ii, 1.23977e-25-2.78178e-25*ii, .245231+1.04149*ii, .873544+1.93887*ii, -2.98168+.37797*ii, -2.62724-2.06062*ii, 1.10594-4.03657*ii, -.520557-.542691*ii, -1.17269-2.25222*ii, 1.60061e-25+3.04513e-26*ii, -7.71904e-25+4.69939e-26*ii
1.86716+2.63308*ii, 1.98442e-23-4.19362e-23*ii, -.077496+.907114*ii, .727648+4.94083*ii, .211923-6.39182*ii, -2.75889-2.7486*ii, 2.98477-2.21161*ii, -1.92302+1.77051*ii, 4.96093+.126031*ii, 1.82515e-23+1.06254e-23*ii, 1.03731e-22-2.05542e-22*ii
1.76576+.216736*ii, 3.53556e-29-2.13279e-29*ii, 1.85541+.864114*ii, .157011-.237134*ii, .003249-3.68116*ii, .310844-.289336*ii, -.435419-.37402*ii, .67044+.129067*ii, 2.75205-3.81033*ii, 4.20144e-29-4.51029e-30*ii, 1.60343e-29-1.93412e-28*ii
.020984+1.95276*ii, 4.44532e-28+5.76647e-28*ii, -.822836+.566629*ii, -.39996+4.76673*ii, .426607-.468428*ii, -1.82026+.717418*ii, 6.41229-2.3497*ii, 1.95618-8.83475*ii, .64163+8.55939*ii, -3.46261e-28-1.11301e-28*ii, -4.65052e-27+4.17491e-27*ii
-.245417+1.00968*ii, -2.31892e-25+5.81204e-25*ii, -1.02742-.58492*ii, -1.83283-1.88157*ii, -.034042-1.58005*ii, .531559+.519721*ii, -1.32082+.226618*ii, 1.02104+2.85656*ii, .073412+.749268*ii, 2.89104e-25-2.3075e-25*ii, -4.52502e-25-1.31082e-25*ii
.429115-.1614*ii, 8.41692e-19+2.93882e-19*ii, .557414+.59934*ii, .562255-.224544*ii, -1.6487-.999675*ii, -.286664-.621425*ii, -3.04205-1.52213*ii, -.172868+.362*ii, -.303713-.20738*ii, 1.46518e-19+3.34137e-19*ii, -1.94688e-19-2.63806e-19*ii
1.95836+3.2207*ii, -1.66628e-24-3.0642e-25*ii, -4.25943+.591906*ii, 1.57526+3.32229*ii, 1.44967-2.91438*ii, .0543982+.196433*ii, 1.72534-4.94265*ii, -.76101+4.03167*ii, -3.71826+2.2478*ii, 3.63939e-24+1.59446e-25*ii, 6.88444e-24-2.60613e-24*ii
.265148+.0495135*ii, -1.48355e-31-2.87935e-32*ii, -1.43674-1.12375*ii, -.666961+4.11618*ii, 4.12381+1.73585*ii, .0336403-.073764*ii, .193586-2.13883*ii, 2.25868-5.97116*ii, -1.32417+2.83253*ii, 9.03949e-32+1.04041e-31*ii, 2.78006e-31-3.82092e-31*ii
-.706965-2.35483*ii, 1.72451e-25-1.39441e-25*ii, -1.34461+2.65982*ii, -7.90741-2.5494*ii, 1.5909-.959757*ii, .26067+.0930958*ii, .478854-4.90837*ii, 1.28802-.257941*ii, 1.88511-.547274*ii, 6.95038e-26+3.23091e-25*ii, 2.48778e-25-3.57239e-25*ii
-.343927-.0101539*ii, -5.01806e-26+2.41748e-25*ii, .582323-.448804*ii, -.528527+.353402*ii, -.341173+.437611*ii, -.143899-.620081*ii, -1.45913+1.0579*ii, -.221357-.716426*ii, -.867411+1.29772*ii, 3.96381e-26+8.16484e-26*ii, -2.70194e-25-2.74815e-25*ii
-3.21417-5.43867*ii, 3.6269e-25+9.66296e-25*ii, -1.19619+.681493*ii, 4.03693+4.24291*ii, .96786+12.7762*ii, 1.60374-2.92205*ii, -1.08028-1.52537*ii, .0448087-.191924*ii, 3.89928+3.15133*ii, -5.46184e-25-4.54349e-25*ii, -1.63088e-24+4.91082e-24*ii
-.716541-1.11406*ii, 2.38474e-18-1.35966e-18*ii, -1.24668-.247414*ii, 1.05979-2.13955*ii, -.919364+1.95927*ii, -.673307-.467989*ii, -.165227-.30452*ii, .697173+.538659*ii, -.384361-1.40393*ii, -1.6547e-18+5.5252e-19*ii, -2.82548e-18-2.82542e-18*ii
-.269723-.544433*ii, 2.61665e-20+2.98681e-21*ii, -.374212-.294361*ii, -.856256+.360468*ii, -1.64207+.309727*ii, -2.61441+.59076*ii, .00630144+.0109908*ii, -1.12105+.654977*ii, .776244+1.17534*ii, -4.45632e-21-4.41005e-21*ii, 1.68011e-20+3.30731e-20*ii
5.09254-5.01337*ii, -5.5188e-21+2.8376e-21*ii, -.856938+.257048*ii, 2.40718-.983658*ii, -.97155+10.1432*ii, 8.75935-1.72753*ii, 10.3329-2.01887*ii, 2.77759-1.56551*ii, -3.90232-.812759*ii, 1.99993e-21-1.92512e-21*ii, 2.38424e-20-6.58777e-21*ii
