variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-theta*L+d
T*omega-2*Pii
-T*j+Tj
1.0028*g*Tj^2-3.9921*L*j^2*Pii^2
points:
2.85091+1.50008*ii, -1.03234e-23+4.39444e-24*ii, -.034532+1.38253*ii, -.076657+1.41757*ii, 1.12761+1.97174*ii, -.321196+1.76265*ii, -.534744+1.46815*ii, 1.25203+.158877*ii, -1.43217-.922575*ii, 1.3554e-16+8.38502e-17*ii, 1.54198e-16-1.60587e-16*ii
.0679314-.0820387*ii, 5.26735e-23+2.91883e-23*ii, .489064+.372338*ii, -.080339-.575218*ii, .405427+.799894*ii, -.139756+.139845*ii, .626628+.068543*ii, -.205181-.271619*ii, .538923+.282009*ii, 5.62086e-17+6.91393e-17*ii, 0
-.571106-1.73294*ii, 1.27616e-20-6.92351e-21*ii, .965311-.134921*ii, -.389551+.386805*ii, 3.11742-3.17368*ii, 1.99288+1.11085*ii, -.920087-4.32549*ii, -1.15024-3.99376*ii, 1.71477-1.77498*ii, 5.69238e-21-4.20258e-21*ii, 9.59401e-21-3.45238e-20*ii
-1.14737+1.71855*ii, 1.44506e-20+1.37559e-20*ii, .587233+1.7089*ii, .600602-.352905*ii, 1.43952+.078489*ii, -1.77523+.806442*ii, .423971+.271588*ii, -2.78365-.292908*ii, 1.43137+1.10349*ii, -7.51082e-21+1.63863e-20*ii, 5.50473e-21+3.5636e-20*ii
-.083962-.836857*ii, 3.28595e-23-1.40707e-22*ii, 2.39157+1.09702*ii, -.156285+.423223*ii, -.530383-1.64841*ii, -1.23049-.461878*ii, .862357+.500504*ii, -.015574+2.91318*ii, -.334351+.533435*ii, 1.16472e-22-1.50232e-22*ii, 6.40714e-23+6.45739e-23*ii
-.573088-1.46303*ii, 1.09197e-24+1.39415e-23*ii, -.89383+1.11241*ii, -.535816-1.4898*ii, -.397412-.228371*ii, .360635+.391877*ii, -.889851-1.68467*ii, -.310003+.130575*ii, .84892-2.71489*ii, -8.24237e-24-5.62333e-24*ii, 3.87768e-23+8.87068e-24*ii
-1.13204-1.59715*ii, 4.15807e-22+5.99462e-22*ii, .451847+1.10447*ii, -.644404+.20113*ii, -2.55538+.480049*ii, -.855805-.627029*ii, -2.19819+1.31726*ii, .933422+1.26438*ii, -1.46796+.828361*ii, -2.37103e-22+3.65056e-22*ii, -1.10696e-21-5.35547e-22*ii
-1.02189-.859937*ii, -7.7295e-28-5.06645e-28*ii, -2.41032+.116447*ii, .718697-2.27275*ii, -.793525-.299229*ii, 1.16479-.253488*ii, .721639-.015366*ii, .248726+.433847*ii, .792091+.128823*ii, 9.61026e-28+5.65584e-28*ii, -5.46979e-28-5.00883e-28*ii
.999286-.696701*ii, 2.46877e-24+6.7817e-26*ii, .033387-1.64828*ii, 2.35903-.734792*ii, -.670863-.625878*ii, -.862456+.342229*ii, -.644111+.326417*ii, -.374455+.0284366*ii, -.17015+.951464*ii, 9.7103e-26-2.03347e-24*ii, -4.84586e-25+2.3374e-24*ii
-4.59197+1.95165*ii, 9.69959e-26-6.4261e-27*ii, -11.6835+12.2773*ii, .688109+4.24389*ii, 7.91968+7.34386*ii, 14.474-9.41044*ii, 1.94247-7.65355*ii, -1.62178-3.67351*ii, -1.65277-3.35148*ii, -5.27177e-25+6.32965e-25*ii, -1.81849e-25-3.14458e-25*ii
-4.27043-12.7807*ii, -3.61388e-27-8.57927e-27*ii, 6.91776+1.8981*ii, .687343-.308313*ii, -4.90004-4.86294*ii, 5.84985-4.45951*ii, -11.5653-5.55783*ii, 9.50802-2.22314*ii, .794439-2.74709*ii, -4.3578e-27-3.31044e-26*ii, -2.6439e-26+3.11193e-27*ii
1.25052+.630929*ii, -2.7515e-21-3.34798e-20*ii, -.267836-.0754969*ii, -.796775-.784707*ii, .652721+1.26283*ii, .588781+.028282*ii, -.342162+.443987*ii, -.392862+.351416*ii, -.580357-1.19136*ii, -8.95333e-22+4.5874e-21*ii, -3.82895e-20+2.27082e-20*ii
-1.04688+.926467*ii, -4.11432e-28+7.45354e-28*ii, 1.52082-.131904*ii, 1.10245+1.32628*ii, .236972-1.0598*ii, 1.16881+2.15665*ii, -1.21536+1.51446*ii, 1.39485+.278181*ii, -.681755+.915027*ii, -2.63698e-28+5.93909e-28*ii, -4.01523e-28-8.8462e-28*ii
1.29641-1.36897*ii, -7.76689e-23-5.32215e-23*ii, 4.20602-1.87849*ii, 2.15976-5.0003*ii, -3.78334-4.72352*ii, 1.33038-3.80153*ii, -5.44897+1.6217*ii, .737577-.052519*ii, .20601+1.73777*ii, -2.13327e-22-3.89752e-23*ii, 7.64863e-23-1.45935e-22*ii
-.128848+1.85957*ii, 1.41319e-20+1.52734e-20*ii, -.294423-1.22324*ii, -2.38979+.520959*ii, 1.99711-1.88696*ii, -2.05283-.271543*ii, -3.92924+2.92982*ii, .796385+.287233*ii, -.061547+.844323*ii, 7.26113e-21-1.08917e-20*ii, -1.37654e-20+1.09918e-20*ii
-.209466+.167059*ii, -7.53968e-28+2.35657e-27*ii, -1.65999-3.2841*ii, .389249-2.41977*ii, -.175288-1.40912*ii, .720821+2.05652*ii, -1.34975+1.54676*ii, -.781734+.423639*ii, 1.25234+.666321*ii, 4.49539e-27-7.17883e-28*ii, -2.51445e-27+2.44883e-27*ii
3.86838-1.32364*ii, -5.63121e-25-2.13666e-26*ii, 4.32145+1.67155*ii, -.002745+2.31425*ii, 4.99738-2.01258*ii, -4.30794+3.17012*ii, -4.9303+3.26052*ii, 1.37203+1.85986*ii, -.175739-5.34445*ii, -1.19889e-24-5.16809e-25*ii, -1.523e-26+3.01332e-24*ii
.079747-7.42969*ii, -5.71307e-26-1.13173e-25*ii, 2.033+2.33284*ii, 2.45119-1.61427*ii, -7.07151+4.07899*ii, -5.34778+2.33108*ii, -4.35203+6.33395*ii, -1.95856-.338837*ii, -3.39245+.163978*ii, 7.39346e-26-1.81679e-25*ii, 2.12371e-25+3.74567e-25*ii
