variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
-c0-c2*r^2+u
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
2.23514+.13671*ii, .519903+.137492*ii, .160639-.429954*ii, .442772+1.73364*ii, .086759+1.15263*ii, .56342+.548595*ii, -1.04806-.285162*ii, .0210939-.212326*ii, -.348808-.106985*ii
-3.88421-2.04493*ii, -1.0274+.920025*ii, -3.52418-.819331*ii, .42016-1.59405*ii, 3.01181-.467699*ii, -.222596-2.84407*ii, 3.19182+.18526*ii, .376833+.53682*ii, 1.8532-1.01483*ii
-.650744+.493848*ii, .646214+.666763*ii, -.398557+.50097*ii, -.365116+.799645*ii, .584661-.671481*ii, -.588466-.220957*ii, .475279-.511575*ii, .0221754+.170929*ii, -.081800-.674364*ii
-.35766+.414165*ii, -.48258-.942219*ii, -1.4111-.715501*ii, .958812+.238624*ii, -.115551+.771915*ii, -.342675-.619208*ii, 1.18381-.678827*ii, .302306-.219576*ii, .802825-.436585*ii
-49.4012-36.2746*ii, -.180889-.179273*ii, 32.2289-4.31455*ii, -.94748-15.4592*ii, 9.98014-27.8958*ii, -1.08204+1.10916*ii, 28.1818+41.2366*ii, -19.4897+25.2786*ii, 1.28497+13.3963*ii
-.576003+2.01371*ii, -2.04301+.650955*ii, -1.73297+.17794*ii, -.626284-.72045*ii, .323902+1.19399*ii, -.904343+.087519*ii, 1.24594-2.34526*ii, .198814+.041573*ii, .769296-1.43747*ii
-.213899+.0877323*ii, .0022209+.135456*ii, -.137091-.0985377*ii, .13193+.584303*ii, .350831+.123395*ii, -.235502+.0441862*ii, .526934-.168302*ii, -.185961+.249969*ii, .111619-.360914*ii
.56124-1.0579*ii, .515751+.0603*ii, -.398308-.219196*ii, .702943+.977798*ii, .909738+.337928*ii, .24009-.37677*ii, -.127689+.484776*ii, -.202724-.0825493*ii, .029726-.136885*ii
-24.0627+20.7055*ii, 8.38278-19.1566*ii, 7.47437+8.63994*ii, .970296-.084623*ii, -22.6357-20.1994*ii, -19.3765+1.43059*ii, 16.1183-4.22008*ii, -.0588088+.123277*ii, -.186941-.0433665*ii
-1.51272+6.93568*ii, -1.48176-1.57564*ii, 1.06059+2.38144*ii, -1.51203-.207815*ii, -4.0804-.680326*ii, -3.8462+2.47022*ii, 1.68031-4.10938*ii, -.284499-.0992683*ii, -.306195-1.62305*ii
.0952989+.2475*ii, -.511295+.215528*ii, -.36956-.744034*ii, .157785+.475*ii, .317079+.805161*ii, .165624+.127596*ii, .665812-.440113*ii, .0232182+.373587*ii, .362524-.341734*ii
12.2952+36.4382*ii, -16.7529-16.9545*ii, 13.3808-4.15651*ii, -1.00485+.081757*ii, -32.4643+15.8851*ii, -7.29418+22.1848*ii, 2.42307-19.6408*ii, -.0676338+.130475*ii, -.200929-.053127*ii
-2.08973+.894088*ii, .226576-1.80977*ii, -.620087+.130284*ii, .930668+.11805*ii, -.991199-.871608*ii, -1.49898-.598423*ii, 2.01832-.310223*ii, -.0282782-.082118*ii, .614477-.334903*ii
.11492+2.70817*ii, -.331666-.441044*ii, 4.50041+.519623*ii, -1.15114+1.11594*ii, -2.65552-.41012*ii, -1.04469+3.52509*ii, .263194-.217328*ii, -1.41353+1.48802*ii, -1.20154+.308439*ii
-.663043-2.18427*ii, -.163217-.489554*ii, -3.48347+3.14357*ii, 1.44607-.873237*ii, 2.68657-.403622*ii, -2.11627-2.42247*ii, -.315612+.0490842*ii, -.910978-2.08262*ii, .361909-1.585*ii
.797575+5.97955*ii, .0550277-.089947*ii, -1.84739+6.81779*ii, 6.58772-3.12811*ii, 2.54533-1.70556*ii, -1.05988+.688232*ii, -1.14182+1.21877*ii, -16.0745+4.69939*ii, 2.09986-2.4062*ii
.0533173+.0235294*ii, -.0228635+.0758656*ii, .485641+.182021*ii, -1.14531-.521436*ii, .373985-.0720651*ii, -.0610714+.0751086*ii, .738469+.044337*ii, .10774-1.6328*ii, -.301248+.0409161*ii
.704308+.033594*ii, .346004-2.4495*ii, -.092973+.814691*ii, .518119-.32286*ii, .530691-.411754*ii, -.0583785-.484393*ii, -.184143+.661215*ii, -.0828363+.0022121*ii, .536919-.798143*ii
.563636+.099961*ii, .442303-.241806*ii, -.753363+1.31953*ii, -.463701-1.55745*ii, -.0456355-.0883683*ii, -.064874+1.27336*ii, .0266957+.0713472*ii, -.641756+.394983*ii, .10688-.0309059*ii
-.523266-.218978*ii, -2.11528-1.23233*ii, .387367+.47898*ii, -.125413-.678822*ii, .060541-.634658*ii, .628007-.030661*ii, -.466169+1.53719*ii, -.0588036-.0223514*ii, .920286+.418886*ii
1.39221-1.33739*ii, .439361-.509887*ii, -1.16464+1.13777*ii, .525447+.810271*ii, -.651798+.860741*ii, 1.65923-.769291*ii, -.613618+1.60584*ii, -.602525-.051841*ii, 3.84837-.060478*ii
-.849365-1.95094*ii, -1.09-.475057*ii, 3.25099-1.99179*ii, .113568-1.30071*ii, .292583+.39965*ii, .84033-.831324*ii, -.249924+.041725*ii, -.459295+.657007*ii, -.345801-.451027*ii
.112672-.0046229*ii, .203063-.134242*ii, -.044328-1.26687*ii, .053967-.749792*ii, -.119368+.248097*ii, -.0117604+.0540223*ii, .836452-.814055*ii, .67954-1.11046*ii, .655045-.033132*ii
.0097461-.19588*ii, -.796+.993241*ii, -.568931+1.09699*ii, .140965+.361331*ii, -.673843-.679089*ii, -.0033269-.386909*ii, .825351-1.02952*ii, .23801-.0475447*ii, -.339127+.499445*ii
.286889+4.54572*ii, -.90201+.388483*ii, .72968+.213363*ii, -.764525-2.29162*ii, -3.32226+.902312*ii, 3.13535-.427988*ii, -.950604-1.20176*ii, -.14911-.123355*ii, -.0931344+.190809*ii
-.519917+.665885*ii, .765254+1.34015*ii, .882779+.042155*ii, -1.28589+.616711*ii, 1.50498-.140794*ii, 2.57991+1.1584*ii, -.317264-1.28494*ii, .0768436-.1208*ii, -1.40223+.177793*ii
