variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
G*M*m+Ugi*r
Eki-Ekf+Ugi-Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
1.09203+.989136*ii, -.409031+2.4972*ii, -.329367+.789264*ii, 1.17169-.718804*ii, -1.17935e-28-2.24825e-28*ii, .072758-2.50727*ii, -.14597+.991524*ii, -.50833-1.78553*ii, 2.54013e-28-3.71948e-28*ii
-1.30664-2.9658*ii, -1.25735+.469633*ii, .528283+2.39738*ii, .478993-1.03806*ii, 1.204e-196+5.3511e-196*ii, -.826904+1.78453*ii, .287939+1.04956*ii, -.884036+1.73471*ii, 6.42132e-196-8.56176e-196*ii
1.62498-2.46881*ii, 1.43443-.880887*ii, .971798+2.49976*ii, 1.16235+.911835*ii, 6.5321e-201+2.61284e-200*ii, -1.41568-1.51713*ii, -3.36087-1.71382*ii, 2.09801-2.54506*ii, -3.47018e-201-6.5321e-201*ii
1.89733+3.4193*ii, .004222+1.3984*ii, -1.53968-2.79538*ii, .353427-.774472*ii, 1.99344e-203-1.59475e-204*ii, -1.73149-1.49384*ii, .519988+2.26425*ii, -2.40698-.169508*ii, -2.31239e-203-1.51501e-203*ii
1.57708+.880882*ii, -1.22283-1.10585*ii, -2.10833-1.20119*ii, .691587+.785542*ii, -7.23135e-32-1.77081e-32*ii, .605817-.803708*ii, .1969-.134159*ii, .889746+.79468*ii, -1.8287e-32+8.94779e-33*ii
-1.18203-1.82157*ii, -.8528-1.16419*ii, -.322102-1.28346*ii, -.651333-1.94085*ii, -5.88619e-71-3.62227e-71*ii, -.909415-.595568*ii, 2.54526-.064014*ii, 1.1249-.38713*ii, 2.45635e-70+7.24454e-71*ii
-.236946-.326328*ii, .19828+.508503*ii, .355208+.717463*ii, -.0800184-.117368*ii, 5.22568e-200*ii, .13918-1.15276*ii, -.72356+.74055*ii, -.037736-.988325*ii, -6.5321e-200-5.22568e-200*ii
-.359441-1.20664*ii, -.485164-1.8977*ii, -.035553-2.01319*ii, .090171-1.32213*ii, 2.38847e-82+2.75909e-82*ii, -.923595+1.39069*ii, -5.20589+7.624*ii, 1.65949+1.8244*ii, -1.35072e-81-5.60054e-82*ii
-4.04073-3.26381*ii, -3.4696+2.89091*ii, -3.21446+2.3659*ii, -3.78559-3.78882*ii, 3.07009e-199+5.22568e-200*ii, -3.87499+3.82555*ii, -2.9883-.845404*ii, -7.62466-1.60215*ii, -4.49082e-200-8.16513e-200*ii
-.013100+1.08802*ii, .045902+.834929*ii, -.570015-.448283*ii, -.629018-.19519*ii, 7.2926e-62-1.94469e-62*ii, .455923+.109604*ii, .711405+.213129*ii, -.113518+1.95536*ii, -3.95016e-63-2.43087e-63*ii
.418556-1.33274*ii, .604841+.765885*ii, -.685702+1.44708*ii, -.871986-.651548*ii, 6.379e-204-9.72724e-204*ii, -1.90613-1.88358*ii, -2.42244+1.32475*ii, 1.51847-1.72668*ii, -9.56851e-204+1.9137e-203*ii
1.53395-2.41693*ii, -.235973-.0771467*ii, -.614666+1.36239*ii, 1.15526-.977391*ii, -4.31808e-77-5.61351e-77*ii, .828191+1.09254*ii, -.707114-.103465*ii, .659517-.98829*ii, -2.15904e-77*ii
1.05276-1.40359*ii, -.288311-2.48213*ii, -.872284+1.45913*ii, .468782+2.53767*ii, 3.73381e-60-2.52227e-59*ii, -.38131-6.7831*ii, -2.3916+1.72364*ii, 3.99354-3.44143*ii, -1.16993e-58+8.83668e-59*ii
-1.23964-.123953*ii, .856779-.280233*ii, 1.86067-.103864*ii, -.235746+.0524161*ii, 4.08256e-202+2.44954e-201*ii, .358909+.241463*ii, -.499186+1.74267*ii, .432098-.534643*ii, 4.59288e-202-1.22477e-201*ii
-.971733+.491525*ii, -1.05955+1.72643*ii, .386219-.163679*ii, .474036-1.39859*ii, 2.68466e-92-2.45455e-91*ii, 1.44941+1.09173*ii, 1.17647-.190316*ii, 1.72416-.377456*ii, 1.53409e-91+2.45455e-91*ii
.977267-.668238*ii, .516535-2.02076*ii, -1.06938-1.53878*ii, -.608644-.186251*ii, -3.66793e-203+3.1895e-203*ii, .206232-.578366*ii, -.187656+1.67294*ii, 1.03364+.582284*ii, 6.379e-204+8.77113e-204*ii
.528708-1.29799*ii, 1.84997-.756532*ii, .148052-.840954*ii, -1.17321-1.38241*ii, -2.73151e-202+3.06192e-202*ii, 1.59452+.207018*ii, -1.09438+.767129*ii, .385682-2.18349*ii, 1.53096e-202+3.06192e-202*ii
-.266405+.15774*ii, -.348944+.591509*ii, .356363-.202286*ii, .438902-.636056*ii, 4.33772e-202*ii, 1.07083+2.0337*ii, -.443874-.864485*ii, -.688962-.714137*ii, -8.16513e-202-2.09231e-201*ii
.398008+.457255*ii, -.258542-1.07408*ii, .599151-.459387*ii, 1.2557+1.07194*ii, -1.63354e-60-2.33363e-60*ii, .546239-.404494*ii, -1.08376-.227579*ii, 1.61708-.555763*ii, -7.38983e-61-1.8669e-60*ii
-.121386+.0523129*ii, -.03618+1.92466*ii, -.63884+1.41318*ii, -.724047-.459171*ii, 8.92959e-103-8.92959e-103*ii, -2.05248-1.63375*ii, 2.95557-1.93018*ii, -1.27364-2.18414*ii, -2.67888e-102*ii
-.677313-.954185*ii, -2.08153-.255758*ii, -1.63913+.28402*ii, -.234917-.414407*ii, 3.91926e-200-1.63303e-200*ii, -1.78179+.08598*ii, -1.17309+1.77138*ii, -1.77482-.094447*ii, -6.04219e-200+1.95963e-200*ii
-1.54359-.853215*ii, -.852008-.002369*ii, 1.144+.934688*ii, .452424+.0838414*ii, 2.04128e-201+6.63416e-202*ii, .974608-.398809*ii, .867145-1.47695*ii, -.724897-.689308*ii, -6.12384e-202+2.04128e-201*ii
-4.6804-2.8387*ii, -4.80235+1.74847*ii, -5.28171+1.7629*ii, -5.15975-2.82427*ii, 2.39601e-55+2.6509e-55*ii, -.632548-5.91958*ii, -1.95419+.233923*ii, -2.52433+.693826*ii, -4.48615e-55+5.09789e-55*ii
