variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-sintheta*g+ad
T*omega-2*Pii
omega^2*d-ad
-4.00008*L*j^2*Pii^2+.999968*g*Tj^2
points:
1.04026-2.15587*ii, -.464779-3.82684*ii, .481282+1.34199*ii, -3.13974+3.72581*ii, -.240753-.850163*ii, -1.06923+.493656*ii, 2.02679+1.79756*ii, 3.9909+3.19631*ii, .3005+.182597*ii, 2.45595-1.23276*ii, -2.6509-.147796*ii
.117106-.155544*ii, .507355+2.45756*ii, -.839226+.203155*ii, 1.94-.199426*ii, .0002266+.0874288*ii, .235093-.113691*ii, -1.77561-1.34405*ii, .0674556-.0264995*ii, 1.63438-1.97932*ii, -.462525-.979687*ii, .259875+.969146*ii
1.13625-2.40558*ii, -.286513-3.34587*ii, .64261+1.31164*ii, -1.63176+4.22298*ii, -.535988-.898762*ii, -1.21744+.27021*ii, 1.41822+2.11001*ii, 4.20264+2.62328*ii, -.235024-.380159*ii, 2.10224-1.26295*ii, -2.95294-.803301*ii
-2.65439-.503582*ii, -1.32842-1.92183*ii, -.62753-.82261*ii, 1.87814-7.54663*ii, -.434259-.0097497*ii, .201582+2.51579*ii, 6.1354+1.02189*ii, -1.13484-1.61598*ii, .032585+4.8901*ii, -.373647+1.14939*ii, -4.31315+5.07527*ii
-.14388-.261458*ii, 2.27151-.509081*ii, -.691972+.701084*ii, .919026-3.94477*ii, -.125905+.0355115*ii, .271366-.14474*ii, .516+2.22217*ii, -.928559+.440934*ii, -1.12836+.000731*ii, -.607458+.972396*ii, -1.64018+.571435*ii
.041381-1.47316*ii, -1.72387-.915829*ii, 1.05282+.337964*ii, 3.89734+3.38437*ii, -.295604-.654347*ii, -.67377-.999468*ii, 1.84604+.897197*ii, 2.62917-1.16713*ii, -1.08963+.144387*ii, -.752706-.773406*ii, -2.73337-.64614*ii
-.291828+.224322*ii, -1.82095+1.47806*ii, -.795289-.346945*ii, -.507719-1.41525*ii, -.0858309-.0491942*ii, -.0452705+.486813*ii, 1.43175-3.43414*ii, -.417792+.539426*ii, 3.58223+.993928*ii, .980494-.271857*ii, -.426986+3.21144*ii
.185866-.193578*ii, .605874+.121502*ii, -.725995+.60329*ii, .154712-1.10449*ii, .009137-.783118*ii, .251767+.165303*ii, .249924+.234425*ii, .287159+.846848*ii, .809718-.502509*ii, -.256581+.138654*ii, -.621994+.647687*ii
-12.2255-12.2847*ii, 7.17013-17.555*ii, 5.74452+1.16472*ii, -42.2391+7.85861*ii, 14.6595+56.5793*ii, -.467016-.190732*ii, -.255928+.149767*ii, 6.9675+13.3955*ii, .0516161+.00946365*ii, 30.8178-46.2469*ii, -.36011+41.6205*ii
-12.206-12.4609*ii, 7.27731-17.3797*ii, 5.78485+1.16541*ii, -41.9208+7.45304*ii, 14.0542+56.8175*ii, -.461731-.194204*ii, -.256744+.15132*ii, 6.86393+13.2093*ii, -.0521525-.00971434*ii, 31.1764-46.029*ii, -.86595+41.6795*ii
.562002-3.3755*ii, -1.78624+1.15529*ii, -.241072-.822098*ii, 7.55245+1.27022*ii, -3.11153-4.25713*ii, -3.12812+3.45719*ii, .453924+.463786*ii, 3.9571-.75497*ii, 1.32273-.102462*ii, .690189+.594978*ii, -5.96384-.851425*ii
.0554046-.00189546*ii, 1.37303+.580637*ii, -.0745443-.140384*ii, 1.08171-2.7481*ii, 1.56575+1.84193*ii, -1.29045-1.77469*ii, .0142462-.0179696*ii, -1.95095+.638198*ii, -.308224+.707642*ii, -.0104196-.118017*ii, -.998216+1.41348*ii
.468035+.198055*ii, -1.05772+1.23846*ii, .285021+.38779*ii, 1.61954+1.37689*ii, -.0401683+.283599*ii, .212867-2.18384*ii, .455475-1.71485*ii, .0026599-.444229*ii, .780864-.440635*ii, -.390868-.0285936*ii, -.296532+.189039*ii
-17.1635-20.4127*ii, 11.9908-8.67932*ii, 8.41339-1.44723*ii, -23.4972-13.2237*ii, -5.9606+77.0597*ii, -.128379-.342682*ii, -.246193+.241773*ii, -.000319622+.00136229*ii, -7.07712+.753635*ii, 44.161-45.1879*ii, -21.553+53.0637*ii
.346347-1.14031*ii, -.375072+.119492*ii, -.457448+.915987*ii, 1.51721+1.45094*ii, -1.74096-1.77668*ii, .671117+.917624*ii, .229977+.420294*ii, 2.49064+.119953*ii, .857067-1.55181*ii, .0310616-.199111*ii, -1.61215-.240955*ii
-1.87266-3.91317*ii, -.100205+3.34107*ii, -.324951-1.03987*ii, 10.4717-4.53811*ii, -6.29701+1.31125*ii, -.580197+3.60865*ii, .161003+.654959*ii, 1.62589-4.60138*ii, -.343202-.804665*ii, 1.75341-.490743*ii, -7.93987+3.22389*ii
1.17049-.251029*ii, -.100035-1.13285*ii, .38581+.589851*ii, -1.07623+1.99377*ii, 1.73309-.257415*ii, -1.40718-1.95623*ii, .681849-.04357*ii, .615513+2.13544*ii, .318038+.360259*ii, .31481-.248036*ii, -.45472-.525245*ii
.784234-1.82143*ii, 1.52344+3.20489*ii, -.430278-.697785*ii, 5.01023-.362019*ii, -.127851+.553833*ii, -2.94568+.174309*ii, -3.43273-.623577*ii, .219425+.397372*ii, .940698-1.95482*ii, .79041-1.22101*ii, -2.26397+.23744*ii
-.0309741-.0680784*ii, .69735+.725774*ii, -.701532+.30504*ii, .722995-1.64542*ii, .374353-.0470491*ii, .0489852-.118049*ii, -.0589532-.189266*ii, -.351636+.501263*ii, .827301-.411167*ii, -.355302-.148217*ii, -.476237+1.1559*ii
-1.48402-3.55541*ii, 3.29428-.027070*ii, -.493208-.816008*ii, 8.39236-4.73843*ii, -.591414+.382382*ii, -2.70375+3.26324*ii, -.971505+5.38357*ii, 1.25076-1.58575*ii, -3.20196-.362193*ii, -.823428-1.3374*ii, -6.03425+1.18923*ii
-2.6135-1.40523*ii, 2.11519+2.22553*ii, -.825821-1.10245*ii, 4.9043-7.41219*ii, -.410253+4.42786*ii, -.323506+1.53009*ii, -.260438+.614371*ii, -2.15756-2.37276*ii, -.561384+.411348*ii, .353385-2.08489*ii, -3.30047+5.54495*ii
