variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
75.0024*P-314.001*qc^2*x0^2*w^4
points:
-.759386+.778006*ii, -1.9521+1.20685*ii, -.544798+.636476*ii, .048301+1.27451*ii, -1.39331-.490425*ii, -.209022-.347021*ii, -.580212+.722814*ii, -.195293-.100603*ii, -.796352+.23012*ii, .720249-1.43705*ii
2.07891-.733794*ii, 1.37732-.164891*ii, .556136-.171133*ii, 1.42772+.140453*ii, 1.47571+1.08373*ii, -.459822+.0547089*ii, .625594+.052363*ii, .844697+.110083*ii, .483198-.815936*ii, -.316124+.615994*ii
-.938573-.739008*ii, .0025128+.0824254*ii, -2.5128+.692728*ii, .745214+.661316*ii, -.513504-1.49207*ii, -.194935+.0239521*ii, -1.36805-.376615*ii, -.871246-.488154*ii, -.775786-1.30794*ii, -.617187-.049159*ii
1.4912-.502119*ii, -.266835+.271612*ii, .378337-1.05498*ii, .66223+.638325*ii, 1.1627+.427047*ii, -.221417-.23765*ii, .649354+.011438*ii, .854458-.42602*ii, .439701-.481243*ii, .481999-.632857*ii
-1.57036-.774895*ii, -2.43451-1.62678*ii, -.480414+1.21155*ii, -.427839-.0227993*ii, -.618787-1.83079*ii, .0001369-.16458*ii, -1.15237+.52984*ii, -.0383368-.0422773*ii, -1.89798-.539344*ii, 2.1944+.269284*ii
2.16707-.004744*ii, 1.29356+1.00285*ii, .476929-.378121*ii, 1.47826+.721661*ii, .975196+1.4848*ii, -.491095-.0331582*ii, .759603+.176473*ii, .725188+.056093*ii, .827839-.426685*ii, -.772101-.202442*ii
-.0364668-.0288005*ii, .462165+1.40329*ii, .325678+.0220958*ii, .831836+.636769*ii, -.316132+.435198*ii, -.674371+.703748*ii, .018305+.00461385*ii, .424969-.0959511*ii, .022263+.213343*ii, -.450741-.717904*ii
1.23341-.791799*ii, .474584-.622679*ii, .734684+.113834*ii, .934508-.038449*ii, 1.07614+.524027*ii, -.387817+.130241*ii, .336423+.202361*ii, .840515+.132612*ii, -.084772-.599171*ii, .471591+.610173*ii
.988278+1.31371*ii, .0278119+.0699455*ii, 1.92095+1.30407*ii, .735813+.376425*ii, -.426135+1.78428*ii, -.100184+.144441*ii, .255156+1.46947*ii, .849797+.970063*ii, -.22569+.592403*ii, .738326+.430046*ii
.853331-.625302*ii, -.676185-.17881*ii, .720297-.161933*ii, .504746+.297078*ii, .707104+.151801*ii, -.402702-.111807*ii, .379892+.291082*ii, .829628-.068816*ii, -.25892-.293691*ii, .994106-.221559*ii
-1.44855-.363943*ii, -2.49559-1.24976*ii, -.192627+1.2299*ii, -.427881+.149461*ii, -.823342-1.48035*ii, .0014951-.184994*ii, -1.01762+.723548*ii, .0305366+.0574609*ii, -1.77642-.260929*ii, 2.16172+.036313*ii
.585705-.964175*ii, .105542-.0637571*ii, -1.77026-1.14972*ii, .687744+.750393*ii, 1.00016-.837435*ii, .11096-.215759*ii, -.34576-.670357*ii, -.069271-.987651*ii, .305502-1.41732*ii, -.299313-.453985*ii
2.27031+1.85313*ii, 1.33756+.936836*ii, .419133+.530222*ii, 1.45205+1.15795*ii, .019545+2.34892*ii, .269775-.336893*ii, .310432+1.13463*ii, .318226+.588948*ii, .927787-.154982*ii, -.909875+.118041*ii
-1.02787-.231382*ii, -.0085655-.0645675*ii, -2.66633+.622666*ii, .611455+.79279*ii, -.678859-1.38777*ii, .194118+.0026587*ii, -1.5575-.238352*ii, -.988134-.521628*ii, -.636489-1.29105*ii, -.617422-.014898*ii
.410938-.521129*ii, -.076127-1.77328*ii, -.656251+.930379*ii, .637236-.035696*ii, .518442-.415517*ii, .259876-.258485*ii, -.724423+.424811*ii, .0343864+.143706*ii, -.720794-1.24526*ii, .743987+1.24623*ii
.684721+.622623*ii, .466011-.350697*ii, -2.09774+.171139*ii, .87233+1.02701*ii, .0701155-.101296*ii, .743476-.524176*ii, -.95364+.24061*ii, -.631892-.330098*ii, .220156-1.40174*ii, -.642726+.256998*ii
-1.06626+.001656*ii, -.0017289+.0724258*ii, -2.55407+.765766*ii, .616494+.847208*ii, -.866623-1.23643*ii, .20167+.0277583*ii, -1.57091-.114756*ii, -1.00083-.427199*ii, -.641498-1.15278*ii, -.652032-.04599*ii
-.0096843-.475992*ii, -.422934+.94569*ii, .836429-.061563*ii, .523535+.430799*ii, -.0433564+.13833*ii, -.800252+.497562*ii, .262298+.0963782*ii, .742212-.095608*ii, -.311377+.284405*ii, .451274-.784224*ii
-.475258-.253257*ii, -.456597+.594251*ii, .469236-.754502*ii, .154582+.481313*ii, .0123327-.158195*ii, -.232616+.718929*ii, -.0341929-.136605*ii, .66104-.506493*ii, -.0485359+.208159*ii, .525133-.868668*ii
.0486763+.0197236*ii, -1.93155+.852262*ii, -.191978+.364464*ii, .232331+1.02652*ii, -.545902-.432113*ii, -.485692-.590302*ii, -.078312+.581606*ii, .170104-.107898*ii, -.733576-.053890*ii, .989772-1.24387*ii
1.93417+.175738*ii, .0889418+.0016539*ii, 1.94351-.517028*ii, .727006+.329147*ii, 1.10172+1.5658*ii, -.179986+.0246768*ii, 1.02469+.659141*ii, 1.39917+.212127*ii, .502806+.149661*ii, .849914-.065554*ii
1.80176-.970852*ii, .144506-.0542653*ii, .182461-1.657*ii, .74336+.496439*ii, 1.81781+.319108*ii, -.127192-.173454*ii, .766176-.367098*ii, .966082-.704795*ii, .743398-.835996*ii, .339717-.470446*ii
-1.17917+.974295*ii, .0724407+.019499*ii, -1.56301+2.27312*ii, .731012+.698948*ii, -1.75752-.395653*ii, .131102+.123363*ii, -1.68879+.803507*ii, -.966092+.473339*ii, -1.10007-.529797*ii, -.44728+.55566*ii
1.00899-.553601*ii, .140207-.0118238*ii, .126113-1.59026*ii, .489793+.511252*ii, 1.28583+.192355*ii, .110916+.205073*ii, .389003-.34894*ii, .821594-.752779*ii, .66958-.563741*ii, .308384-.516845*ii
