variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
2.14693+1.25092*ii, -1.79862+2.23976*ii, -.533557-2.5535*ii, -2.14097+1.50542*ii, 2.26709-.861744*ii, -.217137-.704482*ii, 1.56398+.556013*ii, -.0751349-.135656*ii, -.58593+.414388*ii, .3304+2.35616*ii
-.55581-1.91978*ii, -.223001-.318852*ii, -.536234+.433723*ii, .364113+.0168528*ii, -1.37723-.455507*ii, .0429583+.170607*ii, -.600791+.906963*ii, -.920456-.108602*ii, .252328+.476994*ii, 1.00788-.062437*ii
2.24509+2.19697*ii, -1.87041+3.72612*ii, -.760833-3.4607*ii, -2.53876+1.7567*ii, 3.54427-.874028*ii, -.584137-1.00554*ii, 2.79631+.436457*ii, .0527585+.129154*ii, -.607942+.412335*ii, .714084+2.74165*ii
3.77391+4.49081*ii, -1.35372+.437266*ii, -.843774-6.26527*ii, -4.20399+1.51116*ii, 5.73003-2.38425*ii, .619101+.964296*ii, 1.61226-.002954*ii, .293753+.0945882*ii, .0027713+.135013*ii, -2.30333+3.0972*ii
1.63095+1.07097*ii, -.658432+.262332*ii, -.013723-2.39884*ii, -1.8586+.773839*ii, 1.88125-.883323*ii, -.0328635+.397629*ii, .328065+.310192*ii, -.238077-.225305*ii, -.171617+.481988*ii, -.576859+1.27529*ii
.388063-.225396*ii, .0285038-.0107404*ii, -.734589+.37894*ii, -.589764+.07656*ii, -.633841-.879979*ii, -.00614762+.00477474*ii, .0002084-.000259629*ii, -.206332+.0179664*ii, -.144397+.032953*ii, .538056-.036640*ii
-.86094-.424696*ii, .238594-.268258*ii, -.392494+1.89692*ii, -.127855-.747868*ii, -1.81458-.117345*ii, -.0617506-.206007*ii, -.0852903+.0502311*ii, -.165474+.253821*ii, -.158233-.257113*ii, .773737-1.04071*ii
-1.31637+1.17749*ii, .0459609-.39767*ii, -.068658+.745199*ii, -.89653-1.26021*ii, -.47275+.208859*ii, .116189+.0939458*ii, .531255+.254246*ii, -.071523+.658965*ii, .0951366-.499401*ii, -.038604-1.05457*ii
-.832331-2.05051*ii, -.297403-.299497*ii, .610679+1.0023*ii, .347535-.186994*ii, -1.7091+.546275*ii, -.3138-.0029589*ii, -.880264+.988201*ii, -.881855-.332275*ii, -.075729+.670054*ii, .848319-.406876*ii
.060485+3.69101*ii, -.181433+.368753*ii, -.673457-.80197*ii, -2.42379-.868389*ii, 1.61323-.624798*ii, .255297-.0058265*ii, 1.78531-.428933*ii, .620103+.9566*ii, -.123259-.958218*ii, -.742657-.223711*ii
-.559731+.185296*ii, -.327842-.567364*ii, .282492+2.56534*ii, -.706379-.912461*ii, -2.15317+.441647*ii, .046353-.578467*ii, -.248924-.0148497*ii, .224113+.138565*ii, -.660394-.509266*ii, .204222-1.03417*ii
2.95987-2.7018*ii, .20135+.757394*ii, -4.60863+.910912*ii, .526068+2.16696*ii, -2.04923-4.47565*ii, .560285-.489543*ii, -.179404-.821516*ii, -.239346-.326163*ii, -.118337-.0287203*ii, 2.59313+1.54185*ii
-3.08143+.767503*ii, .0440174-.462424*ii, 1.94658+1.51738*ii, -.485396-2.17299*ii, -.998995+2.33228*ii, -.459653+.0567459*ii, .225266+.907844*ii, -.387795+.606501*ii, .0350001-.146321*ii, -.146034-2.08449*ii
-.290546+.165407*ii, -.459257+.24063*ii, 2.25069+1.70088*ii, -1.04597-.546526*ii, -1.13372+1.81834*ii, -.849897-.615976*ii, -.328529+.20484*ii, .0840056-.406342*ii, -1.08691+.320128*ii, -.078787-.800573*ii
2.69173+2.08487*ii, .422327-.202206*ii, -.483735-.154272*ii, -2.27462+.547952*ii, .675095-1.60422*ii, -.0833293+.0792799*ii, .13336-1.45539*ii, .854593-.257979*ii, -.918454-.302024*ii, -.7679+.308596*ii
.0935646-.0526446*ii, -4.84408+1.81937*ii, .983967+1.22373*ii, -1.7395+.41054*ii, -1.37572+1.96551*ii, .43917-2.65223*ii, 1.02668+2.42378*ii, -.0635572-.0878236*ii, -1.46009-.248422*ii, .579826+2.14585*ii
2.26896-.707001*ii, .358386+.390188*ii, -1.28974-.435592*ii, -.719887+1.29031*ii, -.075455-2.04993*ii, -.217123+.12119*ii, -.25882-.6107*ii, -.12783-.5159*ii, -.383679+.464486*ii, .732549+.840847*ii
-1.41095-1.23298*ii, 3.44748-3.60357*ii, -.321255+3.7543*ii, .94377-1.96496*ii, -3.65765-.957158*ii, -.007112+1.60045*ii, -2.40134-1.49333*ii, -.103136+.0543627*ii, .366356-.361837*ii, -.052439-3.70055*ii
2.26563+.428995*ii, -.469952-.080669*ii, -.588034-.532219*ii, -1.5626+.92402*ii, .227018-1.41039*ii, .10419-.045154*ii, -.200292-.340904*ii, .15626-.428341*ii, -.632724+.146053*ii, -.200883+.99905*ii
-.163981+3.35705*ii, -.244691+.392143*ii, .236077-.439345*ii, -2.33018-.957046*ii, 1.3347+.15546*ii, -.0462576-.106145*ii, 1.4884-.283929*ii, .558795+.731838*ii, -.340701-.710746*ii, -.798138-.438549*ii
.102966+.0265881*ii, -4.71419+1.73921*ii, .312091+1.64887*ii, -1.65004+.333492*ii, -1.73025+1.49178*ii, .642559-2.72898*ii, 1.14979+2.20058*ii, .0675587+.0848031*ii, -1.40623-.543865*ii, .767293+2.03086*ii
-.67961-.952519*ii, 4.66058-3.84338*ii, -.713141+3.49493*ii, .908347-1.77133*ii, -3.25108-1.82656*ii, -.218473+2.13408*ii, -2.58431-2.41982*ii, .0942539-.0520963*ii, .430837-.298822*ii, -.167849-4.03305*ii
.0920837-.352653*ii, 4.78452-4.03837*ii, -1.18485+2.09036*ii, .450491-1.40846*ii, -2.09168-2.64069*ii, -.010750+2.60024*ii, -2.47952-2.56919*ii, .09312-.0470898*ii, .663214-.240193*ii, -.623072-3.48778*ii
