variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
-S*dA+P
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
.360278-.584877*ii, .41543+.251881*ii, .494529+.918976*ii, .453514+.61216*ii, .657987+.510577*ii, .343828-.146148*ii, .521429-.044703*ii, -.427299+.284747*ii, -1.10232+.466362*ii, .674583+.344911*ii
-1.397-.538371*ii, 1.69313-.924892*ii, -.978721+.079554*ii, -.880555-.909245*ii, .880821+.214906*ii, -.451406-.150399*ii, .740624+1.74428*ii, .114971+.217537*ii, .332536-.514331*ii, .518998-2.04583*ii
-.553096-.741127*ii, -.22883+.209092*ii, -1.17864+2.46635*ii, -1.42461-.482928*ii, 1.75031-.020115*ii, -.166478-.149483*ii, .430036+1.32292*ii, -.263485-1.28537*ii, -1.69217-1.36015*ii, -.292458-.341149*ii
.0948189-.466309*ii, .0734805-.325328*ii, .622021-.349678*ii, 1.22899+.584723*ii, .108121+.674764*ii, .649425-.150585*ii, .389193-.517644*ii, .526543+.644257*ii, -.353508+1.06301*ii, .648085-.032077*ii
.203845-.373729*ii, -.752843-.140335*ii, -.734142-1.43091*ii, -2.61605+.989629*ii, -.0329768-.00388454*ii, 2.04704+2.0371*ii, -.163416+1.17942*ii, -.385148-.305101*ii, .359739-.472212*ii, -1.15007-.708336*ii
-.0645967-.453796*ii, -1.02407+.268598*ii, .726286+.902617*ii, .729487+1.69507*ii, .129138+.0881773*ii, 1.25651-.20789*ii, .722094-.440534*ii, .299519-.0052096*ii, -1.74975+.896495*ii, -.094488+.867536*ii
-3.56491+1.52104*ii, 3.33316-1.24682*ii, -1.29265+1.09172*ii, -.442465-.926737*ii, .011676+.00581695*ii, -2.11266-1.71627*ii, 2.98696+2.63072*ii, -.145468-.127325*ii, .479238-.287862*ii, .274092-2.98786*ii
-.217913-.165071*ii, .631292-1.60581*ii, .0752309-.0275447*ii, -1.97813-1.77334*ii, 1.23178+.016813*ii, -1.05394+1.78201*ii, .138333+.712966*ii, .0527682-.161937*ii, .233429-.495394*ii, -.069405-2.10973*ii
-.329514-.144727*ii, 1.00692-1.82164*ii, .0739339-.0379237*ii, -1.92892-1.61032*ii, 1.1747+.02056*ii, -1.10274+1.69779*ii, .402549+.809792*ii, -.0078395+.157355*ii, .273304-.50426*ii, .009381-2.26539*ii
-3.26896+1.67268*ii, 3.04938-1.91671*ii, -1.00952+.982061*ii, -.485828-.902858*ii, .0121602+.0135455*ii, -2.20881-1.22035*ii, 3.09834+2.13877*ii, .120746+.141177*ii, .444885-.285612*ii, .014855-3.10395*ii
.152924-.347534*ii, .151206+.477372*ii, .17667-.0230116*ii, 1.06854+1.84725*ii, -.254255+.718904*ii, 1.47599-.568104*ii, .805388-.088863*ii, -.154445+.600338*ii, -.702475+.849229*ii, .383547+.703875*ii
.220061-.347215*ii, .213695-.292402*ii, -.0570502+.264596*ii, 1.97465-.105373*ii, .50884+1.24485*ii, .056865-.928328*ii, .397956-.708815*ii, .78729+.342249*ii, -.293045+.596872*ii, .874307+.076575*ii
.991738-.526693*ii, -.0567998+.329277*ii, .03537+1.25039*ii, .139391-.199911*ii, 1.16716+.841203*ii, -.0009300+.146842*ii, .0329475-.271675*ii, -.421512-.337336*ii, -1.02906-.162329*ii, .472798+.479638*ii
-.916662-1.28774*ii, 1.2437-.513618*ii, -1.0962-.258399*ii, -.915949-.588253*ii, 1.03008+.271464*ii, .379792+.0155273*ii, .082096+1.71874*ii, .136345+.307276*ii, .262337-.575254*ii, .636481-1.61391*ii
-.470623+.540215*ii, -.0603718+.255036*ii, .607015-.634554*ii, -.0708442-.364341*ii, -.207524+.300622*ii, -.0024317+.429234*ii, .230163+.133196*ii, .020262-.678202*ii, .242443+1.1228*ii, .125377-.554032*ii
-.0333495-.0416021*ii, -.0844715+.0808061*ii, -.216163-.684522*ii, .533875-.339104*ii, .141784+.867029*ii, .399137-.0195557*ii, -.0319119-.0109014*ii, .433538-.324802*ii, .393176+.55503*ii, .322084-.373245*ii
1.81784+2.20088*ii, -.0796625+.253544*ii, -.00092601-.0270516*ii, -.145126-.428331*ii, -.222972+1.738*ii, -.670506+1.03382*ii, .678892-1.09804*ii, -1.07078-1.01334*ii, .631231+.080328*ii, -.589557+.493031*ii
-1.6923+.821154*ii, -.0470863+.253216*ii, -.505023+.744376*ii, -.211668-.669255*ii, .148308+.0835767*ii, -.55547-.649125*ii, .907767+.958768*ii, .339494-1.50052*ii, -.306666+.294612*ii, -.283028-.881147*ii
-.351227-.892648*ii, -1.20141-.411243*ii, 1.48159+3.06502*ii, .021839+1.26443*ii, 1.25284-.783771*ii, .175956+.0952163*ii, 1.12102-.463595*ii, .258686-.150135*ii, -3.49142+.486849*ii, -.165616+.69426*ii
-.035359-.0311879*ii, -.155612+.0911071*ii, 1.09926-.621764*ii, -.464156-.0014547*ii, .0196508+.0458663*ii, .344844+1.02661*ii, .0163667+.0145275*ii, -.17748-.220302*ii, -.147209+1.16183*ii, .206136-.418639*ii
-.00164618+.00211218*ii, -.00052048+.0227279*ii, -.58984+.265511*ii, .566852-1.08677*ii, .738265+1.02094*ii, -.353061-.338883*ii, .00136231+.00298631*ii, .453126-.741546*ii, .0970984+.0088468*ii, .392016-.419607*ii
-.922716+.944106*ii, -.0757202+.257887*ii, 1.01426+.501772*ii, -.292395-.504721*ii, -.0301814-.126544*ii, -.739066+.291068*ii, .746307+.189663*ii, -.180655-1.11126*ii, -.527015+1.1627*ii, -.03816-.544334*ii
-1.03085-.537318*ii, 1.53749-.285037*ii, -1.04641+.099418*ii, -.926799-1.18356*ii, .966742+.389895*ii, -.445277-.142105*ii, .319438+1.71806*ii, -.186463-.22409*ii, .422293-.531918*ii, .632682-1.6899*ii
.704972-.525488*ii, -.104645+.360042*ii, -.063148+1.41976*ii, .302629-.0296545*ii, 1.11475+.768916*ii, .063578-.145317*ii, .197762-.179934*ii, -.288548-.378018*ii, -1.18494-.14455*ii, .431731+.507742*ii
