variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-theta*L+d
-ad+omega^2*d
-T*j+Tj
.999968*g*Tj^2-4.00008*L*j^2*Pii^2
points:
.00290372-.00246485*ii, -.369671+.0439382*ii, .127495-.0645853*ii, .727379+.613166*ii, .790673+.94427*ii, .181388+.0432278*ii, .137273-.109955*ii, .175066-.0881472*ii, .594462+.092309*ii, -.171962+.038951*ii, -.223812-.0080044*ii
-.275501+.020995*ii, .225171-.349863*ii, 1.08679+.192724*ii, -.199446+.881146*ii, .553+1.15382*ii, -.206428+.0939423*ii, .565791-.006188*ii, .15186+.199898*ii, -.343279+.912317*ii, -.0329905+.310562*ii, .24189+.325528*ii
5.54519-.7291*ii, .166575+.117908*ii, -.929558+.290254*ii, -1.00842+9.89826*ii, -.804064+4.04885*ii, 5.2459+2.69504*ii, -2.43529+4.10031*ii, .216038-.551991*ii, 3.19531+6.69051*ii, -.185879+.221846*ii, -.256608+1.49122*ii
.493102-.175879*ii, .280415-.0018683*ii, .702474-.473926*ii, .695102+1.44037*ii, .904241+1.10325*ii, .48423+.54504*ii, .546549+.487371*ii, .438515-.124563*ii, .713174+.827174*ii, .156302+.0845444*ii, .20153+.23062*ii
-2.62403-4.79425*ii, .135016-.0590126*ii, .952354-.357655*ii, 12.3935+1.26796*ii, 5.42492+1.62054*ii, 1.1407-5.15643*ii, 6.11467+2.04086*ii, .048961-.421068*ii, 8.40089-3.60314*ii, .255287+.131782*ii, .921624-.98224*ii
-6.04583-3.02484*ii, .164259-.657499*ii, 1.04705-.455695*ii, 6.88173+1.65151*ii, 3.85558+1.45905*ii, -1.46215-4.9739*ii, 5.32733+.627754*ii, -.364906-.635198*ii, 4.07953-.405965*ii, -.894579+.201189*ii, .403179-2.74897*ii
5.09084-3.56006*ii, .272221+.151274*ii, -.958604+.335271*ii, 2.67323+7.14035*ii, .552101+3.43984*ii, 6.01162+.377075*ii, -.532085+4.20518*ii, .322771-.721083*ii, 4.52067+2.91027*ii, .126956-.33759*ii, .790373+1.47609*ii
1.09838-.260639*ii, .593401-3.03406*ii, 3.94973+1.28058*ii, -.0251545-.0215068*ii, .119669+1.87279*ii, .0427193-.0496245*ii, 1.84836-1.354*ii, -.006682+1.9785*ii, -.698199+.895668*ii, 1.31333+1.02083*ii, 2.3032+2.64986*ii
2.55748-1.839*ii, -2.05051+1.6781*ii, 3.83856+.614599*ii, -.0078112-.0789067*ii, 1.58406+2.39741*ii, .122778-.168443*ii, -1.97266+1.42794*ii, 1.96146+1.75016*ii, -.308618-1.0901*ii, 1.24777+.262561*ii, 2.46212+1.71736*ii
-.549789-.185577*ii, -.313505-.186206*ii, 1.11394+.062162*ii, -1.03819+.39302*ii, .424808+1.13092*ii, -.455542-.0990218*ii, -.0175596-.281066*ii, .352203+.22871*ii, -1.08364+.764159*ii, -.125804+.0803887*ii, .482017-.0377879*ii
.150008-.0992124*ii, .0293959-.0680814*ii, .458941-.397124*ii, .373402+1.2647*ii, .758122+1.06615*ii, .325071+.364335*ii, .34766+.2024*ii, .334786-.158189*ii, .458323+.824528*ii, -.0300775+.0242673*ii, .0696078-.0069655*ii
.0255812-.032444*ii, -.246265+.535388*ii, .141117-.301077*ii, -.271033+.708033*ii, .640645+.868138*ii, .0775091+.365566*ii, -.297333+.241429*ii, .413775-.267863*ii, -.18778+.409536*ii, -.241455-.095706*ii, -.173017-.20139*ii
-5.09931-5.16118*ii, .576421+.072417*ii, 1.07267-.36382*ii, 6.70032-2.16812*ii, 3.88055+.365649*ii, -.707142-5.61075*ii, 5.3435+.714876*ii, .149747-.788929*ii, 2.25345-3.92606*ii, -.477742-.58155*ii, 1.58325-2.09988*ii
-.0341252-.15136*ii, -.201497-.266199*ii, .2218-.568598*ii, .355177+1.0077*ii, .712863+.964404*ii, .342557+.236976*ii, .309841-.163487*ii, .315755-.228648*ii, .449841+.679532*ii, -.0863637-.132593*ii, .0902495-.256671*ii
-144.952+34.025*ii, -41.776+44.7767*ii, -1.03299+.388823*ii, 16.1554-5.55779*ii, 39.0501-1.49026*ii, -107.869-57.4601*ii, 3.58234-11.5455*ii, -4.8763-5.23425*ii, -.439466+1.38951*ii, -38.087+11.5574*ii, -43.8587-77.7262*ii
-2.64883+2.12523*ii, -2.65161-1.67942*ii, -4.83084-2.21948*ii, -.0540329-.0264751*ii, -.29837-.49594*ii, -.0039989+.120091*ii, -.982718-4.17212*ii, -.818495-1.8215*ii, 1.33925+.542388*ii, -1.81619-1.4098*ii, -2.64026-3.68737*ii
2.17746-7.38343*ii, 1.68495-.040074*ii, -.994375+.449892*ii, 2.16564+3.44525*ii, .703092+2.25658*ii, 5.8625-2.71894*ii, 1.78574+4.21197*ii, .201009-1.57527*ii, 1.42245+.245638*ii, -.405893-1.3715*ii, 2.40659+.356884*ii
5.09755+3.18677*ii, -.164867-.035082*ii, -5.03905-3.66407*ii, 33.3852-29.3949*ii, 10.2394-11.6571*ii, .118582-.0996166*ii, 10.7623-10.9418*ii, .00348074+.000080854*ii, 17.5517-34.5861*ii, 5.48525-1.10497*ii, -4.10705+5.08636*ii
-.605462+.558085*ii, -1.23663+.483052*ii, -.661733+1.02473*ii, .47691+1.40063*ii, .519826+1.43274*ii, -.174444-.525185*ii, -.836923-.004609*ii, -.37401-.0028029*ii, .824773+.532377*ii, -.924545+.362204*ii, -1.27711-.259946*ii
-.0597748+.00415109*ii, .181778-.390732*ii, .10986+.613363*ii, -.82685-.179713*ii, -.033954+.718006*ii, .148087+.0434067*ii, .110583-.455608*ii, -.181914-.0129581*ii, -1.07287+.115545*ii, -.333278+.0909671*ii, -.149878+.440209*ii
.0514832+.037986*ii, -.0846484-.137109*ii, -.309793+.443119*ii, -1.30215-3.20766*ii, -.208036-.368187*ii, -.182519+.120785*ii, -.295774-1.54236*ii, -.0124968-.0619741*ii, -2.33729-2.17288*ii, -.209313-.34267*ii, -.100074+.504395*ii
