variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
-theta*L+d
-ad+omega^2*d
1.0028*g*Tj^2-3.9921*L*j^2*Pii^2
points:
-3.25227e-62+2.61469e-61*ii, 1.70051+2.93442*ii, -1.82935-1.74341*ii, 1.97708-.88594*ii, .663606+1.64258*ii, -2.53742e-17+1.27914e-16*ii, 3.44638e-16-3.96952e-16*ii, 7.99465e-17+1.58588e-17*ii, .548856-2.57008*ii, 1.26974-.496966*ii, 2.97446-1.68247*ii
9.64969e-33-4.6244e-32*ii, -1.08807-.026913*ii, -.77891-.135612*ii, .626298-1.34657*ii, .816645+1.00129*ii, -3.38713e-32+1.96057e-32*ii, -2.3015e-32-2.84082e-32*ii, -1.16705e-34+1.07372e-35*ii, -1.10487+1.56492*ii, .86749-.459117*ii, .0092762+.212484*ii
-1.50609e-32-3.43149e-32*ii, .192718-1.28369*ii, .628164+.33441*ii, 1.38489+.140192*ii, 1.67427-.662072*ii, 7.31671e-33+8.93672e-33*ii, -7.7037e-34-2.08e-32*ii, 5.87629e-33+5.85818e-33*ii, -.541651+1.56209*ii, .311335-.720542*ii, .758148+1.18054*ii
-1.69765e-31+3.72086e-31*ii, .894293+2.01766*ii, -2.5856-1.95824*ii, 2.29144-.958701*ii, .423912+.617381*ii, 2.96734e-32+2.51176e-32*ii, 2.8127e-31+4.68105e-31*ii, -6.25011e-33+1.20866e-32*ii, -.40196+2.24662*ii, 3.47549-1.26545*ii, -.879115+2.50906*ii
-1.74783e-32+1.03007e-31*ii, -1.1313+.985734*ii, -1.65553+.240629*ii, 1.37549-1.59557*ii, -.688836+.598749*ii, -1.64646e-32+3.35046e-32*ii, 8.84938e-32-7.26172e-32*ii, 6.97556e-33-6.54607e-33*ii, .29609-.784381*ii, 1.10247-1.74306*ii, .575357+.656336*ii
5.23621e-31+4.17732e-31*ii, -.756998+4.89616*ii, -8.43926+.56372*ii, -8.26593+2.87449*ii, 2.70946-.71677*ii, 6.47775e-33+6.76084e-33*ii, 1.42498e-31+1.91872e-31*ii, 2.21224e-33-2.84183e-33*ii, -10.3941-5.74086*ii, -1.05426-3.72861*ii, -7.18693-8.67957*ii
-1.96853e-31-2.58621e-32*ii, .036366+.636112*ii, .578786+1.1358*ii, -.48443-.303927*ii, .510659+1.04398*ii, 5.83177e-32+1.07362e-31*ii, -9.44153e-32+1.42377e-31*ii, -9.21061e-32-2.84135e-32*ii, -.136726-.368876*ii, -.904336-.321387*ii, -.509444+.34619*ii
-7.99798e-68-2.36462e-67*ii, 5.65571-1.95305*ii, .595637-.366264*ii, 3.4923-.123367*ii, 1.90496-1.83587*ii, -1.83142e-67+1.9937e-67*ii, 3.88308e-68-8.34571e-68*ii, -5.33198e-68+6.95476e-68*ii, -.033188+2.24984*ii, -5.00752-1.87574*ii, -1.51953-5.22422*ii
-2.40848e-46-9.3055e-47*ii, 1.78194+2.16497*ii, 2.85873-1.32413*ii, -2.95864-1.02187*ii, -1.38341-.740589*ii, -3.42114e-47-4.10537e-47*ii, 1.53267e-46+1.64215e-47*ii, 3.83168e-47+8.21073e-48*ii, -5.2603+2.3277*ii, .529041-.228443*ii, -6.50427+4.0743*ii
-1.55575e-61+1.55575e-61*ii, 1.9579-.146381*ii, -.415103+.0747514*ii, -.941128-.445076*ii, .59128-.301889*ii, -7.77877e-62-1.65299e-61*ii, -1.55575e-61-3.50045e-61*ii, 1.55575e-61+1.04527e-61*ii, -1.04839-.501994*ii, -2.00525-2.20034*ii, .429691+.210993*ii
-7.07475e-74, -.13482-.33153*ii, 1.58547-.423024*ii, -.981533-1.2223*ii, -.141057-.455092*ii, -1.06121e-73-3.53737e-74*ii, 7.07475e-74+3.53737e-74*ii, 0, -.163317+.326768*ii, -.855368-.268728*ii, -.947163-1.58714*ii
9.30013e-32+1.13205e-31*ii, .274518+1.68353*ii, -2.4727-.028061*ii, .819056+1.81715*ii, 1.35769+3.07227*ii, 1.56249e-32+1.81627e-32*ii, 4.20189e-32-1.17023e-32*ii, -1.39822e-33-2.87074e-33*ii, -1.56378+.346022*ii, 1.7044-1.22095*ii, .086101+1.0318*ii
6.84704e-31+8.67903e-31*ii, 3.44841+.939785*ii, 1.39579-2.0118*ii, -5.064+.82463*ii, -5.27958+1.48565*ii, -1.75578e-31+5.62934e-32*ii, -7.73093e-32-1.86143e-31*ii, -1.50231e-34+3.35627e-34*ii, -5.39723-6.14639*ii, -4.0245+2.80342*ii, 2.06648-2.72381*ii
-7.06159e-31-3.38244e-31*ii, 5.65206+1.25847*ii, -8.56886+.41871*ii, -1.25821+4.48879*ii, 1.47315-5.8926*ii, -9.1007e-33-5.50919e-33*ii, 2.58278e-32-1.26295e-31*ii, 1.0668e-36+6.1181e-35*ii, -3.61419+5.1932*ii, -2.23565+2.97898*ii, .972101-.620154*ii
-1.79821e-30-1.15405e-31*ii, -.5419-.994311*ii, -4.6718-4.31057*ii, -.35576+2.09643*ii, -4.59714-3.70121*ii, -6.42048e-33+4.41297e-32*ii, 2.49586e-31-1.75841e-31*ii, 5.19037e-34+1.90052e-33*ii, -2.78743+3.76409*ii, 2.60077-4.6905*ii, -2.04189+3.47007*ii
2.95826e-32+3.88205e-32*ii, -.985337+.487003*ii, -.767568-.152345*ii, .831156-1.69386*ii, 1.3985+1.43826*ii, 4.00965e-32-3.20991e-32*ii, 2.41541e-32+2.91794e-33*ii, 3.78104e-32+1.86885e-32*ii, -.125641+.470249*ii, -.911059-.580805*ii, -.0479909+.429079*ii
-7.38824e-31+4.25694e-31*ii, -1.22535+.261117*ii, .633908-3.00863*ii, -1.08619+2.16818*ii, 3.03582-2.59332*ii, 5.33395e-32-7.27342e-32*ii, -2.09949e-31-3.91227e-32*ii, 8.52789e-33+2.86697e-32*ii, 2.06686-.967485*ii, .296795-2.03848*ii, -3.39632-.887164*ii
