variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
dp*L+delP
c0+c2*Rad^2
1.04*r^3*delP-1.03*r*Rad^2*delP+3.98*r*u*L*mu
points:
.103842-.155316*ii, .647623+.225435*ii, .153517-1.38394*ii, -.1108+.0827476*ii, -.319295-.412921*ii, .122396-.0192304*ii, .046702-.905681*ii, -.735167-.423753*ii, 1.24623+.20367*ii
1.08991-3.2339*ii, 2.52351-1.15488*ii, -1.62206-1.69575*ii, -.396683-.654132*ii, .440257+1.01777*ii, 1.38848+.585456*ii, .180429-1.81702*ii, -.269983+.0465523*ii, 3.37388-2.64135*ii
-.0236862+.017179*ii, -.24049+.0373276*ii, -.0769031+.417436*ii, -.414484+.656122*ii, -.0813264-.337068*ii, -.0865459-.493735*ii, .456556-.0391159*ii, -.0144182+.135847*ii, .0187822-.193591*ii
1.51169-3.38711*ii, 2.1713+2.06409*ii, -.620879-1.19665*ii, .052862-.513395*ii, .908668+.642202*ii, .0298255+.32906*ii, 1.03894-2.57766*ii, 1.14966+.923798*ii, 3.72962-.357173*ii
-.576156-.326164*ii, -.940322+.669076*ii, .701037+.066490*ii, -.135257+.560193*ii, .40667-.638988*ii, -.189511-.845729*ii, .610706-.835866*ii, -.0696983-.0349775*ii, -.483704+.545367*ii
-3.38698-2.5561*ii, -.0623783+.493662*ii, .239339+5.78157*ii, -1.36936+1.67108*ii, 2.52694-1.46364*ii, -.998966-1.58025*ii, .473673-.424665*ii, 4.69799+.138831*ii, -2.5686-2.63693*ii
133.776+19.2543*ii, 32.2608+412.601*ii, -177.759+30.7661*ii, -24.9031-24.0813*ii, -.357066-.446178*ii, -168.35-37.8961*ii, .957299+1.28656*ii, 135.558+298.4*ii, 209.751+199.245*ii
-.111326-.0344606*ii, .041924-1.27369*ii, .885318+.876716*ii, -.259627+.964631*ii, -.183431-.240415*ii, .303802-.0803233*ii, .839051+.174359*ii, .084399-1.05843*ii, -.589964-.889973*ii
1.68318-2.38762*ii, 1.98721-.782861*ii, -1.21029+1.96457*ii, -.686473+.674593*ii, .335245+1.12042*ii, .420476+.463005*ii, 1.42751+.068389*ii, 1.85415+.616262*ii, 1.86206-2.72166*ii
-3.78807-1.24876*ii, -.354394+.538623*ii, -.488236+.042297*ii, -.953096+.024616*ii, 1.51242-1.97454*ii, -.177544-1.62875*ii, -1.6059-1.87034*ii, .462891-.185474*ii, -.863167-.845242*ii
1.16413-.322816*ii, 1.50929+2.91166*ii, .582384-1.94999*ii, .325585-.153377*ii, -.382355-.47134*ii, -.878127+.363929*ii, .528283-1.67626*ii, .142537+.229762*ii, 2.96103+2.00638*ii
128.311+19.4721*ii, 22.734+395.756*ii, -173.048+26.721*ii, -23.9503-23.7932*ii, .360407+.444406*ii, -160.125-40.0754*ii, .947081+1.26422*ii, 124.469+290.275*ii, 197.671+193.463*ii
.259505+1.6035*ii, -1.05616-.423828*ii, 1.67054-1.98299*ii, .394618+.480448*ii, -1.04013-.587781*ii, .25174-.167259*ii, .552104-.29427*ii, -2.25382-1.28406*ii, -.338776+1.58641*ii
2.21334-.100669*ii, .259097-1.31135*ii, -.110777+.629828*ii, -.180792+.894813*ii, -.794575+1.01301*ii, .56614+.363253*ii, 1.69015+.854215*ii, -.327374+.0354937*ii, .725239-.969875*ii
.896824+2.55736*ii, -.606856-.735094*ii, -.300046-.136595*ii, -.446943+.959959*ii, -1.65996-.295929*ii, -.128819-.178148*ii, .224889+1.65604*ii, -1.50055+.028585*ii, -.15873+.527605*ii
.173755-1.78808*ii, .0180953-.0729656*ii, 2.41326+4.00194*ii, -.347397-4.74052*ii, -.357085-4.87542*ii, -2.58502+3.31603*ii, -.126693+.409418*ii, .0685399-.304381*ii, 1.94421-.481012*ii
-.317065+.0287127*ii, .568594+.243105*ii, -.455064+2.1445*ii, -.801639+.069222*ii, -.695709+.175549*ii, .0545236+.0164178*ii, -.219231+1.03538*ii, -1.15429+2.00446*ii, 2.1206+.941302*ii
1.49774+.44652*ii, .631811-1.99906*ii, 1.68081+.237934*ii, .152108+.382976*ii, -.605497+.615498*ii, -2.3122+1.67055*ii, .0426143-.454268*ii, .104655-.0837434*ii, -.179713+.753399*ii
-10.2876+5.33541*ii, -3.29215-6.3495*ii, -3.34504+4.23168*ii, .324251-5.41961*ii, .900134+.900038*ii, .819168-3.75202*ii, -2.68802+1.85087*ii, 8.82987+6.39909*ii, -1.15925+17.5661*ii
1.06853+.711342*ii, -.159242+.902162*ii, -.238246+1.46324*ii, .723301+.079644*ii, .647797+.990736*ii, -1.99288-1.2767*ii, .619352-.369071*ii, -.243426-.0860987*ii, -.392482-.994194*ii
-.16687+.594329*ii, -1.52772-.859363*ii, 1.0786+.194585*ii, -1.22423-1.89181*ii, -.466605-.366686*ii, 1.48683+1.81074*ii, -1.13989-.409115*ii, .138634+.571009*ii, 1.14987+.663076*ii
-.098696+1.12108*ii, 2.5741+.6319*ii, 2.91098-.29508*ii, .353735-1.98782*ii, -.42422+.494608*ii, .984128+.355956*ii, .556731+.382335*ii, -2.7908+.538448*ii, -1.73345-.94869*ii
1.00454-1.29496*ii, 2.68286+1.48092*ii, 2.21704-.553203*ii, -.182115+.0424209*ii, -.475414-.555692*ii, -.475694-.251765*ii, -.380638-.989543*ii, .305562+.528827*ii, 1.39131+1.98328*ii
-.0622473+.0686538*ii, .183877+.342506*ii, -.218621+.0468756*ii, .217074-2.44628*ii, .28154-.398904*ii, -.50114-.052935*ii, .840947-.769482*ii, -.675754+.118854*ii, .147779-.207645*ii
-.0693729-.213925*ii, .202783+.883402*ii, -1.13455+.239679*ii, -.585551+1.04151*ii, .497637-.0218972*ii, -.260121-.493422*ii, -.648611-.252748*ii, -.772607+.337589*ii, -.796457-.131296*ii
.255554-.408056*ii, -.210982+.272068*ii, .567031-.799453*ii, -.259685+1.71271*ii, 1.18109-.059159*ii, .057488+.757742*ii, -.0283735-.271311*ii, .939083+1.1082*ii, .232989+.131158*ii
