variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
2.45033-1.69324*ii, -1.82098+.877351*ii, -.80085-.164873*ii, -1.15798-.869057*ii, -2.00052+1.39554*ii, -.461584-.0026477*ii, .031071+.781839*ii, -.0526343-.14143*ii, -.503842-2.02712*ii, .738055-.907637*ii
1.79925-.466512*ii, -.21645-.248699*ii, .474233-.856313*ii, -.693881-.372043*ii, -1.41956-.076033*ii, .350824-.208592*ii, .582587+.501701*ii, .805198-.438992*ii, .500644-.699767*ii, .577645-.456324*ii
2.64354+.959841*ii, .315504+.0701289*ii, .280465-.792451*ii, -.724654-.099093*ii, -1.91323-1.17382*ii, .196254-.0302335*ii, .468195+.912801*ii, 1.02244+.349882*ii, .799503-.936745*ii, .522059+.314003*ii
-2.72271+1.16908*ii, 1.15311+.275*ii, .799835+.084547*ii, -.941072+.399472*ii, 2.43587-.796264*ii, .465031-.333594*ii, -.0976564-.0726336*ii, -.0086800+.10111*ii, .441991+1.63808*ii, -.854339+.50814*ii
.690409-.167565*ii, .304525+.179542*ii, 1.59022+.561368*ii, -.684291-.135465*ii, .145958-.236613*ii, .41934+.350031*ii, .387344+1.00592*ii, 1.01035+.069717*ii, .0447827+.391579*ii, 1.00814-.502122*ii
.864738-2.07189*ii, .212562+.211649*ii, .749034-.657074*ii, -.91942-.27308*ii, -.749313+1.12039*ii, .699112-.031999*ii, 1.05496+.317932*ii, .970133-.717628*ii, -.366836-.151082*ii, .201666-1.0142*ii
-1.42588-.088271*ii, 2.05213+.990572*ii, -1.41076-2.48389*ii, -1.55929+.68086*ii, .0571887-.00121297*ii, .800637-.917973*ii, 1.05117-.946445*ii, .123282-.131127*ii, .163802+.282372*ii, -3.00372+.921642*ii
-1.89633+.226033*ii, 2.76605+1.32326*ii, -2.56884-2.94942*ii, -1.80924+1.06196*ii, .0186538+.01219*ii, .763398-1.19317*ii, 1.07626-1.42178*ii, -.0924506+.118346*ii, .0649391+.21046*ii, -4.06471+1.77946*ii
2.84271-1.64111*ii, -1.74433+1.32721*ii, -.78845-.139746*ii, -1.29936-.84311*ii, -2.24557+1.30446*ii, -.494585+.185607*ii, .121429+1.04405*ii, .030916+.158305*ii, -.660663-2.21049*ii, .659642-.953115*ii
.861904-.508559*ii, -.190093-.38512*ii, .109401+1.24243*ii, -.515581-.163372*ii, -.17898+.663493*ii, -.117671+.0472174*ii, -.240973+.547846*ii, .616716-.074173*ii, -.225809-.17286*ii, 1.42313+.332414*ii
-2.72398+.989733*ii, .0568464+.411183*ii, .806+.065173*ii, -1.01407-.017913*ii, 2.44816-.604437*ii, .186964-.378037*ii, -.407288+.0332258*ii, -.528574-.051263*ii, .503335+1.23165*ii, -.659024-.083003*ii
-1.45876-.412903*ii, -.0184977-.178708*ii, .98999-.055694*ii, -.772626-.190939*ii, 1.3483+.229491*ii, .435658-.324968*ii, .109027+.0182394*ii, .118024-.627136*ii, .258022+.864173*ii, .049558-.528461*ii
.705176-.713818*ii, -2.02036+1.07816*ii, 2.10749+.010231*ii, -1.08573-1.10334*ii, .142423-.0020744*ii, .0286621+.412166*ii, .085107+1.4665*ii, -.0581344-.173*ii, .133674-.466083*ii, 1.00796-2.37977*ii
1.69593-2.10905*ii, -.187166-.183323*ii, -.800239-.220729*ii, -.797219-.27754*ii, -1.61147+1.68403*ii, .150345-.271545*ii, .535513+.041722*ii, .714868-.647708*ii, -.522609-1.01124*ii, .563289-.090549*ii
.873514-1.52641*ii, -1.53203+.547746*ii, .066246+.969732*ii, -.941231-.71684*ii, -.295031+1.42165*ii, -.368539+.155189*ii, -.29185+.774799*ii, -.0499346-.186276*ii, -.643865-.843244*ii, 1.18906-.868826*ii
-2.69351+2.36231*ii, -.038948-.517948*ii, .753695+.14041*ii, -.622036+.013298*ii, 2.51856-1.553*ii, .016127-.663237*ii, -.890006-.099397*ii, -.622912-.081860*ii, 1.33094+1.32341*ii, -.218381+.586237*ii
-.39141+1.66172*ii, -.310457+.314949*ii, -.797654+.807756*ii, -.877787+.009901*ii, .656494-.632165*ii, -.587767-.288468*ii, -.994062+.372985*ii, -.462315+.657122*ii, .396582-.209024*ii, .180896+1.16721*ii
1.28022+2.84005*ii, -.385109+.269681*ii, .084763-.813457*ii, -.836337-.201101*ii, -.746932-2.31997*ii, -.26946-.309638*ii, -.434359+.854255*ii, -.043563+.716706*ii, 1.52859-.766029*ii, .045592+.621925*ii
.291039+1.00999*ii, .427496+.0229843*ii, -.986223+1.50384*ii, -.689455+.290323*ii, .225917-.0389055*ii, -.482372-.0774184*ii, -.769175+.401988*ii, .217811+.718081*ii, -.118851-.138179*ii, .715405+1.67632*ii
1.81777-.088216*ii, -1.71451+.565*ii, .437141-.892869*ii, -1.01115-.898456*ii, -1.32867-.27617*ii, -.170364-.124606*ii, .045172+.925134*ii, -.0867582-.162084*ii, .596882-1.37594*ii, .533877-1.19043*ii
-.270336-.400139*ii, .226273+.511523*ii, .436669-1.76481*ii, -1.16493-.186384*ii, -.147585-.165688*ii, .637894-.472387*ii, .790222+.0031*ii, .222689-.500764*ii, .489512-.0080785*ii, -1.05945-.70234*ii
-1.4555+.257158*ii, 1.37831+.373422*ii, -.543884-1.08684*ii, -1.13853+.449761*ii, .73092-.132123*ii, .534345-.644028*ii, .442857-.506642*ii, .152675-.126217*ii, .254201+.621562*ii, -1.55466+.768321*ii
-3.13234-2.49413*ii, -.12687-.216472*ii, -.181863+.709017*ii, -.914712-.124847*ii, 2.32557+2.48007*ii, .304767-.576505*ii, -.091019-.859688*ii, -.387399-1.2177*ii, -.905309+1.1636*ii, -.275252-.406106*ii
-3.11553-.690424*ii, .0448726+.372787*ii, -.289565+.728444*ii, -1.08083+.051389*ii, 2.50945+1.1683*ii, .0322019-.467169*ii, -.472255-.47617*ii, -.65471-.370145*ii, -.478219+1.09431*ii, -.64338+.17522*ii
