variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
-c0-c2*r^2+u
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
7.38324+5.48261*ii, -7.59618-4.52736*ii, 2.71428+12.8915*ii, -1.22477+.506615*ii, -3.71487-8.46851*ii, -7.68032+9.27992*ii, 8.7968-4.81363*ii, -.252505-.273781*ii, -1.9878-.553578*ii
-.269308-.835286*ii, 1.13213+.785926*ii, 2.07836+2.58988*ii, 1.36479+.617352*ii, -1.79467+.038722*ii, .083598+2.23684*ii, -.187482+.809174*ii, .577608+.170927*ii, -.502355-1.70733*ii
-.516712+.2037*ii, -.173825-.151193*ii, -.380875+.128393*ii, -.154857-.564763*ii, .526829-.138786*ii, -.438992+.217894*ii, -.320481+.243569*ii, .220414-.376375*ii, -.029600-.538534*ii
-1.56887+1.27557*ii, 1.9772-.417009*ii, -.178418+1.30652*ii, .735887-.280615*ii, .630717+.236299*ii, -.826074+.265993*ii, .565431+2.29576*ii, -.0549566+.153607*ii, -.683496-1.73187*ii
-3.16714-3.92001*ii, .108506+.568258*ii, 7.15121+2.31916*ii, 3.9079-.853213*ii, -5.13352+2.80819*ii, 2.20038+3.62098*ii, -.790766+.1429*ii, 1.564-2.84747*ii, -.764469-1.80944*ii
7.00319+5.97777*ii, -6.28288-5.17188*ii, 9.10605+12.6585*ii, 1.07918-.690416*ii, -5.78385-5.52163*ii, -5.02608+11.7823*ii, 10.8279-5.25272*ii, -.463135-.122452*ii, -4.38497-1.09579*ii
-1.23915-2.3927*ii, .747442+2.63363*ii, 4.56836-1.19694*ii, 1.46327-.39025*ii, -2.28448+3.00996*ii, 3.25523+1.99158*ii, -2.29486-.483697*ii, .0087488-.431173*ii, -.392992-1.04018*ii
-.140498+.678403*ii, .501332-.124322*ii, .259302+.431099*ii, .0802546-.389954*ii, .424977+.0080128*ii, -.221285+.665128*ii, .167917+.429939*ii, .0715932+.232731*ii, -.502229-.802957*ii
.947639+.259511*ii, -.622142+.351127*ii, -.803118-1.03595*ii, -1.02879-.398185*ii, 1.12561-.359511*ii, .10013+.0657555*ii, -.751734-.875785*ii, .0665731+.453857*ii, .0631198+.140955*ii
-.239071-.329028*ii, .177545+1.28703*ii, -.974428-.287341*ii, -.561604+.124596*ii, .562333-.081215*ii, -.00571328+.032072*ii, -1.55804+.303369*ii, -.0803959+.178188*ii, .481863-.663863*ii
-24.6399+12.4138*ii, -.0820314+.143926*ii, 11.487-2.64414*ii, 3.93684-12.1392*ii, -.37733+15.1244*ii, -.066602+1.27608*ii, 4.74294+10.2419*ii, -12.0506-13.0847*ii, -3.21833-7.32404*ii
1.31936-1.3457*ii, -1.81187+2.07762*ii, .441134-.28633*ii, -.9847+.239761*ii, -.688367-.369432*ii, .647682+1.40494*ii, -2.01817-1.94634*ii, -.0458644-.0130837*ii, .72765+.061821*ii
-.017696+1.14873*ii, -.324198+.140608*ii, .663373-.335607*ii, -.406211-.862708*ii, .582992+.360908*ii, .071549+.840061*ii, .176346-.288219*ii, -.525031+.031087*ii, -.528649-.48681*ii
-.693732+1.51604*ii, -1.15618-1.29323*ii, -5.81702+2.61992*ii, -1.63642+.16318*ii, 2.268-3.50202*ii, -4.44973-1.29518*ii, .147345+1.63374*ii, .277262-.876633*ii, 1.34587-.743645*ii
.0557807-.130983*ii, -.078414-.326619*ii, -.20906-.740222*ii, -.192615-.653088*ii, .762264+.051607*ii, .168491-.0235173*ii, -.455982-.262911*ii, .572025-.022687*ii, -.181287-.10401*ii
6.7035-8.14341*ii, .035402-.521011*ii, .576576-.210074*ii, -2.001+3.33552*ii, 3.18834-8.69457*ii, -.503488-4.90549*ii, 2.79861-4.37295*ii, .11905+.268573*ii, .227795+.35088*ii
1.86423+1.42437*ii, 1.47875-.24447*ii, -.30331-2.24802*ii, -.010194+1.26503*ii, -1.01533-2.13342*ii, -.508355+1.77743*ii, -1.27796-.319771*ii, .0112459-.378195*ii, -.106006+.766794*ii
-9.27966-13.3506*ii, -.358199-.120129*ii, -2.49896-19.0997*ii, 3.11695-7.19743*ii, 9.67288-16.3837*ii, .406091+7.77707*ii, .50360-14.2222*ii, 5.58641+11.4569*ii, -18.6606+.30352*ii
.984086-1.07861*ii, -.170697+.0919626*ii, -.983857+1.06464*ii, 1.67291+.709588*ii, .052884+.879609*ii, .373981-1.2728*ii, -.415829-.646249*ii, 1.76786-.606822*ii, .620102-1.90304*ii
1.0452+.662757*ii, -.769007-.182082*ii, -.584075-1.26409*ii, -.347133-.345465*ii, 1.81284-.283988*ii, 1.08798+.478105*ii, -.634164+.917688*ii, .271936+.346559*ii, -.505179-.452427*ii
1.9811+1.3294*ii, .990703+.030008*ii, 1.20429-.393933*ii, 1.60132-1.13427*ii, .350294-.680186*ii, 3.35588-2.23114*ii, -1.82979-1.12376*ii, .300611-.108513*ii, 2.36692+2.0521*ii
.849831-.118127*ii, -1.1181-.269329*ii, .0782851+.0981426*ii, -.113415-.345962*ii, .021035+.333752*ii, .990409-.177098*ii, -.257566-.221257*ii, -.0215401-.0167554*ii, -.552958+.175395*ii
-1.70671-2.12589*ii, 1.65323+4.16507*ii, -6.04029+2.18096*ii, 1.46451-.694328*ii, 4.68015+5.92702*ii, 9.51266+1.43724*ii, 13.7757+9.69971*ii, -.011231+.358098*ii, 3.35312+2.01698*ii
3.93526+5.31452*ii, 1.30602+.909523*ii, -1.83728+2.88181*ii, .774613-2.5976*ii, 4.95173-3.17976*ii, -.43332-5.53254*ii, 7.04842+5.64752*ii, .021868+.536412*ii, .267061+3.12812*ii
-.558916+.141152*ii, .220556+.372723*ii, -.559154+1.40468*ii, -.710546+.939148*ii, -.415022-.533711*ii, -.144651-.293769*ii, -1.71396+1.21892*ii, .533449+.690711*ii, 1.3419-.020373*ii
.127852-1.10548*ii, .0316548-.203633*ii, -.029022-.604404*ii, .591265+1.94658*ii, .801804-.232866*ii, .487714-.332203*ii, -1.61857-1.10254*ii, .719111-.147416*ii, -.652904-.263866*ii
