variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
-theta*L+d
-T*j+Tj
1.01*g*Tj^2-4.04*L*j^2*Pii^2
points:
.202288-.133853*ii, -.573957-.21393*ii, .087471+.626011*ii, .0372506-.246289*ii, -.568949-.632198*ii, -.0745481-.224248*ii, -.0421219+.282068*ii, .845388-.430547*ii, -6.62622e-18+5.17955e-17*ii, -.341134-.136506*ii, -6.21087e-18+2.04768e-17*ii
-59.4848+6.73475*ii, -8.44925-42.6013*ii, -30.9397+7.73862*ii, -23.1696+19.6121*ii, 1.14289+.190253*ii, 30.3694+44.6428*ii, -49.6896+14.1644*ii, .186544-1.76888*ii, -1.97766e-18+4.35421e-19*ii, 3.78025-42.496*ii, 6.03474e-19-8.71384e-19*ii
.185817+.319669*ii, -.0987804+.250432*ii, .0550532-.00635788*ii, .495482+.991103*ii, -.086816-.796026*ii, -.0995924-.462171*ii, -.42202+.187404*ii, -.413268-.106119*ii, -1.74912e-20+2.7632e-20*ii, -1.07263+.171826*ii, -5.00916e-20+3.02182e-20*ii
11.5525+.2561*ii, .37109+12.001*ii, 8.99295-2.45647*ii, 2.23705+.789857*ii, .995301+.39581*ii, -5.3998-11.0168*ii, 10.1105-3.76341*ii, -3.69231-3.62101*ii, -1.47003e-19-2.00963e-19*ii, -4.83046+7.28604*ii, -1.54382e-19-4.9223e-21*ii
1.81429+1.4185*ii, 1.87533+1.13249*ii, -3.28449-.192625*ii, 4.0418-2.21273*ii, -1.01995-1.3184*ii, -.439756-1.18653*ii, -1.33909+.340172*ii, .0399425-.271698*ii, 2.06682e-22+1.17264e-21*ii, -2.33554+1.44588*ii, -9.40411e-22+2.43316e-21*ii
.65023-1.80314*ii, -3.21639+.849943*ii, 4.04717+.479432*ii, .699687+2.06898*ii, -2.85587-.267984*ii, -3.12909+3.91446*ii, -.166965+.647047*ii, 1.23884+1.93133*ii, 1.00176e-29-2.06476e-29*ii, 2.22358+.655384*ii, -1.46713e-29+7.49253e-29*ii
-6.13173+9.91806*ii, -3.58948+1.68973*ii, -3.79243-1.69132*ii, 1.96913-2.02987*ii, 3.94011-.015638*ii, 5.03993+4.56965*ii, -1.5662+2.51099*ii, .081082+2.40423*ii, 1.8328e-25-4.71142e-23*ii, -1.29232+2.20867*ii, 7.89525e-23+1.69425e-22*ii
-18.8998+10.6644*ii, 1.65825+1.42876*ii, 36.6806-3.82034*ii, 5.20912+8.91853*ii, 1.01379-.202176*ii, 27.2442+23.7709*ii, -19.9473+6.54133*ii, 3.31773-1.11697*ii, -5.05824e-18+2.58335e-18*ii, -1.57757+9.27609*ii, -1.20788e-17-2.94314e-18*ii
-.424491+.234252*ii, -1.26937-1.59424*ii, .652883+1.66595*ii, -.549211+.666009*ii, -.25013-.186269*ii, .715964-1.55435*ii, .643052-1.41539*ii, -1.91684+.505676*ii, -1.37713e-26+1.30062e-26*ii, .953559-.134361*ii, 3.82159e-26+5.44508e-27*ii
-1.63527-2.22212*ii, -7.613+.701469*ii, 2.15752+1.38218*ii, -.493189+2.01281*ii, -.695581+.788053*ii, -2.55565+4.42652*ii, -.555439+2.56534*ii, 2.3681+.689448*ii, 1.53004e-29-1.41925e-29*ii, 4.52374+2.63675*ii, -1.06526e-28+1.1878e-28*ii
-1.50908+2.74531*ii, -.285046+1.491*ii, 5.10867-.482956*ii, .918421+1.12863*ii, -.303894+.59355*ii, 3.48826+.661824*ii, 4.69597+.138149*ii, 1.86588-1.57234*ii, 3.03979e-24+3.92254e-24*ii, .405572-.850244*ii, -6.71498e-24+3.41421e-24*ii
-.625612-1.03433*ii, 5.24502+3.69396*ii, -1.11313+.249782*ii, -.426373+.988525*ii, .754084+.247919*ii, -.322941+3.43836*ii, -1.15567-.991687*ii, 3.05149-.989485*ii, 3.60435e-29-2.36759e-30*ii, -4.23925-5.72327*ii, 1.97795e-28+1.20725e-28*ii
.132415+1.30288*ii, -1.16969-.534167*ii, .395568-.477365*ii, -.270615-1.03402*ii, .648594-1.15989*ii, 2.19085-.319094*ii, -.80708+.565469*ii, -.230143+2.05853*ii, -5.23848e-21-2.16771e-21*ii, .027661-.999069*ii, 4.96948e-21+5.33377e-21*ii
-.530868+.230574*ii, .383739-1.85672*ii, -.733446-.569253*ii, -.789959+1.37527*ii, -.191842-.227802*ii, -1.44975-.824428*ii, .556023-1.86214*ii, .004542+1.05154*ii, -1.9216e-28-5.99476e-29*ii, -.989556-.424388*ii, -1.85045e-28+3.33784e-28*ii
-.713866+.694239*ii, .464887-5.71355*ii, -2.10779+3.13868*ii, 3.14729-2.24804*ii, .133503+2.47864*ii, -.494504+2.19357*ii, .263811+.302216*ii, -.433687+.387196*ii, -1.68535e-27+6.51775e-27*ii, -1.73996+3.55408*ii, 3.64559e-26+1.26593e-26*ii
-.524149+.742839*ii, -1.92515-.527429*ii, -.384712+1.38378*ii, .874631+.365658*ii, 1.22837+.853054*ii, -.995404-.091541*ii, -.004546+.607892*ii, -1.00601+.315921*ii, 1.07116e-20+3.51335e-20*ii, -.450406+2.31121*ii, -2.0911e-21-7.32869e-20*ii
6.92878+6.08225*ii, -8.33809+1.6095*ii, -.758898-2.08697*ii, -4.27077-2.23263*ii, -.247217+1.82531*ii, 6.81813-9.90252*ii, 2.7673-4.17075*ii, -.301841+2.47647*ii, 2.0362e-36-4.51407e-36*ii, .31041+9.51772*ii, -9.71264e-36+4.0916e-35*ii
3.39445-6.48884*ii, .325786+3.58391*ii, -.13404-1.01908*ii, -.675834+1.78672*ii, .147087-4.03964*ii, 2.09527+1.91715*ii, 1.63472+.780764*ii, .55064-1.38097*ii, -1.1362e-26+3.22865e-27*ii, -3.28313+1.70444*ii, -1.52728e-26-3.96684e-26*ii
1.30029-.189959*ii, .788486+.268564*ii, -1.20596-1.4484*ii, -.819547-.476888*ii, -.226982-.748436*ii, 1.2341-.300045*ii, -.250082+1.6615*ii, -.965778+.928089*ii, -1.24654e-19+1.22624e-19*ii, 1.60769-1.12948*ii, -1.3122e-19+6.32097e-20*ii
