variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-theta*L+d
T*omega-2*Pii
-T*j+Tj
.999968*g*Tj^2-4.00008*L*j^2*Pii^2
points:
-.410805-.0446397*ii, -4.78862e-23-9.27929e-23*ii, -.658393-.199337*ii, .460838+.594311*ii, .430879-.0210469*ii, -.521503+.487407*ii, -.327311-.203482*ii, .087245+.945142*ii, .395187+.55525*ii, 1.21007e-16-7.35207e-17*ii, 4.97776e-18+2.18271e-17*ii
-.526517+.114487*ii, -8.90792e-23-1.23982e-22*ii, .436369+.409987*ii, -.642151-.248637*ii, .854442-.879879*ii, -.152014+.0747503*ii, -.0459199-.484338*ii, .166667-.180939*ii, -.486744+.236499*ii, 0, 0
1.62542-.281997*ii, -8.90803e-24-1.85352e-23*ii, 1.50421+.576338*ii, .872791+.344526*ii, -.451205-.163856*ii, -.68112-.446611*ii, 1.55442-.070599*ii, -.849944-.176197*ii, -.286395-.746038*ii, -1.35849e-24-1.65074e-23*ii, -1.12768e-23+1.19541e-23*ii
-.754284-1.88636*ii, 1.32237e-25-6.89933e-26*ii, 3.02855-5.87781*ii, -1.31387+2.19839*ii, 3.97588-3.07338*ii, 3.17631+2.25694*ii, -2.45407-3.65852*ii, .120198-1.51667*ii, -.441006-.205371*ii, -2.5217e-27-4.93107e-25*ii, -7.24865e-26+3.2689e-27*ii
-1.04357+1.11386*ii, 5.64372e-27+4.92349e-26*ii, -.04165-1.82482*ii, 1.4694-.35277*ii, -1.87607-1.84084*ii, -.298223+1.74249*ii, 1.74541+4.45443*ii, -.461076+1.07515*ii, -.554175+2.66009*ii, 4.4805e-26-6.17471e-27*ii, -1.34097e-25-1.22719e-26*ii
-.41976-1.24151*ii, 6.22412e-28+7.16795e-28*ii, -1.24581-.24121*ii, .782337+.502815*ii, .679794+.228208*ii, .840852+1.92002*ii, -.027132+4.23634*ii, 1.87686+1.24793*ii, 1.00671+1.09293*ii, -3.01254e-28-5.2156e-28*ii, -1.56814e-28+1.40186e-27*ii
-1.39144-2.05843*ii, 7.30188e-26-6.1826e-27*ii, -3.37513+7.24891*ii, -2.98188-1.51127*ii, -1.87507+3.5131*ii, 6.50766+3.01454*ii, 4.58924+2.87941*ii, -2.14404+.075686*ii, 2.78733-1.39567*ii, -1.00816e-25+2.75087e-25*ii, 1.94899e-25-1.19143e-25*ii
.080105+1.25795*ii, -1.61724e-27+9.69641e-27*ii, .172833+.520651*ii, -1.14804-.376541*ii, .691672-1.01786*ii, 3.8246-1.7475*ii, .170398+2.15034*ii, -2.55709+2.36086*ii, .856956+2.60181*ii, -2.66398e-27+4.16921e-28*ii, -2.66141e-26+4.10166e-27*ii
-.884024+.395968*ii, -9.56637e-26+2.83147e-25*ii, .246503-1.70224*ii, -1.50247+.293501*ii, -2.07312+.289903*ii, -.192829+1.28166*ii, .010297-.625703*ii, .284134-.797527*ii, 1.52063+2.13801*ii, 2.29202e-25+1.1632e-25*ii, -7.5084e-25+2.2603e-25*ii
-.611227-.597403*ii, 3.01345e-29-7.87813e-30*ii, .233332-.102845*ii, .463315+.097242*ii, .274557-1.41843*ii, -.989209-.029028*ii, -.12507-1.20373*ii, -2.05758+.369199*ii, -1.08478+.470025*ii, 3.11055e-30-2.4687e-30*ii, -2.89865e-29+2.271e-29*ii
1.65567+.85385*ii, -3.17375e-29-1.34364e-29*ii, -1.10899-.316897*ii, .418537-.135741*ii, .468038+.61419*ii, .380445+.388895*ii, -.883108-.121806*ii, .549804+1.10749*ii, -.826078+1.69644*ii, 1.54693e-29+1.24792e-29*ii, 4.90119e-29-4.27414e-29*ii
.767375-.236475*ii, 6.53695e-28+3.91575e-28*ii, 1.25994-.543468*ii, -.214913-.985571*ii, -4.86994+2.04734*ii, 2.48044+2.91166*ii, 2.59655+.217136*ii, -3.34408+1.78754*ii, -5.06333-1.75588*ii, 5.18212e-28+6.90487e-29*ii, -2.62232e-27-3.13048e-27*ii
-4.19543-1.16842*ii, -4.83908e-28-6.62067e-28*ii, -.943307+.696153*ii, -1.73838-1.79528*ii, 1.88719-1.89613*ii, 7.53974-.849061*ii, -3.4894-7.19672*ii, -1.8547+2.40384*ii, -1.20038+1.39225*ii, 4.58687e-28+1.43829e-28*ii, 1.50264e-27+1.2101e-28*ii
.479927+1.0063*ii, 1.12587e-39+4.4955e-41*ii, .9078-6.36175*ii, 16.0129-12.6643*ii, 5.08264+15.2231*ii, 3.37374-.335354*ii, -3.95421+.101857*ii, .139805+.0896266*ii, -1.01184+12.4922*ii, 6.54028e-40-3.56084e-39*ii, -1.70078e-39+1.40191e-38*ii
-.905749-.442727*ii, -7.61001e-39-6.91289e-38*ii, -1.54368-2.99139*ii, 1.26205-.101076*ii, 1.61713+2.22259*ii, 1.1611-1.80217*ii, -.600251+1.62305*ii, 1.02779-1.34566*ii, -.808968+.756177*ii, -9.75222e-38+6.47388e-38*ii, 5.843e-38+5.01685e-38*ii
-.68058+.37195*ii, 4.13766e-29+7.21544e-29*ii, 1.01001-1.37638*ii, .816507+.442158*ii, .107888+1.10586*ii, .732819+.822888*ii, .97463-1.46068*ii, 1.116+.403477*ii, 1.18902-.313123*ii, 7.05515e-29+7.9634e-30*ii, 7.1791e-29+7.28374e-29*ii
-.747874-.338468*ii, -3.6258e-20+2.50607e-20*ii, .487425-1.04436*ii, -.738709+.254798*ii, -.104325+1.61307*ii, .424398-.566719*ii, -.8095-.017407*ii, -.749911+.508513*ii, .123349-.613882*ii, 4.2497e-21+2.50409e-20*ii, 1.0912e-20+2.53494e-20*ii
9.03097+48.3436*ii, -1.69735e-28-1.93531e-28*ii, 41.9908+122.393*ii, .35696-.185661*ii, 8.9271-119.605*ii, -45.5029-23.5221*ii, -73.8186-111.486*ii, -73.3558-104.049*ii, 95.7336-54.6955*ii, 8.27977e-27-1.44505e-26*ii, -2.68347e-26-9.24367e-27*ii
