variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-S*dA+P
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
-.6504+.065884*ii, -.325201+.0394477*ii, -.210839+1.00958*ii, 1.56716+1.61725*ii, .703821+.990815*ii, 1.00745+.292059*ii, -1.12583-.948609*ii, .580896-1.14131*ii, .728175-.469115*ii, .712759+.163732*ii
-2.89847-.239286*ii, -7.68721+.956253*ii, -.64371-.25*ii, 1.87173-.79643*ii, -1.79562+3.62908*ii, 1.36839-2.45918*ii, -5.61572+1.86055*ii, .0039296+.10849*ii, -.696843+.33643*ii, -.610648+3.71276*ii
-1.53298-.107988*ii, -.952761-3.40613*ii, 1.80076-3.48003*ii, .955834+3.16443*ii, -.0219519-.0030544*ii, 2.17603-1.5513*ii, -1.12356-4.95422*ii, -.128766-.178791*ii, -1.47034+2.2675*ii, -1.23998+.559722*ii
-.726551-.041438*ii, .553885+.33071*ii, -.020738+1.04842*ii, -.900611-.900264*ii, .068568+1.15428*ii, -.488413+.0399996*ii, .617034+.691407*ii, .512413-.060319*ii, -.457365-.939337*ii, -.26695-.895522*ii
-.292784-.286409*ii, -.0880137+.216136*ii, .54593-1.83655*ii, 1.91214-1.8298*ii, -.144504-.1227*ii, .244337-2.5511*ii, -1.08392-.011918*ii, -1.4318+.573896*ii, -.113073-.157553*ii, .630692-1.14195*ii
-1.88885+1.106*ii, -.152763+.085745*ii, .942841-.330108*ii, .0523053+.112317*ii, .710973+1.13289*ii, .475981-1.22113*ii, -.22302-.154301*ii, .747338-.705626*ii, -1.32513+.517924*ii, -.028954-.416284*ii
.966023-1.07753*ii, .272908-.0144153*ii, -1.2474-.275837*ii, .232158-.331281*ii, -.507959+.38847*ii, -.796077-.000079*ii, -.132696-.570183*ii, -.641082+.725296*ii, 1.41284-.629503*ii, .091061-.491509*ii
-.0762041+.0066073*ii, -.0461859-.0332455*ii, -.046314+1.10685*ii, -.0235157+.172811*ii, .122709+.972974*ii, .0679702+.374886*ii, .00065018-.0133243*ii, .129687-.689662*ii, .25285-.70409*ii, -.197403-.26193*ii
3.09161+.101663*ii, .105563-.057538*ii, 1.6302+.598602*ii, .403502-.0215492*ii, .125402-.221546*ii, .42862+.399641*ii, 1.24966-.025601*ii, -2.83872-1.50976*ii, 1.02911-.495869*ii, -.385675+.0096485*ii
-1.2572-.920963*ii, .185791+.280043*ii, -.962031-.575868*ii, .773288+.095019*ii, .044786+.944893*ii, -.049671-.765518*ii, -.884667-.831627*ii, .647369+.930638*ii, .343873-.439581*ii, .748475-.539788*ii
.413821-1.52328*ii, -.156867+.0391513*ii, 2.27995-2.87886*ii, 1.09028-.071278*ii, -.0243734+.0114347*ii, 1.36789-2.1472*ii, .342603-1.69029*ii, -2.53996+1.19832*ii, -.655632+.336644*ii, .553318+.063850*ii
.307781+.472731*ii, .560963-.567022*ii, -1.40013-.413337*ii, -.540865-.46712*ii, -.279217+.3251*ii, -1.43913-.235362*ii, .0543544-.399454*ii, .274498+.0200719*ii, .784048+.270624*ii, -.620999-.987075*ii
-1.66901-1.43733*ii, -2.00809-4.52044*ii, .438722-.780565*ii, 2.01429+.041348*ii, -1.85615-.064316*ii, 1.97211-1.01596*ii, -3.30243-2.96421*ii, -.10429-.103952*ii, -1.03376-.764209*ii, -2.25542-.595367*ii
-1.64751+1.69909*ii, -.115667+.171378*ii, -.777098-.677055*ii, .16371+.305567*ii, .666701+1.0191*ii, -.614124-1.17356*ii, -.788898-.225267*ii, 1.36084-.665136*ii, -.222096+1.15003*ii, .099979-.489536*ii
.0810186+.164713*ii, -.109005+.0279248*ii, 1.37305-.602871*ii, .468445-.79649*ii, .127978+.374114*ii, .467453-1.23897*ii, .169145+.0126284*ii, -1.21333-.359494*ii, -.568655-.098737*ii, -.110154-.513404*ii
1.06585-3.0621*ii, -.154272-.0064728*ii, .7442-.843428*ii, .436652-.0323881*ii, -.774247+.52758*ii, .843516-.215002*ii, .366229-1.37159*ii, -2.04598+1.71238*ii, .514084-1.34464*ii, .316126+.227493*ii
-1.86253-1.54346*ii, -1.65148-4.25537*ii, .473127-.797795*ii, 1.72596+.185721*ii, -1.66985+.058586*ii, 1.91349-.934923*ii, -2.92801-3.00987*ii, .111456+.10803*ii, -1.15596-.770514*ii, -2.05527-.650065*ii
-.754735-.445989*ii, -.197832-1.07217*ii, -.170635-1.39593*ii, 3.80658+.408297*ii, .171071-.447819*ii, 1.39132-1.80909*ii, -2.69086-2.00585*ii, -.509087-.279934*ii, .797767-.196797*ii, .996963-.939442*ii
-.385153-.479859*ii, -.197626+.209865*ii, .25358-2.27753*ii, 2.27823-1.08723*ii, -.0361801-.104722*ii, .41097-2.57104*ii, -1.39918-.674479*ii, -1.28916+.75669*ii, .207844+.152772*ii, .941282-.833324*ii
-1.1267-.339791*ii, -.965931-1.00929*ii, -1.52734-2.85341*ii, 3.379+1.66071*ii, .0391474-.00378602*ii, .726162-2.0274*ii, -3.24281-3.01928*ii, .218349+.472992*ii, 1.34813+1.24517*ii, 1.03708+.031967*ii
-1.33034+.447756*ii, -.838785+4.18219*ii, -.1257+.822508*ii, 1.34246-2.07099*ii, 1.01709+2.07917*ii, -.228201-1.85307*ii, -.858634+3.35621*ii, -.098651+.11415*ii, .164247-.974516*ii, 2.47032+.038246*ii
-.0434138-.469411*ii, .0749053-.198802*ii, 1.56039-.387358*ii, 1.31977-.290332*ii, .239084+.213951*ii, 1.19509-1.05605*ii, -.193582-.606912*ii, -1.25168-.347335*ii, -.402887-.600983*ii, .294965-.572923*ii
-1.59622+1.91313*ii, .302656+7.87269*ii, .664657-.15844*ii, 1.20331-1.42591*ii, 3.19131+2.69912*ii, -.563383-2.90405*ii, .807195+4.57815*ii, -.0635619+.0700942*ii, .107281+.429093*ii, 4.99229+.51747*ii
