variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
-2.96697+10.0597*ii, -14.2826+6.36539*ii, -.846703+.156777*ii, .497804+.563788*ii, -1.7811-1.0902*ii, .250636+.0615072*ii, -7.17944+3.34945*ii, -.012392+.0608218*ii, 5.6342+6.58994*ii, 1.27971-.955464*ii
-.281545-.965617*ii, -.0145183+.0800694*ii, .87742+.28766*ii, -.162522-.09775*ii, .984565-1.37801*ii, -.077032+.115661*ii, -.0488421+.185253*ii, 1.24371-1.37606*ii, .349038-.803862*ii, -.0416293-.359977*ii
1.77367-.377221*ii, .11948-.029469*ii, .660301+.059875*ii, 1.08605-.389336*ii, 4.40754-1.22596*ii, -.245286+.020079*ii, 1.78711-1.10499*ii, 4.05934-.142416*ii, 2.11604-1.04849*ii, .0295612-.269853*ii
-.358921-.99052*ii, .0039169-.0734673*ii, .886262+.28247*ii, -.127784-.053376*ii, .996191-1.32365*ii, -.0580197+.104613*ii, -.0070358+.146361*ii, 1.23104-1.30524*ii, .255421-.765564*ii, -.0481049-.355819*ii
-.600591-.5393*ii, -.124846+.0685845*ii, .506944-.991349*ii, -.537697-.266046*ii, -.954655-.146915*ii, .227481+.192553*ii, .180233+.45171*ii, -.768913-1.503*ii, -.321572+.673658*ii, .159236-.494477*ii
-3.21989+9.89852*ii, -14.4304+6.05897*ii, -.825942+.173834*ii, .50463+.573071*ii, -1.80174-1.2926*ii, .248907+.054869*ii, -7.32896+3.16348*ii, .0119878-.0610862*ii, 5.42515+6.60102*ii, 1.29077-.961426*ii
1.96193-1.61235*ii, 3.07155+3.21748*ii, -.557653+1.98491*ii, -.525337+.574214*ii, .111404+.103604*ii, .622329-.088350*ii, -.105292+1.98213*ii, .109219+.0003643*ii, 1.67121-3.07723*ii, -.789489-1.08312*ii
-1.3173-1.68847*ii, .15274+.392419*ii, -1.46425+.039568*ii, .447388-.175724*ii, -.422851-.0343463*ii, .342933-.0745823*ii, -.88988-.526188*ii, -.668751-.496029*ii, -.080896+.080004*ii, -1.25582-1.91235*ii
1.95593-.916599*ii, 5.52551+3.7589*ii, 1.6892+.982825*ii, .302562+2.11211*ii, -.0017960-.178621*ii, .319294+.933429*ii, 2.53868+3.87048*ii, .110436-.0113293*ii, .396801-4.66465*ii, -.717235-1.22653*ii
-1.04958-1.83764*ii, .230352+.503563*ii, -1.65837+.190844*ii, .496616-.233751*ii, -.269867-.0965949*ii, .403698-.140326*ii, -.954898-.670146*ii, -.498962-.451037*ii, .0937401-.105523*ii, -1.28629-1.97326*ii
2.31162-.169159*ii, .116777-.0328352*ii, .640066+.049254*ii, .911325-.467085*ii, 4.90667-1.15093*ii, -.221633+.0357699*ii, 2.03639-1.23922*ii, 4.38903+.003357*ii, 2.60852-1.05091*ii, .246619+.0134395*ii
-6.56687-2.26327*ii, -.48761-8.40211*ii, 1.07946+.160417*ii, .142376+.348346*ii, .927014-.439352*ii, .171016+.155817*ii, -.147195-2.62106*ii, .0455167+.0483252*ii, -4.6378+2.07232*ii, -1.25965+.869703*ii
-13.1186+5.70845*ii, -17.1137-9.95131*ii, .010176-.837234*ii, .385848+.488521*ii, -.082798-2.26993*ii, .102028-.204234*ii, -7.88442-4.2243*ii, .0144353+.0500565*ii, -2.62353+11.1705*ii, .929562+1.25532*ii
-1.19768-1.52366*ii, -.122378-.430307*ii, -.460293-1.15919*ii, .20289+.43562*ii, .622682-.290743*ii, -.0562753+.293445*ii, .42256-.834463*ii, -.201676-.717679*ii, .0161295+.210739*ii, -.173322-1.72145*ii
1.61203-.328248*ii, -.115835+.0262041*ii, .667865+.071269*ii, 1.03792-.450043*ii, 4.17854-1.37975*ii, -.245689+.0242188*ii, 1.53202-1.07079*ii, 3.95617-.327256*ii, 2.04376-.966883*ii, .0298413-.270916*ii
-2.46004-.300789*ii, .763924-.304103*ii, -.434321+1.25294*ii, .245453-.26246*ii, .481453+.308432*ii, .0207911+.273926*ii, -.685723+.574305*ii, -.0119963+.396462*ii, -.168723+.154146*ii, -2.21894-.405422*ii
2.14053-.096485*ii, -.114684+.0299417*ii, .648412+.057162*ii, .857126-.508831*ii, 4.66717-1.26053*ii, -.22096+.0401938*ii, 1.79333-1.17693*ii, 4.25836-.149151*ii, 2.54091-.949052*ii, .248273+.0126833*ii
-1.62573+1.55499*ii, -.906465-.4394*ii, 1.04812-.357956*ii, .151114-.487428*ii, .540683+.819006*ii, -.155875+.224641*ii, .514492+1.03185*ii, .365639+.0377076*ii, .170807+1.9396*ii, -.744084+.421891*ii
-5.6852+11.2649*ii, -17.9154+5.45806*ii, -.798354+.201161*ii, .535445+.539883*ii, -1.76355-1.61189*ii, -.245391-.0365679*ii, -9.16528+2.97519*ii, .00790688-.0566068*ii, 5.56268+8.64011*ii, 1.28074-.968079*ii
2.83041-.455884*ii, .102991-.0630532*ii, -.337474+.52915*ii, .672891-.5163*ii, 5.3464-.711958*ii, .0475749-.193995*ii, 1.6764-1.77575*ii, 4.41732+.632743*ii, 3.33557-1.07526*ii, .219194-.0261539*ii
-13.3556+5.79605*ii, -17.4334-10.0184*ii, .022556-.817778*ii, .394059+.487969*ii, -.201222-2.42689*ii, .102062-.199288*ii, -8.12619-4.25145*ii, -.0143818-.0499061*ii, -2.70592+11.2885*ii, .937492+1.25328*ii
-.957253-1.68579*ii, -.165111-.221007*ii, -.220788-1.10692*ii, .273891+.340873*ii, .516339-.770114*ii, -.0638368+.249916*ii, .313809-.791432*ii, .051861-1.1522*ii, -.0705091-.106607*ii, -.050039-1.7464*ii
2.98851-1.05904*ii, -3.7669-5.50711*ii, -6.22257-3.13505*ii, .728314-2.58984*ii, -.00066957+.00388428*ii, 3.88453-.713411*ii, -.56863-8.54787*ii, -.0328196-.147668*ii, .537566+4.41339*ii, 1.41529-.345374*ii
