variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
1.58256-.245701*ii, -.346166+.0884269*ii, .781793+1.23331*ii, -.253118-1.1151*ii, -.252489-.931548*ii, .318457-.166673*ii, -.812449-.009404*ii, .220676-.843497*ii, -.0392308-.1016*ii, 1.61048-1.43027*ii
-.081986+1.7804*ii, -.424322-.581527*ii, .861923-1.2002*ii, 1.21606-1.04355*ii, -.457307+.360957*ii, .238518-.489402*ii, .584381+1.93979*ii, .652505-.202804*ii, .226679-.0891449*ii, 1.61812+1.24952*ii
.714813+1.3033*ii, -.568823+.061046*ii, -1.0427+.548595*ii, .564674-.458527*ii, .690301-.925271*ii, .104456-.272486*ii, .711401-.277286*ii, .526203-.041614*ii, -.192126+.175783*ii, 1.67479+.549523*ii
2.0814+1.85823*ii, -.4855-.0057136*ii, -1.39975+.830444*ii, .927754-1.24983*ii, .618871-.832118*ii, .101207-.369604*ii, .895535-.935661*ii, .741132-.326907*ii, .0636571-.0140665*ii, 3.2241+.371184*ii
-.00150614+.000246215*ii, -.317622+.0806212*ii, -.121807-.144395*ii, -1.34386+1.30924*ii, .79207-.690352*ii, 1.09782-.547684*ii, .512617+.16644*ii, -.711423-.305452*ii, -.2226+.465962*ii, -.857786-.402024*ii
.0406517-.0165488*ii, -.379172+.369575*ii, -.487964+.0091438*ii, -1.60656-.007295*ii, .846993-.570806*ii, .68264+.217271*ii, .763725+.20903*ii, -.358211-.457158*ii, -.733165+.345816*ii, -.158741-.947912*ii
1.93761+3.24524*ii, -.36082-.305581*ii, -1.45648-1.0366*ii, .417262-2.42122*ii, .593708+.649612*ii, .493345+.0726902*ii, 2.45297+.216481*ii, .906994-.70201*ii, -.0386112-.0135792*ii, 3.97503+.732609*ii
-1.49498+1.72919*ii, -.717502-.409193*ii, 1.08835-1.24434*ii, 1.40158+.099147*ii, -.353422-.144156*ii, .157541-.574252*ii, .466207+2.43915*ii, .649522+.113283*ii, .203244+.16672*ii, .177596+2.10049*ii
1.62694+1.05764*ii, -.555214-.004914*ii, -1.13496+.843748*ii, .448354-.98825*ii, .702424-.862063*ii, .0628438-.325472*ii, .551281-.702077*ii, .52656-.261815*ii, -.135709-.0164969*ii, 2.39285-.13428*ii
-1.3892+.499524*ii, .369888+.497413*ii, .007346-1.31656*ii, -.225918+.146947*ii, -.1315+.0453052*ii, .382389+.296872*ii, .953012+1.37284*ii, -.649167+.313102*ii, -.906816+.184203*ii, -.52187+.821591*ii
.00000576044-.00000259203*ii, -1.59795-1.60515*ii, -.0131543-.0295588*ii, -1.06157+2.9735*ii, 1.99825-.784125*ii, 1.44688-2.26841*ii, .0075549+.365702*ii, -.0922735+.0011605*ii, .862274+.738073*ii, -1.67857-.066927*ii
.365404-.401199*ii, .09738-.945021*ii, -.179482-.953145*ii, -.58193-1.16011*ii, .463883+.918715*ii, .350637-.289992*ii, .267744+.963539*ii, -.18927+.310659*ii, -.674737-.143383*ii, .932812-1.03806*ii
.000211589+.000122212*ii, .381626-1.25338*ii, -.10784+.0471179*ii, -2.02506+.045062*ii, .893494+.451995*ii, 1.65315-.065049*ii, .120196+.386072*ii, -.0557653+.158185*ii, -.530036+.97618*ii, -.13014-1.28497*ii
1.65399+.481378*ii, -.276471+.128284*ii, .54807+1.44288*ii, .271063-1.20495*ii, -.33516-1.10078*ii, .313106-.11269*ii, -.636773-.20981*ii, .519302-.769612*ii, .0795507+.0224361*ii, 2.14148-.793048*ii
.797815+.933917*ii, -.263836-.843632*ii, .515444-1.17204*ii, .375637-1.73502*ii, -.139958+.857868*ii, .286224-.414819*ii, .512829+1.50871*ii, .394047-.297155*ii, -.0451171-.294201*ii, 2.04353-.154512*ii
1.83165+1.57411*ii, -.042103+.872691*ii, -1.19417+.350252*ii, .784259-.498182*ii, .149662-1.02479*ii, .183567-.284769*ii, 1.13088-.983688*ii, -.191319-.444854*ii, -.0885192-.174974*ii, 2.42696+.64116*ii
.159631+1.43488*ii, .728961-.510287*ii, .666087-1.14366*ii, 1.8048-1.14435*ii, -1.0788+.64149*ii, .219922-.395585*ii, .212375+1.39771*ii, .114273+.447425*ii, -.0529285-.197283*ii, 2.03289+1.42412*ii
-1.35738+1.3351*ii, -1.00916+.196495*ii, -.921106-.324216*ii, -.066918+.827224*ii, 1.15528-.977145*ii, .252872-.159679*ii, 1.26602+.795712*ii, .365934+.187203*ii, -.443105+.565039*ii, -.496919+1.33339*ii
-.933815+.887644*ii, -.308872-.224242*ii, .932317+.783314*ii, 2.15864-.441845*ii, -.720138-1.10169*ii, -.379563-.273583*ii, -.979371+1.25596*ii, 1.00895+.536324*ii, -.0294617+.159721*ii, .972422+1.54205*ii
3.73794+3.89344*ii, -.23705+.0056025*ii, -2.30303+1.54518*ii, 1.65644-4.11824*ii, .358817-.529105*ii, -.118455+.620185*ii, 1.67103-1.64144*ii, 2.08398-.795385*ii, .00714784-.00115538*ii, 6.78948+.464529*ii
-1.89694+.958641*ii, -.72678-.117631*ii, .077025-.599097*ii, .0914214-.02135*ii, .471213-.424081*ii, .11118+.163337*ii, .649647+1.79001*ii, .583013+.28225*ii, -.603656+.469008*ii, -.46573+1.07011*ii
-1.37966-.301179*ii, -.894782+.923283*ii, .125901+1.32008*ii, -.651932+1.14654*ii, .577302-2.15235*ii, .152803+.218455*ii, -.327547+.347984*ii, .0712021-.171629*ii, -.629865+.603368*ii, -1.44358+.026823*ii
-2.22341+.656897*ii, -.665375+.703335*ii, 1.00415-1.84186*ii, -1.12069-.488396*ii, -.0758314+.10696*ii, .290398+.789563*ii, 1.27194+2.85106*ii, -.114204-.620248*ii, -.916669+.184269*ii, -1.15341+.366134*ii
