variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
-S*dA+P
-sintheta^3*dtheta+1.33333
74.9962*P-313.672*qc^2*x0^2*w^4
points:
-1.97921+.462603*ii, 1.67074+1.55601*ii, .739103+.424846*ii, -.352831-.039918*ii, .0123-2.15198*ii, -.0959176+.147035*ii, .716792-.084214*ii, 1.47295-.168523*ii, -.0634873-.0371017*ii, .457766+1.89759*ii
-.292368-.382541*ii, .180874-.303475*ii, 1.22389+.335107*ii, -1.34113+.217217*ii, .453815-.468919*ii, -.095011+.502228*ii, .475196+.449529*ii, .675599-.483749*ii, 1.23773+1.08929*ii, .532066+.074582*ii
-.918138-.412826*ii, .456693+.655884*ii, .949973+.376313*ii, -.688255+.064156*ii, .531556-1.13116*ii, -.0953253+.277674*ii, .658398+.225225*ii, .804701+.005695*ii, .726711+.559716*ii, .183399+.72038*ii
-1.82945+.23583*ii, 1.40931+1.46858*ii, .767472+.416293*ii, -.390142-.0327601*ii, .15965-1.99689*ii, -.0968872+.162039*ii, .721472-.032074*ii, 1.36179-.071589*ii, .0919933+.0413703*ii, .338749+1.70476*ii
-.653223+1.86993*ii, -1.22731+.945404*ii, -.041743+4.22992*ii, .674353-1.38388*ii, .00052140+.0176071*ii, .946207+1.54742*ii, 2.14724+2.16497*ii, 1.42271+1.43278*ii, -3.14316+.956137*ii, .0177286+.358328*ii
.451735+1.3174*ii, -.545137+.160892*ii, .595351+2.37176*ii, .934593-.953527*ii, -.0613366+.0674716*ii, .585996+.781089*ii, 1.67836+.800488*ii, .17712+.725292*ii, -2.05224+1.20892*ii, .587076-.174046*ii
17.0648+1.18589*ii, -4.79417-.795032*ii, -12.6756-19.2903*ii, -1.12096-.34961*ii, .000106796+.0000186891*ii, 7.85621-3.60478*ii, -18.7144-7.29537*ii, -14.1931-3.86166*ii, -.00055369+.000771619*ii, -4.30781-11.7608*ii
-1.0105-1.04946*ii, .436941+1.76671*ii, -.730222+.537134*ii, -.207696-.43202*ii, .5831-1.6923*ii, -.0157919-.216317*ii, -.243513+.654524*ii, .556521+1.17913*ii, -.0179126+.153839*ii, -.854371+1.13733*ii
-1.01508+1.1784*ii, -1.62133+.56916*ii, -1.20174+3.81721*ii, .711453-1.60697*ii, .016488+.0126858*ii, .492564+1.76599*ii, 1.17147+2.46958*ii, 1.14048+2.14499*ii, -2.91198+.384643*ii, -.330311+.0646991*ii
-.395944+.753786*ii, -1.37263+.186026*ii, -.933679+2.67197*ii, 1.09869-1.68594*ii, .049749+.0313486*ii, .221681+1.36973*ii, .83582+1.49572*ii, .378187+2.07765*ii, -2.44911+.510793*ii, -.111883-.329587*ii
-.939565-1.20058*ii, -.478763+1.41619*ii, -.709578+.63798*ii, -.389301-.463094*ii, .899345-1.2435*ii, .0749248+.245302*ii, -.190209+.902495*ii, .529142+1.34408*ii, .179958+.140116*ii, -1.05676+.555573*ii
.422728-.198962*ii, 3.06342-1.74969*ii, 1.84128-1.59831*ii, -23.6303-3.7002*ii, -.0499348+.0772518*ii, 2.45175+3.31218*ii, -10.7254+3.13735*ii, 12.9822-7.74521*ii, 10.1025+10.9194*ii, .0717268+.0460854*ii
17.0714+1.20175*ii, -4.79691-.799643*ii, -12.6641-19.3122*ii, -1.12097-.349654*ii, .000106683+.0000183605*ii, 7.86378-3.59919*ii, -18.7164-7.31621*ii, -14.1967-3.87657*ii, .000551238-.000771776*ii, -4.29989-11.771*ii
-1.37713-1.06678*ii, .453603+2.03695*ii, -.699128+.517204*ii, -.166993-.331244*ii, .676066-1.91123*ii, -.0155417-.182382*ii, -.123393+.634311*ii, .714871+1.20646*ii, .0187501-.10036*ii, -.957107+1.35252*ii
.518551+.207755*ii, .728031+1.39233*ii, .966574+.439096*ii, -.003577-1.80764*ii, .320323-1.06729*ii, .461651-.173756*ii, .373691-.938096*ii, .709285+.707505*ii, -.908721+1.89954*ii, .0614657+.478687*ii
.423537-.19727*ii, 2.9809-1.56293*ii, 1.91403-1.53819*ii, -22.8487-5.18399*ii, -.0399857+.0806914*ii, 2.2006+3.46824*ii, -10.6999+2.31175*ii, 13.1651-6.67373*ii, 9.23488+11.2983*ii, .0433648-.0750385*ii
.866311-.624887*ii, -1.47283+.037947*ii, 1.04943+.012579*ii, 1.17702+.825276*ii, 1.15268-.041467*ii, .413085+.135855*ii, 1.53537-.020561*ii, -1.54645+.302748*ii, .360957+.17545*ii, -.129707-.970176*ii
.42501-.198326*ii, 3.16685-1.49614*ii, 1.96571-1.61142*ii, -24.3365-5.85116*ii, -.0381571+.0716689*ii, 2.36667+3.7029*ii, -11.5037+2.33978*ii, 14.193-6.91641*ii, 9.65546+12.1164*ii, -.072106-.0406156*ii
.920892+1.16032*ii, .560297-.127212*ii, 1.00449+1.10691*ii, .442411-.569827*ii, -.320235-.238427*ii, .407676+.16215*ii, 1.06859-.011412*ii, -.123879-.193617*ii, -1.14554+1.502*ii, 1.07793-.047309*ii
-.594803+.634971*ii, 1.16345+1.04924*ii, -.839409+.397945*ii, .457527-.141381*ii, -.399724-1.61446*ii, .184283-.124069*ii, -.182365+.374611*ii, .0406212+.260357*ii, -1.04617-.109493*ii, .268335+1.0328*ii
.462336+.117199*ii, -.691045+1.01215*ii, -.899925+.69329*ii, 2.46423+.671354*ii, .352884-.838229*ii, .5434-.313609*ii, 1.06062+.599196*ii, -1.90868+1.01813*ii, -1.54894-.784763*ii, -.375384-.0525549*ii
-.500186+1.13485*ii, 1.92733-.383977*ii, .163046-.913119*ii, -.201585+.460767*ii, -.844749-1.44145*ii, -.20916+.0890473*ii, -.422071-.459238*ii, -.07426-1.20322*ii, .10709-.0384782*ii, 1.53865+.669072*ii
-.181525-.290945*ii, -.558341-.094216*ii, -.193519-1.0841*ii, .857116+.495825*ii, .504668-.861449*ii, -.032368+.377311*ii, -.0113302-.339379*ii, -1.18179+.243313*ii, .349809-.705601*ii, .138527-.529778*ii
