variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
-sintheta^3*dtheta+1.33333
74.9962*P-313.672*qc^2*x0^2*w^4
points:
1.98275-.044813*ii, -.815735-.948384*ii, -.737082+.777049*ii, 1.46503-.481532*ii, .825694-.704311*ii, .259615-.379292*ii, -1.27568-.415816*ii, .248505-.414318*ii, .170948-2.46938*ii, -.365258+.58327*ii
-1.0953+1.29389*ii, 1.83392+.699458*ii, -.563269-.894353*ii, -1.02301+2.64332*ii, 1.12171+.129963*ii, -.243982+.564468*ii, 1.74898-1.55248*ii, -.0658637+.380281*ii, 1.73838+2.4365*ii, -.034279+.803833*ii
1.03123+.453102*ii, -.568598+.26825*ii, .931622-.183155*ii, 1.60068+4.18143*ii, 1.30103+.856799*ii, .637159+.275777*ii, -.019218-4.09076*ii, -.388763-1.1716*ii, .344297-.0099382*ii, 1.28716+.818055*ii
.028181-.554889*ii, -.544224+.652395*ii, 1.14084-.024492*ii, .0793365-.249592*ii, .895504+.057747*ii, .160292-.12261*ii, .00859527-.0101417*ii, -.134963+.0765578*ii, -1.51357+.002771*ii, .489526+.02056*ii
2.54306-.073423*ii, -1.853-1.22151*ii, -.678964+.718125*ii, 2.88337-1.80917*ii, 1.05532-.891286*ii, .289407-.559725*ii, -2.73336-.182567*ii, .292865-.35242*ii, -.396678-3.78426*ii, -.595398-.331174*ii
2.54851+.490247*ii, -1.66027-2.34542*ii, -.625961+.761914*ii, 4.22878-.394763*ii, 1.22538-.657481*ii, .420079-.562786*ii, -2.94915-1.66742*ii, .246208-.31432*ii, .918262-4.4269*ii, .325776-.626458*ii
.716581-1.93224*ii, -.424841+2.16907*ii, 1.0736+.21736*ii, -.696223-2.87484*ii, .837693-.572207*ii, .496081-.421623*ii, -.887719+2.50023*ii, -.382535+.0518219*ii, -3.27206+.326545*ii, -.444018+.655961*ii
1.57071+.194924*ii, -2.09216+.710079*ii, -.589327+.814555*ii, 2.77904-1.51198*ii, 1.2502-.39795*ii, -.22761+.574552*ii, -2.89469-.413279*ii, -.346602-.0487723*ii, -1.24639-2.49405*ii, -.907672-.181423*ii
.573852-.179236*ii, -1.25012+1.1001*ii, -.382379-.899764*ii, 1.13247-1.64389*ii, 1.33279-.509656*ii, -.369618-.302066*ii, -1.6447+.306336*ii, -.226494-.0196414*ii, -1.35261-.396998*ii, -1.19515-.738297*ii
-.823877-.033686*ii, .843863+1.63131*ii, 1.14382-.152378*ii, -1.86025+1.076*ii, .800178+.335782*ii, .224759+.539653*ii, 1.75739-.118988*ii, -.0584712+.243552*ii, -1.01761+2.14889*ii, .363668+.978488*ii
-3.61906-2.71873*ii, 1.17174+2.20582*ii, 1.56637-1.76842*ii, -5.85808-.717512*ii, -.0832478+.0574248*ii, -1.40183-1.40302*ii, 4.51759+3.05753*ii, -.547225+.460378*ii, -3.03902+4.94137*ii, .279873+.443801*ii
-.121133+2.89084*ii, .706125-1.14651*ii, -.667629-.788416*ii, -.51479+5.16919*ii, 1.03893+.618675*ii, -.107421+.806612*ii, 2.52042-4.39077*ii, .881896-.460753*ii, 3.06268+.874476*ii, .094313+.581606*ii
.406868-.787333*ii, .632547+.20388*ii, -.918503+.857207*ii, -.702465+.480479*ii, .423748-.522*ii, -.347608-.199006*ii, .526415+.246889*ii, -.413789-.180895*ii, .238363-.0726252*ii, -.093599+1.81784*ii
-1.3319+.31064*ii, .514945-1.09155*ii, .359442+1.4298*ii, -2.76852+2.03298*ii, -.28022+.30759*ii, -.798511+.503952*ii, 3.6346-.457813*ii, .475162+.399198*ii, .430265+.189543*ii, .993679+1.48999*ii
.614497-1.13163*ii, .649621+.616404*ii, -.88487+.757675*ii, -.975531-.353235*ii, .443386-.717456*ii, -.208858-.352886*ii, .297211+.994237*ii, -.401899-.19348*ii, -.296353+.0778622*ii, -.42445+1.86127*ii
.176101+1.39259*ii, -.009365-1.08184*ii, 1.03673-.167028*ii, .505573+2.77991*ii, 1.02176+.53092*ii, .524541+.311375*ii, 1.16675-2.72748*ii, .62954-.091406*ii, .946659-.322226*ii, 1.14884-.063837*ii
-1.25102+.535096*ii, -.380067-1.73043*ii, 1.13316-.298814*ii, .050321+2.3896*ii, .592743+.578793*ii, -.544269-.309492*ii, 1.88338-2.10123*ii, .247841+.249626*ii, .605659-.299784*ii, 1.72986-.680297*ii
-.072007+1.72634*ii, .3654-.562008*ii, 1.10473-.297979*ii, -2.22247+3.23679*ii, .626221+.632492*ii, .532939+.574357*ii, 3.26069-2.31029*ii, 1.29939-.338447*ii, .607492+.993727*ii, .40494+.679003*ii
-.767884+.39529*ii, -1.13854-1.39275*ii, 1.02239-.283709*ii, 1.06866+3.1497*ii, .767998+.810079*ii, -.627904-.230029*ii, 1.07146-3.18179*ii, -.156483-.285528*ii, .40311-.68269*ii, 1.76397-.599311*ii
.960858+.14073*ii, -.778492+.270242*ii, .944376-.096268*ii, 2.70852+2.0737*ii, 1.4869+.467718*ii, .590602+.135252*ii, -1.41272-2.77992*ii, -.566959-.511015*ii, -.16605-.770518*ii, 1.19789+.017383*ii
.038007-1.73401*ii, -3.10066+1.06068*ii, 1.00088+1.57113*ii, -1.81382-2.50678*ii, -.204492-.0269118*ii, -1.1273+.107419*ii, .617844+1.91534*ii, .0066875-.244204*ii, -4.38493-1.58751*ii, -.617354+.477232*ii
.65469-1.13549*ii, -.902465-1.17271*ii, 1.18509+2.50568*ii, -.00274493-.0135771*ii, -.0607349+.015214*ii, .109401+.0272218*ii, .587077+.190081*ii, .0215217+.0229573*ii, -1.25188-2.50259*ii, 1.6151+1.32424*ii
.094565+3.15755*ii, .429024-1.81189*ii, -.601717-.752648*ii, 1.32495+5.22973*ii, 1.34023+.651459*ii, .010118+.773408*ii, 1.35562-5.09243*ii, .713918-.278164*ii, 3.58869-.130393*ii, .633834-.078827*ii
