variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ekf
Ugi*r+G*M*m
1.9902*G*M*m-1.0021*m*ve^2*r
points:
-.903903+.247782*ii, 1.65832e-16+9.50899e-17*ii, -2.20626+1.59179*ii, 1.50108-.591635*ii, -4.47771e-16+1.56414e-16*ii, 1.24148-.383445*ii, 1.50185+1.14023*ii, .867594+.824513*ii, -1.51478e-16+2.16133e-16*ii
.944136+.873534*ii, 9.73693e-32+1.1755e-31*ii, -.883541-.754236*ii, -.91425+.054713*ii, -6.13901e-32-9.73219e-32*ii, .349755-.0300018*ii, 1.1534+.280255*ii, -1.01113+1.44375*ii, 1.31237e-32-1.28317e-32*ii
-.38161+2.82981*ii, 0, -.451176-.231377*ii, .711578+1.41485*ii, 1.53427e-192*ii, -.435322-.143378*ii, .135293+1.98259*ii, .14731+.282187*ii, 2.63017e-192+1.75345e-192*ii
-.254176-1.15498*ii, 0, .680291-.078014*ii, .634496+.585832*ii, 1.51433e-32+5.27048e-32*ii, .666546-.682056*ii, -.0903761-.0392523*ii, .666189+.251214*ii, 1.61802e-33-5.88365e-33*ii
13.9084-5.69797*ii, 0, -7.18936-5.68121*ii, .889269+4.56392*ii, -1.81382e-103+1.25572e-103*ii, -3.73443+4.84145*ii, -1.76858+1.59799*ii, -11.7121+10.9374*ii, 1.74406e-103+1.91847e-103*ii
.22202-.980569*ii, 0, -.789874+2.04461*ii, 1.41493-2.86303*ii, 1.36988e-194-1.71235e-194*ii, .147873-.697488*ii, .380064-1.97931*ii, -.124926-.433015*ii, -3.4247e-195
.574658-1.0089*ii, 6.20801e-32+8.65832e-32*ii, -2.17598+.940074*ii, .546362-.429386*ii, 1.07952e-77+6.47713e-78*ii, -.795048-.91086*ii, -.910574+.152849*ii, -1.43532+.000852*ii, 5.39761e-79-2.15904e-78*ii
1.37327+.570281*ii, 0, -1.60782-.892447*ii, -3.01216-.866304*ii, -5.47952e-194-1.50687e-193*ii, 1.09222+4.2186*ii, -6.33756+3.63208*ii, -4.50808+6.13122*ii, 1.19865e-193-3.01374e-193*ii
-.810249-.793842*ii, 0, -1.93998-2.18823*ii, -2.17132+1.7283*ii, 5.61351e-77-8.63617e-78*ii, 1.22226+.334676*ii, -.575438-1.11505*ii, .940403-.930538*ii, -2.0241e-78+1.07952e-77*ii
.680954-.368168*ii, 0, -1.04844+.532908*ii, .069436-.521098*ii, 2.73976e-194-7.19187e-194*ii, -1.47464-.608411*ii, .983125+.388608*ii, -1.00956-1.24246*ii, -6.8494e-195-5.03593e-195*ii
.564703+.28028*ii, 0, -.424126-.57774*ii, -.329347+.289506*ii, 1.40276e-191-2.63017e-192*ii, .453949-1.14507*ii, -.173653+1.90233*ii, .617977-.434516*ii, 3.85758e-191-3.15621e-191*ii
1.64636+1.02485*ii, 0, -.677458+1.95586*ii, .760212-.361276*ii, 8.92959e-101+8.92959e-101*ii, 1.30299+1.35897*ii, -.026642-.996981*ii, -1.78429-.370983*ii, 5.00057e-101+1.28586e-100*ii
-.443935-1.07494*ii, 0, 2.05503-.731495*ii, -1.01142+.269763*ii, -3.39325e-32+3.78898e-32*ii, .386789+.148133*ii, -.951942-.446441*ii, -1.93337-1.4868*ii, 5.75914e-33+5.96638e-33*ii
1.10225-.419557*ii, 0, -.164845+.733696*ii, -.457994-1.23679*ii, -5.4795e-194-9.52067e-193*ii, .72466+.660458*ii, .657096+2.04241*ii, 1.16432-1.03887*ii, 5.47952e-193+7.67133e-193*ii
-.599335-2.44468*ii, 0, -.596077+.575807*ii, -.866423-1.34172*ii, 2.2324e-103+3.3486e-103*ii, -.696082+2.95724*ii, -.694321+1.03723*ii, .422077-.455919*ii, 9.55562e-103+1.56268e-102*ii
-3.73201+1.04621*ii, 0, -.945211+.918017*ii, .14805-4.26634*ii, -4.48883e-190+1.12221e-189*ii, -4.01163-.619677*ii, 2.63303-2.20109*ii, .706364-2.00035*ii, -8.02378e-189+8.07989e-189*ii
-1.0173-.03018*ii, 0, .970006-1.06412*ii, .568984-.699667*ii, 7.2926e-63+4.86173e-63*ii, -.427414-.590177*ii, .40012+.677937*ii, .884247-.179894*ii, -2.66745e-64*ii
1.31705-.128314*ii, 0, -.36823-.51822*ii, .481653-.436117*ii, -1.42873e-101-3.21465e-101*ii, -2.43158-2.57191*ii, .446841-1.42089*ii, .732357+.758533*ii, 1.03583e-100+2.85747e-101*ii
4.77957-3.83011*ii, 0, 6.43904+2.62578*ii, .22792+.399722*ii, -3.8155e-189-2.24441e-189*ii, -.19831+5.80504*ii, .850715+2.427*ii, -1.2254+.201921*ii, 1.96386e-190+3.64717e-190*ii
-1.49243+1.19196*ii, 0, 4.90834-5.98595*ii, -1.68499-4.96331*ii, -8.97765e-190-4.48883e-190*ii, -1.70952+2.80545*ii, -1.91001-.591031*ii, .199308-1.51254*ii, -6.31241e-191
-.327365-1.6692*ii, 0, .358538+.18863*ii, 1.1463+1.83744*ii, 2.7e-90-1.96364e-90*ii, .726742-.369227*ii, -1.72814+.143114*ii, -.362126+.530616*ii, -3.92727e-89-1.17818e-89*ii
-.254441-.411224*ii, 0, -1.43722+1.48363*ii, .706812-2.03576*ii, 6.71165e-93+1.15057e-92*ii, -.146509-.969077*ii, -1.81375-.238807*ii, .300765-1.60145*ii, -1.34233e-92-9.5881e-94*ii
-1.99363+.148992*ii, 0, 2.46631-.444532*ii, 1.86208+.546644*ii, 3.78183e-124-1.89091e-123*ii, -1.46134+1.31273*ii, .973042-.627441*ii, .438387-1.20295*ii, -9.45457e-124+3.78183e-124*ii
-1.43567-1.19637*ii, 0, -1.20271-1.05685*ii, .459716-1.41299*ii, 2.18008e-106-3.48812e-105*ii, .5574+1.15523*ii, -2.33839-.1228*ii, 1.33819+1.53569*ii, -5.45019e-106+8.7203e-106*ii
-.544479-.40758*ii, 0, .156126+.816208*ii, -.16261+.936854*ii, -4.90909e-91+4.29546e-91*ii, -.95891+.226338*ii, -1.26629+.078712*ii, -1.51769-.135693*ii, 1.22727e-91-2.45455e-91*ii
