variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
dt0*c-2*d
dt*c-2*L
.99*c^2*F0^2-.98*c^2*F^2-1.01*F0^2*v^2
points:
-1.43722+1.73295*ii, -.062792-.862177*ii, -.833682+1.54567*ii, .138209-1.09957*ii, 2.51401+.503699*ii, .989519-.848512*ii, .862993-1.05126*ii, -.832656-1.29777*ii
-3.41975+2.63928*ii, -.069534-2.44968*ii, -.930503-1.46955*ii, -6.04165+.735871*ii, -.460409-4.94568*ii, 4.27402-5.90746*ii, 4.95073+3.02208*ii, .768038+6.21511*ii
15.1549+16.4011*ii, .973876+6.67331*ii, 4.04914+8.54321*ii, 6.9035+14.3557*ii, 4.50834-1.41106*ii, -42.1058-9.5391*ii, -1.92113-33.2677*ii, 5.31697-2.28861*ii
-.135228-.0013083*ii, 5.93279+4.62674*ii, -.242345+.196773*ii, .701072+3.18299*ii, .6673+.552615*ii, -10.5873-1.06592*ii, 2.37607-8.56544*ii, .801982+.763888*ii
-.0524456+.167758*ii, .317498+.141857*ii, -.478578+.191422*ii, .105878-.0533994*ii, .430684-.528803*ii, -.616067+.490322*ii, .414126-.632381*ii, .496848-.170331*ii
-.237177+.451071*ii, -.01973-.942188*ii, -.517596-.341437*ii, -.768971+.092716*ii, -.162558-1.63571*ii, .558703+.35927*ii, .410618+.569841*ii, .989918+1.03935*ii
.459459+.746463*ii, -.775592-1.09188*ii, -.959033-.29923*ii, -.115474+1.16281*ii, -1.31579-1.14616*ii, -.337041+.287081*ii, .616597+.061807*ii, 2.52863+.473147*ii
-.879694+1.04388*ii, .570568-1.04221*ii, -.677775+1.13749*ii, .754699-.964872*ii, 2.03465+.334378*ii, .225536+1.06136*ii, -.415315-1.17069*ii, -.392993-1.26575*ii
-8.16702-1.77786*ii, -2.36155-1.66701*ii, -2.76368+1.29143*ii, -2.3757-7.55553*ii, 4.35755+3.32281*ii, 17.0138-2.59625*ii, 4.84628+9.18644*ii, -5.22811-3.3166*ii
-.0054215+.090754*ii, -.290008+.517364*ii, -.646475+.227651*ii, .0483385+.0620729*ii, .102884-.244536*ii, -.299247-.211472*ii, 1.09918-.336635*ii, .704101-.443801*ii
-.264265-.0391247*ii, -1.59787+4.17283*ii, -.587406+.683544*ii, -1.29879+.259517*ii, .316364+.501353*ii, -.598557-5.41698*ii, 5.32393-.587625*ii, -.438031-.694255*ii
