variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-S*dA+P
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
-4.49472-1.73215*ii, -.889336-.008883*ii, -.693724-2.99837*ii, -.537679+.067742*ii, -.925262-.549447*ii, -2.3526-.000607*ii, 2.53406+.62686*ii, .624227+.069743*ii, -4.46883-.134943*ii, .530375-.005357*ii
-1.35079-1.58996*ii, -1.32734-1.17033*ii, .639745+.214505*ii, -.433782+.27728*ii, .554966-.891778*ii, -1.5007-.277222*ii, 1.02681+.315148*ii, .170071-.109905*ii, -.841205-1.31923*ii, -1.2523+.176818*ii
.494742-.189908*ii, -.305884-.147101*ii, -1.44716-.22846*ii, .963308+.018634*ii, -.0768861+.111731*ii, -.117395-.78917*ii, .480128-.173721*ii, .591641-.424023*ii, -.044401+.563563*ii, -.520743-.760219*ii
.000197961+.000100131*ii, -.0460266+.006861*ii, .980789+.048216*ii, .370179+.780146*ii, .0152699+.227388*ii, -.313889+.312455*ii, -.0000048358+.000191505*ii, -.0601523-.0834084*ii, .052063-.943258*ii, -.16675+.204592*ii
-1.44153+.952681*ii, .160121+.427191*ii, -.872641+1.96016*ii, -.590232+.369485*ii, -.429955+.859141*ii, -1.58062+.763147*ii, .498834-1.09493*ii, -.175766-.812527*ii, .77806+1.03225*ii, -.699209-.101132*ii
-1.26673-1.38656*ii, -.304913+.475565*ii, .895064+.406807*ii, -.235653+.105976*ii, -.529006+.018645*ii, -1.59041-.094224*ii, .44545+.192503*ii, -.152656-.398088*ii, -.457023-1.3143*ii, -.331214+.681497*ii
.137645+.652178*ii, 3.27099-.634515*ii, -1.43025-.85952*ii, .649723-.164994*ii, .536274+2.76922*ii, .0553518+.011496*ii, .197037+.401025*ii, -.0508159-.0472125*ii, -.25616+.725322*ii, 1.22947-2.14806*ii
-.812391-2.29169*ii, -.424263-1.75797*ii, 1.6092+.141834*ii, -.471796+.120038*ii, 1.17078-.434905*ii, -1.34804-.426628*ii, .658372+.983691*ii, -.138295+.155376*ii, -.642092-2.47791*ii, -.999531-.008367*ii
-.148538+.247465*ii, .0455+.591207*ii, 1.8417+.255389*ii, .244998+1.08126*ii, -.327287+.338506*ii, -.383765+.778081*ii, -.303965-.0999796*ii, -.320726-.0770253*ii, .223751-1.3464*ii, .094414+.778125*ii
.339656+.0294872*ii, .36985+.170949*ii, -.999069-1.30052*ii, 1.18916+.236841*ii, -.293395+.546185*ii, .20306-.494254*ii, .39692+.115509*ii, .522605-.15673*ii, -.732659+.330957*ii, .351865-.770019*ii
.237801+.254146*ii, .293316-.363045*ii, 2.33272-1.24437*ii, .630053+1.43257*ii, .388156+.266809*ii, .413087+.800106*ii, -.214255+.500792*ii, -.165731+.521016*ii, -.636024-1.87444*ii, .505842+.278542*ii
.328963+.654097*ii, 2.95883-1.07864*ii, -1.41769-.95775*ii, .704128-.058289*ii, .854764+2.48441*ii, .236051-.0515613*ii, .269759+.441393*ii, .0514771+.0598768*ii, -.285363+.669868*ii, .984152-2.26899*ii
.307004+.0693699*ii, -.387796+.0456465*ii, .474918-2.40434*ii, 1.37442+1.00656*ii, -.206201-.209516*ii, .684857-.069688*ii, .352127+.40436*ii, .554678+.335768*ii, -1.52143-.663396*ii, .556794-.15061*ii
-2.60065-.152607*ii, -.626788-.555646*ii, -1.33983-.012560*ii, -.610416+.194574*ii, -.100168-.0131659*ii, -1.82959+.248236*ii, 1.61718-.412867*ii, .351841-.400743*ii, -1.3835+.861988*ii, -.683126-.509946*ii
-.154254-.171374*ii, -1.68835-.1683*ii, 1.57561+.328666*ii, .222985+1.18936*ii, .056846-1.02857*ii, -.438841+.380882*ii, .169428-.221677*ii, .0912853-.0570353*ii, .018608-1.32753*ii, -.990298+.909198*ii
-.256669-.708412*ii, .151085-.268932*ii, .488484+1.05868*ii, -.0877496+.16248*ii, .200343+.406625*ii, -1.03308-.083303*ii, .137626+.0204592*ii, -.177354-.378622*ii, .525607-.906523*ii, -.645202+.004382*ii
.326468-.460402*ii, .182624+.193333*ii, -.63029+1.05332*ii, .41167-.122715*ii, -.165671+.539849*ii, -.724277-.523561*ii, .0778984-.229596*ii, .086202-.634317*ii, .812815-.054838*ii, -.614569-.289793*ii
-.260875+.134649*ii, .0538095-.419028*ii, 1.13844+1.26634*ii, -.238931+.762574*ii, .408399+.387557*ii, -.791783+.609117*ii, -.0403489-.231108*ii, -.333465-.214333*ii, .771013-.958331*ii, -.670788+.189184*ii
-1.71438+.120644*ii, 2.06986-1.77217*ii, -1.4093+.079663*ii, -.650411-.164844*ii, 1.12593+1.88895*ii, -1.31936+.325914*ii, 1.13494+.204137*ii, -.0952202-.0974658*ii, -.707322+.68032*ii, .05733-1.98073*ii
-.0643231-.0734991*ii, -1.18089-.627867*ii, 1.78767+.436455*ii, .0803+1.2213*ii, .477688-.687833*ii, -.373683+.534748*ii, .084599-.0844594*ii, -.0568844+.068946*ii, .172485-1.50225*ii, -.924184+.629854*ii
-1.40164-2.14394*ii, .700452+.237055*ii, 1.74902-.149246*ii, -.361837-.0882826*ii, -.277146+.567686*ii, -1.69491-.133636*ii, .317895+.899499*ii, -.437722-.130246*ii, -.885454-2.33216*ii, .276254+.585579*ii
-3.30327+.300369*ii, .453497+.668519*ii, -1.68797-.748662*ii, -.496913+.0964837*ii, -1.05035+.922499*ii, -1.96625+.584286*ii, 1.61246-.467969*ii, .243635-.498213*ii, -2.01176+1.41708*ii, .486026-.477538*ii
-2.60417-3.23317*ii, .23161-.972714*ii, 2.0976-2.24102*ii, -.5303-.030912*ii, .306316-.146214*ii, -1.8772-.328236*ii, 1.28105+1.79505*ii, -.122921+.498569*ii, -3.10324-3.08999*ii, .495754+.277725*ii
-1.61543-.224167*ii, 1.42314-3.21733*ii, -1.36959+.286417*ii, -.91487-.10646*ii, 2.15615+1.26675*ii, -1.32049+.144785*ii, 1.45404+.377061*ii, .0343978+.115438*ii, -.695272+.396517*ii, -.77958-2.36818*ii
