variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-sintheta*g+ad
-theta*L+d
omega^2*d-ad
-4.00008*L*j^2*Pii^2+.999968*g*Tj^2
points:
1.29373e-27-7.79395e-28*ii, -.471849+1.5837*ii, 2.32675-1.88369*ii, -.87333+3.50437*ii, 1.1924-1.57945*ii, 3.32505e-28+1.02552e-29*ii, 6.98931e-28-2.55591e-28*ii, -3.116e-29-1.59153e-28*ii, 1.92415-.713876*ii, -3.9553+.637571*ii, .688365-1.00631*ii
1.88803e-31-1.21295e-31*ii, -.01897-.754526*ii, -1.79317-1.6317*ii, -.730549+2.07234*ii, .58064-.342378*ii, -1.75222e-32-3.392e-32*ii, 3.32674e-31-1.2735e-32*ii, 2.21712e-32-1.0735e-33*ii, .496209+1.82357*ii, -.458732-3.10944*ii, 2.80456-1.24306*ii
1.97038e-32+2.7389e-31*ii, -.0781071+.388685*ii, 1.23123+.159187*ii, .380801-1.42333*ii, 1.43076+1.23387*ii, 5.75599e-32+1.6861e-31*ii, 1.02573e-31+1.02972e-31*ii, -1.65008e-34-4.58406e-33*ii, 3.62098-2.32215*ii, -.756192+.37322*ii, -.77693-.984744*ii
2.43087e-62-5.83408e-62*ii, 1.07267-.454265*ii, -.408526-.901022*ii, -.065881+.754542*ii, -.641723+2.27001*ii, -8.75112e-62-6.0772e-63*ii, -2.91704e-62-4.86173e-63*ii, -3.40321e-62+1.21543e-62*ii, -1.63447+.718544*ii, 1.52871-1.62595*ii, -.553601+2.42891*ii
2.08327e-31-2.18129e-31*ii, 2.3833-1.6326*ii, .054813+2.53521*ii, 1.80909-.599966*ii, 3.10281+5.13226*ii, -3.38337e-32+3.24902e-32*ii, -1.31534e-32-4.85438e-32*ii, -5.95401e-34-8.22977e-34*ii, -.099857+3.39336*ii, -1.64813-3.48338*ii, -3.08286+2.07919*ii
9.27259e-31+1.09916e-31*ii, -.998104+1.09783*ii, .988221-1.80809*ii, .744166+1.05637*ii, -1.98955-4.16923*ii, -1.39718e-31+1.69841e-31*ii, -1.0792e-31+1.70906e-31*ii, -2.85655e-32-1.92774e-32*ii, -.485606-.626295*ii, -3.42335+.349436*ii, -.088596+2.25041*ii
-2.65761e-30-1.22113e-30*ii, -15.5984+5.80424*ii, 17.0265+2.44539*ii, 4.03102-16.5006*ii, -20.5951+28.0054*ii, -9.78047e-33-1.43237e-33*ii, 1.69931e-32+8.23996e-32*ii, -1.58233e-35-6.18615e-36*ii, .88553+9.73746*ii, -30.1749+46.4358*ii, -.18176-15.3885*ii
3.26582e-31-8.87498e-32*ii, -.271662+.835599*ii, 3.32658+.173186*ii, 1.71213-.674654*ii, .483342+.930452*ii, 2.84423e-32-1.10112e-32*ii, 6.847e-32-3.15425e-31*ii, -1.02383e-32+2.58966e-32*ii, 1.68471+1.58364*ii, .060192-1.28558*ii, -1.11028-1.3503*ii
8.63617e-78+1.16049e-77*ii, 2.17238+1.0676*ii, -1.75681+.064954*ii, -1.89995-1.25738*ii, .371586-.353487*ii, -5.61351e-77-3.02266e-77*ii, -1.07952e-77+5.82941e-77*ii, 3.45447e-77-9.71569e-78*ii, 1.54239+.438588*ii, -.860428+.223992*ii, -2.87416+1.63415*ii
2.76357e-75-5.52715e-76*ii, -.472768-.661953*ii, .318953+.149399*ii, -.491181+.588686*ii, -1.27702-.597557*ii, 2.21086e-75-1.10543e-75*ii, -1.38179e-75+2.21086e-75*ii, -6.63258e-75+4.42172e-75*ii, -1.92656+.136993*ii, 1.42579-1.33891*ii, -.319166+.0411856*ii
-1.29359e-32-2.35433e-31*ii, .478048+1.5873*ii, 2.13902-1.73404*ii, .660079+1.63605*ii, .574809-.435122*ii, 3.00259e-32-8.09244e-33*ii, 1.82798e-31-2.7121e-31*ii, -3.79588e-33+8.28403e-34*ii, -1.17497+2.2787*ii, -3.00073+.762793*ii, 1.41971+.989253*ii
2.9555e-32+1.57567e-31*ii, -.524323-1.74696*ii, 1.57172+.64707*ii, .113357+.0624673*ii, 1.05554-.203036*ii, 4.56646e-32+3.15288e-32*ii, -6.883e-34+1.49144e-31*ii, 2.12377e-32-5.88787e-32*ii, -.659275-1.16333*ii, -.392946+.262619*ii, .493253-.576359*ii
-1.26429e-31-5.88234e-31*ii, 1.32523-1.6366*ii, 3.90034+1.3768*ii, -2.15949+1.15237*ii, -.793183-.733732*ii, -2.73369e-32-2.21248e-32*ii, 4.55577e-31+3.20182e-31*ii, 3.27611e-32+3.76881e-32*ii, -1.43476-1.68402*ii, .093223+1.4846*ii, -1.57266+1.18824*ii
-5.57642e-32+1.57672e-31*ii, -1.22455-.044908*ii, 1.11654-.83483*ii, .970041-.218588*ii, 1.11406-.981087*ii, -8.59267e-32-4.57535e-33*ii, -9.83885e-32+5.48845e-32*ii, -3.41296e-33-4.76152e-32*ii, .991199-.828439*ii, -.977512-.379921*ii, -1.37311-1.10708*ii
1.73116e-31-4.31435e-31*ii, 3.44493-2.70169*ii, 4.21729+.943007*ii, -2.96034-.339833*ii, -.27196+.350774*ii, -1.45252e-33-2.48505e-32*ii, -1.00717e-30+2.87346e-31*ii, -9.59321e-33+1.05008e-32*ii, -.701087+3.53774*ii, -3.25175+.078829*ii, .286309+2.71915*ii
-4.27952e-31-2.6568e-31*ii, 2.82841-.799746*ii, .406344-3.12464*ii, .433088+1.16521*ii, 2.14801+.498623*ii, 4.85137e-32+1.48449e-32*ii, -2.16289e-31-7.34787e-32*ii, 7.589e-35+4.06718e-34*ii, -1.32322-2.04261*ii, -2.15391-2.46002*ii, -.629459-.475128*ii
-1.19126e-29-4.86977e-30*ii, 7.38945+3.96427*ii, -10.8889+8.10027*ii, -9.8503+8.81942*ii, -7.11902-4.0645*ii, 6.72803e-33-6.95493e-32*ii, 1.55653e-30-2.04625e-31*ii, 2.60059e-34-4.7076e-34*ii, -12.5858+.67575*ii, 17.8764-14.8722*ii, -3.77684+10.1712*ii
