variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pi, Tj

component_1:
equations:
-sintheta*g+ad
-theta*L+d
T*omega-2*Pi
-4.04*d*L*j^2*Pi^2+1.01*d*g*Tj^2
points:
-.0697259-.254725*ii, -.078431+.677863*ii, .220365-.0415685*ii, .0500764-.160684*ii, -.0626912-.340089*ii, 1.27007e-28+6.11367e-29*ii, .760931-.064755*ii, 1.65661e-27-9.466e-30*ii, .0413423+.273801*ii, .0054472+.0763187*ii, .255133-.265343*ii
-1.31505+8.9898*ii, 2.44519-1.98994*ii, .021166-.603193*ii, -.739875-3.54003*ii, 2.92833-2.75555*ii, -2.2959e-25+2.27495e-25*ii, -1.77031+1.40408*ii, -1.84278e-26-1.36214e-25*ii, -5.39989+2.26924*ii, -.574281-.75852*ii, 5.36846-.052882*ii
7.85827-1.2752*ii, -2.80346+2.05934*ii, 1.43681-.605598*ii, -1.99431+.641355*ii, -.235229-3.65914*ii, -3.5972e-28-2.61397e-26*ii, .209574+2.16104*ii, -1.71784e-27+1.25713e-26*ii, 1.36337+3.173*ii, -1.39045+2.32833*ii, -.528007-5.3116*ii
.49177-.349426*ii, -1.38914+.976589*ii, .73856+.501554*ii, .176865+.0906299*ii, .606337+.311617*ii, -1.27007e-27+2.18199e-27*ii, .407297-.785614*ii, -3.08012e-24-2.36499e-24*ii, .50288-.194299*ii, -.757888+.012271*ii, .49532-.600742*ii
1.67626+.981016*ii, -1.2888+.827502*ii, -.968232+.46416*ii, -1.88979+.402573*ii, .007416+1.89023*ii, 1.64006e-31-1.75955e-31*ii, .522463-.884752*ii, -5.44659e-32+4.94012e-32*ii, .392849-.800473*ii, .431884-.699712*ii, .528946+.146163*ii
1.76586-.075793*ii, -.468835+.640519*ii, .601273+.471829*ii, 2.85734+3.13682*ii, 1.03421-1.27667*ii, 1.43378e-57-2.54895e-57*ii, .712374+.8061*ii, -2.29007e-58-6.37237e-58*ii, -.220786+1.18094*ii, -.292057+.0819584*ii, -.640269+.835111*ii
1.4685+1.2725*ii, 2.06364-.023216*ii, -3.72083+2.18345*ii, -.705609+.65239*ii, .625596+.904149*ii, 7.69733e-71-9.05568e-71*ii, 1.71172-.439816*ii, 2.1905e-58-9.55855e-58*ii, .739262+3.53783*ii, -3.81389+2.29613*ii, 1.18184-1.85192*ii
2.75529+6.38853*ii, 5.32846+2.16332*ii, 5.8075+6.06097*ii, .93463+9.25529*ii, -.33543-.456318*ii, -9.40408e-230+1.08211e-229*ii, -11.9705-2.76118*ii, -2.4929e-92, 8.60956-19.1372*ii, 8.91661+22.4296*ii, -6.97976-8.00498*ii
-2.18322+2.10791*ii, -3.95466+.243238*ii, -.529897+.425198*ii, 2.2724-1.05578*ii, .113496+.728545*ii, -4.22314e-147+1.0289e-146*ii, 2.36899+3.36574*ii, 4.82209e-115-5.07588e-116*ii, .557261-2.28267*ii, .996069-.905201*ii, .306-2.96413*ii
-1.07219-.459823*ii, .126967-1.32561*ii, 1.32279-1.92291*ii, -.525733-1.71218*ii, -.205124+.708309*ii, -1.75563e-97-1.17042e-97*ii, -.194502+1.57006*ii, 8.41239e-98-1.09727e-97*ii, .899518+1.35136*ii, -1.19054-.99882*ii, .722558-.502062*ii
1.38913+.349266*ii, 1.23341+.328629*ii, -2.1088+1.32065*ii, -.867367-1.16284*ii, 2.05434-.123867*ii, 7.31512e-99+5.12058e-98*ii, .663529+.210021*ii, -1.82878e-98-7.31512e-99*ii, -1.03921-.192077*ii, -1.51751+.467944*ii, 1.03552+1.30172*ii
-2.3735-3.31907*ii, 1.04916+.281016*ii, -2.45895+.370584*ii, -4.26165+3.46939*ii, -1.83084+.147217*ii, -1.75345e-192-2.63017e-192*ii, 1.14324+1.9048*ii, 3.6173e-194+9.58917e-193*ii, -4.33236+3.75839*ii, -1.34198-.151101*ii, 3.40996-4.051*ii
-.626155-.473353*ii, -1.12288+1.29566*ii, -.997576-.090127*ii, -.528126-.287396*ii, .212929+.227618*ii, 2.38333e-41-1.05893e-40*ii, -2.48145+.429581*ii, 2.07679e-28+2.65583e-28*ii, .648291+1.96632*ii, .618467-.595659*ii, -.419235+.482471*ii
-.347419-.0039517*ii, .128103+2.53085*ii, -1.49492-2.07316*ii, -1.05292-1.32982*ii, -2.65757+2.03185*ii, 3.69319e-126+1.47728e-126*ii, .0817849+.0640158*ii, -2.21591e-126+2.56215e-126*ii, .311524+2.79389*ii, 2.52768-2.0245*ii, 4.70718+3.54676*ii
-.159594-1.78613*ii, 1.18161+1.49112*ii, .33837-.457193*ii, .733319-.207698*ii, 2.0073+1.27501*ii, -6.70384e-32-4.60355e-31*ii, -.459368-.598033*ii, 7.99701e-32-6.05119e-31*ii, 1.08181-.943677*ii, .540774-.017837*ii, -.305444-.360558*ii
1.73074+1.72989*ii, 1.47634+1.3605*ii, -1.27813-1.50381*ii, .564363-1.57128*ii, -1.522+.265705*ii, 1.48431e-31-1.27028e-31*ii, -.910964-1.29562*ii, -1.15654e-31+1.90663e-31*ii, -.666134+.096809*ii, .079492-1.97952*ii, -.148113-.797076*ii
1.17127-4.70359*ii, -.92656+.640641*ii, -2.14722-3.03734*ii, -3.55403+2.22949*ii, -2.10313-.753912*ii, -3.03993e-75+2.6254e-75*ii, .216919+2.15871*ii, 1.58906e-75-1.72723e-76*ii, .0796304-.0614191*ii, 1.96769+.719342*ii, .081697-1.47103*ii
-1.94008+1.46031*ii, 1.12499+.852662*ii, 1.07774+1.0216*ii, 1.50287-.574841*ii, -.226037+.599597*ii, 0, 3.20043+2.02913*ii, 0, 2.89266-.978159*ii, .170687+1.03412*ii, .708813-1.28675*ii
-.030309-3.51063*ii, 1.29755-2.56203*ii, .728576-.329289*ii, .860699-.634146*ii, .626373+1.71636*ii, -1.31209e-141+4.42829e-141*ii, -1.81068-.643137*ii, 9.07639e-122-6.05092e-122*ii, .297601-1.11839*ii, .050859-1.14695*ii, 1.67292+1.53624*ii
