variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
.313308-.277898*ii, 1.32513-.157831*ii, -.709853-.814926*ii, 2.27003e-16-2.53548e-16*ii, -.507306-.42113*ii, .0626998-.0719393*ii, .415308-.602639*ii, -.476924-.135771*ii, .291187+.691457*ii
1.00505+.720968*ii, .979241-.077377*ii, -.45697-1.01355*ii, -2.18778e-62+1.45852e-62*ii, -.132738-.852393*ii, -.401159+1.21041*ii, -.808995-2.35692*ii, .00882+.68654*ii, -1.02578+.971567*ii
.614723-.389749*ii, .11216-.385329*ii, .411338+.0394694*ii, -1.60861e-86-6.03229e-87*ii, .144566-.307443*ii, -1.15461+.321885*ii, -.17134-.116251*ii, -.99014+1.30015*ii, .0286933-.426812*ii
1.45224+2.31557*ii, .337679-2.01389*ii, 3.94416+.661868*ii, -3.02681e-134-2.61406e-134*ii, 1.44026-.776169*ii, .107675-.219187*ii, 1.3032-2.09006*ii, -.865445-.327296*ii, -1.21411-2.9849*ii
1.00725-.763885*ii, -.901543-.083352*ii, 1.58228-1.11011*ii, -1.33777e-197-1.83944e-197*ii, 2.30913-.756443*ii, .881077+.026803*ii, .041108-.959947*ii, -.106856-.033674*ii, -1.37347+.477565*ii
-.866202-1.32553*ii, -.127813+.0076406*ii, -.540392-1.10054*ii, 3.70613e-105+1.09004e-105*ii, -2.42975-.97751*ii, .518573-.411742*ii, 1.0276-1.75724*ii, .985288-1.42711*ii, -.179492+1.55763*ii
-.135227+.148856*ii, -1.01221-.654415*ii, .725387-.245417*ii, -1.6459e-98-3.65756e-99*ii, .966717-1.67579*ii, .19001-.261369*ii, -.394634-.312099*ii, -.624505+1.04346*ii, .068242-.457783*ii
.665201+.150537*ii, -1.89356-1.05837*ii, -.816336+.164918*ii, -1.71448e-100-5.71494e-100*ii, .450895+.0699981*ii, -.0197552-.311223*ii, -.931153-.634096*ii, .872486-.565209*ii, -1.50707+.643684*ii
-.745377+3.01384*ii, -.525728-.424256*ii, 1.95253-1.44217*ii, 4.54843e-196+3.74577e-196*ii, -1.71715+2.08526*ii, .358635+1.351*ii, 2.13838+1.08337*ii, .053139+5.75977*ii, 1.24677-3.16564*ii
-.241385+.192269*ii, .45278-.320671*ii, .06906+1.35283*ii, -2.45455e-90+2.20909e-90*ii, .406742-1.53707*ii, .260572-.635024*ii, -.408557+.0423936*ii, 1.35975-.218049*ii, .0252091+.371006*ii
-.285263-.646929*ii, -.031688+.322164*ii, .623659-.000468*ii, -2.76302e-108+1.70318e-108*ii, 1.13407-.462128*ii, .078556-.942257*ii, .275038-.362589*ii, -.084838+.647241*ii, .492187+.437825*ii
-.606909+.31333*ii, 1.39504-.622518*ii, -.055465-1.58997*ii, -1.02191e-107-1.70318e-108*ii, 1.14603-.314222*ii, -.85884+1.24931*ii, .860831+.603041*ii, 3.94648-1.88771*ii, -.0624223+.209583*ii
.960508+.828716*ii, -1.18407-.826964*ii, 1.79345-1.29185*ii, 7.82064e-148-2.34619e-148*ii, .129749+2.17276*ii, 1.56342+1.57223*ii, 1.24085-1.51122*ii, -1.40986+.05906*ii, -1.83192-2.88398*ii
.838917+.041147*ii, -.969439+.543852*ii, -.341922-.0727749*ii, -1.72723e-77-2.15904e-77*ii, -.678635+.094649*ii, -.126497-.435759*ii, .769223+.619504*ii, -.643829+.196928*ii, -.25027+.050769*ii
.825144-.317934*ii, .175449-.254173*ii, -.0261192-.281366*ii, -3.24597e-129+7.21326e-130*ii, .26913+.622*ii, -1.38878+1.37088*ii, .902409+.522237*ii, -.192368+1.04471*ii, -.732675-.843043*ii
1.09534-.465891*ii, -.180105-.297155*ii, 1.11513-1.26008*ii, 7.06031e-184+9.41375e-184*ii, .283358+.789677*ii, .133665+.307075*ii, .261316-.195456*ii, .249658-.151827*ii, -.803538+.833342*ii
-.648057-.56824*ii, -.076258-.509057*ii, -.236572-.31812*ii, -9.41375e-184-2.41227e-183*ii, -.24438+.235572*ii, .545675+1.83161*ii, -.003830-.770124*ii, -.0224409-.259723*ii, -.798881-.100149*ii
1.54315-2.12285*ii, -1.42466+1.62458*ii, -1.06354+.737989*ii, 1.07022e-196-1.05985e-195*ii, -.109583-.141517*ii, -.175123-.026786*ii, 1.09941-2.15562*ii, .0900123+.465269*ii, .39565-.158718*ii
-.753825-.327491*ii, -.74096+1.2675*ii, -.098177-.622893*ii, -5.42666e-166+2.17066e-165*ii, -.469748+1.43898*ii, -.202118-2.31417*ii, -.719608-1.99115*ii, -.024767+1.71695*ii, 1.9738-.301661*ii
-1.06316+.16884*ii, -.40717+.383259*ii, .834632+.008330*ii, -1.44595e-180+9.63968e-181*ii, .446611-.276977*ii, .678978-.19252*ii, .256677+.18018*ii, 1.00199+.831927*ii, .537898-.537643*ii
.557226-.085877*ii, -.174383+2.51076*ii, 1.39098+2.03925*ii, 8.57241e-101, -1.35041+.408017*ii, .760335-.873509*ii, 4.29367-1.04685*ii, -.320925+1.67301*ii, 2.65695-.242038*ii
-.395666-.0699816*ii, -.263463-.33817*ii, -.25686-1.78602*ii, -1.77899e-47-4.65275e-47*ii, -1.51494-.068737*ii, .546819-.175861*ii, -.236439-1.16907*ii, -.976692+.481905*ii, -.535516-.071183*ii
.618074-.79698*ii, .837138-.119662*ii, -.300539+.638516*ii, 0, .745742-.672033*ii, 1.14755-.078221*ii, -.940305+.049985*ii, -1.07226+.411835*ii, -.1231+.782955*ii
-3.07785+.106447*ii, 1.99614-1.10743*ii, -1.58758-.097347*ii, -1.07952e-78-1.3494e-78*ii, .601211+.523291*ii, 1.11294-2.85897*ii, 2.13101-.238343*ii, -3.09655+.948217*ii, -.889141+.150341*ii
.628125+1.21316*ii, .097902+2.24565*ii, -1.26055-.525408*ii, 2.23571e-135+1.28983e-135*ii, -2.33385-2.3838*ii, .92873-.254968*ii, .189153+.427802*ii, -1.37618-.134167*ii, 1.48569-.479652*ii
