variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
c0+c2*Rad^2
-c0-c2*r^2+u
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
.123356-2.54606*ii, 3.32207-.049708*ii, -2.4308-3.67365*ii, -.478675-1.34605*ii, -.59943-.638674*ii, -5.07051+1.81357*ii, .680816-.177518*ii, -.178752-.279133*ii, 2.3088+2.06878*ii
-3.50596+.535671*ii, .174263+.465558*ii, -3.96073+.614804*ii, -3.57613+.807268*ii, 2.07338-1.68396*ii, 1.2971+5.18*ii, .398798+.230171*ii, -.408703+1.97389*ii, 1.72177+.665061*ii
4.11907-1.64731*ii, 2.9253+1.21105*ii, -.077844-.328649*ii, -.222666-1.52203*ii, -.446173-1.09641*ii, -3.33346-2.40996*ii, 1.95462-3.08519*ii, -.0156057-.0216262*ii, 1.16745+.401158*ii
-.530424+.177058*ii, -.476544+1.11823*ii, -.163512-1.02967*ii, .27417-.161387*ii, .278354-.618513*ii, -.454876+.274161*ii, .722448+1.00441*ii, -.181635+.113961*ii, -.914618+.907202*ii
-3.06122-2.88164*ii, -.59587-.099996*ii, -.333824-.106749*ii, -1.61464+2.93865*ii, .765567-2.5243*ii, -.417913+3.37582*ii, -3.24054+.234972*ii, .143531+.0207004*ii, -1.10825-.26632*ii
-5.29802-.551207*ii, -3.75539-2.70623*ii, -.058375-.688066*ii, -.038146+1.3309*ii, .276174+1.03656*ii, 1.07367+4.61973*ii, -2.60074+3.62475*ii, .0242839+.0283056*ii, -2.64931-1.57504*ii
-.0235576+.0248134*ii, .160289-.110976*ii, .029477+.844373*ii, -.034569-.983225*ii, -.416712+.0430273*ii, -.170779+.142861*ii, .787171-.389718*ii, -.58527+.91174*ii, -.352192-.653067*ii
.138062-.280776*ii, .0444105-.0628598*ii, .080168-.526143*ii, .244588+2.6055*ii, -.159195-2.00995*ii, -.0806507+.198801*ii, -.684336+.644941*ii, 1.54607-.773464*ii, -.28495-.412577*ii
-.0330084-.0421035*ii, .210304-.14511*ii, .505936+.951131*ii, -.33359-.313581*ii, -.333266-.31356*ii, .0000742428+.0000162232*ii, .217426-.501688*ii, -.121077+1.04712*ii, -.483995-.764637*ii
-.536096+.5886*ii, .16223-.443632*ii, .355795-.239382*ii, 1.32128+.18444*ii, -1.27387-.250391*ii, -.0421735-.0917207*ii, .325759+1.28186*ii, .183659+.13334*ii, -.420851-.383546*ii
2.55532-5.45945*ii, .905802-.236345*ii, .08794-8.68317*ii, -.291956-3.84473*ii, 1.07831+2.29704*ii, -10.2264+.04757*ii, .383001+.106672*ii, .608182-2.23786*ii, -.957985+3.31807*ii
-.28492+.885393*ii, -1.55651-2.34494*ii, -1.7207+3.7456*ii, .36559+1.00639*ii, -.517968-.249356*ii, 2.80906+1.80164*ii, .881839-.360231*ii, -.19267-.311337*ii, .166729-3.92262*ii
.221627+.270246*ii, .215756+.256705*ii, -.280994+.688869*ii, -.332745+.469405*ii, .006161-1.02089*ii, .278166+.174707*ii, .58088-.297813*ii, .258363+.490804*ii, -.0420863-.483196*ii
.779424-2.32611*ii, -1.93805-.333353*ii, 1.41391+2.0774*ii, -.84784+.727439*ii, .84782-.727118*ii, .000648049+.00125476*ii, -1.21357-1.96684*ii, -.221915-.229805*ii, -2.50014-2.34664*ii
1.50621+2.00666*ii, 1.62458+1.50281*ii, -3.05033-.10194*ii, .095827-1.0603*ii, .095929-1.06044*ii, .0000843853+.000807549*ii, 3.91111-.177068*ii, -.260771+.225537*ii, 2.24602+1.008*ii
.0877179-.023706*ii, .0510771+.0170201*ii, .153954+.0097620*ii, .375157+1.2447*ii, -.374972-1.24384*ii, -.000121957+.0000223245*ii, -.0517903+.389239*ii, .692557-.182995*ii, -.393293-.463956*ii
6.25407+6.2234*ii, -.250946-.0717516*ii, -4.99747-2.50673*ii, -5.62978-1.45092*ii, 5.63017+1.45096*ii, .000973851+.000695555*ii, 7.85111-1.31535*ii, 5.26245+.99262*ii, 4.20757+.643224*ii
1.86351+.30585*ii, -.0528192-.165532*ii, -1.14363-2.58924*ii, -3.20914+2.86686*ii, 2.8112-1.7221*ii, -1.29218+.933483*ii, .265856-.233386*ii, 4.04932-.435122*ii, .908866+.422895*ii
-51.207+115.687*ii, .276252-.129382*ii, 56.2242+124.832*ii, -27.8844+2.57917*ii, -19.0735+7.13669*ii, 143.143-23.7866*ii, .269484+.077387*ii, -1.6627+112.19*ii, -5.53019-38.0099*ii
-.250571-4.25972*ii, -3.4952-3.24594*ii, 4.52071+3.65396*ii, -.352419+.877839*ii, -.352405+.877716*ii, .000366565+.00106076*ii, -4.30068-2.28783*ii, -.303936+.0209055*ii, -4.88551-5.29699*ii
-3.0913+.486874*ii, .05911-.561076*ii, .0014395-.166043*ii, 1.80534+2.07841*ii, -1.86804-1.43432*ii, 1.05659+1.5255*ii, -1.28184+2.79605*ii, .073239-.0070743*ii, -.463283-.216169*ii
.593657-.465477*ii, -.999939-1.27806*ii, .429586+1.32501*ii, .482112-.482884*ii, -.481867+.482374*ii, -.000674598+.00105605*ii, .389939-.504538*ii, -.201553-.0736616*ii, -1.07722-2.12845*ii
.0502427-.0889014*ii, -1.24321+.176493*ii, .415508+.128665*ii, .256019-.126086*ii, .255823-.126011*ii, -.0000855396+.000123453*ii, .451248+.317855*ii, -.0783044-.0369901*ii, -1.46646-.56019*ii
-.952301+.055858*ii, -1.41251-.477628*ii, .330339-1.02457*ii, .277679-.688743*ii, .152889+.785104*ii, -.573859+.785885*ii, .273784+1.37239*ii, .0025588+.180473*ii, -1.49554-.171255*ii
-.745131+.515529*ii, .188014-.439691*ii, .425633-.253074*ii, 1.3213+.383313*ii, -1.32262-.381382*ii, .000871698+.00294852*ii, .096853+1.37134*ii, .209137+.152579*ii, -.460396-.352032*ii
1.04649+.121703*ii, -1.86124-.39396*ii, -.164104+1.75225*ii, -.243258-.041604*ii, .743361-.034521*ii, .947552+.061399*ii, 1.06682-.816449*ii, -.0265846-.229734*ii, -1.25393-2.00041*ii
