variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
G*M*m+Ugi*r
Ugf
Eki-Ekf+Ugi-Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
-.756772+.129347*ii, -.110164-.141515*ii, .646607-.270863*ii, 4.88535e-31-8.23294e-32*ii, .494145-.381174*ii, -3.9443e-31+3.05684e-30*ii, .118722-.335586*ii, 1.25525+1.05623*ii, -4.93038e-31-9.86076e-32*ii
.217322-1.52233*ii, 2.94247-3.48499*ii, 2.72515-1.96266*ii, 0, 7.26642+3.04597*ii, 5.20702e-71+3.62227e-71*ii, -3.76227+4.1847*ii, 5.99359-.104579*ii, 3.16949e-71+1.49419e-70*ii
-.808432+1.02683*ii, .552947+1.09224*ii, 1.36138+.065410*ii, 0, 1.21415+.50992*ii, -8.10083e-132-1.93716e-132*ii, -3.15112-2.28429*ii, -.574672-.544901*ii, -7.39641e-132-4.05042e-132*ii
-1.62873+1.11384*ii, -1.27-.720873*ii, .358732-1.83471*ii, 0, .686991-.839094*ii, 8.26685e-103-7.81339e-103*ii, .654494+.978608*ii, -.839719-1.17426*ii, -2.51145e-103-9.59233e-104*ii
-1.30787+.021947*ii, -2.56485-.848314*ii, -1.25698-.870261*ii, 1.99304e-31-1.8825e-31*ii, -.865117-.743599*ii, 2.7955e-62-4.37556e-62*ii, .336239-1.65027*ii, .552857+1.7646*ii, 6.80642e-62+3.95016e-63*ii
-.967299-.395113*ii, -1.73884+.290206*ii, -.77154+.685319*ii, 0, 2.32986-1.53572*ii, -1.99863e-115-2.79174e-115*ii, .31104+.437327*ii, -.681874-.949878*ii, -9.5173e-117-6.97934e-116*ii
-.163461-.660731*ii, -.068206-1.14551*ii, .0952553-.484778*ii, 0, -2.31097+1.5661*ii, -1.31836e-93+1.19851e-93*ii, 2.42969+1.89807*ii, .479382+1.14157*ii, 4.79404e-94-1.43821e-93*ii
1.0868-.004493*ii, .613292+1.27166*ii, -.473504+1.27615*ii, 0, -1.3103-1.32171*ii, 5.39761e-78-1.51133e-77*ii, 2.11089+1.96748*ii, -.647904-.006346*ii, 2.31259e-77-4.31808e-78*ii
-.363869-.288651*ii, -.40477+.122561*ii, -.0409009+.411212*ii, 0, -.622573-.990812*ii, 3.79991e-76+3.45447e-77*ii, -2.30586+.001844*ii, .058398+.536611*ii, -7.59983e-76+9.67251e-76*ii
-5.61875-1.7225*ii, -1.92536-2.61076*ii, 3.69339-.888261*ii, 0, 2.92519-4.59352*ii, -1.65814e-74+8.29072e-75*ii, -7.65496-5.95643*ii, -5.54933+1.51563*ii, 2.11137e-73-1.85712e-73*ii
1.14393-2.04736*ii, .183613-1.52073*ii, -.960316+.526632*ii, 0, .358963-.951476*ii, 4.86173e-63-1.94469e-62*ii, .57235-2.25855*ii, 3.77114-.883865*ii, -3.88938e-62+1.45852e-62*ii
.612925-.141336*ii, .917205+.21749*ii, .304279+.358826*ii, 0, -.96292-.586919*ii, 7.2371e-117+1.72501e-116*ii, -2.03084+1.45869*ii, .178534+.423494*ii, -1.41966e-115-2.30001e-116*ii
-.943307-1.84159*ii, 1.08114-1.20271*ii, 2.02444+.638883*ii, 0, -1.22205-1.99117*ii, -6.13637e-92+1.38068e-91*ii, -.341024-.590161*ii, -1.07189+1.09461*ii, -1.53409e-92+8.4375e-92*ii
-1.72363-2.8745*ii, -.257131-1.77526*ii, 1.4665+1.09924*ii, 0, 4.04226-.463801*ii, -8.8828e-116-1.71311e-115*ii, .241329+.388557*ii, -.912691-.584726*ii, 7.13796e-117-1.26897e-116*ii
1.09087+.470051*ii, .879641+2.66008*ii, -.211232+2.19003*ii, 0, -.23883+2.11233*ii, -1.82732e-114+7.36003e-115*ii, .580216+.616647*ii, -.024108+2.49394*ii, 1.31338e-114+9.64418e-115*ii
-.939973-.620844*ii, -.767187-.435806*ii, .172786+.185037*ii, 2.67962e-31-5.889e-32*ii, -.235735-.45586*ii, 2.01189e-107+2.34188e-108*ii, -1.63338-3.02621*ii, -.0068984-.282763*ii, -4.00248e-107-5.10955e-107*ii
-1.36201-1.02308*ii, .294956+.638792*ii, 1.65697+1.66187*ii, 1.88321e-30+7.2575e-32*ii, 1.73004+.894214*ii, -4.06296e-101-1.83057e-101*ii, -2.03318+.883036*ii, -.185724+3.29861*ii, -3.10303e-101+2.00916e-101*ii
.0802242+.365322*ii, .146659-1.65365*ii, .066435-2.01897*ii, 7.5509e-32-6.45078e-32*ii, .582139+1.49663*ii, -1.98977e-74+2.65303e-74*ii, .654376-1.75449*ii, -2.82349+.314637*ii, 6.63258e-75+2.21086e-75*ii
5.45567-7.58573*ii, -2.01689+3.09214*ii, -7.47256+10.6779*ii, -8.45215e-31-3.44563e-31*ii, .677018+.255408*ii, -8.57241e-101-5.35775e-101*ii, -.48054-10.5985*ii, .795686-6.85037*ii, 1.60733e-101+1.51803e-101*ii
-.518776-.27843*ii, .003207-1.79616*ii, .521982-1.51773*ii, -8.71907e-31-4.93881e-31*ii, .547514-.816503*ii, -6.67637e-89+5.535e-89*ii, 4.12959+1.83157*ii, -1.31142-1.57074*ii, 7.85455e-89+1.0981e-89*ii
2.0605-3.66318*ii, .895961+1.32032*ii, -1.16454+4.9835*ii, -6.87693e-31-1.49551e-31*ii, .570307-5.01431*ii, -4.57195e-100+5.08629e-99*ii, -2.66338+.526489*ii, 1.3022-2.15327*ii, -2.286e-100-7.77231e-99*ii
.33553+1.12586*ii, 1.43818+1.57231*ii, 1.10265+.446452*ii, -3.94602e-32+1.49633e-32*ii, 1.01055+.516461*ii, -6.63258e-75-1.21597e-74*ii, .158297+.82249*ii, .897789-.009822*ii, -4.83625e-76+9.32706e-76*ii
.719285+.350313*ii, .938011+.045512*ii, .218727-.304801*ii, 0, -.496508-.0418825*ii, -1.72723e-77-6.04532e-77*ii, .692789-.802529*ii, -.816003+.295321*ii, 3.23856e-76*ii
