variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
c0+c2*Rad^2
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
-.55845+.48767*ii, .792327+.514912*ii, -.143488+.55681*ii, 1.25585e-17+8.33864e-17*ii, -.706727+.53399*ii, .781576+.307635*ii, .199652+.321031*ii, -.42368+.267985*ii, -.111445+.463903*ii
2.08381+2.57612*ii, -1.04898-1.6439*ii, -.684403-.872623*ii, -6.25475e-16-7.3625e-17*ii, 1.30145-.07307*ii, .477205-.834498*ii, 1.27859-1.37934*ii, -.577497+2.36336*ii, 1.54812+.274339*ii
.544453-.302088*ii, -.248499+.986837*ii, -.75703+.606774*ii, 9.52643e-17+4.2299e-18*ii, -.71776-.310918*ii, .305602+.298086*ii, -.338134-.28614*ii, .370136+.561154*ii, .0002335-.199531*ii
-2.31147-2.81881*ii, -.338701-.529244*ii, .058528+1.15992*ii, 2.76681e-160-1.00979e-160*ii, .141467+2.40448*ii, .078624+1.86962*ii, -1.96966-1.26471*ii, -1.38375+.435*ii, .098893+.510729*ii
-.455169-1.20696*ii, -.359252+1.89827*ii, 1.14179-1.84891*ii, 0, -.786673+.220969*ii, -.928538-1.13766*ii, -.628663+1.68471*ii, -.044762+1.36906*ii, -1.05251-1.52061*ii
.838565+1.10202*ii, -.46534-.242835*ii, -.255146-1.72919*ii, 0, -1.58523-.353958*ii, 2.64481+2.18633*ii, -3.73506+1.40928*ii, -.890458-1.02153*ii, .404292-1.35582*ii
.442914+.0170235*ii, -.0136418-.0227207*ii, .579407-1.23928*ii, 6.75e-91-1.84091e-91*ii, -3.59714+1.94569*ii, -.059114+1.66691*ii, -.096751-2.57625*ii, -.434295-3.85746*ii, .47596-.211349*ii
1.31367-.33363*ii, -2.7706-1.19561*ii, -2.88543+4.17868*ii, -5.9693e-165-7.70585e-164*ii, -.634456+.215936*ii, .131274-.0272994*ii, .823148-1.9*ii, 3.01603-2.13124*ii, -.955091+.578193*ii
-.162269+.620931*ii, -1.21462+.49372*ii, .22798+.591313*ii, -3.99402e-163-2.6048e-163*ii, .313451+.62549*ii, .048758-1.24511*ii, .489587+1.40427*ii, -.110105+.479031*ii, .537978-.253167*ii
-.120709+2.08822*ii, 1.98117+.933607*ii, -.918977-.040896*ii, 0, .547025-.80983*ii, -.152344+1.48106*ii, -.987998+.830211*ii, 2.03981-1.74139*ii, -.443639-.990537*ii
.307032-.0937225*ii, -.721164+.751052*ii, -.907013+1.15573*ii, 1.71311e-115+1.76674e-115*ii, .537339+.139907*ii, -.275619+.693847*ii, .955044-1.62049*ii, -.942584+.205456*ii, -1.32503-.606903*ii
-1.14813+3.05916*ii, 1.49152+1.35886*ii, 3.37507+3.27849*ii, -2.51486e-198-6.532e-201*ii, -.713782+1.05353*ii, .776921-2.37509*ii, -1.28719-.059775*ii, -.346669+.27357*ii, -3.04945+1.12*ii
2.17559-.526086*ii, .952616-1.36497*ii, 1.07121+1.39417*ii, 4.91421e-237-6.75703e-237*ii, .410792-1.08442*ii, -.364756-1.40601*ii, -.406109-1.90684*ii, -.209234+.682264*ii, -.360658-.610734*ii
.413983-1.10871*ii, .716342+.604503*ii, -.595235-1.23611*ii, 2.10152e-286+3.04721e-285*ii, -.918674-.647034*ii, 2.44626-.776804*ii, .398254+.593913*ii, -.874282-.26178*ii, -2.64917-2.25589*ii
.0279273-.42698*ii, -.582398+.145066*ii, -1.36333-.529326*ii, 6.84306e-149-1.56413e-148*ii, .681917-.49791*ii, -.109034+1.18704*ii, -.845527+1.7218*ii, -1.53605+1.01844*ii, -.236176+.973435*ii
.551538-2.82226*ii, -.619395-1.40311*ii, -.956171-.684163*ii, -2.04218e-87-1.50807e-87*ii, .41034-1.30635*ii, 1.54124+.68569*ii, .333304+2.02239*ii, 1.55972-1.79113*ii, -.045024+.514551*ii
-.66751+.108621*ii, .395826+.198227*ii, .235547-.974042*ii, 4.53256e-217+5.43907e-217*ii, 1.17602-.380344*ii, -1.03718-.17426*ii, -.300143+.703936*ii, -.599658+.383405*ii, -1.85878-.704443*ii
-.339049+1.20648*ii, .196866+.281179*ii, 1.13686-.580358*ii, -1.49167e-154-2.98334e-154*ii, .818006-1.72683*ii, -.749109-1.01803*ii, .16968-.690142*ii, 1.53314+.263227*ii, .359573+1.82494*ii
.326757+.71745*ii, -.0805029-.0028263*ii, -1.80774-.890194*ii, -1.07786e-235-6.01342e-236*ii, 2.6602+1.64627*ii, -.448125+.781053*ii, 1.89403+1.41688*ii, -2.36624+.057831*ii, -1.78696-.735848*ii
1.93699+.41201*ii, -.427337+3.82453*ii, .28927-1.77012*ii, -6.01374e-311+5.16016e-311*ii, .481707+.531554*ii, -4.82626-1.02057*ii, .64365-.439549*ii, -2.84712+1.48253*ii, -.967164+1.00565*ii
-.528673-1.41422*ii, -.51677+.343181*ii, .128707-.169441*ii, -5.72583e-32-1.4407e-31*ii, 1.22169-.970202*ii, -.0597773+.201339*ii, .197406-.350655*ii, 1.42154-.855564*ii, -.109044+.400385*ii
.332935+.619042*ii, .0293792+.120059*ii, .39772-.498355*ii, 6.81274e-108+2.55478e-108*ii, -.301399-2.36557*ii, -.346967+.847886*ii, 1.29423-1.04941*ii, -1.26196+.485835*ii, -.774173-.328323*ii
1.25039-.057140*ii, -1.78355+.343671*ii, -.392088+1.31977*ii, 6.31746e-176+2.52698e-175*ii, .827963+.060004*ii, -.196702+1.47*ii, -1.68892+.502735*ii, -2.23052-1.85701*ii, .836393+.269664*ii
3.08222+.728657*ii, -.127316+.47147*ii, -.356479+2.35241*ii, 3.21066e-196+1.93977e-196*ii, -1.82898-1.77207*ii, -.891385+.700241*ii, 1.38931-1.31493*ii, .051399+.674569*ii, -.58404-.236033*ii
-1.16674+1.37359*ii, 1.0965+.656191*ii, 1.76495+1.44068*ii, -1.05945e-129+4.5083e-131*ii, -.906047+.767749*ii, -.984948+.227021*ii, -.137012-.564518*ii, -3.11769-2.7624*ii, -2.31768-1.9561*ii
