variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
-.496293-.296739*ii, -1.58742+1.21815*ii, 1.55118+.245752*ii, 1.32789e-16-6.78868e-17*ii, -.829704+.952531*ii, .153885-.467498*ii, -.65125+.587668*ii, .446752+.123405*ii, -.206994+.0807646*ii
-.62188+1.7113*ii, -.271787+.530255*ii, -.389225-.938132*ii, -1.45852e-62-2.43087e-62*ii, 1.00286-.853953*ii, .427245-.0519117*ii, -.604076-.050643*ii, -.698381-.210285*ii, -.851953-.553926*ii
-.48656+.169438*ii, -1.14884-.404369*ii, .527082-.596654*ii, -6.6458e-78, .321504+.606231*ii, .33856-.0172428*ii, 1.7257+.057304*ii, .997129+.10969*ii, -.0191952+.0848419*ii
.080496-.818855*ii, -.258364+.177961*ii, .112949+.419334*ii, 1.46781e-31+5.57664e-32*ii, .992579-.048119*ii, -.34022-.109826*ii, -.245477-.683699*ii, .593756-.851885*ii, 1.05528+.685624*ii
-.701757+.031789*ii, -1.42143-.51563*ii, .279702+1.81143*ii, -3.14218e-189+2.01997e-189*ii, -.758877+2.54339*ii, 1.02511+2.24026*ii, .324199-.190123*ii, -.562301-.904098*ii, -.544448-2.6611*ii
2.07866-1.30405*ii, -.488727-1.38052*ii, 3.61404-1.64553*ii, 3.59106e-188+2.51374e-188*ii, .326606+2.07454*ii, -1.35602-1.80154*ii, -.762354+.795251*ii, -3.60399+5.72555*ii, 2.52548+.257992*ii
1.57116-.987678*ii, -1.51603-.025791*ii, .464556-.84918*ii, 1.45852e-62-6.68488e-63*ii, .68889+1.34331*ii, .408073+.235608*ii, .684338-.705157*ii, -.543615-.608031*ii, .815054+.903477*ii
.140101-1.24907*ii, 4.83189+.17011*ii, 6.08206+2.27784*ii, -1.12221e-190-4.20827e-191*ii, 1.59726+.073405*ii, -2.85624-2.02378*ii, -2.38734-4.46432*ii, .129534-2.0669*ii, -2.53813-.431517*ii
-.709323+.998774*ii, -.377032+.440084*ii, .112955+.605841*ii, -1.0959e-193+1.0959e-193*ii, -.30891-.601145*ii, .701823+.270239*ii, -1.51992+.061888*ii, -.015672+.288421*ii, .874991-1.17915*ii
.727924-.135081*ii, -.231415+.554647*ii, .344391-.0932007*ii, -5.13171e-49-1.71057e-49*ii, 1.37801+.831291*ii, -.608736-.205623*ii, -.244617+.80194*ii, .679872+.278048*ii, -.643455-.165947*ii
-6.14631+.971473*ii, -2.92583-2.42495*ii, -.905503+3.02395*ii, 4.25796e-108-5.53535e-108*ii, -3.2097+4.93908*ii, 3.32804+1.20298*ii, 2.98431+3.55802*ii, -1.8427+5.11345*ii, 2.48047+5.31891*ii
-.570862-1.06268*ii, .334634-.477465*ii, -.150887+.630623*ii, -7.94506e-190+2.6933e-189*ii, -1.19536+.625322*ii, -.893865+.795335*ii, -.205893+.546031*ii, 1.00157-.830877*ii, -1.3063+.367799*ii
.444591+.102829*ii, -.624384-1.51152*ii, -.163009+.810699*ii, 2.7146e-100+7.14367e-101*ii, -.887548+2.1991*ii, -1.62597+.084109*ii, .791985-.198189*ii, .663747-.662191*ii, -.186209+.534402*ii
9.80135+2.30752*ii, -2.31093-7.59326*ii, -4.32147+4.04459*ii, 1.1162e-102+6.69719e-103*ii, 2.15189-3.58418*ii, .383723-.406149*ii, -1.25627-4.69287*ii, 3.02257+2.05835*ii, 4.1222+2.99453*ii
-1.67088+1.5996*ii, -.86352+.139273*ii, -.237086+.3972*ii, 1.89911e-64+3.03858e-64*ii, -1.05797-.366748*ii, -.287249-1.64081*ii, -.532655-.597671*ii, -.393061-.874815*ii, -.154432-.629846*ii
-.661889-.25957*ii, -.273416+.402574*ii, .690861+.567756*ii, 5.61352e-202+7.14449e-202*ii, -.342817-.526126*ii, -.413916-.608542*ii, -.036266-1.03259*ii, .41462+.45442*ii, .716624+.75849*ii
-.971797+.94529*ii, .986803-.262035*ii, 1.81815-.517254*ii, -4.40917e-200+6.5321e-200*ii, -.56272+.474208*ii, -.959504-1.31321*ii, .763767-1.0009*ii, .64673-1.05546*ii, -.406099+.0678009*ii
.320235-.006236*ii, 1.18374+.512961*ii, -.15079+1.53287*ii, 8.04801e-32+2.38662e-32*ii, 1.38035-.858283*ii, -.332603-.377952*ii, .488517+.048747*ii, .035883-1.21433*ii, -.532519+1.72674*ii
7.42492-9.96255*ii, -7.24949-10.1642*ii, 2.22265+3.83461*ii, -5.04116e-192-6.79461e-192*ii, -.214955+6.39928*ii, 3.04995+9.31945*ii, 4.82787+8.19964*ii, -1.48416+2.65488*ii, 1.6588-8.28514*ii
-.203894+.842039*ii, .420945+.80308*ii, 1.36492+.010472*ii, -1.28689e-85-9.47796e-85*ii, .529404+.699618*ii, -.405119+.729812*ii, -1.00716+.773376*ii, -1.72521+.100022*ii, -.738886-.127733*ii
.0425618+.0834394*ii, -.438478+.331078*ii, .115699-.131106*ii, 2.09027e-199+5.22568e-199*ii, 1.51059+.632306*ii, -.050057-.725991*ii, -.078983-1.24039*ii, -.607437+.438593*ii, -.628561-.368534*ii
.235322+.496004*ii, -.368226-.579381*ii, .418241-1.03971*ii, -2.4313e-32-6.11176e-32*ii, .924996+.501433*ii, -.36018-.422695*ii, .335622+.117187*ii, .351025-.134103*ii, -.036797+.75912*ii
-.035242+.0811942*ii, .381036-.50728*ii, .277364-.334572*ii, -1.07952e-78, .155746-1.90093*ii, -.755416+.137353*ii, 1.92311+.20498*ii, .951079+.044423*ii, -1.36402-.209162*ii
1.01501+.0051*ii, .425074-.210513*ii, .00601+.817519*ii, 9.51378e-33-4.31868e-32*ii, .528177+.003248*ii, .985736+.49337*ii, -.40003-.192038*ii, .612858+.62006*ii, .831075+.278931*ii
.054839+.872017*ii, -1.71329+.134093*ii, .598745-.421475*ii, 1.36255e-107-8.5159e-109*ii, .428684+1.41011*ii, .435021+.783932*ii, -.617798-.817731*ii, 1.33302+.032223*ii, .171814-.109207*ii
