variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
.233545+.440902*ii, -.438544+.0218999*ii, .022354-1.38642*ii, .0678003+.243891*ii, -.174482+.912001*ii, -.436055-.289053*ii, .36213-.474988*ii, -.556691+.241828*ii, .0013-.832922*ii, .626049+.594636*ii
-.181698-.478211*ii, .047509-.592713*ii, .784659+1.57346*ii, -.336895+1.05304*ii, .360654-.382707*ii, .626156-.313713*ii, .244806+.637139*ii, -.238896+.415315*ii, 1.03755+.448955*ii, -.701331-.501958*ii
-.570222-.848497*ii, 1.10606-.34129*ii, .676112+2.24344*ii, -.222085+1.39994*ii, .802557-.879462*ii, .824608-.021403*ii, .061956+1.0637*ii, -.151512-.267595*ii, 1.22825+.997468*ii, -.479311-.897133*ii
-.115738-1.26873*ii, .621106+.456449*ii, -.246419+2.38065*ii, -.737137+1.41745*ii, 1.34938-.455733*ii, .656231+.253447*ii, -.394142+.837472*ii, .401041+.156275*ii, .62181+1.29737*ii, -.211171-.844445*ii
-.0247387+.25812*ii, -.256103+.0297053*ii, -1.08604+.923215*ii, -.577415+.511324*ii, .368812+.195909*ii, .616358+.161845*ii, -.392937-.188553*ii, -.29378+.83269*ii, .112618+.42715*ii, .68646-.595115*ii
-.697458-.264783*ii, -.422737-.0009772*ii, -.539882-1.22493*ii, .0017869+.407529*ii, .319443+.252689*ii, -.240047+.424072*ii, .50477-.660602*ii, -.665973+.33118*ii, -.0616309-.376265*ii, .809618+.955254*ii
-.636977+.676399*ii, -.419697-.0275932*ii, -.157187-.720505*ii, .0882925+.398117*ii, -.323976+.230076*ii, .196001-.0791394*ii, .260274-.586791*ii, -.52597+.393498*ii, .304314-.476743*ii, .882658+.522114*ii
-.0244718-.332053*ii, -.455048+.0989225*ii, 1.46821+1.11678*ii, -.286528+1.22394*ii, .0659728-.0466108*ii, .365645-.75412*ii, .262363+.514973*ii, .406553+.389407*ii, 1.08738+.057944*ii, -.770744+.103626*ii
1.17505-1.91491*ii, 1.07015-.152565*ii, .051335+1.40803*ii, -.645519+1.09902*ii, 1.76108+.373011*ii, -.344268+.113712*ii, .018472+1.25093*ii, -.21627-.283798*ii, .256202+.838716*ii, -.858579-1.00301*ii
-.179905+1.43766*ii, -.164869+1.32685*ii, -.755422-.823045*ii, .0197457+.412591*ii, -.443161+.840192*ii, .138099-.277961*ii, -.538548-.771001*ii, .234351+.0873861*ii, -.0936121-.493193*ii, 1.91735+.30077*ii
-.242833-1.88462*ii, -.451288+.267381*ii, .600476+.781982*ii, -.565227+1.33004*ii, 1.21892-.176988*ii, -.103808+.165572*ii, .467495+.419038*ii, .323676+.408109*ii, .51241+.498263*ii, -.809099+.619096*ii
.984287+.680231*ii, .149172-.191141*ii, -.985548-.0726*ii, -.344906+.0904205*ii, .167654+1.04296*ii, -.0154631-.182153*ii, -.330107-.0978912*ii, -.724835+.413621*ii, -.19055-.180453*ii, .768761-.845917*ii
.2742-.140526*ii, -.00993024+.00872593*ii, -.405995+.0977054*ii, -.315632+.545103*ii, .45588+.483772*ii, .000704751-.00491831*ii, -.000352186-.000102563*ii, -.379477+.324966*ii, .107901+.024398*ii, .366206-.186783*ii
.273849-.155211*ii, -.0101336+.00765168*ii, -.418296+.100816*ii, -.320641+.545412*ii, .468137+.481857*ii, -.00114049+.00476618*ii, -.000312555-.000142255*ii, -.381482+.328223*ii, .102085+.0315702*ii, .364875-.186877*ii
-.153573-1.02931*ii, -.443567+.159414*ii, 1.07295+1.08033*ii, -.428719+1.29252*ii, .589272-.156363*ii, .212879-.335637*ii, .334413+.493757*ii, .380134+.417959*ii, .861148+.306251*ii, -.804152+.287493*ii
.462436-.599382*ii, .010381-.582489*ii, .694135+1.24284*ii, -.426219+.902039*ii, .500065+.097749*ii, .260382-.403212*ii, .226957+.687252*ii, -.287689+.413292*ii, .767077+.283471*ii, -.818478-.58101*ii
.752853-.646385*ii, -.228012+.0883532*ii, -1.33242+.865846*ii, -.878064+.516758*ii, 1.07706+.618936*ii, .100833+.327257*ii, -.382901+.0597175*ii, -.252981+.84063*ii, -.283954+.574049*ii, .266328-.684867*ii
-1.02749-1.65532*ii, .259635+.5515*ii, .977414+.421756*ii, -.068497+1.52979*ii, 1.01017-.587178*ii, -.04821+.219877*ii, .590989+.432924*ii, .332214-.352262*ii, .803978+.406788*ii, -.318059+.924971*ii
1.6768-.233216*ii, -.282105+.120224*ii, -1.03211+.692118*ii, -.909253+.347937*ii, .824379+1.26775*ii, -.161461-.18604*ii, -.51819+.210793*ii, -.175072+.822653*ii, -.365413+.232715*ii, .082061-.997149*ii
-.971335+.417811*ii, .239085+1.14022*ii, -1.23176-1.23467*ii, .135897+.503849*ii, .246601+.317339*ii, -.061692+.541062*ii, -.156506-.852722*ii, -.17103-.216113*ii, -.273732-.201975*ii, 2.05638+.783932*ii
.160719+1.40711*ii, .474999+.883748*ii, -.845533-.674179*ii, .0957149+.295111*ii, -.297063+.891505*ii, .0761556-.251109*ii, -.536455-.451625*ii, -.19145-.214906*ii, -.0874238-.410176*ii, 1.82095-.259572*ii
.595844+.113923*ii, .159103-.124004*ii, -1.16841-.39437*ii, -.319582+.167735*ii, .511212+.847675*ii, -.183608+.199428*ii, -.127729-.210841*ii, -.78318+.327151*ii, -.321909-.0911425*ii, .823705-.417356*ii
-1.22156+.207897*ii, -.39938+1.48294*ii, -1.13109-1.33592*ii, .006169+.637079*ii, .25016+.268552*ii, -.069467+.564086*ii, -.097847-1.09419*ii, .208992+.108201*ii, -.303416-.232004*ii, 1.98076+1.32776*ii
.46078+.14777*ii, -.3788+1.32882*ii, -.788468-1.52683*ii, -.190072+.406958*ii, .351817+1.30344*ii, -.704948-.013213*ii, -.182472-.660331*ii, .192367+.0752537*ii, -.572614-.579081*ii, 1.3375+.781401*ii
