variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
1.4759-7.45402*ii, -.1958-.123322*ii, .00270056-.0247766*ii, 2.05482+2.13862*ii, 2.10052-2.58402*ii, -.017008+2.38535*ii, -3.30916-.258674*ii, 1.35625+2.35199*ii, 1.89356+3.34063*ii, .283101-.0712413*ii
-1.31024+1.57779*ii, -.791658-.471733*ii, -1.99555+.526967*ii, .192197-.206757*ii, .00267295-.00443299*ii, .472109-1.99609*ii, .401917+1.35401*ii, .442317+.0460506*ii, -.761944-1.58566*ii, .248375+.824093*ii
.552804-1.06453*ii, .153977-.269585*ii, 1.45838-1.3249*ii, 1.23728+.721129*ii, .0172517-.0746687*ii, .323449+1.18558*ii, -.576293-.606119*ii, -1.00924+.115183*ii, .132365+.495452*ii, -.855799-.351785*ii
-.154227+2.25604*ii, .045663+.543787*ii, -.593121+1.79201*ii, -.130386+.321984*ii, -.0060949-.00837485*ii, -.713811-1.52304*ii, 1.90532+.427257*ii, .170297-.866443*ii, -1.04067-.885504*ii, .694804+.286417*ii
1.15126+1.03348*ii, .669047+5.16276*ii, -1.11718+.543762*ii, -.420872+.343732*ii, 1.4027+.637081*ii, -.201203+.0687152*ii, 4.36143+1.19286*ii, .0365313-.136032*ii, -.038878+2.40889*ii, .126636+1.74352*ii
3.76393-3.26375*ii, .252804+.0723121*ii, -.0668192-.011016*ii, .681373+1.90418*ii, 2.20875-.671229*ii, -.901806+1.11656*ii, -1.20993-1.61659*ii, -.343793+1.83159*ii, -.320375+2.57243*ii, .246317+.287706*ii
4.26052+1.07565*ii, -.253568+.0397816*ii, .0333097+.037275*ii, -.311623+1.22208*ii, 1.46911+1.014*ii, -1.47391-.279509*ii, .52303-1.65857*ii, -1.57394+.813498*ii, -2.41856+1.09553*ii, -.0497096+.366389*ii
-2.65295-.105746*ii, -1.44357-6.92067*ii, .0106633-.0318535*ii, 1.7247+.171703*ii, -1.62045-1.25245*ii, .676432-1.88525*ii, -4.83908-.264222*ii, .10448+.0247846*ii, -.770703-4.5336*ii, -.027461-1.47423*ii
-2.3808+.30915*ii, -1.20542-7.022*ii, .0139132-.0256266*ii, 1.5808+.179728*ii, -1.59089-1.08796*ii, .614032-2.03243*ii, -4.64093-.59216*ii, -.101849-.0242195*ii, -.922484-4.68079*ii, .017859-1.45315*ii
.051563+4.36011*ii, .20527-.187941*ii, .00582581-.0133199*ii, -.28125-.253047*ii, -.643656+1.33744*ii, -.107021-1.66745*ii, 2.1207-.253532*ii, -1.40588-1.14122*ii, -1.76181-1.96449*ii, -.271681+.274493*ii
1.13074-.993319*ii, 1.7856+6.04835*ii, -.00113297-.0281766*ii, .184673+.738488*ii, 1.57179+.058252*ii, .19946+1.64107*ii, 4.37802+.634686*ii, .0404121-.107674*ii, 1.4686+3.63836*ii, -.072775+1.50592*ii
-1.79438+.080929*ii, 1.0989+.770401*ii, -.892233-1.56938*ii, .856451-.27047*ii, -.00831553+.0191779*ii, 1.93723-.192481*ii, .920007+.56304*ii, -.251861+.0881994*ii, 1.32912-.63113*ii, -.571594+.981434*ii
1.6463-1.54023*ii, -.249061+.031685*ii, -.347819-.743282*ii, .732651+.929957*ii, 1.15269-.141265*ii, .0239284+.444115*ii, -.721047-.376415*ii, -.444587+1.15618*ii, -.322017+1.12612*ii, -.303056+.459678*ii
1.45035+.620393*ii, .712222+4.53869*ii, -1.13605+.403982*ii, -.332785+.487415*ii, 1.53279+.532136*ii, -.194192+.101621*ii, 3.74716+.815892*ii, -.0381921+.141939*ii, -.048857+2.35075*ii, .146454+1.65585*ii
.527856-1.38943*ii, .188878+.0665344*ii, -1.11178+.131021*ii, .637385+.779639*ii, 1.05733-.643288*ii, .237964-.243125*ii, -.310957+.0014256*ii, .321117+.904965*ii, .230191+.522793*ii, .279809+.646132*ii
-.085379-2.33768*ii, -.161724-.214061*ii, -.505549+1.31268*ii, .987334+1.09783*ii, .75978-1.52693*ii, -.313047-.0014099*ii, -.806568+.363237*ii, 1.09608+.509925*ii, .486077+.606048*ii, .698762+.010123*ii
-1.67626-.614282*ii, .0734621+.244056*ii, .49385+1.67252*ii, 1.01108+.608934*ii, -.423988-1.34007*ii, -.233452-.148916*ii, .489872+.87294*ii, .99164-.921424*ii, .606521-.374294*ii, .563919-.433278*ii
-2.38908-1.41909*ii, .0670716+.256327*ii, .427458+1.2292*ii, 1.34612+.503364*ii, -.509604-1.6038*ii, .283672+.155002*ii, .077712+1.22211*ii, 1.21931-.766523*ii, 1.23141-.31385*ii, .382743-.385189*ii
.671003-.420234*ii, -.081531+.0672131*ii, -.875239-.170711*ii, .490845+.584159*ii, .806966-.135375*ii, .167428-.372131*ii, -.0242626+.0378969*ii, -.12991+.679986*ii, -.30702+.254955*ii, -.001096+.611916*ii
2.01517-1.90487*ii, .250384+.128477*ii, -.55459+.214039*ii, .57628+1.27064*ii, 1.50459-.584029*ii, -.389112+.283111*ii, -.49068-.760928*ii, -.029075+1.16559*ii, -.142789+1.35948*ii, .304974+.445131*ii
1.06306+.084777*ii, -.172794-.0483656*ii, -.699408-.377522*ii, .37855+.556369*ii, .763552+.190664*ii, .0482521-.411077*ii, .0503522-.170366*ii, -.494173+.641801*ii, -.698134+.172356*ii, -.15127+.574461*ii
-1.5937-.419303*ii, .11278-.219232*ii, 1.24428+.47496*ii, 1.25296+.461213*ii, -.767055-.886631*ii, .155419+.334669*ii, .0982855+.47117*ii, .199861-.94957*ii, .561252-.580433*ii, -.096080-.650074*ii
-1.17909-2.57741*ii, -.181274-.198779*ii, -.846868+.97419*ii, 1.20349+.799254*ii, .528606-1.69147*ii, .309745-.0680069*ii, -.947724+.926816*ii, 1.38519+.509168*ii, 1.03848+.275644*ii, .570891+.16787*ii
