variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
-ad+omega^2*d
-T*j+Tj
1.0028*g*Tj^2-3.9921*L*j^2*Pii^2
points:
1.41177+.356866*ii, .38292-.0495649*ii, -1.66915-.014565*ii, -.396757-2.36536*ii, .898295+.691227*ii, .508846+.119218*ii, 1.17913-.510057*ii, 2.3844-.464585*ii, -1.23616e-16-4.50898e-17*ii, -1.29904+1.00552*ii, -9.75744e-17-2.31679e-16*ii
-.014531-.00013516*ii, .32683-.207185*ii, -.156008+.0728546*ii, -.516374-.575325*ii, .39008+.682454*ii, -.311142-.378756*ii, -.0093226+.0159636*ii, .598428-.371601*ii, 0, -.070106+.646228*ii, 3.01347e-17+7.37475e-17*ii
3.23028+9.70793*ii, -1.92161-1.54112*ii, .923292-.697218*ii, 3.9919-3.23032*ii, .039055+1.91474*ii, -6.31502+4.30597*ii, 5.1024-1.58299*ii, 3.22472+3.7308*ii, -6.67933e-16+9.62994e-17*ii, -3.68111-3.31027*ii, 3.02992e-16-1.23898e-16*ii
.254393-.550439*ii, .12673-.225107*ii, .713953+.675411*ii, -1.34351-.069575*ii, .167041+.548184*ii, -.55439-.294559*ii, -.789407-.70461*ii, -.034667-1.09067*ii, 1.04733e-16+1.97241e-17*ii, .302936+1.04188*ii, 2.61138e-17+9.16758e-17*ii
-.61538+12.9797*ii, -1.09096-3.08543*ii, -.92394+.7867*ii, 5.52321-3.4184*ii, -.039221+1.52215*ii, -8.76828+.99271*ii, 8.53197+.18444*ii, 3.55244+4.84116*ii, 2.40407e-16-3.7537e-16*ii, -3.16101-5.0162*ii, -3.42474e-16+2.04133e-16*ii
-1.35823-2.24415*ii, .48838+.390251*ii, 1.37809-1.239*ii, -.617486+1.70893*ii, .055539+.884005*ii, .60786-.462534*ii, -2.62479+1.37155*ii, -1.53837-.099344*ii, -2.8596e-16-2.38592e-16*ii, 1.41346+.703469*ii, 1.20638e-16-4.20015e-17*ii
-1.57776-.031357*ii, .429447-1.08491*ii, .672242-.296527*ii, 2.29554-1.53355*ii, -1.14013+1.6889*ii, -1.92768-2.19757*ii, .420466+.650347*ii, -1.80078-3.77168*ii, 2.63631e-18-1.98761e-18*ii, -1.76249-1.22924*ii, -1.02423e-18-3.71374e-18*ii
-7.27832-1.87212*ii, -.115142+1.78646*ii, -5.0318-2.90239*ii, 2.29109-1.4896*ii, 5.1679+3.94123*ii, -.156027+.158934*ii, -1.06514+.450056*ii, -.78741-12.1602*ii, 5.1537e-26-3.65877e-25*ii, -3.38674-2.15798*ii, 6.4769e-25+1.34196e-25*ii
.50663+.503724*ii, 1.34918-.46367*ii, .041340-.978811*ii, 2.67734-3.42708*ii, .255768+.11349*ii, -.570235-.478455*ii, 2.38511+.911131*ii, .291701-.926925*ii, -2.02024e-26-3.81774e-26*ii, -1.00865-.852913*ii, -4.49583e-26-4.21408e-26*ii
-3.14435-.578619*ii, .349562-.40231*ii, 1.12104+.620875*ii, -1.28888-3.69259*ii, -1.93073-2.96777*ii, -1.31447+1.43609*ii, .62129-.65531*ii, -.182238-5.41375*ii, -4.88684e-18+1.07398e-17*ii, 1.77238-1.86618*ii, 2.61245e-18+5.72023e-18*ii
-.405562-.167898*ii, 3.62083-2.71858*ii, -.197184-.325865*ii, -4.0708-2.62662*ii, .242719-.352567*ii, .271815+3.01351*ii, -.214187-1.00286*ii, .610565-3.72797*ii, -3.38112e-19+9.48246e-20*ii, -.779324+1.89472*ii, -9.66457e-19+1.26253e-18*ii
.0736039-.271816*ii, -1.09766-.179252*ii, .284388+.0994722*ii, -.343894-.29085*ii, .959601-.528718*ii, -1.23238-2.84707*ii, .178564-.184874*ii, -1.10304+.734035*ii, 1.75457e-28+2.01922e-27*ii, .104305-.186549*ii, 1.69356e-28-2.24788e-27*ii
-.730387+6.23023*ii, -.06805-2.28542*ii, 1.4136+3.91326*ii, -2.86259+4.13586*ii, 2.5163+1.65997*ii, .262442-.249838*ii, .935829+1.85859*ii, -2.21247+1.59509*ii, 6.61483e-24-1.5862e-23*ii, -.162958-2.1418*ii, -3.67013e-23-1.40382e-23*ii
-2.38712-.558543*ii, 2.06592+7.07304*ii, .492064-.405746*ii, -1.23233+1.06746*ii, 9.49883+.30975*ii, .229892-6.02278*ii, -.252955-.0505525*ii, 1.13247+1.13195*ii, 2.00593e-20-3.32426e-20*ii, .169585+2.90935*ii, 2.76567e-19+7.3204e-20*ii
-.131321+.637333*ii, .026349-.614846*ii, -.658002+.055614*ii, 1.25213+.780001*ii, .562972-.218737*ii, -.542193+1.39029*ii, -.584834+.904854*ii, .463432+2.46946*ii, 3.27785e-19+8.31755e-19*ii, -.358408-.616615*ii, 5.20038e-19-1.79622e-19*ii
-3.06662-2.01075*ii, -.11616-3.3505*ii, -2.65917-3.1131*ii, -.097152-3.13436*ii, -1.71917-.809166*ii, -.0898834+.199446*ii, 1.91094+.270175*ii, -1.16689+4.69043*ii, 3.10638e-33+3.63352e-33*ii, 3.24747+1.88584*ii, 1.18133e-32-1.083e-32*ii
1.2199+1.87575*ii, 1.41012-1.19669*ii, .495823-.692943*ii, .973579-2.08401*ii, .615714+.173558*ii, -2.98769+.756441*ii, 2.63096+2.30484*ii, .680464-3.40567*ii, 1.57236e-19-1.59816e-19*ii, .352918-4.09355*ii, 3.04718e-20-4.13522e-19*ii
-3.76786-7.11245*ii, -.073311-4.77254*ii, 11.5888+2.90938*ii, -13.9327-13.1111*ii, .199532+4.15422*ii, -.046794-.031446*ii, -1.75162+.822863*ii, -11.9671+15.2973*ii, -2.98502e-35+3.64509e-36*ii, -4.87861-1.51222*ii, 1.95847e-35+1.42194e-34*ii
-1.56499+.40667*ii, -.123603-4.76499*ii, -.331566+.416913*ii, 2.27935-.199554*ii, -.198636+1.75392*ii, -.154742-5.6964*ii, .3287+.855054*ii, -.513292-2.01882*ii, -6.19569e-31-3.6262e-31*ii, 1.9724-3.3089*ii, -1.6513e-30+2.99706e-30*ii
