variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pi, Tj

component_1:
equations:
T*omega-2*Pi
omega^2*d-ad
-theta+sintheta
-4.04*d*L*j^2*Pi^2+1.01*d*g*Tj^2
points:
-6.61981e-26+5.06512e-26*ii, 1.21201+.118412*ii, .310059-.63196*ii, .110991+.0222745*ii, .110991+.0222745*ii, -3.0166e-27-1.83786e-25*ii, .0629889-.149332*ii, .166905+.947722*ii, -.326752+.268102*ii, .225314-.364615*ii, -.628357+.233352*ii
6.66587e-29+5.6798e-29*ii, -1.85822-.65645*ii, 1.29442+.962641*ii, -.372413-.344629*ii, -.372413-.344629*ii, 3.74709e-29-2.52435e-29*ii, -.50964+.360354*ii, 3.28649+.005113*ii, -1.05562-.173178*ii, -.886697-1.31926*ii, .597071+1.09983*ii
-1.48578e-235-3.5321e-237*ii, -1.14308-.578471*ii, .406477+.67596*ii, -.121614+.336122*ii, -.121614+.336122*ii, 5.90626e-235-3.70418e-235*ii, 1.25889+.944334*ii, .573432+1.28325*ii, -.927982+1.71557*ii, -.036806-.503905*ii, -1.89167+2.81549*ii
1.41206e-183+7.35449e-183*ii, 1.74122-1.37673*ii, .224599+2.49641*ii, -.803655+1.35139*ii, -.803655+1.35139*ii, -4.4127e-184-1.48561e-183*ii, -2.37119+2.07914*ii, -.979002-2.30546*ii, 2.16631+.302899*ii, 1.91397+2.01879*ii, -2.82017-1.7759*ii
1.93469e-158-6.40155e-159*ii, -2.65634+8.59162*ii, .556635-.630135*ii, -4.72171+.267261*ii, -4.72171+.267261*ii, 1.1096e-158+2.1054e-158*ii, -2.44384-16.4321*ii, 3.76622-4.44465*ii, 4.77386-14.594*ii, 1.96763+3.22813*ii, 2.33718-9.25856*ii
-7.43484e-222+1.00284e-221*ii, -3.57791-3.51235*ii, -.748222-1.13362*ii, 1.49744+.821608*ii, 1.49744+.821608*ii, 6.22452e-222+3.8579e-222*ii, 4.41826-4.61773*ii, 2.19441+.833578*ii, 4.33198-.786474*ii, -.652298+3.342*ii, .548541-.869509*ii
-1.73911e-196-5.01665e-197*ii, 1.28813-1.98481*ii, -2.44093-.027901*ii, -2.28958-1.68058*ii, -2.28958-1.68058*ii, 6.68887e-198-6.68887e-198*ii, -3.74811+.702578*ii, -.017873-.863388*ii, -1.403-2.43958*ii, -1.5998+2.40442*ii, 4.04533-1.7447*ii
5.45827e-139-8.39735e-139*ii, 1.81527+2.61877*ii, -1.00006+4.50419*ii, -.395775+1.35113*ii, -.395775+1.35113*ii, -2.36175e-140+1.31209e-140*ii, 3.94571+1.20833*ii, -.306283-2.52692*ii, -1.97399+.809397*ii, -6.80541+2.77871*ii, -2.15011+.332113*ii
3.16089e-223*ii, -.964897-.044241*ii, -4.00836+5.95025*ii, -2.50123+10.1352*ii, -2.50123+10.1352*ii, -1.97555e-224-2.11064e-225*ii, 1.66812+14.0535*ii, 5.83878-.748131*ii, 8.33399-.09015*ii, 2.06545-2.78202*ii, .343956+1.11817*ii
-5.29523e-184+6.35428e-183*ii, 1.61083+1.17403*ii, 1.44642+4.36488*ii, 1.00235+.056238*ii, 1.00235+.056238*ii, 3.82434e-184-4.96428e-184*ii, -1.85224-5.05246*ii, -3.45906-3.34715*ii, 2.59953+5.82225*ii, -1.39728+4.36461*ii, -.913307+4.61419*ii
3.92995e-270+1.03961e-269*ii, .843326+1.57061*ii, -3.43755-9.17874*ii, .541892-2.46411*ii, .541892-2.46411*ii, 4.57508e-272-1.04903e-271*ii, 1.1287-.812901*ii, 2.67506-6.76915*ii, -1.51589+1.06138*ii, 5.75863-6.56987*ii, -5.14549-2.08872*ii
2.58408e-254+2.55744e-254*ii, .658563+.462621*ii, -4.54845-2.15489*ii, -1.64778+2.02094*ii, -1.64778+2.02094*ii, 2.3976e-255-9.99e-257*ii, -2.78843+.485089*ii, 2.18674-3.19674*ii, 1.99025-2.06265*ii, -.99927-1.76167*ii, -2.64293-.328793*ii
-2.48921e-58-2.1905e-58*ii, -.837952-1.29741*ii, -.388514-.259599*ii, .413038+.165941*ii, .413038+.165941*ii, -1.71257e-57+1.10521e-57*ii, -1.90498-.106856*ii, -.541713+1.1455*ii, -.456069+1.47572*ii, -.0056252+.360797*ii, .20408+.210394*ii
3.96553e-117-5.89873e-117*ii, -.183812-.148396*ii, -5.51073-.371694*ii, .651099+1.50463*ii, .651099+1.50463*ii, 2.29257e-118-1.611e-118*ii, -.917959+.697611*ii, 1.44643-.129295*ii, .625717+3.29426*ii, .47889+.443047*ii, 5.5402-1.98016*ii
-2.88851e-290-1.56325e-289*ii, 1.09541-.543519*ii, 2.65991+2.14497*ii, 1.66153-1.36324*ii, 1.66153-1.36324*ii, -1.33277e-290+2.6305e-292*ii, .570495-1.19309*ii, -1.01179-1.68974*ii, .381818+.716746*ii, 2.03977+.451957*ii, -.829606-.429418*ii
-8.03903e-106-1.4988e-106*ii, 1.0995+.574602*ii, 2.76714+1.38287*ii, .744734+.196753*ii, .744734+.196753*ii, -5.10955e-107+7.32369e-107*ii, -2.29337+3.19826*ii, -.900684+.720967*ii, .390456-1.716*ii, 1.12394+1.55523*ii, -1.76837-.329196*ii
5.15896e-239-1.64967e-240*ii, 3.32254+2.4464*ii, -.066131-1.20326*ii, -1.05836-4.54776*ii, -1.05836-4.54776*ii, -5.27893e-239-4.4991e-241*ii, 5.6623+1.20397*ii, -7.47351-.122525*ii, 3.98118+5.70825*ii, 1.36197-2.07984*ii, -4.44471+6.30319*ii
-5.31159e-220-1.08445e-219*ii, -.735235-.893012*ii, 2.28273-2.22574*ii, 1.14367+.494825*ii, 1.14367+.494825*ii, 1.16191e-220-1.57688e-220*ii, -.29598+.872781*ii, -1.19103+.544224*ii, -3.55977-.215323*ii, -1.83298-.201032*ii, 4.71423+.877112*ii
0, .235947+1.69355*ii, .745323-.881927*ii, 2.08978-.41367*ii, 2.08978-.41367*ii, -8.25493e-134-5.77845e-134*ii, -5.61891+.339058*ii, 3.47424-.140341*ii, -2.03565+.000327*ii, .834721+.527076*ii, -.516119+1.2341*ii
