variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-S*dA+P
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
.67564+.527686*ii, .631561-.537127*ii, 1.31165-1.22635*ii, -2.80299-1.5752*ii, -.145626+.178398*ii, 1.15147-.204565*ii, -1.0626-2.54337*ii, -.663933+.189842*ii, 1.17827+2.15005*ii, .436809-.536124*ii
.430841+.218372*ii, .597198-.311538*ii, -.442587+.81711*ii, 1.1365+1.67112*ii, 1.656+.135375*ii, -.76007-.091163*ii, .124725+.968166*ii, .182263+.471835*ii, .176197-.499316*ii, -.491731+1.24789*ii
-1.85955-.838874*ii, .26057+1.70742*ii, -1.70555+.072247*ii, .15075-.432163*ii, -.265868-.0339489*ii, -1.27013-1.28936*ii, -.642857+.67717*ii, -.18672+.0485239*ii, -2.38186+.585446*ii, -.673342-.736528*ii
-.591635+1.09027*ii, 1.24416+.516609*ii, -.313926+1.19894*ii, -.118077-.308612*ii, .486709+.503678*ii, -1.01275+.137639*ii, .406328+.0538501*ii, -.15516+.052745*ii, -.58039+1.69338*ii, -.752226+.706006*ii
-.363909+.231933*ii, -.0802761-.0874519*ii, -3.41372-.088900*ii, .522443-1.48079*ii, -.0333801+.00261258*ii, -.464091-2.33667*ii, .153324+.660046*ii, 2.36185-.373594*ii, -1.40736+1.18398*ii, -.218205-.20897*ii
-.18976-.0580748*ii, -.121484-.0819531*ii, -.20707-1.15043*ii, 1.15529+.019091*ii, .425082-.718468*ii, .516058-.551522*ii, -.218119-.0707159*ii, .476602+1.02105*ii, -.909104-.367134*ii, -.0481086+.457234*ii
.077204-.270117*ii, -.0469378-.203337*ii, -.2012-1.1233*ii, 1.09574-.613367*ii, .454868-.77331*ii, .645017-.635275*ii, -.0810851-.343333*ii, .612928+.766547*ii, -.991101-.104731*ii, .443104+.315885*ii
.503259+.634184*ii, -.324587+1.14282*ii, -.928973-.49277*ii, -1.64319+1.72013*ii, -.123223+1.13997*ii, -.518998-1.24844*ii, -1.91783-.176414*ii, -.39213+.0921745*ii, .719183-.175785*ii, -1.30191+.757871*ii
.703691-.661494*ii, -.148522+.329343*ii, -1.70489-1.12223*ii, -.428685-1.07715*ii, .0274001+.15439*ii, .295834-1.95859*ii, -1.01419-.474409*ii, .988849-.205488*ii, -.74821+.45706*ii, .729421-.225143*ii
.358595+.793857*ii, .0712273-.282979*ii, 2.48068+.981312*ii, -3.07662-1.18117*ii, .029959-.063518*ii, -.070913+.783858*ii, -.165576-2.86596*ii, -1.74748-.97738*ii, 1.66784+2.00172*ii, -.354713-.18046*ii
.312583+.292078*ii, .525979+.908899*ii, -.388877+.997104*ii, .909412+1.15373*ii, .976869+.478178*ii, -1.09322-.122821*ii, -.052712+.626256*ii, -.25412+.0565065*ii, -.578727-.269873*ii, -.457839+1.45467*ii
.55667+.585373*ii, -.930679+.364236*ii, -1.17309-.474583*ii, -1.86805+.811483*ii, -.266794+.60144*ii, -.231096-1.61394*ii, -1.51491-.641778*ii, .240091-.371786*ii, .985401+.080325*ii, -1.16493+.269307*ii
1.9274+.381896*ii, 1.22457+1.80354*ii, -.761479-.473258*ii, -.790984-.142448*ii, .17998+1.84134*ii, -.15428-.976364*ii, -1.47014-.576627*ii, -.140844-.140275*ii, -.430243+.860989*ii, .904678+1.54423*ii
1.8394-.945221*ii, .196979+.0958478*ii, -.42543+.892354*ii, .0015997-.22863*ii, 1.34178+.322913*ii, -.55313-.83144*ii, -.213163-.422053*ii, .106654-1.07717*ii, .123928-.0885374*ii, 1.22575+.729103*ii
.552761+.433613*ii, -.116423-.855738*ii, -.991699-.900675*ii, -2.19299+.506825*ii, .331724+.444419*ii, .331046-1.4422*ii, -1.43197-.670755*ii, .470928+.174174*ii, 1.58611+.805086*ii, -.733868-.384806*ii
.935324-.209831*ii, .0703275-.47334*ii, -.353334-1.5224*ii, -.382567-1.36113*ii, .22075-.270673*ii, 1.09616-1.12533*ii, -.643431-1.19282*ii, .775738+.319377*ii, -.164898+.704999*ii, .965984-.039758*ii
-1.55901-.74839*ii, .162725+1.33225*ii, -2.03505+.084315*ii, .118978-.506684*ii, -.156579-.0195514*ii, -1.16957-1.52059*ii, -.564685+.700883*ii, .231009-.0777768*ii, -2.09213+.624975*ii, -.601373-.712492*ii
.602063+.126611*ii, .358415-.350663*ii, -1.23472-.742252*ii, -1.8343-1.34832*ii, .0236245+.445304*ii, .343975-1.56552*ii, -.933652-1.04402*ii, .757106-.298679*ii, .369432+1.71936*ii, .306657-.556049*ii
.0276805+.0632475*ii, .11669+.0389637*ii, -.55468+1.05259*ii, -.345343+.273727*ii, .786325+.091492*ii, -.940419-.536756*ii, -.0268718-.0142652*ii, -.0382201-.487418*ii, .0921711+.457274*ii, -.528523+.305999*ii
.59181+.579105*ii, -.202512-.357299*ii, 1.10805+.840821*ii, -1.65645-2.77872*ii, -.182201-.460731*ii, .143942-.0372413*ii, .628867-2.60373*ii, -.207075-1.35849*ii, .348969+2.12892*ii, .510804-.091149*ii
2.12029-.734815*ii, -.397627+.26791*ii, -.889911-.98164*ii, -.337008-.551404*ii, .460292+.341621*ii, .534668-1.65274*ii, -1.11973-.921496*ii, .697992-.512774*ii, .0230547-.316147*ii, 1.31533+.639517*ii
1.74589+.568549*ii, 1.4193+1.08391*ii, -.749728-.533027*ii, -.714783+.004792*ii, .478847+1.64457*ii, .024231-.836782*ii, -1.25066-.398023*ii, .105696+.19433*ii, -.060392+1.03251*ii, .733364+1.37988*ii
2.18532-.632885*ii, .389248+.143767*ii, 1.26776-3.82889*ii, -.560172-1.20804*ii, -.0166381-.0116676*ii, 2.69156-.769835*ii, -1.98871-2.28543*ii, -.106295+1.44255*ii, -.111226+.0058547*ii, 2.24814+.463207*ii
.456961+.268689*ii, .672925+.012165*ii, -.492301+.876695*ii, 1.43992+.501678*ii, 1.31088+.046967*ii, -.672132-.116333*ii, .523191+.616138*ii, .421481+.185862*ii, -.557196-.009545*ii, -.00062+1.30689*ii
