variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh

component_1:
equations:
-f1*h+Eph1
-f2*h+Eph2
f1*lambda1-c
f2*lambda2-c
-mel*c^2+Eel1
-mel^2*c^4-pel2^2*c^2+Eel2^2
2*p1*p2*cosTh-p1^2-p2^2+pel2^2
.9981*lambda1*mel*c-1.0045*lambda2*mel*c-.9955*h*cosTh+1.0089*h
points:
.337525-.0832944*ii, -.3821-.497952*ii, -.11949+.113911*ii, .274902+.115171*ii, -.0001598-.0971378*ii, .158539+.0892426*ii, .259952+.579802*ii, -.694423+.544318*ii, -.696565-.469629*ii, .673523+.038135*ii, -.168929+.333284*ii, -.412202+.235765*ii, .637202-1.64711*ii, .230507-.0432294*ii, .734672+.730774*ii
-.349277-.286337*ii, -.25536-.545881*ii, .0322783+.00249158*ii, .0374116+.0215989*ii, -.012081+.0337048*ii, .0655186-.0755372*ii, .311699+.340325*ii, .460352+.198636*ii, .436049+.123566*ii, .0928777+.456517*ii, .210527+.278518*ii, -.058767+.0410436*ii, -.475038-.654537*ii, .0982777-.186045*ii, .571518+.246617*ii
-.270647+.290574*ii, -1.21153+2.46737*ii, .427243+.158802*ii, 3.14902+.196749*ii, -2.77305-3.19742*ii, -2.12611-3.15588*ii, -2.07557-4.54251*ii, .103631+.28839*ii, 3.06537+2.17164*ii, .977303-1.17564*ii, .184276-.121733*ii, -.440683-1.05988*ii, 5.09561+10.2918*ii, .077105+.60216*ii, -6.20568-3.50214*ii
.290011-1.03964*ii, .0523561-.109235*ii, -.647129+3.07834*ii, -.131641+.327574*ii, 1.56435+1.11168*ii, -1.59231+2.44778*ii, -1.39539+2.25093*ii, -1.28659+.595254*ii, .995765-6.19362*ii, .08101-.509498*ii, -.079206-4.59608*ii, -2.90829+.188823*ii, 6.00985-1.48095*ii, -.506201-.231981*ii, -.02336+4.77269*ii
-1.26023-3.20066*ii, .970025-.824535*ii, -.091535+1.12647*ii, -.40546+.102807*ii, -1.70534-.290517*ii, -2.22168-1.85912*ii, .342666-.046353*ii, 3.75472+.133241*ii, 4.67263+.067713*ii, .159837-.0553502*ii, -.0018115-.457024*ii, -.294961-.144737*ii, -.075992+5.1093*ii, -.378589-.441831*ii, -2.93625-.161642*ii
27.4047-12.5857*ii, -2.48509+16.2705*ii, 1.01957-.187117*ii, -.220622+.520978*ii, .0619583+.0421653*ii, -14.4872-31.0751*ii, 1.87837+10.8851*ii, -10.5263+14.3993*ii, -11.1317+.72426*ii, -.0060354+.101741*ii, .161791-.093245*ii, .0333136+.00847144*ii, -.00181412-.00772324*ii, 1.11508+2.86414*ii, 1.03888+.18201*ii
1.47412-1.49432*ii, -2.11931-.002816*ii, -.309481+1.71971*ii, 1.45685-.994991*ii, -.353777+.513527*ii, -.863397-4.98689*ii, .982651+1.96712*ii, -.361546+.644384*ii, -1.81366-1.02641*ii, -.113409+1.1513*ii, -.734064-.879792*ii, -.686792+.470401*ii, .0965394+.0431678*ii, 1.55323+1.86662*ii, 1.67216+.019173*ii
1.23266+2.53783*ii, -.0348824-.0172583*ii, 5.82935+.157233*ii, -.0648919+.047536*ii, .235941+.0625837*ii, 2.09574+1.366*ii, 2.1197-1.03683*ii, -2.27327-2.00433*ii, -6.99054-3.50311*ii, .0607779-.0952195*ii, -7.71082+2.75797*ii, .952839-1.83417*ii, 2.40223+.065804*ii, .316569+.0368708*ii, 2.97795+2.39196*ii
.307971-.166721*ii, -.379416-.466448*ii, -.0929613+.147553*ii, .27856+.109814*ii, .0059722-.113797*ii, -.134932-.125735*ii, .196715+.603701*ii, -.679995+.429291*ii, -.505047-.553005*ii, .725271+.182263*ii, -.182716+.39538*ii, -.434023+.244153*ii, .871805-1.41437*ii, .253749-.0647862*ii, .563546+.683837*ii
.010194+2.15102*ii, -1.0587-.292311*ii, -.141574-.0983562*ii, .0679139-.0559929*ii, .0973781+.037771*ii, 2.9556-.391051*ii, -1.29685-1.71481*ii, -.353613-.222258*ii, 1.22006+2.06384*ii, -.530804-.228544*ii, -.149464+1.12193*ii, -.0460362+.0655989*ii, -.0613317+.0283994*ii, .486192-1.1441*ii, -.162882-.9015*ii
.319535-.91936*ii, -.177636-.489693*ii, -.27962+.198449*ii, -.0491419+.17681*ii, .114301+.0660536*ii, -.103363-.0082912*ii, .538868+.386408*ii, .139952+1.01896*ii, .215688+.269232*ii, .322452-.126359*ii, .616444+.196793*ii, -.286907-.204428*ii, -.957631-.657903*ii, -.0131342-.336826*ii, .671057+.351843*ii
.617011+.363096*ii, .597202+.715616*ii, .0779677+.0898016*ii, .0562101+.144268*ii, -.772833+.612093*ii, -.554695+.23302*ii, -1.23533+.102665*ii, -.195218+.231374*ii, 1.20267-.851672*ii, -.520559-.58936*ii, -.528924-.291606*ii, .157477+.0528714*ii, 2.98383-.879627*ii, -.107196-.552655*ii, -1.24987+2.16184*ii
-.450952+.715829*ii, .829914+.016221*ii, -4.52601-1.73278*ii, .83719+4.68067*ii, .988329-.899236*ii, .926827-.977992*ii, -.732802+1.04299*ii, -1.72196+.269372*ii, .280193+1.31075*ii, .12851+.438034*ii, -.449961-.118377*ii, 1.11858+5.61808*ii, 2.46681-8.61193*ii, -.371509-.105541*ii, 1.03994+.486893*ii
1.7068+.082051*ii, .0292493+.0674647*ii, 2.26577-1.34063*ii, .0948012+.0620273*ii, -.116559-.178446*ii, .921131-.114109*ii, 1.55774+.485011*ii, -.918897+1.17466*ii, -3.87939+.713217*ii, -.139968+.0013486*ii, -1.4075+2.9325*ii, 1.28676-.847321*ii, -2.27073-2.95365*ii, -.239008-.0091828*ii, 2.74878+.680488*ii
.179739-.0208328*ii, .321803+.545099*ii, .255262-.229571*ii, 1.09643+.4902*ii, -.0642973+.0844956*ii, -.138561-.237504*ii, .283772-.822675*ii, .552583+.493561*ii, .241209+1.18124*ii, -1.28409+.339945*ii, -.0601585+.374902*ii, 1.54744-1.09789*ii, -1.81091+.31447*ii, -.223718+.0878524*ii, .729174-.028944*ii
