variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ugi*r+G*M*m
Ugf
2.00002*G*M*m-1.00082*m*ve^2*r
points:
.794967+.850906*ii, -.915942-.192467*ii, -.526671+.89527*ii, -1.93689e-16-2.49462e-17*ii, 7.28782e-17-5.62474e-17*ii, -1.01733+.374809*ii, 1.51971-.871452*ii, .255697+.0334807*ii, 8.53513e-17-1.53092e-16*ii
.0577912-.470851*ii, -.807327+1.07633*ii, -.231561+.327888*ii, -1.65162e-32+9.74258e-32*ii, -9.33452e-61-3.11151e-60*ii, -.529394+.745121*ii, -.487422-.718903*ii, 1.63181+.377959*ii, 3.34487e-60+4.66726e-61*ii
-.125097-.118141*ii, -.508288-.528266*ii, .413696+1.97093*ii, 0, 4.864e-34-2.75216e-31*ii, .0917451-.153212*ii, -.785182+.449935*ii, 1.35592-.194955*ii, -2.13972e-32+1.71632e-33*ii
1.7673+.963926*ii, -3.89141-.498955*ii, .015047+5.57919*ii, 1.31552e-30-2.77801e-31*ii, 1.80467e-59+3.11151e-60*ii, 1.77948-.641588*ii, 1.02041+1.97699*ii, 4.82846-.178362*ii, -1.26405e-61+1.21543e-62*ii
-.67156+.246201*ii, .30668+.331305*ii, -.0428819-.0753892*ii, 0, -2.39729e-194*ii, .866791-.052011*ii, -.373428-1.40851*ii, .405337+.567327*ii, -2.73976e-194+9.739e-195*ii
-2.92412+3.51714*ii, -2.06896+1.70855*ii, 6.07774+.999792*ii, 0, -4.2141e-33-1.06683e-31*ii, .344717+.351746*ii, -.374514+.884283*ii, 3.01533-.686634*ii, 5.11848e-33-1.02363e-32*ii
2.33976-3.21066*ii, 1.61737+1.57535*ii, 1.66696+.422894*ii, 0, -1.71235e-195-1.71235e-195*ii, -.136008+3.31575*ii, .814784+.530296*ii, 1.64713+2.00538*ii, -6.42132e-195-1.36988e-194*ii
-1.59009-2.83692*ii, -1.21639-1.89143*ii, .752607+1.65479*ii, 0, -1.37122e-196+9.36442e-197*ii, -2.09196-1.01197*ii, -1.06218-2.14249*ii, -1.16942-.757325*ii, 3.51166e-196-2.67555e-197*ii
.213115-1.12455*ii, .127127-.720277*ii, -1.68309-1.14345*ii, 7.24318e-32+3.06848e-32*ii, 1.31372e-46-2.7369e-48*ii, 1.61053-.394405*ii, -.030498-.191241*ii, -.348316-1.05053*ii, 0
-.064304+1.15292*ii, -.626995-.323614*ii, .496324+1.14685*ii, 0, -1.12036e-31+4.21686e-32*ii, -.0704914-.0885115*ii, .363852+.652631*ii, -.505962-.696422*ii, -2.80643e-33+2.05713e-33*ii
-.672058-.456974*ii, -1.04929-.431347*ii, .785441+2.75804*ii, -1.55878e-31+3.96191e-31*ii, -6.03229e-87+1.20646e-86*ii, -.603887-.970031*ii, -1.92859-.140877*ii, -.0110923-.413355*ii, 5.65528e-88-8.7971e-88*ii
-.183844+1.14587*ii, -.920326+.066341*ii, -2.58709-.433523*ii, -1.0876e-31+2.02676e-31*ii, -1.41398e-188-1.14465e-188*ii, .911275-2.88252*ii, -1.81676-.781335*ii, .625803+1.70099*ii, 3.90528e-188-6.73324e-189*ii
-1.40537+3.85554*ii, -.790368+1.89104*ii, -.013086+.926265*ii, 0, 1.2016e-31-3.44405e-31*ii, .47233+.0752899*ii, .688739+.013516*ii, .890987-.902005*ii, 1.14335e-31+1.14881e-31*ii
.336345+.78952*ii, -1.98434+1.67341*ii, -1.18517-.847021*ii, 0, -1.78085e-193-3.69868e-193*ii, -.595732-1.43226*ii, -.076566-.953453*ii, -1.94438-.552178*ii, 1.6781e-193+1.64386e-193*ii
1.23136-4.28025*ii, -1.68024-.368174*ii, -.703575+1.10309*ii, 2.33653e-31-7.00903e-32*ii, 7.12338e-192-2.0603e-191*ii, .013451+.606731*ii, .483323-2.50201*ii, -1.58385-2.6444*ii, 7.67133e-193-3.56169e-193*ii
4.35794+.111708*ii, .565108+.504487*ii, 1.95097-.747577*ii, 0, -1.61798e-59-2.73813e-59*ii, .903436+.525984*ii, -.768653-.810166*ii, 1.92274-.486308*ii, 9.64567e-60-6.22302e-60*ii
1.6235+.366689*ii, -.382158-1.73322*ii, -.414468+.468301*ii, -3.86632e-32+5.43323e-33*ii, -8.9296e-103-1.51803e-101*ii, 1.50966-.310931*ii, -.443198-.607315*ii, -.524501+.468251*ii, 1.03583e-100-1.57161e-100*ii
1.41177+.67621*ii, -2.23072-.062173*ii, -1.06682-.564429*ii, 0, -3.50689e-191-9.81931e-191*ii, 1.83253-1.43382*ii, -2.15508-.706159*ii, 1.58411+1.46721*ii, 8.41655e-191+1.40276e-191*ii
-.077919-.571457*ii, -1.30894-.262184*ii, .882089+1.22831*ii, 0, 6.81818e-32-1.53957e-31*ii, .200812-.136327*ii, -1.49971+.211342*ii, -.321526-.983435*ii, -1.4979e-32-4.11807e-33*ii
-.239257+.112753*ii, -.405371-.0245647*ii, .98437-.719828*ii, -3.99419e-33-2.40867e-32*ii, -6.80642e-62-5.83408e-62*ii, -.239039-.693577*ii, -.655992+.080915*ii, .468044+1.04829*ii, -1.45852e-62*ii
-1.91351+.69335*ii, .490797+.0040844*ii, -.458551-1.34975*ii, 0, 8.7971e-88-4.39855e-88*ii, .245712-.89653*ii, 2.02441-1.70859*ii, -1.4385+1.0401*ii, -2.40546e-89-3.14182e-89*ii
-.446169-.524594*ii, -.928261+1.1442*ii, -.11279-1.79229*ii, 0, 7.52498e-198+2.42472e-197*ii, -1.38525+.032926*ii, .280389+.956723*ii, -.865733-.967347*ii, -1.72447e-198-3.13541e-198*ii
-.287127-2.37266*ii, -6.41997-1.35776*ii, -.725996+.564247*ii, 0, -1.7466e-193-1.36988e-194*ii, -.07662-4.63282*ii, -4.93884-3.21361*ii, .563225-.422561*ii, 2.80826e-193-6.8494e-195*ii
-1.03824-2.49965*ii, .530016+2.26297*ii, 2.52206-.462883*ii, 0, -6.68579e-86+1.33716e-85*ii, .944035+.597712*ii, -2.77349+2.94182*ii, -1.05603-.436249*ii, -8.54575e-86+2.33249e-85*ii
